country_region,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
Australia,13.0,0.0,2.0,11.0,1.0,0.0,0.0
Belgium,1.0,0.0,0.0,1.0,,,
Cambodia,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Canada,4.0,0.0,0.0,4.0,0.0,0.0,0.0
China,23680.0,490.0,843.0,22347.0,3987.0,65.0,229.0
Finland,1.0,0.0,0.0,1.0,0.0,0.0,0.0
France,6.0,0.0,0.0,6.0,0.0,0.0,0.0
Germany,12.0,0.0,0.0,12.0,0.0,0.0,0.0
Hong Kong,17.0,1.0,0.0,16.0,2.0,1.0,0.0
India,3.0,0.0,0.0,3.0,0.0,0.0,0.0
Italy,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Japan,22.0,0.0,1.0,21.0,2.0,0.0,0.0
Macau,10.0,0.0,0.0,10.0,2.0,0.0,0.0
Malaysia,10.0,0.0,0.0,10.0,2.0,0.0,0.0
Nepal,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Philippines,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Russia,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Singapore,24.0,0.0,0.0,24.0,6.0,0.0,0.0
South Korea,16.0,0.0,0.0,16.0,1.0,0.0,0.0
Spain,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Sri Lanka,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Sweden,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Taiwan,11.0,0.0,0.0,11.0,1.0,0.0,0.0
Thailand,25.0,0.0,10.0,15.0,6.0,0.0,1.0
United Arab Emirates,5.0,0.0,0.0,5.0,0.0,0.0,0.0
United Kingdom,2.0,0.0,0.0,2.0,0.0,0.0,0.0
United States,11.0,0.0,0.0,11.0,0.0,0.0,0.0
Vietnam,8.0,0.0,1.0,7.0,0.0,0.0,0.0
