country_region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,7.0,7.0,7.0,11.0,16.0,20.0,21.0,21.0,21.0,23.0,23.0,38.0,38.0,72.0,80.0,88.0,104.0,104.0,114.0,164.0,165.0,228.0,257.0,265.0,282.0,327.0,338.0,391.0,401.0,437.0,474.0,505.0,557.0,612.0,651.0,716.0,756.0,777.0,791.0,832.0,855.0,906.0,970.0,1058.0,1120.0,1228.0,1274.0,1426.0,1542.0,1627.0,1847.0,1957.0,2066.0,2274.0,2407.0,2708.0,2830.0,2989.0,3197.0,3416.0,3724.0,4007.0,4226.0,4446.0,4812.0,5155.0,5489.0,5717.0,6098.0,6625.0,7028.0,7545.0,8015.0,8742.0,9289.0,9857.0,10483.0,11091.0,11592.0,12154.0,12973.0,13620.0,14057.0,14789.0,15451.0,16169.0,16898.0,17394.0,18110.0,18377.0,18424.0,18724.0,19138.0,19172.0,19450.0,19570.0,19885.0,20311.0,20212.0,19326.0,19368.0,19563.0,19488.0,19718.0,19603.0,19132.0,19326.0,19462.0,19239.0,17642.0,16571.0,16640.0,15411.0,15174.0,14174.0,12682.0,12721.0,12189.0,12285.0,11958.0,12104.0,12341.0,12237.0,12225.0,12189.0,12238.0,11444.0,11133.0,10931.0,10864.0,10660.0,10600.0,10688.0,10613.0,10167.0,10154.0,9995.0,9718.0,9796.0,9740.0
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,11.0,22.0,32.0,37.0,41.0,50.0,54.0,57.0,62.0,68.0,72.0,85.0,98.0,108.0,124.0,151.0,147.0,156.0,169.0,168.0,176.0,177.0,185.0,198.0,214.0,237.0,240.0,230.0,224.0,221.0,211.0,213.0,206.0,212.0,203.0,218.0,215.0,230.0,220.0,222.0,231.0,238.0,251.0,251.0,257.0,282.0,288.0,286.0,289.0,281.0,272.0,263.0,239.0,233.0,229.0,219.0,206.0,206.0,199.0,198.0,187.0,187.0,163.0,161.0,173.0,180.0,188.0,200.0,190.0,176.0,175.0,167.0,173.0,175.0,177.0,177.0,193.0,205.0,220.0,215.0,232.0,232.0,233.0,240.0,253.0,266.0,269.0,273.0,274.0,284.0,305.0,327.0,349.0,346.0,389.0,441.0,499.0,571.0,607.0,663.0,682.0,722.0,784.0,792.0,807.0,850.0,893.0,920.0,931.0,963.0,970.0,1014.0,999.0,1034.0,1088.0,1108.0,1160.0,1183.0,1213.0,1232.0,1273.0,1318.0,1401.0,1415.0,1462.0,1508.0,1560.0,1610.0,1585.0,1633.0,1667.0,1706.0,1776.0,1775.0,1820.0,1834.0,1866.0,1943.0,1991.0,2060.0
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,12.0,12.0,17.0,17.0,19.0,20.0,20.0,20.0,15.0,16.0,22.0,32.0,38.0,44.0,55.0,46.0,47.0,92.0,119.0,148.0,221.0,216.0,313.0,354.0,394.0,449.0,512.0,626.0,728.0,839.0,1004.0,1031.0,1078.0,1160.0,1162.0,1130.0,1084.0,1100.0,1090.0,1030.0,1069.0,1053.0,1116.0,1137.0,1208.0,1273.0,1207.0,1235.0,1267.0,1304.0,1245.0,1304.0,1358.0,1449.0,1527.0,1561.0,1702.0,1777.0,1880.0,1964.0,2075.0,2185.0,2301.0,2324.0,2376.0,2414.0,2518.0,2543.0,2543.0,2554.0,2673.0,2755.0,2822.0,2870.0,2964.0,3021.0,3070.0,3006.0,3091.0,3080.0,3095.0,2922.0,3147.0,3162.0,3105.0,3090.0,3074.0,3072.0,2993.0,2958.0,2892.0,2842.0,2853.0,2792.0,2721.0,2730.0,2751.0,2707.0,2678.0,2593.0,2625.0,2630.0,2546.0,2519.0,2517.0,2526.0,2496.0,2483.0,2470.0,2504.0,2509.0,2541.0,2587.0,2647.0,2734.0,2874.0,3005.0,2992.0,3098.0,3312.0,3387.0,3301.0,3373.0,3497.0,3561.0,3817.0,4041.0,4183.0,4122.0,4584.0,4441.0,4652.0,4893.0,4938.0,5196.0,5461.0,5737.0,5955.0,6204.0,6532.0,6778.0,6991.0,7654.0,7542.0,8114.0,7973.0,8208.0
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,38.0,38.0,52.0,74.0,87.0,111.0,131.0,162.0,186.0,220.0,263.0,304.0,327.0,352.0,354.0,366.0,403.0,407.0,428.0,457.0,473.0,484.0,489.0,500.0,504.0,504.0,481.0,489.0,500.0,471.0,471.0,470.0,464.0,442.0,432.0,398.0,377.0,353.0,347.0,354.0,354.0,318.0,304.0,278.0,235.0,234.0,231.0,210.0,206.0,191.0,184.0,179.0,168.0,161.0,157.0,157.0,142.0,135.0,116.0,108.0,95.0,93.0,86.0,82.0,72.0,72.0,59.0,58.0,58.0,49.0,36.0,36.0,31.0,29.0,21.0,19.0,16.0,60.0,65.0,63.0,60.0,60.0,57.0,50.0,44.0,42.0,21.0,21.0,21.0,21.0,13.0,13.0,11.0,11.0,11.0,11.0,11.0,7.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,7.0,22.0,25.0,25.0,25.0,29.0,29.0,34.0,34.0,42.0,42.0,42.0,52.0,52.0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,10.0,12.0,13.0,15.0,15.0,15.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,18.0,18.0,17.0,22.0,22.0,22.0,23.0,23.0,23.0,30.0,28.0,30.0,30.0,30.0,29.0,32.0,29.0,29.0,29.0,30.0,32.0,32.0,38.0,40.0,39.0,47.0,48.0,48.0,49.0,52.0,59.0,62.0,64.0,64.0,64.0,64.0,64.0,61.0,60.0,63.0,50.0,54.0,69.0,72.0,83.0,71.0,73.0,72.0,78.0,84.0,94.0,98.0,101.0,97.0,99.0,102.0,110.0,121.0,121.0,168.0,175.0,172.0,178.0,179.0,201.0,203.0,219.0,219.0,219.0,248.0,248.0,257.0,318.0,321.0,362.0,381.0,397.0,425.0,455.0,410.0,448.0,455.0,499.0,528.0,558.0,582.0,604.0,635.0,650.0,667.0,687.0
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,15.0,15.0,15.0,15.0,18.0,17.0,17.0,17.0,19.0,19.0,21.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,13.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,40.0,40.0,44.0,44.0,44.0,44.0,43.0,42.0,42.0,42.0,44.0,44.0,44.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,19.0,19.0,19.0,18.0,18.0
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,8.0,11.0,11.0,16.0,18.0,18.0,29.0,31.0,42.0,53.0,63.0,74.0,91.0,122.0,151.0,235.0,235.0,329.0,327.0,430.0,504.0,600.0,654.0,569.0,787.0,778.0,841.0,960.0,1129.0,1127.0,1181.0,1234.0,1294.0,1358.0,1518.0,1452.0,1584.0,1596.0,1616.0,1736.0,1825.0,1880.0,1944.0,1998.0,2068.0,2044.0,2120.0,2351.0,2455.0,2565.0,2593.0,2666.0,2758.0,2879.0,2954.0,3015.0,3124.0,3183.0,3185.0,3284.0,3411.0,3488.0,3659.0,3748.0,3972.0,4127.0,4382.0,4284.0,4396.0,4626.0,4908.0,5126.0,5364.0,5544.0,5947.0,6483.0,7154.0,7378.0,7892.0,8162.0,8577.0,9084.0,9577.0,10111.0,10898.0,10976.0,11338.0,12041.0,12789.0,13596.0,14317.0,15192.0,15221.0,15622.0,16476.0,17261.0,18276.0,19236.0,20397.0,21180.0,22040.0,23107.0,24127.0,25841.0,26740.0,28006.0,29046.0,30735.0,32549.0,34919.0,36519.0,35743.0,37394.0,38567.0,39850.0,41195.0,42806.0,44370.0,46125.0,47965.0,48711.0,50334.0,51687.0,48834.0,50660.0,53302.0,54291.0,55627.0,57189.0,59475.0,61798.0,63551.0,67343.0,67697.0,70390.0,72488.0,75030.0,78781.0,82510.0,85266.0,87419.0,89069.0,91782.0,95093.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,18.0,26.0,52.0,77.0,83.0,114.0,135.0,159.0,192.0,233.0,235.0,249.0,271.0,300.0,376.0,391.0,449.0,499.0,536.0,623.0,686.0,720.0,758.0,763.0,758.0,758.0,773.0,776.0,781.0,803.0,814.0,786.0,797.0,783.0,780.0,705.0,726.0,737.0,768.0,816.0,840.0,841.0,846.0,885.0,931.0,971.0,1002.0,1105.0,1138.0,1230.0,1316.0,1397.0,1468.0,1607.0,1657.0,1768.0,1864.0,1943.0,1987.0,2061.0,2170.0,2239.0,2326.0,2437.0,2487.0,2743.0,2813.0,2785.0,2955.0,2980.0,3289.0,3516.0,3881.0,4091.0,4421.0,4816.0,5259.0,5483.0,5765.0,5951.0,6424.0,6900.0,7577.0,8121.0,8454.0,8916.0,9015.0,9007.0,8650.0,8958.0,9384.0,9659.0,10184.0,10503.0,10625.0,10917.0,10829.0,10572.0,10522.0,10916.0,11097.0,10490.0,10534.0,10756.0,10688.0,10577.0,11103.0,11397.0,11051.0,11049.0,11163.0,11367.0,11488.0,11982.0,12143.0,11875.0,11872.0,11811.0,11648.0,11414.0,11771.0,11713.0,11180.0,11065.0,11021.0,10889.0,10708.0,10942.0,10829.0,10386.0,10249.0,10230.0,10187.0,10053.0,10134.0,10014.0,9553.0
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,8.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,14.0,15.0,18.0,27.0,39.0,32.0,37.0,40.0,51.0,66.0,83.0,104.0,104.0,174.0,224.0,271.0,351.0,424.0,539.0,649.0,758.0,1038.0,1391.0,1556.0,1917.0,2237.0,2625.0,2936.0,3382.0,3724.0,4087.0,4183.0,4420.0,4572.0,4653.0,4819.0,4895.0,4677.0,4770.0,4880.0,4585.0,4368.0,4440.0,4449.0,4484.0,4167.0,4191.0,4044.0,2648.0,2356.0,2356.0,2356.0,2356.0,2356.0,2462.0,2474.0,2391.0,1090.0,1050.0,990.0,946.0,931.0,910.0,891.0,878.0,864.0,803.0,766.0,738.0,699.0,701.0,684.0,660.0,612.0,594.0,587.0,578.0,582.0,563.0,556.0,541.0,511.0,516.0,513.0,504.0,481.0,472.0,476.0,468.0,486.0,476.0,475.0,481.0,493.0,491.0,490.0,462.0,462.0,454.0,457.0,445.0,432.0,424.0,405.0,389.0,380.0,382.0,389.0,407.0,412.0,429.0,428.0,463.0,469.0,475.0,494.0,523.0,533.0,537.0,589.0,653.0,693.0,776.0,807.0,832.0,837.0,940.0,1057.0,1194.0,1293.0,1377.0,1692.0,1713.0,1962.0,2103.0,2308.0,2448.0,2662.0,3003.0,3161.0,3406.0,3551.0,3904.0,4221.0,4397.0,4681.0,4867.0,5229.0,5600.0,5825.0,5789.0
