country_region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,10.0,10.0,10.0,15.0,18.0,18.0,29.0,32.0,32.0,32.0,32.0,32.0,40.0,43.0,54.0,99.0,112.0,131.0,135.0,150.0,166.0,179.0,188.0,188.0,207.0,220.0,228.0,252.0,260.0,310.0,331.0,345.0,397.0,421.0,458.0,468.0,472.0,502.0,558.0,558.0,610.0,648.0,691.0,745.0,745.0,778.0,801.0,850.0,930.0,938.0,996.0,1040.0,1075.0,1097.0,1128.0,1138.0,1209.0,1259.0,1303.0,1328.0,1428.0,1450.0,1522.0,1585.0,1762.0,1830.0,1875.0,2171.0,2651.0,3013.0,3326.0,3928.0,4201.0,4725.0,5164.0,5508.0,6158.0,7660.0,7962.0,8292.0,8764.0,8841.0,9260.0,9869.0,10174.0,10306.0,10674.0,12604.0,13934.0,14131.0,15651.0,16041.0,17331.0,19164.0,19366.0,20103.0,20179.0,20700.0,20847.0,20882.0,21135.0,21216.0,21254.0,21454.0,22456.0,22824.0,23151.0,23273.0,23634.0,23741.0,23741.0,23924.0,24550.0,24602.0,24793.0,25180.0,25198.0,25358.0,25389.0
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,10.0,17.0,17.0,31.0,31.0,33.0,44.0,52.0,67.0,76.0,89.0,99.0,104.0,116.0,131.0,154.0,165.0,182.0,197.0,217.0,232.0,248.0,251.0,277.0,283.0,302.0,314.0,327.0,345.0,356.0,385.0,394.0,403.0,410.0,422.0,431.0,455.0,470.0,488.0,519.0,531.0,543.0,570.0,595.0,605.0,620.0,627.0,650.0,654.0,682.0,688.0,694.0,705.0,714.0,715.0,727.0,742.0,758.0,771.0,777.0,783.0,789.0,795.0,803.0,812.0,823.0,851.0,857.0,872.0,877.0,891.0,898.0,898.0,910.0,925.0,938.0,945.0,960.0,980.0,1001.0,1034.0,1039.0,1044.0,1055.0,1064.0,1077.0,1086.0,1114.0,1126.0,1134.0,1159.0,1195.0,1217.0,1250.0,1298.0,1346.0,1384.0,1438.0,1459.0,1516.0,1559.0,1592.0,1637.0,1657.0,1702.0,1744.0,1791.0,1832.0,1875.0,1881.0,1946.0,2014.0,2062.0,2091.0,2137.0,2214.0,2264.0,2311.0,2352.0,2397.0,2463.0,2523.0,2608.0,2637.0,2682.0,2745.0,2789.0,2830.0
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,32.0,32.0,32.0,65.0,65.0,24.0,65.0,29.0,29.0,31.0,31.0,37.0,46.0,61.0,61.0,62.0,90.0,90.0,90.0,113.0,237.0,347.0,405.0,460.0,591.0,601.0,691.0,708.0,783.0,846.0,894.0,1047.0,1099.0,1152.0,1204.0,1355.0,1408.0,1479.0,1508.0,1558.0,1651.0,1702.0,1779.0,1821.0,1872.0,1936.0,1998.0,2067.0,2197.0,2323.0,2467.0,2546.0,2678.0,2841.0,2998.0,3058.0,3158.0,3271.0,3409.0,3507.0,3625.0,3746.0,3968.0,4062.0,4256.0,4426.0,4784.0,4747.0,4918.0,5129.0,5277.0,5422.0,5549.0,5748.0,5894.0,6067.0,6218.0,6297.0,6453.0,6631.0,6717.0,6799.0,6951.0,7074.0,7255.0,7322.0,7420.0,7606.0,7735.0,7842.0,7943.0,8078.0,8196.0,8324.0,8422.0,8559.0,8674.0,8792.0,8920.0,9066.0,9202.0,9371.0,9674.0,9897.0,10040.0,10342.0,10832.0,11181.0,11492.0,11884.0,12094.0,12329.0,12637.0,13124.0,13124.0,13743.0,14019.0,14295.0,14792.0,15107.0,15430.0,15744.0,16051.0,16400.0,16646.0,16983.0,17369.0,17369.0,18076.0,18088.0,18837.0,19233.0,19592.0
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,16.0,21.0,26.0,31.0,39.0,52.0,58.0,71.0,71.0,128.0,128.0,128.0,169.0,169.0,191.0,205.0,235.0,248.0,282.0,309.0,333.0,344.0,344.0,344.0,385.0,398.0,423.0,468.0,468.0,472.0,493.0,499.0,514.0,521.0,526.0,537.0,545.0,550.0,550.0,568.0,576.0,596.0,604.0,615.0,617.0,624.0,628.0,639.0,639.0,652.0,653.0,653.0,663.0,676.0,676.0,681.0,684.0,692.0,694.0,698.0,733.0,735.0,738.0,741.0,741.0,744.0,751.0,757.0,759.0,780.0,781.0,781.0,781.0,789.0,789.0,791.0,792.0,792.0,792.0,792.0,796.0,797.0,797.0,797.0,799.0,799.0,799.0,799.0,799.0,799.0,800.0,800.0,800.0,800.0,800.0,800.0,802.0,802.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,804.0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,14.0,14.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,21.0,24.0,24.0,38.0,38.0,40.0,41.0,42.0,61.0,61.0,64.0,64.0,64.0,64.0,66.0,66.0,77.0,77.0,77.0,77.0,81.0,81.0,81.0,81.0,93.0,93.0,97.0,97.0,107.0,108.0,108.0,108.0,117.0,117.0,117.0,117.0,118.0,118.0,118.0,118.0,124.0,124.0,199.0,210.0,221.0,221.0,221.0,221.0,236.0,241.0,242.0,242.0,242.0,266.0,301.0
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,60.0,60.0,60.0,65.0,65.0,67.0
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,27.0,27.0,52.0,52.0,63.0,72.0,72.0,72.0,228.0,240.0,248.0,256.0,266.0,279.0,280.0,325.0,338.0,358.0,365.0,375.0,440.0,468.0,515.0,559.0,596.0,631.0,666.0,685.0,709.0,737.0,840.0,872.0,919.0,976.0,1030.0,1107.0,1140.0,1162.0,1192.0,1256.0,1292.0,1320.0,1354.0,1442.0,1472.0,1524.0,1601.0,1659.0,1728.0,1757.0,1837.0,1862.0,2266.0,2385.0,2497.0,2534.0,2569.0,2625.0,2872.0,2933.0,3032.0,3062.0,3530.0,3732.0,3999.0,4167.0,4349.0,4617.0,4788.0,4788.0,5336.0,5521.0,5709.0,5896.0,5993.0,6088.0,6180.0,6909.0,7305.0,7568.0,7991.0,8332.0,8743.0,9083.0,9564.0,9891.0,10174.0,10512.0,10721.0,11851.0,12206.0,12728.0,13153.0,13576.0,13816.0,14788.0,18416.0,19143.0,20134.0,21138.0,22028.0,23040.0,24186.0,25224.0,25930.0,27597.0,28531.0,30095.0,36502.0,38313.0,38984.0,41408.0,42694.0,44173.0,45467.0,47298.0,49120.0,49780.0,52607.0,54105.0,55913.0,58598.0,60531.0,62815.0,65447.0,68022.0,70518.0,72575.0,75083.0,77855.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,14.0,16.0,18.0,28.0,30.0,30.0,30.0,30.0,31.0,33.0,43.0,43.0,57.0,62.0,87.0,114.0,138.0,149.0,173.0,197.0,211.0,265.0,297.0,358.0,402.0,523.0,545.0,580.0,609.0,633.0,659.0,728.0,803.0,833.0,848.0,866.0,900.0,929.0,977.0,1010.0,1035.0,1071.0,1111.0,1135.0,1185.0,1218.0,1267.0,1325.0,1359.0,1430.0,1500.0,1572.0,1666.0,1791.0,1925.0,2019.0,2164.0,2419.0,2581.0,2874.0,2936.0,3064.0,3145.0,3220.0,3255.0,3287.0,3297.0,3317.0,3386.0,3402.0,3427.0,3454.0,3468.0,3513.0,3720.0,4014.0,4099.0,4451.0,5226.0,5466.0,5639.0,6081.0,6214.0,6276.0,6571.0,6814.0,7560.0,8266.0,8854.0,9002.0,9131.0,10144.0,10797.0,11335.0,12149.0,12911.0,13116.0,13297.0,14048.0,14563.0,15036.0,15484.0,15935.0,16140.0,16302.0,16907.0,17427.0,18000.0,18709.0,19419.0,19633.0,19865.0,20729.0,21348.0,21931.0,22492.0,23123.0,23294.0,23502.0,24206.0,24766.0,25244.0,25734.0,26243.0,26478.0,26665.0,27357.0,27824.0
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,26.0,26.0,26.0,92.0,119.0,119.0,119.0,172.0,194.0,244.0,244.0,257.0,358.0,422.0,520.0,649.0,701.0,757.0,1080.0,1080.0,1080.0,1472.0,1793.0,1806.0,1806.0,1806.0,2186.0,2186.0,2355.0,3808.0,4124.0,4124.0,4124.0,4124.0,4124.0,4124.0,4124.0,4223.0,5541.0,5588.0,5665.0,5715.0,5742.0,5775.0,5814.0,5849.0,5887.0,5975.0,6031.0,6078.0,6122.0,6141.0,6167.0,6213.0,6270.0,6297.0,6334.0,6359.0,6364.0,6392.0,6413.0,6431.0,6470.0,6478.0,6485.0,6508.0,6531.0,6552.0,6560.0,6579.0,6576.0,6605.0,6614.0,6618.0,6626.0,6636.0,6648.0,6683.0,6688.0,6703.0,6706.0,6720.0,6740.0,6759.0,6782.0,6803.0,6838.0,6851.0,6856.0,6861.0,6877.0,6878.0,6881.0,6896.0,6903.0,6915.0,6924.0,6931.0,6958.0,6960.0,6993.0,7007.0,7037.0,7040.0,7090.0,7130.0,7319.0,7399.0,7420.0,7455.0,7487.0,7573.0,7576.0,7733.0,7727.0,7769.0,7835.0,7928.0,8035.0,8114.0,8162.0,8274.0,8395.0,8398.0,8545.0,8775.0,8775.0,8938.0,9019.0,9174.0,9311.0,9617.0,9619.0
