date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-03,1.0,0.0,0.0,1.0,,,
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-07,8.0,0.0,0.0,8.0,6.0,0.0,0.0
2020-03-08,12.0,1.0,0.0,11.0,4.0,1.0,0.0
2020-03-09,12.0,1.0,0.0,11.0,0.0,0.0,0.0
2020-03-10,17.0,1.0,0.0,16.0,5.0,0.0,0.0
2020-03-11,19.0,1.0,0.0,18.0,2.0,0.0,0.0
2020-03-12,19.0,1.0,0.0,18.0,0.0,0.0,0.0
2020-03-13,31.0,2.0,0.0,29.0,12.0,1.0,0.0
2020-03-14,34.0,2.0,1.0,31.0,3.0,0.0,1.0
2020-03-15,45.0,2.0,1.0,42.0,11.0,0.0,0.0
2020-03-16,56.0,2.0,1.0,53.0,11.0,0.0,0.0
2020-03-17,68.0,2.0,3.0,63.0,12.0,0.0,2.0
2020-03-18,79.0,2.0,3.0,74.0,11.0,0.0,0.0
2020-03-19,97.0,3.0,3.0,91.0,18.0,1.0,0.0
2020-03-20,128.0,3.0,3.0,122.0,31.0,0.0,0.0
2020-03-21,158.0,4.0,3.0,151.0,30.0,1.0,0.0
2020-03-22,266.0,4.0,27.0,235.0,108.0,0.0,24.0
2020-03-23,266.0,4.0,27.0,235.0,0.0,0.0,0.0
2020-03-24,387.0,6.0,52.0,329.0,121.0,2.0,25.0
2020-03-25,387.0,8.0,52.0,327.0,0.0,2.0,0.0
2020-03-26,502.0,9.0,63.0,430.0,115.0,1.0,11.0
2020-03-27,589.0,13.0,72.0,504.0,87.0,4.0,9.0
2020-03-28,690.0,18.0,72.0,600.0,101.0,5.0,0.0
2020-03-29,745.0,19.0,72.0,654.0,55.0,1.0,0.0
2020-03-30,820.0,23.0,228.0,569.0,75.0,4.0,156.0
2020-03-31,1054.0,27.0,240.0,787.0,234.0,4.0,12.0
2020-04-01,1054.0,28.0,248.0,778.0,0.0,1.0,8.0
2020-04-02,1133.0,36.0,256.0,841.0,79.0,8.0,8.0
2020-04-03,1265.0,39.0,266.0,960.0,132.0,3.0,10.0
2020-04-04,1451.0,43.0,279.0,1129.0,186.0,4.0,13.0
2020-04-05,1451.0,44.0,280.0,1127.0,0.0,1.0,1.0
2020-04-06,1554.0,48.0,325.0,1181.0,103.0,4.0,45.0
2020-04-07,1628.0,56.0,338.0,1234.0,74.0,8.0,13.0
2020-04-08,1715.0,63.0,358.0,1294.0,87.0,7.0,20.0
2020-04-09,1795.0,72.0,365.0,1358.0,80.0,9.0,7.0
2020-04-10,1975.0,82.0,375.0,1518.0,180.0,10.0,10.0
2020-04-11,1975.0,83.0,440.0,1452.0,0.0,1.0,65.0
2020-04-12,2142.0,90.0,468.0,1584.0,167.0,7.0,28.0
2020-04-13,2208.0,97.0,515.0,1596.0,66.0,7.0,47.0
2020-04-14,2277.0,102.0,559.0,1616.0,69.0,5.0,44.0
2020-04-15,2443.0,111.0,596.0,1736.0,166.0,9.0,37.0
2020-04-16,2571.0,115.0,631.0,1825.0,128.0,4.0,35.0
2020-04-17,2669.0,123.0,666.0,1880.0,98.0,8.0,35.0
2020-04-18,2758.0,129.0,685.0,1944.0,89.0,6.0,19.0
2020-04-19,2839.0,132.0,709.0,1998.0,81.0,3.0,24.0
2020-04-20,2941.0,136.0,737.0,2068.0,102.0,4.0,28.0
2020-04-21,3031.0,147.0,840.0,2044.0,90.0,11.0,103.0
2020-04-22,3144.0,152.0,872.0,2120.0,113.0,5.0,32.0
2020-04-23,3435.0,165.0,919.0,2351.0,291.0,13.0,47.0
2020-04-24,3607.0,176.0,976.0,2455.0,172.0,11.0,57.0
2020-04-25,3780.0,185.0,1030.0,2565.0,173.0,9.0,54.0
2020-04-26,3892.0,192.0,1107.0,2593.0,112.0,7.0,77.0
2020-04-27,4003.0,197.0,1140.0,2666.0,111.0,5.0,33.0
2020-04-28,4127.0,207.0,1162.0,2758.0,124.0,10.0,22.0
2020-04-29,4285.0,214.0,1192.0,2879.0,158.0,7.0,30.0
2020-04-30,4428.0,218.0,1256.0,2954.0,143.0,4.0,64.0
2020-05-01,4532.0,225.0,1292.0,3015.0,104.0,7.0,36.0
2020-05-02,4681.0,237.0,1320.0,3124.0,149.0,12.0,28.0
2020-05-03,4783.0,246.0,1354.0,3183.0,102.0,9.0,34.0
2020-05-04,4887.0,260.0,1442.0,3185.0,104.0,14.0,88.0
2020-05-05,5020.0,264.0,1472.0,3284.0,133.0,4.0,30.0
2020-05-06,5208.0,273.0,1524.0,3411.0,188.0,9.0,52.0
2020-05-07,5371.0,282.0,1601.0,3488.0,163.0,9.0,77.0
2020-05-08,5611.0,293.0,1659.0,3659.0,240.0,11.0,58.0
2020-05-09,5776.0,300.0,1728.0,3748.0,165.0,7.0,69.0
2020-05-10,6034.0,305.0,1757.0,3972.0,258.0,5.0,29.0
2020-05-11,6278.0,314.0,1837.0,4127.0,244.0,9.0,80.0
2020-05-12,6563.0,319.0,1862.0,4382.0,285.0,5.0,25.0
2020-05-13,6879.0,329.0,2266.0,4284.0,316.0,10.0,404.0
2020-05-14,7134.0,353.0,2385.0,4396.0,255.0,24.0,119.0
2020-05-15,7479.0,356.0,2497.0,4626.0,345.0,3.0,112.0
2020-05-16,7805.0,363.0,2534.0,4908.0,326.0,7.0,37.0
2020-05-17,8068.0,373.0,2569.0,5126.0,263.0,10.0,35.0
2020-05-18,8371.0,382.0,2625.0,5364.0,303.0,9.0,56.0
2020-05-19,8809.0,393.0,2872.0,5544.0,438.0,11.0,247.0
2020-05-20,9283.0,403.0,2933.0,5947.0,474.0,10.0,61.0
2020-05-21,9931.0,416.0,3032.0,6483.0,648.0,13.0,99.0
2020-05-22,10649.0,433.0,3062.0,7154.0,718.0,17.0,30.0
2020-05-23,11353.0,445.0,3530.0,7378.0,704.0,12.0,468.0
2020-05-24,12076.0,452.0,3732.0,7892.0,723.0,7.0,202.0
2020-05-25,12628.0,467.0,3999.0,8162.0,552.0,15.0,267.0
2020-05-26,13228.0,484.0,4167.0,8577.0,600.0,17.0,168.0
2020-05-27,13933.0,500.0,4349.0,9084.0,705.0,16.0,182.0
2020-05-28,14702.0,508.0,4617.0,9577.0,769.0,8.0,268.0
2020-05-29,15419.0,520.0,4788.0,10111.0,717.0,12.0,171.0
2020-05-30,16214.0,528.0,4788.0,10898.0,795.0,8.0,0.0
2020-05-31,16851.0,539.0,5336.0,10976.0,637.0,11.0,548.0
2020-06-01,17415.0,556.0,5521.0,11338.0,564.0,17.0,185.0
2020-06-02,18319.0,569.0,5709.0,12041.0,904.0,13.0,188.0
2020-06-03,19268.0,583.0,5896.0,12789.0,949.0,14.0,187.0
2020-06-04,20197.0,608.0,5993.0,13596.0,929.0,25.0,97.0
2020-06-05,21037.0,632.0,6088.0,14317.0,840.0,24.0,95.0
2020-06-06,22020.0,648.0,6180.0,15192.0,983.0,16.0,92.0
2020-06-07,22794.0,664.0,6909.0,15221.0,774.0,16.0,729.0
2020-06-08,23620.0,693.0,7305.0,15622.0,826.0,29.0,396.0
2020-06-09,24761.0,717.0,7568.0,16476.0,1141.0,24.0,263.0
2020-06-10,25987.0,735.0,7991.0,17261.0,1226.0,18.0,423.0
2020-06-11,27373.0,765.0,8332.0,18276.0,1386.0,30.0,341.0
2020-06-12,28764.0,785.0,8743.0,19236.0,1391.0,20.0,411.0
2020-06-13,30295.0,815.0,9083.0,20397.0,1531.0,30.0,340.0
2020-06-14,31577.0,833.0,9564.0,21180.0,1282.0,18.0,481.0
2020-06-15,32785.0,854.0,9891.0,22040.0,1208.0,21.0,327.0
2020-06-16,34159.0,878.0,10174.0,23107.0,1374.0,24.0,283.0
2020-06-17,35552.0,913.0,10512.0,24127.0,1393.0,35.0,338.0
2020-06-18,37510.0,948.0,10721.0,25841.0,1958.0,35.0,209.0
2020-06-19,39570.0,979.0,11851.0,26740.0,2060.0,31.0,1130.0
2020-06-20,41204.0,992.0,12206.0,28006.0,1634.0,13.0,355.0
2020-06-21,42785.0,1011.0,12728.0,29046.0,1581.0,19.0,522.0
2020-06-22,44931.0,1043.0,13153.0,30735.0,2146.0,32.0,425.0
2020-06-23,47203.0,1078.0,13576.0,32549.0,2272.0,35.0,423.0
2020-06-24,49851.0,1116.0,13816.0,34919.0,2648.0,38.0,240.0
2020-06-25,52457.0,1150.0,14788.0,36519.0,2606.0,34.0,972.0
2020-06-26,55343.0,1184.0,18416.0,35743.0,2886.0,34.0,3628.0
2020-06-27,57744.0,1207.0,19143.0,37394.0,2401.0,23.0,727.0
2020-06-28,59933.0,1232.0,20134.0,38567.0,2189.0,25.0,991.0
2020-06-29,62268.0,1280.0,21138.0,39850.0,2335.0,48.0,1004.0
2020-06-30,64530.0,1307.0,22028.0,41195.0,2262.0,27.0,890.0
2020-07-01,67197.0,1351.0,23040.0,42806.0,2667.0,44.0,1012.0
2020-07-02,69941.0,1385.0,24186.0,44370.0,2744.0,34.0,1146.0
2020-07-03,72786.0,1437.0,25224.0,46125.0,2845.0,52.0,1038.0
2020-07-04,75376.0,1481.0,25930.0,47965.0,2590.0,44.0,706.0
2020-07-05,77815.0,1507.0,27597.0,48711.0,2439.0,26.0,1667.0
2020-07-06,80447.0,1582.0,28531.0,50334.0,2632.0,75.0,934.0
2020-07-07,83426.0,1644.0,30095.0,51687.0,2979.0,62.0,1564.0
2020-07-08,87030.0,1694.0,36502.0,48834.0,3604.0,50.0,6407.0
2020-07-09,90693.0,1720.0,38313.0,50660.0,3663.0,26.0,1811.0
2020-07-10,94060.0,1774.0,38984.0,53302.0,3367.0,54.0,671.0
2020-07-11,97509.0,1810.0,41408.0,54291.0,3449.0,36.0,2424.0
2020-07-12,100166.0,1845.0,42694.0,55627.0,2657.0,35.0,1286.0
2020-07-13,103265.0,1903.0,44173.0,57189.0,3099.0,58.0,1479.0
2020-07-14,106910.0,1968.0,45467.0,59475.0,3645.0,65.0,1294.0
2020-07-15,111146.0,2050.0,47298.0,61798.0,4236.0,82.0,1831.0
2020-07-16,114783.0,2112.0,49120.0,63551.0,3637.0,62.0,1822.0
2020-07-17,119301.0,2178.0,49780.0,67343.0,4518.0,66.0,660.0
2020-07-18,122524.0,2220.0,52607.0,67697.0,3223.0,42.0,2827.0
2020-07-19,126755.0,2260.0,54105.0,70390.0,4231.0,40.0,1498.0
2020-07-20,130774.0,2373.0,55913.0,72488.0,4019.0,113.0,1808.0
2020-07-21,136118.0,2490.0,58598.0,75030.0,5344.0,117.0,2685.0
2020-07-22,141900.0,2588.0,60531.0,78781.0,5782.0,98.0,1933.0
2020-07-23,148027.0,2702.0,62815.0,82510.0,6127.0,114.0,2284.0
2020-07-24,153520.0,2807.0,65447.0,85266.0,5493.0,105.0,2632.0
2020-07-25,158334.0,2893.0,68022.0,87419.0,4814.0,86.0,2575.0
2020-07-26,162526.0,2939.0,70518.0,89069.0,4192.0,46.0,2496.0
2020-07-27,167416.0,3059.0,72575.0,91782.0,4890.0,120.0,2057.0
2020-07-28,173355.0,3179.0,75083.0,95093.0,5939.0,120.0,2508.0
2020-07-29,178996.0,3288.0,77855.0,97853.0,5641.0,109.0,2772.0
2020-07-30,185373.0,3441.0,80596.0,101336.0,6377.0,153.0,2741.0
2020-07-31,191302.0,3543.0,83780.0,103979.0,5929.0,102.0,3184.0
2020-08-01,196543.0,3596.0,86499.0,106448.0,5241.0,53.0,2719.0
2020-08-02,201919.0,3648.0,89026.0,109245.0,5376.0,52.0,2527.0
