date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-23,0.0,0.0,0.0,0.0,,,
2020-01-25,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2020-01-26,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-28,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,9.0,0.0,2.0,0.0,4.0,0.0,2.0
2020-01-31,9.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-01,12.0,0.0,2.0,10.0,3.0,0.0,0.0
2020-02-02,12.0,0.0,2.0,10.0,0.0,0.0,0.0
2020-02-03,12.0,0.0,2.0,10.0,0.0,0.0,0.0
2020-02-04,13.0,0.0,2.0,11.0,1.0,0.0,0.0
2020-02-05,13.0,0.0,2.0,11.0,0.0,0.0,0.0
2020-02-06,14.0,0.0,2.0,12.0,1.0,0.0,0.0
2020-02-07,15.0,0.0,2.0,13.0,1.0,0.0,0.0
2020-02-08,15.0,0.0,2.0,13.0,0.0,0.0,0.0
2020-02-09,15.0,0.0,2.0,13.0,0.0,0.0,0.0
2020-02-10,15.0,0.0,2.0,13.0,0.0,0.0,0.0
2020-02-11,15.0,0.0,2.0,13.0,0.0,0.0,0.0
2020-02-12,15.0,0.0,2.0,13.0,0.0,0.0,0.0
2020-02-13,15.0,0.0,8.0,7.0,0.0,0.0,6.0
2020-02-14,15.0,0.0,8.0,7.0,0.0,0.0,0.0
2020-02-15,15.0,0.0,8.0,7.0,0.0,0.0,0.0
2020-02-16,15.0,0.0,8.0,7.0,0.0,0.0,0.0
2020-02-17,15.0,0.0,10.0,5.0,0.0,0.0,2.0
2020-02-18,15.0,0.0,10.0,5.0,0.0,0.0,0.0
2020-02-19,15.0,0.0,10.0,5.0,0.0,0.0,0.0
2020-02-20,15.0,0.0,10.0,5.0,0.0,0.0,0.0
2020-02-21,19.0,0.0,11.0,8.0,4.0,0.0,1.0
2020-02-22,22.0,0.0,11.0,11.0,3.0,0.0,0.0
2020-02-23,22.0,0.0,11.0,11.0,0.0,0.0,0.0
2020-02-24,22.0,0.0,11.0,11.0,0.0,0.0,0.0
2020-02-25,22.0,0.0,11.0,11.0,0.0,0.0,0.0
2020-02-26,22.0,0.0,11.0,11.0,0.0,0.0,0.0
2020-02-27,23.0,0.0,11.0,12.0,1.0,0.0,0.0
2020-02-28,23.0,0.0,11.0,12.0,0.0,0.0,0.0
2020-02-29,25.0,0.0,11.0,14.0,2.0,0.0,0.0
2020-03-01,27.0,1.0,11.0,15.0,2.0,1.0,0.0
2020-03-02,30.0,1.0,11.0,18.0,3.0,0.0,0.0
2020-03-03,39.0,1.0,11.0,27.0,9.0,0.0,0.0
2020-03-04,52.0,2.0,11.0,39.0,13.0,1.0,0.0
2020-03-05,55.0,2.0,21.0,32.0,3.0,0.0,10.0
2020-03-06,60.0,2.0,21.0,37.0,5.0,0.0,0.0
2020-03-07,63.0,2.0,21.0,40.0,3.0,0.0,0.0
2020-03-08,76.0,4.0,21.0,51.0,13.0,2.0,0.0
2020-03-09,91.0,4.0,21.0,66.0,15.0,0.0,0.0
2020-03-10,107.0,3.0,21.0,83.0,16.0,-1.0,0.0
2020-03-11,128.0,3.0,21.0,104.0,21.0,0.0,0.0
2020-03-12,128.0,3.0,21.0,104.0,0.0,0.0,0.0
2020-03-13,200.0,3.0,23.0,174.0,72.0,0.0,2.0
2020-03-14,250.0,3.0,23.0,224.0,50.0,0.0,0.0
2020-03-15,297.0,3.0,23.0,271.0,47.0,0.0,0.0
2020-03-16,377.0,3.0,23.0,351.0,80.0,0.0,0.0
2020-03-17,452.0,5.0,23.0,424.0,75.0,2.0,0.0
2020-03-18,568.0,6.0,23.0,539.0,116.0,1.0,0.0
2020-03-19,681.0,6.0,26.0,649.0,113.0,0.0,3.0
2020-03-20,791.0,7.0,26.0,758.0,110.0,1.0,0.0
2020-03-21,1071.0,7.0,26.0,1038.0,280.0,0.0,0.0
2020-03-22,1490.0,7.0,92.0,1391.0,419.0,0.0,66.0
2020-03-23,1682.0,7.0,119.0,1556.0,192.0,0.0,27.0
2020-03-24,2044.0,8.0,119.0,1917.0,362.0,1.0,0.0
2020-03-25,2364.0,8.0,119.0,2237.0,320.0,0.0,0.0
2020-03-26,2810.0,13.0,172.0,2625.0,446.0,5.0,53.0
2020-03-27,3143.0,13.0,194.0,2936.0,333.0,0.0,22.0
2020-03-28,3640.0,14.0,244.0,3382.0,497.0,1.0,50.0
2020-03-29,3984.0,16.0,244.0,3724.0,344.0,2.0,0.0
2020-03-30,4361.0,17.0,257.0,4087.0,377.0,1.0,13.0
2020-03-31,4559.0,18.0,358.0,4183.0,198.0,1.0,101.0
2020-04-01,4862.0,20.0,422.0,4420.0,303.0,2.0,64.0
2020-04-02,5116.0,24.0,520.0,4572.0,254.0,4.0,98.0
2020-04-03,5330.0,28.0,649.0,4653.0,214.0,4.0,129.0
2020-04-04,5550.0,30.0,701.0,4819.0,220.0,2.0,52.0
2020-04-05,5687.0,35.0,757.0,4895.0,137.0,5.0,56.0
2020-04-06,5797.0,40.0,1080.0,4677.0,110.0,5.0,323.0
2020-04-07,5895.0,45.0,1080.0,4770.0,98.0,5.0,0.0
2020-04-08,6010.0,50.0,1080.0,4880.0,115.0,5.0,0.0
2020-04-09,6108.0,51.0,1472.0,4585.0,98.0,1.0,392.0
2020-04-10,6215.0,54.0,1793.0,4368.0,107.0,3.0,321.0
2020-04-11,6303.0,57.0,1806.0,4440.0,88.0,3.0,13.0
2020-04-12,6315.0,60.0,1806.0,4449.0,12.0,3.0,0.0
2020-04-13,6351.0,61.0,1806.0,4484.0,36.0,1.0,0.0
2020-04-14,6415.0,62.0,2186.0,4167.0,64.0,1.0,380.0
2020-04-15,6440.0,63.0,2186.0,4191.0,25.0,1.0,0.0
2020-04-16,6462.0,63.0,2355.0,4044.0,22.0,0.0,169.0
2020-04-17,6522.0,66.0,3808.0,2648.0,60.0,3.0,1453.0
2020-04-18,6547.0,67.0,4124.0,2356.0,25.0,1.0,316.0
2020-04-19,6547.0,67.0,4124.0,2356.0,0.0,0.0,0.0
2020-04-20,6547.0,67.0,4124.0,2356.0,0.0,0.0,0.0
2020-04-21,6547.0,67.0,4124.0,2356.0,0.0,0.0,0.0
2020-04-22,6547.0,67.0,4124.0,2356.0,0.0,0.0,0.0
2020-04-23,6661.0,75.0,4124.0,2462.0,114.0,8.0,0.0
2020-04-24,6677.0,79.0,4124.0,2474.0,16.0,4.0,0.0
2020-04-25,6694.0,80.0,4223.0,2391.0,17.0,1.0,99.0
2020-04-26,6714.0,83.0,5541.0,1090.0,20.0,3.0,1318.0
2020-04-27,6721.0,83.0,5588.0,1050.0,7.0,0.0,47.0
2020-04-28,6744.0,89.0,5665.0,990.0,23.0,6.0,77.0
2020-04-29,6752.0,91.0,5715.0,946.0,8.0,2.0,50.0
2020-04-30,6766.0,93.0,5742.0,931.0,14.0,2.0,27.0
2020-05-01,6778.0,93.0,5775.0,910.0,12.0,0.0,33.0
2020-05-02,6799.0,94.0,5814.0,891.0,21.0,1.0,39.0
2020-05-03,6822.0,95.0,5849.0,878.0,23.0,1.0,35.0
2020-05-04,6847.0,96.0,5887.0,864.0,25.0,1.0,38.0
2020-05-05,6875.0,97.0,5975.0,803.0,28.0,1.0,88.0
2020-05-06,6894.0,97.0,6031.0,766.0,19.0,0.0,56.0
2020-05-07,6913.0,97.0,6078.0,738.0,19.0,0.0,47.0
2020-05-08,6918.0,97.0,6122.0,699.0,5.0,0.0,44.0
2020-05-09,6939.0,97.0,6141.0,701.0,21.0,0.0,19.0
2020-05-10,6948.0,97.0,6167.0,684.0,9.0,0.0,26.0
2020-05-11,6970.0,97.0,6213.0,660.0,22.0,0.0,46.0
2020-05-12,6980.0,98.0,6270.0,612.0,10.0,1.0,57.0
2020-05-13,6989.0,98.0,6297.0,594.0,9.0,0.0,27.0
2020-05-14,7019.0,98.0,6334.0,587.0,30.0,0.0,37.0
2020-05-15,7035.0,98.0,6359.0,578.0,16.0,0.0,25.0
2020-05-16,7044.0,98.0,6364.0,582.0,9.0,0.0,5.0
2020-05-17,7054.0,99.0,6392.0,563.0,10.0,1.0,28.0
2020-05-18,7068.0,99.0,6413.0,556.0,14.0,0.0,21.0
2020-05-19,7072.0,100.0,6431.0,541.0,4.0,1.0,18.0
2020-05-20,7081.0,100.0,6470.0,511.0,9.0,0.0,39.0
2020-05-21,7095.0,101.0,6478.0,516.0,14.0,1.0,8.0
2020-05-22,7099.0,101.0,6485.0,513.0,4.0,0.0,7.0
2020-05-23,7114.0,102.0,6508.0,504.0,15.0,1.0,23.0
2020-05-24,7114.0,102.0,6531.0,481.0,0.0,0.0,23.0
2020-05-25,7126.0,102.0,6552.0,472.0,12.0,0.0,21.0
2020-05-26,7139.0,103.0,6560.0,476.0,13.0,1.0,8.0
2020-05-27,7150.0,103.0,6579.0,468.0,11.0,0.0,19.0
2020-05-28,7165.0,103.0,6576.0,486.0,15.0,0.0,-3.0
2020-05-29,7184.0,103.0,6605.0,476.0,19.0,0.0,29.0
2020-05-30,7192.0,103.0,6614.0,475.0,8.0,0.0,9.0
2020-05-31,7202.0,103.0,6618.0,481.0,10.0,0.0,4.0
2020-06-01,7221.0,102.0,6626.0,493.0,19.0,-1.0,8.0
2020-06-02,7229.0,102.0,6636.0,491.0,8.0,0.0,10.0
2020-06-03,7240.0,102.0,6648.0,490.0,11.0,0.0,12.0
2020-06-04,7247.0,102.0,6683.0,462.0,7.0,0.0,35.0
2020-06-05,7252.0,102.0,6688.0,462.0,5.0,0.0,5.0
2020-06-06,7259.0,102.0,6703.0,454.0,7.0,0.0,15.0
2020-06-07,7265.0,102.0,6706.0,457.0,6.0,0.0,3.0
2020-06-08,7267.0,102.0,6720.0,445.0,2.0,0.0,14.0
2020-06-09,7274.0,102.0,6740.0,432.0,7.0,0.0,20.0
2020-06-10,7285.0,102.0,6759.0,424.0,11.0,0.0,19.0
2020-06-11,7289.0,102.0,6782.0,405.0,4.0,0.0,23.0
2020-06-12,7294.0,102.0,6803.0,389.0,5.0,0.0,21.0
2020-06-13,7320.0,102.0,6838.0,380.0,26.0,0.0,35.0
2020-06-14,7335.0,102.0,6851.0,382.0,15.0,0.0,13.0
2020-06-15,7347.0,102.0,6856.0,389.0,12.0,0.0,5.0
2020-06-16,7370.0,102.0,6861.0,407.0,23.0,0.0,5.0
2020-06-17,7391.0,102.0,6877.0,412.0,21.0,0.0,16.0
2020-06-18,7409.0,102.0,6878.0,429.0,18.0,0.0,1.0
2020-06-19,7411.0,102.0,6881.0,428.0,2.0,0.0,3.0
2020-06-20,7461.0,102.0,6896.0,463.0,50.0,0.0,15.0
2020-06-21,7474.0,102.0,6903.0,469.0,13.0,0.0,7.0
2020-06-22,7492.0,102.0,6915.0,475.0,18.0,0.0,12.0
2020-06-23,7521.0,103.0,6924.0,494.0,29.0,1.0,9.0
2020-06-24,7558.0,104.0,6931.0,523.0,37.0,1.0,7.0
2020-06-25,7595.0,104.0,6958.0,533.0,37.0,0.0,27.0
2020-06-26,7601.0,104.0,6960.0,537.0,6.0,0.0,2.0
2020-06-27,7686.0,104.0,6993.0,589.0,85.0,0.0,33.0
2020-06-28,7764.0,104.0,7007.0,653.0,78.0,0.0,14.0
2020-06-29,7834.0,104.0,7037.0,693.0,70.0,0.0,30.0
2020-06-30,7920.0,104.0,7040.0,776.0,86.0,0.0,3.0
2020-07-01,8001.0,104.0,7090.0,807.0,81.0,0.0,50.0
2020-07-02,8066.0,104.0,7130.0,832.0,65.0,0.0,40.0
2020-07-03,8260.0,104.0,7319.0,837.0,194.0,0.0,189.0
2020-07-04,8443.0,104.0,7399.0,940.0,183.0,0.0,80.0
2020-07-05,8583.0,106.0,7420.0,1057.0,140.0,2.0,21.0
2020-07-06,8755.0,106.0,7455.0,1194.0,172.0,0.0,35.0
2020-07-07,8886.0,106.0,7487.0,1293.0,131.0,0.0,32.0
2020-07-08,9056.0,106.0,7573.0,1377.0,170.0,0.0,86.0
2020-07-09,9374.0,106.0,7576.0,1692.0,318.0,0.0,3.0
2020-07-10,9553.0,107.0,7733.0,1713.0,179.0,1.0,157.0
2020-07-11,9797.0,108.0,7727.0,1962.0,244.0,1.0,-6.0
2020-07-12,9980.0,108.0,7769.0,2103.0,183.0,0.0,42.0
2020-07-13,10251.0,108.0,7835.0,2308.0,271.0,0.0,66.0
2020-07-14,10487.0,111.0,7928.0,2448.0,236.0,3.0,93.0
2020-07-15,10810.0,113.0,8035.0,2662.0,323.0,2.0,107.0
2020-07-16,11233.0,116.0,8114.0,3003.0,423.0,3.0,79.0
2020-07-17,11441.0,118.0,8162.0,3161.0,208.0,2.0,48.0
2020-07-18,11802.0,122.0,8274.0,3406.0,361.0,4.0,112.0
2020-07-19,12069.0,123.0,8395.0,3551.0,267.0,1.0,121.0
2020-07-20,12428.0,126.0,8398.0,3904.0,359.0,3.0,3.0
2020-07-21,12894.0,128.0,8545.0,4221.0,466.0,2.0,147.0
2020-07-22,13305.0,133.0,8775.0,4397.0,411.0,5.0,230.0
2020-07-23,13595.0,139.0,8775.0,4681.0,290.0,6.0,0.0
2020-07-24,13950.0,145.0,8938.0,4867.0,355.0,6.0,163.0
2020-07-25,14403.0,155.0,9019.0,5229.0,453.0,10.0,81.0
2020-07-26,14935.0,161.0,9174.0,5600.0,532.0,6.0,155.0
2020-07-27,15303.0,167.0,9311.0,5825.0,368.0,6.0,137.0
2020-07-28,15582.0,176.0,9617.0,5789.0,279.0,9.0,306.0
2020-07-29,16298.0,189.0,9619.0,6490.0,716.0,13.0,2.0
2020-07-30,16903.0,196.0,9759.0,6948.0,605.0,7.0,140.0
2020-07-31,17280.0,201.0,9983.0,7096.0,377.0,5.0,224.0
2020-08-01,17895.0,208.0,10204.0,7483.0,615.0,7.0,221.0
2020-08-02,18318.0,221.0,10622.0,7475.0,423.0,13.0,418.0
2020-08-03,18730.0,232.0,10623.0,7875.0,412.0,11.0,1.0
2020-08-04,19445.0,247.0,10799.0,8399.0,715.0,15.0,176.0
2020-08-05,19890.0,255.0,10941.0,8694.0,445.0,8.0,142.0
2020-08-06,20272.0,266.0,11119.0,8887.0,382.0,11.0,178.0
2020-08-07,20698.0,278.0,11560.0,8860.0,426.0,12.0,441.0
2020-08-08,21084.0,295.0,11874.0,8915.0,386.0,17.0,314.0
2020-08-09,21397.0,313.0,11876.0,9208.0,313.0,18.0,2.0
2020-08-10,21713.0,331.0,12144.0,9238.0,316.0,18.0,268.0
2020-08-11,22127.0,352.0,12395.0,9380.0,414.0,21.0,251.0
2020-08-12,22358.0,361.0,12779.0,9218.0,231.0,9.0,384.0
2020-08-13,22742.0,375.0,13001.0,9366.0,384.0,14.0,222.0
2020-08-14,23035.0,379.0,13632.0,9024.0,293.0,4.0,631.0
2020-08-15,23287.0,396.0,13635.0,9256.0,252.0,17.0,3.0
2020-08-16,23558.0,421.0,14085.0,9052.0,271.0,25.0,450.0
2020-08-17,23773.0,438.0,14538.0,8797.0,215.0,17.0,453.0
2020-08-18,23989.0,450.0,14929.0,8610.0,216.0,12.0,391.0
2020-08-19,24236.0,463.0,15249.0,8524.0,247.0,13.0,320.0
2020-08-20,24407.0,472.0,17854.0,6081.0,171.0,9.0,2605.0
2020-08-21,24602.0,485.0,18460.0,5657.0,195.0,13.0,606.0
2020-08-22,24811.0,502.0,18760.0,5549.0,209.0,17.0,300.0
2020-08-23,24915.0,517.0,19233.0,5165.0,104.0,15.0,473.0
2020-08-24,25053.0,525.0,19603.0,4925.0,138.0,8.0,370.0
2020-08-25,25204.0,549.0,20100.0,4555.0,151.0,24.0,497.0
2020-08-26,25322.0,572.0,20101.0,4649.0,118.0,23.0,1.0
2020-08-27,25448.0,583.0,20367.0,4498.0,126.0,11.0,266.0
2020-08-28,25547.0,600.0,20633.0,4314.0,99.0,17.0,266.0
2020-08-29,25670.0,611.0,20860.0,4199.0,123.0,11.0,227.0
2020-08-30,25746.0,652.0,21116.0,3978.0,76.0,41.0,256.0
2020-08-31,25819.0,657.0,21350.0,3812.0,73.0,5.0,234.0
2020-09-01,25923.0,663.0,21689.0,3571.0,104.0,6.0,339.0
2020-09-02,26049.0,678.0,21692.0,3679.0,126.0,15.0,3.0
2020-09-03,26136.0,737.0,21914.0,3485.0,87.0,59.0,222.0
2020-09-04,26207.0,748.0,22172.0,3287.0,71.0,11.0,258.0
2020-09-05,26278.0,753.0,22330.0,3195.0,71.0,5.0,158.0
2020-09-06,26321.0,762.0,22467.0,3092.0,43.0,9.0,137.0
2020-09-07,26373.0,770.0,22604.0,2999.0,52.0,8.0,137.0
2020-09-08,26465.0,781.0,22725.0,2959.0,92.0,11.0,121.0
2020-09-09,26524.0,788.0,22863.0,2873.0,59.0,7.0,138.0
2020-09-10,26564.0,797.0,23039.0,2728.0,40.0,9.0,176.0
2020-09-11,26607.0,803.0,23329.0,2475.0,43.0,6.0,290.0
2020-09-12,26651.0,810.0,23340.0,2501.0,44.0,7.0,11.0
2020-09-13,26692.0,816.0,23465.0,2411.0,41.0,6.0,125.0
2020-09-14,26739.0,816.0,23579.0,2344.0,47.0,0.0,114.0
2020-09-15,26778.0,824.0,23652.0,2302.0,39.0,8.0,73.0
2020-09-16,26813.0,832.0,23792.0,2189.0,35.0,8.0,140.0
2020-09-17,26861.0,837.0,23854.0,2170.0,48.0,5.0,62.0
2020-09-18,26885.0,844.0,23861.0,2180.0,24.0,7.0,7.0
2020-09-19,26898.0,849.0,23968.0,2081.0,13.0,5.0,107.0
2020-09-20,26912.0,851.0,24063.0,1998.0,14.0,2.0,95.0
2020-09-21,26942.0,854.0,24157.0,1931.0,30.0,3.0,94.0
2020-09-22,26972.0,859.0,24331.0,1782.0,30.0,5.0,174.0
2020-09-23,26980.0,861.0,24448.0,1671.0,8.0,2.0,117.0
2020-09-24,27000.0,869.0,24523.0,1608.0,20.0,8.0,75.0
2020-09-25,27016.0,870.0,24523.0,1623.0,16.0,1.0,0.0
2020-09-26,27040.0,872.0,24573.0,1595.0,24.0,2.0,50.0
2020-09-27,27044.0,875.0,24633.0,1536.0,4.0,3.0,60.0
2020-09-28,27055.0,882.0,24681.0,1492.0,11.0,7.0,48.0
2020-09-29,27078.0,886.0,24752.0,1440.0,23.0,4.0,71.0
2020-09-30,27096.0,888.0,24784.0,1424.0,18.0,2.0,32.0
2020-10-01,27109.0,890.0,24788.0,1431.0,13.0,2.0,4.0
2020-10-02,27121.0,893.0,24850.0,1378.0,12.0,3.0,62.0
2020-10-03,27135.0,894.0,24866.0,1375.0,14.0,1.0,16.0
2020-10-04,27148.0,894.0,24890.0,1364.0,13.0,0.0,24.0
2020-10-05,27173.0,895.0,24892.0,1386.0,25.0,1.0,2.0
2020-10-06,27181.0,897.0,24917.0,1367.0,8.0,2.0,25.0
2020-10-07,27206.0,897.0,24939.0,1370.0,25.0,0.0,22.0
2020-10-08,27226.0,897.0,24969.0,1360.0,20.0,0.0,30.0
2020-10-09,27244.0,897.0,24987.0,1360.0,18.0,0.0,18.0
2020-10-10,27263.0,898.0,24987.0,1378.0,19.0,1.0,0.0
2020-10-11,27285.0,898.0,25000.0,1387.0,22.0,0.0,13.0
2020-10-12,27310.0,899.0,25029.0,1382.0,25.0,1.0,29.0
2020-10-13,27337.0,904.0,25046.0,1387.0,27.0,5.0,17.0
2020-10-14,27357.0,904.0,25047.0,1406.0,20.0,0.0,1.0
2020-10-15,27371.0,904.0,25062.0,1405.0,14.0,0.0,15.0
2020-10-16,27378.0,904.0,25097.0,1377.0,7.0,0.0,35.0
2020-10-17,27390.0,904.0,25098.0,1388.0,12.0,0.0,1.0
2020-10-18,27399.0,905.0,25108.0,1386.0,9.0,1.0,10.0
2020-10-19,27405.0,905.0,25112.0,1388.0,6.0,0.0,4.0
2020-10-20,27443.0,905.0,25125.0,1413.0,38.0,0.0,13.0
2020-10-21,27458.0,905.0,25148.0,1405.0,15.0,0.0,23.0
2020-10-22,27476.0,905.0,25161.0,1410.0,18.0,0.0,13.0
2020-10-23,27495.0,905.0,25173.0,1417.0,19.0,0.0,12.0
2020-10-24,27513.0,905.0,25179.0,1429.0,18.0,0.0,6.0
2020-10-25,27525.0,905.0,25196.0,1424.0,12.0,0.0,17.0
2020-10-26,27539.0,905.0,25212.0,1422.0,14.0,0.0,16.0
2020-10-27,27553.0,907.0,25219.0,1427.0,14.0,2.0,7.0
2020-10-28,27565.0,907.0,25231.0,1427.0,12.0,0.0,12.0
2020-10-29,27579.0,907.0,25239.0,1433.0,14.0,0.0,8.0
2020-10-30,27585.0,907.0,25321.0,1357.0,6.0,0.0,82.0
2020-10-31,27595.0,907.0,25336.0,1352.0,10.0,0.0,15.0
2020-11-01,27601.0,907.0,25352.0,1342.0,6.0,0.0,16.0
2020-11-02,27610.0,907.0,25384.0,1319.0,9.0,0.0,32.0
2020-11-03,27622.0,907.0,25407.0,1308.0,12.0,0.0,23.0
2020-11-04,27630.0,907.0,25418.0,1305.0,8.0,0.0,11.0
2020-11-05,27644.0,907.0,25427.0,1310.0,14.0,0.0,9.0
2020-11-06,27652.0,907.0,25440.0,1305.0,8.0,0.0,13.0
2020-11-07,27658.0,907.0,25451.0,1300.0,6.0,0.0,11.0
2020-11-08,27665.0,907.0,25451.0,1307.0,7.0,0.0,0.0
2020-11-09,27669.0,907.0,25454.0,1308.0,4.0,0.0,3.0
2020-11-10,27671.0,907.0,25454.0,1310.0,2.0,0.0,0.0
2020-11-11,27675.0,907.0,25455.0,1313.0,4.0,0.0,1.0
2020-11-12,27676.0,907.0,25459.0,1310.0,1.0,0.0,4.0
2020-11-13,27682.0,907.0,25463.0,1312.0,6.0,0.0,4.0
2020-11-14,27711.0,907.0,25467.0,1337.0,29.0,0.0,4.0
2020-11-15,27749.0,907.0,25468.0,1374.0,38.0,0.0,1.0
2020-11-16,27758.0,907.0,25499.0,1352.0,9.0,0.0,31.0
2020-11-17,27777.0,907.0,25505.0,1365.0,19.0,0.0,6.0
2020-11-18,27785.0,907.0,25507.0,1371.0,8.0,0.0,2.0
2020-11-19,27792.0,907.0,25511.0,1374.0,7.0,0.0,4.0
2020-11-20,27806.0,907.0,25521.0,1378.0,14.0,0.0,10.0
2020-11-21,27821.0,907.0,25522.0,1392.0,15.0,0.0,1.0
2020-11-22,27834.0,907.0,25527.0,1400.0,13.0,0.0,5.0
