date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-25,2.0,0.0,0.0,2.0,,,
2020-02-26,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-27,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-02-28,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-29,9.0,0.0,0.0,9.0,6.0,0.0,0.0
2020-03-01,14.0,0.0,0.0,14.0,5.0,0.0,0.0
2020-03-02,18.0,0.0,0.0,18.0,4.0,0.0,0.0
2020-03-03,21.0,0.0,0.0,21.0,3.0,0.0,0.0
2020-03-04,29.0,0.0,0.0,29.0,8.0,0.0,0.0
2020-03-05,41.0,0.0,0.0,41.0,12.0,0.0,0.0
2020-03-06,55.0,0.0,0.0,55.0,14.0,0.0,0.0
2020-03-07,79.0,0.0,0.0,79.0,24.0,0.0,0.0
2020-03-08,104.0,0.0,0.0,104.0,25.0,0.0,0.0
2020-03-09,131.0,0.0,2.0,129.0,27.0,0.0,2.0
2020-03-10,182.0,0.0,4.0,178.0,51.0,0.0,2.0
2020-03-11,246.0,0.0,4.0,242.0,64.0,0.0,0.0
2020-03-12,302.0,1.0,4.0,297.0,56.0,1.0,0.0
2020-03-13,504.0,1.0,6.0,497.0,202.0,0.0,2.0
2020-03-14,655.0,1.0,6.0,648.0,151.0,0.0,0.0
2020-03-15,860.0,1.0,6.0,853.0,205.0,0.0,0.0
2020-03-16,1018.0,3.0,6.0,1009.0,158.0,2.0,0.0
2020-03-17,1332.0,3.0,1.0,1328.0,314.0,0.0,-5.0
2020-03-18,1646.0,4.0,9.0,1633.0,314.0,1.0,8.0
2020-03-19,2013.0,6.0,9.0,1998.0,367.0,2.0,0.0
2020-03-20,2388.0,6.0,9.0,2373.0,375.0,0.0,0.0
2020-03-21,2814.0,8.0,9.0,2797.0,426.0,2.0,0.0
2020-03-22,3580.0,16.0,9.0,3555.0,766.0,8.0,0.0
2020-03-23,4474.0,21.0,9.0,4444.0,894.0,5.0,0.0
2020-03-24,5283.0,28.0,9.0,5246.0,809.0,7.0,0.0
2020-03-25,5588.0,30.0,9.0,5549.0,305.0,2.0,0.0
2020-03-26,6909.0,49.0,112.0,6748.0,1321.0,19.0,103.0
2020-03-27,7657.0,58.0,225.0,7374.0,748.0,9.0,113.0
2020-03-28,8271.0,68.0,225.0,7978.0,614.0,10.0,0.0
2020-03-29,8788.0,86.0,479.0,8223.0,517.0,18.0,254.0
2020-03-30,9618.0,108.0,636.0,8874.0,830.0,22.0,157.0
2020-03-31,10180.0,128.0,1095.0,8957.0,562.0,20.0,459.0
2020-04-01,10711.0,146.0,1436.0,9129.0,531.0,18.0,341.0
2020-04-02,11129.0,158.0,1749.0,9222.0,418.0,12.0,313.0
2020-04-03,11524.0,168.0,2022.0,9334.0,395.0,10.0,273.0
2020-04-04,11781.0,186.0,2507.0,9088.0,257.0,18.0,485.0
2020-04-05,12051.0,204.0,2998.0,8849.0,270.0,18.0,491.0
2020-04-06,12297.0,220.0,3463.0,8614.0,246.0,16.0,465.0
2020-04-07,12639.0,243.0,4046.0,8350.0,342.0,23.0,583.0
2020-04-08,12942.0,273.0,4512.0,8157.0,303.0,30.0,466.0
2020-04-09,13244.0,295.0,5240.0,7709.0,302.0,22.0,728.0
2020-04-10,13555.0,319.0,6064.0,7172.0,311.0,24.0,824.0
2020-04-11,13806.0,337.0,6604.0,6865.0,251.0,18.0,540.0
2020-04-12,13945.0,350.0,6987.0,6608.0,139.0,13.0,383.0
