date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-17,2.0,0.0,0.0,2.0,,,
2020-03-18,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-19,5.0,0.0,0.0,5.0,3.0,0.0,0.0
2020-03-20,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-21,6.0,0.0,0.0,6.0,1.0,0.0,0.0
2020-03-22,14.0,0.0,0.0,14.0,8.0,0.0,0.0
2020-03-23,17.0,0.0,0.0,17.0,3.0,0.0,0.0
2020-03-24,18.0,0.0,0.0,18.0,1.0,0.0,0.0
2020-03-25,18.0,0.0,0.0,18.0,0.0,0.0,0.0
2020-03-26,18.0,0.0,0.0,18.0,0.0,0.0,0.0
2020-03-27,24.0,0.0,0.0,24.0,6.0,0.0,0.0
2020-03-28,26.0,0.0,0.0,26.0,2.0,0.0,0.0
2020-03-29,33.0,0.0,0.0,33.0,7.0,0.0,0.0
2020-03-30,33.0,0.0,0.0,33.0,0.0,0.0,0.0
2020-03-31,34.0,0.0,0.0,34.0,1.0,0.0,0.0
2020-04-01,34.0,0.0,0.0,34.0,0.0,0.0,0.0
2020-04-02,46.0,0.0,0.0,46.0,12.0,0.0,0.0
2020-04-03,51.0,0.0,0.0,51.0,5.0,0.0,0.0
2020-04-04,52.0,0.0,0.0,52.0,1.0,0.0,0.0
2020-04-05,56.0,1.0,6.0,49.0,4.0,1.0,6.0
2020-04-06,60.0,2.0,6.0,52.0,4.0,1.0,0.0
2020-04-07,63.0,3.0,6.0,54.0,3.0,1.0,0.0
2020-04-08,63.0,3.0,8.0,52.0,0.0,0.0,2.0
2020-04-09,66.0,3.0,11.0,52.0,3.0,0.0,3.0
2020-04-10,67.0,4.0,11.0,52.0,1.0,1.0,0.0
2020-04-11,68.0,4.0,11.0,53.0,1.0,0.0,0.0
2020-04-12,71.0,4.0,11.0,56.0,3.0,0.0,0.0
2020-04-13,72.0,4.0,13.0,55.0,1.0,0.0,2.0
2020-04-14,72.0,4.0,13.0,55.0,0.0,0.0,0.0
2020-04-15,73.0,5.0,15.0,53.0,1.0,1.0,2.0
2020-04-16,75.0,5.0,15.0,55.0,2.0,0.0,0.0
2020-04-17,75.0,5.0,15.0,55.0,0.0,0.0,0.0
2020-04-18,75.0,5.0,17.0,53.0,0.0,0.0,2.0
2020-04-19,75.0,5.0,17.0,53.0,0.0,0.0,0.0
2020-04-20,75.0,5.0,19.0,51.0,0.0,0.0,2.0
2020-04-21,75.0,5.0,25.0,45.0,0.0,0.0,6.0
2020-04-22,75.0,5.0,25.0,45.0,0.0,0.0,0.0
2020-04-23,76.0,6.0,30.0,40.0,1.0,1.0,5.0
2020-04-24,77.0,6.0,31.0,40.0,1.0,0.0,1.0
2020-04-25,79.0,6.0,31.0,42.0,2.0,0.0,0.0
2020-04-26,79.0,6.0,39.0,34.0,0.0,0.0,8.0
2020-04-27,80.0,6.0,39.0,35.0,1.0,0.0,0.0
2020-04-28,80.0,6.0,39.0,35.0,0.0,0.0,0.0
2020-04-29,80.0,7.0,39.0,34.0,0.0,1.0,0.0
2020-04-30,81.0,7.0,39.0,35.0,1.0,0.0,0.0
2020-05-01,81.0,7.0,39.0,35.0,0.0,0.0,0.0
2020-05-02,81.0,7.0,44.0,30.0,0.0,0.0,5.0
2020-05-03,82.0,7.0,44.0,31.0,1.0,0.0,0.0
2020-05-04,82.0,7.0,46.0,29.0,0.0,0.0,2.0
2020-05-05,82.0,7.0,47.0,28.0,0.0,0.0,1.0
2020-05-06,82.0,7.0,47.0,28.0,0.0,0.0,0.0
2020-05-07,82.0,7.0,53.0,22.0,0.0,0.0,6.0
2020-05-08,83.0,7.0,53.0,23.0,1.0,0.0,0.0
2020-05-09,84.0,7.0,57.0,20.0,1.0,0.0,4.0
2020-05-10,84.0,7.0,57.0,20.0,0.0,0.0,0.0
2020-05-11,84.0,7.0,57.0,20.0,0.0,0.0,0.0
2020-05-12,85.0,7.0,57.0,21.0,1.0,0.0,0.0
2020-05-13,85.0,7.0,65.0,13.0,0.0,0.0,8.0
2020-05-14,85.0,7.0,65.0,13.0,0.0,0.0,0.0
2020-05-15,85.0,7.0,65.0,13.0,0.0,0.0,0.0
2020-05-16,86.0,7.0,67.0,12.0,1.0,0.0,2.0
2020-05-17,88.0,7.0,68.0,13.0,2.0,0.0,1.0
2020-05-18,88.0,7.0,68.0,13.0,0.0,0.0,0.0
2020-05-19,90.0,7.0,68.0,15.0,2.0,0.0,0.0
2020-05-20,90.0,7.0,70.0,13.0,0.0,0.0,2.0
2020-05-21,90.0,7.0,70.0,13.0,0.0,0.0,0.0
2020-05-22,90.0,7.0,70.0,13.0,0.0,0.0,0.0
2020-05-23,92.0,7.0,70.0,15.0,2.0,0.0,0.0
2020-05-24,92.0,7.0,70.0,15.0,0.0,0.0,0.0
2020-05-25,92.0,7.0,71.0,14.0,0.0,0.0,1.0
2020-05-26,92.0,7.0,71.0,14.0,0.0,0.0,0.0
2020-05-27,92.0,7.0,76.0,9.0,0.0,0.0,5.0
2020-05-28,92.0,7.0,76.0,9.0,0.0,0.0,0.0
2020-05-29,92.0,7.0,76.0,9.0,0.0,0.0,0.0
2020-05-30,92.0,7.0,76.0,9.0,0.0,0.0,0.0
2020-05-31,92.0,7.0,76.0,9.0,0.0,0.0,0.0
2020-06-01,92.0,7.0,76.0,9.0,0.0,0.0,0.0
2020-06-02,92.0,7.0,76.0,9.0,0.0,0.0,0.0
2020-06-03,92.0,7.0,81.0,4.0,0.0,0.0,5.0
2020-06-04,92.0,7.0,81.0,4.0,0.0,0.0,0.0
2020-06-05,92.0,7.0,81.0,4.0,0.0,0.0,0.0
2020-06-06,92.0,7.0,81.0,4.0,0.0,0.0,0.0
2020-06-07,92.0,7.0,81.0,4.0,0.0,0.0,0.0
2020-06-08,92.0,7.0,81.0,4.0,0.0,0.0,0.0
2020-06-09,92.0,7.0,81.0,4.0,0.0,0.0,0.0
2020-06-10,96.0,7.0,83.0,6.0,4.0,0.0,2.0
2020-06-11,96.0,7.0,83.0,6.0,0.0,0.0,0.0
2020-06-12,96.0,7.0,83.0,6.0,0.0,0.0,0.0
2020-06-13,96.0,7.0,83.0,6.0,0.0,0.0,0.0
2020-06-14,96.0,7.0,83.0,6.0,0.0,0.0,0.0
2020-06-15,97.0,7.0,83.0,7.0,1.0,0.0,0.0
2020-06-16,97.0,7.0,83.0,7.0,0.0,0.0,0.0
2020-06-17,97.0,7.0,85.0,5.0,0.0,0.0,2.0
2020-06-18,97.0,7.0,85.0,5.0,0.0,0.0,0.0
2020-06-19,97.0,7.0,85.0,5.0,0.0,0.0,0.0
2020-06-20,97.0,7.0,85.0,5.0,0.0,0.0,0.0
2020-06-21,97.0,7.0,85.0,5.0,0.0,0.0,0.0
2020-06-22,97.0,7.0,85.0,5.0,0.0,0.0,0.0
2020-06-23,97.0,7.0,85.0,5.0,0.0,0.0,0.0
2020-06-24,97.0,7.0,85.0,5.0,0.0,0.0,0.0
2020-06-25,97.0,7.0,85.0,5.0,0.0,0.0,0.0
2020-06-26,97.0,7.0,90.0,0.0,0.0,0.0,5.0
2020-06-27,97.0,7.0,90.0,0.0,0.0,0.0,0.0
2020-06-28,97.0,7.0,90.0,0.0,0.0,0.0,0.0
2020-06-29,97.0,7.0,90.0,0.0,0.0,0.0,0.0
2020-06-30,97.0,7.0,90.0,0.0,0.0,0.0,0.0
2020-07-01,97.0,7.0,90.0,0.0,0.0,0.0,0.0
2020-07-02,97.0,7.0,90.0,0.0,0.0,0.0,0.0
2020-07-03,97.0,7.0,90.0,0.0,0.0,0.0,0.0
2020-07-04,97.0,7.0,90.0,0.0,0.0,0.0,0.0
2020-07-05,98.0,7.0,90.0,1.0,1.0,0.0,0.0
2020-07-06,98.0,7.0,90.0,1.0,0.0,0.0,0.0
2020-07-07,98.0,7.0,90.0,1.0,0.0,0.0,0.0
2020-07-08,98.0,7.0,90.0,1.0,0.0,0.0,0.0
2020-07-09,98.0,7.0,90.0,1.0,0.0,0.0,0.0
2020-07-10,98.0,7.0,90.0,1.0,0.0,0.0,0.0
2020-07-11,103.0,7.0,90.0,6.0,5.0,0.0,0.0
2020-07-12,103.0,7.0,90.0,6.0,0.0,0.0,0.0
2020-07-13,103.0,7.0,90.0,6.0,0.0,0.0,0.0
2020-07-14,103.0,7.0,90.0,6.0,0.0,0.0,0.0
2020-07-15,104.0,7.0,90.0,7.0,1.0,0.0,0.0
2020-07-16,104.0,7.0,90.0,7.0,0.0,0.0,0.0
2020-07-17,104.0,7.0,91.0,6.0,0.0,0.0,1.0
2020-07-18,104.0,7.0,91.0,6.0,0.0,0.0,0.0
2020-07-19,105.0,7.0,91.0,7.0,1.0,0.0,0.0
2020-07-20,106.0,7.0,91.0,8.0,1.0,0.0,0.0
2020-07-21,106.0,7.0,91.0,8.0,0.0,0.0,0.0
2020-07-22,106.0,7.0,94.0,5.0,0.0,0.0,3.0
2020-07-23,106.0,7.0,94.0,5.0,0.0,0.0,0.0
2020-07-24,108.0,7.0,94.0,7.0,2.0,0.0,0.0
2020-07-25,108.0,7.0,94.0,7.0,0.0,0.0,0.0
2020-07-26,110.0,7.0,94.0,9.0,2.0,0.0,0.0
2020-07-27,110.0,7.0,94.0,9.0,0.0,0.0,0.0
2020-07-28,110.0,7.0,94.0,9.0,0.0,0.0,0.0
2020-07-29,110.0,7.0,95.0,8.0,0.0,0.0,1.0
2020-07-30,110.0,7.0,96.0,7.0,0.0,0.0,1.0
2020-07-31,110.0,7.0,96.0,7.0,0.0,0.0,0.0
2020-08-01,122.0,7.0,98.0,17.0,12.0,0.0,2.0
2020-08-02,132.0,7.0,98.0,27.0,10.0,0.0,0.0
2020-08-03,132.0,7.0,98.0,27.0,0.0,0.0,0.0
2020-08-04,132.0,7.0,98.0,27.0,0.0,0.0,0.0
2020-08-05,133.0,7.0,100.0,26.0,1.0,0.0,2.0
2020-08-06,133.0,7.0,100.0,26.0,0.0,0.0,0.0
2020-08-07,138.0,7.0,100.0,31.0,5.0,0.0,0.0
2020-08-08,138.0,7.0,108.0,23.0,0.0,0.0,8.0
2020-08-09,142.0,7.0,112.0,23.0,4.0,0.0,4.0
2020-08-10,142.0,7.0,112.0,23.0,0.0,0.0,0.0
2020-08-11,143.0,7.0,112.0,24.0,1.0,0.0,0.0
2020-08-12,144.0,7.0,115.0,22.0,1.0,0.0,3.0
2020-08-13,144.0,7.0,118.0,19.0,0.0,0.0,3.0
2020-08-14,148.0,7.0,119.0,22.0,4.0,0.0,1.0
2020-08-15,150.0,7.0,121.0,22.0,2.0,0.0,2.0
2020-08-16,151.0,7.0,122.0,22.0,1.0,0.0,1.0
2020-08-17,152.0,7.0,122.0,23.0,1.0,0.0,0.0
2020-08-18,153.0,7.0,122.0,24.0,1.0,0.0,0.0
2020-08-19,155.0,7.0,123.0,25.0,2.0,0.0,1.0
2020-08-20,156.0,7.0,123.0,26.0,1.0,0.0,0.0
2020-08-21,157.0,7.0,124.0,26.0,1.0,0.0,1.0
2020-08-22,158.0,7.0,126.0,25.0,1.0,0.0,2.0
2020-08-23,161.0,7.0,132.0,22.0,3.0,0.0,6.0
2020-08-24,161.0,7.0,132.0,22.0,0.0,0.0,0.0
2020-08-25,164.0,7.0,132.0,25.0,3.0,0.0,0.0
2020-08-26,165.0,7.0,139.0,19.0,1.0,0.0,7.0
2020-08-27,165.0,7.0,140.0,18.0,0.0,0.0,1.0
2020-08-28,166.0,7.0,141.0,18.0,1.0,0.0,1.0
2020-08-29,170.0,7.0,141.0,22.0,4.0,0.0,0.0
2020-08-30,173.0,7.0,145.0,21.0,3.0,0.0,4.0
2020-08-31,174.0,7.0,146.0,21.0,1.0,0.0,1.0
2020-09-01,176.0,7.0,146.0,23.0,2.0,0.0,0.0
2020-09-02,176.0,7.0,149.0,20.0,0.0,0.0,3.0
2020-09-03,177.0,7.0,150.0,20.0,1.0,0.0,1.0
2020-09-04,178.0,7.0,153.0,18.0,1.0,0.0,3.0
2020-09-05,178.0,7.0,154.0,17.0,0.0,0.0,1.0
2020-09-06,178.0,7.0,154.0,17.0,0.0,0.0,0.0
2020-09-07,179.0,7.0,154.0,18.0,1.0,0.0,0.0
2020-09-08,180.0,7.0,156.0,17.0,1.0,0.0,2.0
2020-09-09,180.0,7.0,156.0,17.0,0.0,0.0,0.0
2020-09-10,180.0,7.0,157.0,16.0,0.0,0.0,1.0
2020-09-11,180.0,7.0,158.0,15.0,0.0,0.0,1.0
2020-09-12,180.0,7.0,158.0,15.0,0.0,0.0,0.0
2020-09-13,181.0,7.0,164.0,10.0,1.0,0.0,6.0
2020-09-14,183.0,7.0,165.0,11.0,2.0,0.0,1.0
2020-09-15,184.0,7.0,169.0,8.0,1.0,0.0,4.0
2020-09-16,185.0,7.0,171.0,7.0,1.0,0.0,2.0
2020-09-17,185.0,7.0,171.0,7.0,0.0,0.0,0.0
2020-09-18,185.0,7.0,172.0,6.0,0.0,0.0,1.0
2020-09-19,185.0,7.0,172.0,6.0,0.0,0.0,0.0
2020-09-20,189.0,7.0,173.0,9.0,4.0,0.0,1.0
2020-09-21,189.0,7.0,173.0,9.0,0.0,0.0,0.0
2020-09-22,189.0,7.0,173.0,9.0,0.0,0.0,0.0
2020-09-23,189.0,7.0,174.0,8.0,0.0,0.0,1.0
2020-09-24,189.0,7.0,174.0,8.0,0.0,0.0,0.0
2020-09-25,190.0,7.0,175.0,8.0,1.0,0.0,1.0
