date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-11,2.0,0.0,0.0,2.0,,,
2020-03-12,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-13,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-14,10.0,0.0,0.0,10.0,7.0,0.0,0.0
2020-03-15,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-16,11.0,0.0,0.0,11.0,1.0,0.0,0.0
2020-03-17,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-18,12.0,0.0,0.0,12.0,1.0,0.0,0.0
2020-03-19,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-03-20,15.0,0.0,0.0,15.0,3.0,0.0,0.0
2020-03-21,19.0,0.0,0.0,19.0,4.0,0.0,0.0
2020-03-22,24.0,0.0,0.0,24.0,5.0,0.0,0.0
2020-03-23,27.0,0.0,0.0,27.0,3.0,0.0,0.0
2020-03-24,29.0,0.0,0.0,29.0,2.0,0.0,0.0
2020-03-25,32.0,0.0,0.0,32.0,3.0,0.0,0.0
2020-03-26,43.0,0.0,0.0,43.0,11.0,0.0,0.0
2020-03-27,61.0,0.0,0.0,61.0,18.0,0.0,0.0
2020-03-28,74.0,0.0,0.0,74.0,13.0,0.0,0.0
2020-03-29,81.0,1.0,0.0,80.0,7.0,1.0,0.0
2020-03-30,97.0,4.0,0.0,93.0,16.0,3.0,0.0
2020-03-31,107.0,6.0,0.0,101.0,10.0,2.0,0.0
2020-04-01,115.0,7.0,1.0,107.0,8.0,1.0,1.0
2020-04-02,123.0,8.0,1.0,114.0,8.0,1.0,0.0
2020-04-03,132.0,9.0,1.0,122.0,9.0,1.0,0.0
2020-04-04,139.0,10.0,1.0,128.0,7.0,1.0,0.0
2020-04-05,157.0,10.0,2.0,145.0,18.0,0.0,1.0
2020-04-06,183.0,11.0,2.0,170.0,26.0,1.0,0.0
2020-04-07,194.0,14.0,2.0,178.0,11.0,3.0,0.0
2020-04-08,210.0,15.0,2.0,193.0,16.0,1.0,0.0
2020-04-09,264.0,18.0,2.0,244.0,54.0,3.0,0.0
2020-04-10,268.0,19.0,2.0,247.0,4.0,1.0,0.0
2020-04-11,275.0,20.0,2.0,253.0,7.0,1.0,0.0
2020-04-12,300.0,24.0,2.0,274.0,25.0,4.0,0.0
2020-04-13,330.0,27.0,2.0,301.0,30.0,3.0,0.0
2020-04-14,354.0,28.0,6.0,320.0,24.0,1.0,4.0
2020-04-15,397.0,28.0,7.0,362.0,43.0,0.0,1.0
2020-04-16,441.0,29.0,14.0,398.0,44.0,1.0,7.0
2020-04-17,465.0,31.0,26.0,408.0,24.0,2.0,12.0
2020-04-18,493.0,31.0,31.0,431.0,28.0,0.0,5.0
2020-04-19,520.0,32.0,31.0,457.0,27.0,1.0,0.0
2020-04-20,564.0,33.0,31.0,500.0,44.0,1.0,0.0
2020-04-21,598.0,34.0,37.0,527.0,34.0,1.0,6.0
2020-04-22,609.0,37.0,44.0,528.0,11.0,3.0,7.0
2020-04-23,703.0,43.0,44.0,616.0,94.0,6.0,0.0
2020-04-24,807.0,44.0,54.0,709.0,104.0,1.0,10.0
2020-04-25,866.0,46.0,54.0,766.0,59.0,2.0,0.0
2020-04-26,950.0,50.0,80.0,820.0,84.0,4.0,26.0
2020-04-27,1014.0,53.0,98.0,863.0,64.0,3.0,18.0
2020-04-28,1014.0,53.0,98.0,863.0,0.0,0.0,0.0
2020-04-29,1110.0,59.0,117.0,934.0,96.0,6.0,19.0
