date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-31,2.0,0.0,0.0,2.0,,,
2020-04-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-04-02,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-04-03,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-04,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-05,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-06,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-07,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-08,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-09,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-10,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-11,5.0,0.0,0.0,5.0,2.0,0.0,0.0
2020-04-12,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-04-13,5.0,1.0,0.0,4.0,0.0,1.0,0.0
2020-04-14,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-15,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-16,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-17,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-18,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-19,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-20,5.0,1.0,4.0,0.0,0.0,0.0,4.0
2020-04-21,5.0,1.0,4.0,0.0,0.0,0.0,0.0
2020-04-22,11.0,1.0,4.0,6.0,6.0,0.0,0.0
2020-04-23,11.0,1.0,4.0,6.0,0.0,0.0,0.0
2020-04-24,11.0,1.0,4.0,6.0,0.0,0.0,0.0
2020-04-25,11.0,1.0,4.0,6.0,0.0,0.0,0.0
2020-04-26,11.0,1.0,4.0,6.0,0.0,0.0,0.0
2020-04-27,11.0,1.0,4.0,6.0,0.0,0.0,0.0
