date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-20,1.0,0.0,0.0,1.0,,,
2020-03-21,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-22,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-23,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-24,3.0,1.0,0.0,2.0,0.0,1.0,0.0
2020-03-25,4.0,1.0,0.0,3.0,1.0,0.0,0.0
2020-03-26,4.0,1.0,0.0,3.0,0.0,0.0,0.0
2020-03-27,5.0,1.0,0.0,4.0,1.0,0.0,0.0
2020-03-28,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-03-29,6.0,1.0,0.0,5.0,1.0,0.0,0.0
2020-03-30,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-03-31,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-04-01,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-04-02,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-04-03,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-04-04,7.0,1.0,0.0,6.0,1.0,0.0,0.0
2020-04-05,7.0,1.0,0.0,6.0,0.0,0.0,0.0
2020-04-06,7.0,1.0,1.0,5.0,0.0,0.0,1.0
2020-04-07,7.0,1.0,1.0,5.0,0.0,0.0,0.0
2020-04-08,7.0,1.0,1.0,5.0,0.0,0.0,0.0
2020-04-09,7.0,1.0,1.0,5.0,0.0,0.0,0.0
2020-04-10,7.0,1.0,1.0,5.0,0.0,0.0,0.0
2020-04-11,8.0,1.0,1.0,6.0,1.0,0.0,0.0
2020-04-12,8.0,1.0,1.0,6.0,0.0,0.0,0.0
2020-04-13,10.0,1.0,1.0,8.0,2.0,0.0,0.0
2020-04-14,11.0,1.0,1.0,9.0,1.0,0.0,0.0
2020-04-15,56.0,1.0,1.0,54.0,45.0,0.0,0.0
2020-04-16,56.0,1.0,1.0,54.0,0.0,0.0,0.0
2020-04-17,56.0,1.0,1.0,54.0,0.0,0.0,0.0
2020-04-18,58.0,1.0,1.0,56.0,2.0,0.0,0.0
2020-04-19,61.0,1.0,1.0,59.0,3.0,0.0,0.0
2020-04-20,67.0,1.0,1.0,65.0,6.0,0.0,0.0
2020-04-21,68.0,1.0,1.0,66.0,1.0,0.0,0.0
2020-04-22,73.0,1.0,1.0,71.0,5.0,0.0,0.0
2020-04-23,82.0,1.0,1.0,80.0,9.0,0.0,0.0
2020-04-24,88.0,1.0,1.0,86.0,6.0,0.0,0.0
2020-04-25,90.0,1.0,1.0,88.0,2.0,0.0,0.0
2020-04-26,106.0,1.0,1.0,104.0,16.0,0.0,0.0
2020-04-27,109.0,1.0,1.0,107.0,3.0,0.0,0.0
2020-04-28,114.0,1.0,2.0,111.0,5.0,0.0,1.0
2020-04-29,114.0,1.0,2.0,111.0,0.0,0.0,0.0
2020-04-30,121.0,1.0,4.0,116.0,7.0,0.0,2.0
2020-05-01,122.0,1.0,18.0,103.0,1.0,0.0,14.0
2020-05-02,152.0,2.0,18.0,132.0,30.0,1.0,0.0
2020-05-03,165.0,2.0,33.0,130.0,13.0,0.0,15.0
2020-05-04,175.0,2.0,37.0,136.0,10.0,0.0,4.0
2020-05-05,186.0,2.0,37.0,147.0,11.0,0.0,0.0
2020-05-06,191.0,2.0,38.0,151.0,5.0,0.0,1.0
2020-05-07,218.0,2.0,38.0,178.0,27.0,0.0,0.0
2020-05-08,230.0,2.0,44.0,184.0,12.0,0.0,6.0
