date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-26,3.0,0.0,0.0,0.0,,,
2020-01-27,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-29,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-02-02,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-02-03,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-02-04,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-02-05,5.0,0.0,0.0,5.0,1.0,0.0,0.0
2020-02-06,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-07,7.0,0.0,0.0,7.0,2.0,0.0,0.0
2020-02-08,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-02-09,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-02-10,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-02-11,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-02-12,7.0,0.0,1.0,6.0,0.0,0.0,1.0
2020-02-13,7.0,0.0,1.0,6.0,0.0,0.0,0.0
2020-02-14,7.0,0.0,1.0,6.0,0.0,0.0,0.0
2020-02-15,7.0,0.0,1.0,6.0,0.0,0.0,0.0
2020-02-16,7.0,0.0,1.0,6.0,0.0,0.0,0.0
2020-02-17,8.0,0.0,1.0,7.0,1.0,0.0,0.0
2020-02-18,8.0,0.0,1.0,7.0,0.0,0.0,0.0
2020-02-19,8.0,0.0,1.0,7.0,0.0,0.0,0.0
2020-02-20,8.0,0.0,1.0,7.0,0.0,0.0,0.0
2020-02-21,9.0,0.0,3.0,6.0,1.0,0.0,2.0
2020-02-22,9.0,0.0,3.0,6.0,0.0,0.0,0.0
2020-02-23,9.0,0.0,3.0,6.0,0.0,0.0,0.0
2020-02-24,10.0,0.0,3.0,7.0,1.0,0.0,0.0
2020-02-25,12.0,0.0,3.0,9.0,2.0,0.0,0.0
2020-02-26,12.0,0.0,3.0,9.0,0.0,0.0,0.0
2020-02-27,14.0,0.0,6.0,8.0,2.0,0.0,3.0
2020-02-28,15.0,0.0,6.0,9.0,1.0,0.0,0.0
2020-02-29,21.0,0.0,6.0,15.0,6.0,0.0,0.0
2020-03-01,26.0,0.0,6.0,20.0,5.0,0.0,0.0
2020-03-02,32.0,0.0,6.0,26.0,6.0,0.0,0.0
2020-03-03,37.0,0.0,6.0,31.0,5.0,0.0,0.0
2020-03-04,42.0,0.0,6.0,36.0,5.0,0.0,0.0
2020-03-05,46.0,0.0,6.0,40.0,4.0,0.0,0.0
2020-03-06,60.0,0.0,6.0,54.0,14.0,0.0,0.0
2020-03-07,64.0,0.0,8.0,56.0,4.0,0.0,2.0
2020-03-08,74.0,0.0,8.0,66.0,10.0,0.0,0.0
2020-03-09,144.0,2.0,8.0,134.0,70.0,2.0,0.0
2020-03-10,165.0,2.0,8.0,155.0,21.0,0.0,0.0
2020-03-11,228.0,2.0,8.0,218.0,63.0,0.0,0.0
2020-03-12,289.0,3.0,8.0,278.0,61.0,1.0,0.0
2020-03-13,386.0,5.0,8.0,373.0,97.0,2.0,0.0
2020-03-14,451.0,5.0,8.0,438.0,65.0,0.0,0.0
2020-03-15,547.0,5.0,8.0,534.0,96.0,0.0,0.0
2020-03-16,700.0,9.0,9.0,682.0,153.0,4.0,1.0
2020-03-17,854.0,12.0,9.0,833.0,154.0,3.0,0.0
2020-03-18,1097.0,19.0,9.0,1069.0,243.0,7.0,0.0
2020-03-19,1349.0,21.0,9.0,1319.0,252.0,2.0,0.0
2020-03-20,1692.0,28.0,9.0,1655.0,343.0,7.0,0.0
2020-03-21,2196.0,40.0,10.0,2146.0,504.0,12.0,1.0
2020-03-22,2652.0,46.0,0.0,2606.0,456.0,6.0,-10.0
2020-03-23,3297.0,59.0,0.0,3238.0,645.0,13.0,0.0
2020-03-24,3996.0,70.0,110.0,3816.0,699.0,11.0,110.0
2020-03-25,4569.0,89.0,183.0,4297.0,573.0,19.0,73.0
2020-03-26,5511.0,110.0,184.0,5217.0,942.0,21.0,1.0
2020-03-27,6380.0,131.0,256.0,5993.0,869.0,21.0,72.0
2020-03-28,7310.0,166.0,466.0,6678.0,930.0,35.0,210.0
2020-03-29,8246.0,203.0,466.0,7577.0,936.0,37.0,0.0
2020-03-30,9478.0,244.0,466.0,8768.0,1232.0,41.0,0.0
2020-03-31,10711.0,303.0,1592.0,8816.0,1233.0,59.0,1126.0
2020-04-01,12023.0,353.0,1324.0,10346.0,1312.0,50.0,-268.0
2020-04-02,13742.0,439.0,1735.0,11568.0,1719.0,86.0,411.0
2020-04-03,15072.0,555.0,2175.0,12342.0,1330.0,116.0,440.0
2020-04-04,16410.0,652.0,2577.0,13181.0,1338.0,97.0,402.0
2020-04-05,17599.0,747.0,3012.0,13840.0,1189.0,95.0,435.0
2020-04-06,19100.0,884.0,3256.0,14960.0,1501.0,137.0,244.0
2020-04-07,20488.0,1011.0,3791.0,15686.0,1388.0,127.0,535.0
2020-04-08,21724.0,1145.0,4154.0,16425.0,1236.0,134.0,363.0
2020-04-09,23104.0,1274.0,5162.0,16668.0,1380.0,129.0,1008.0
2020-04-10,24248.0,1406.0,5855.0,16987.0,1144.0,132.0,693.0
2020-04-11,25624.0,1556.0,6589.0,17479.0,1376.0,150.0,734.0
2020-04-12,26966.0,1723.0,7123.0,18120.0,1342.0,167.0,534.0
2020-04-13,28763.0,1919.0,7758.0,19086.0,1797.0,196.0,635.0
2020-04-14,30452.0,2090.0,8210.0,20152.0,1689.0,171.0,452.0
2020-04-15,32199.0,2276.0,8966.0,20957.0,1747.0,186.0,756.0
2020-04-16,33965.0,2463.0,9698.0,21804.0,1766.0,187.0,732.0
2020-04-17,36091.0,2659.0,10545.0,22887.0,2126.0,196.0,847.0
2020-04-18,37617.0,2845.0,10964.0,23808.0,1526.0,186.0,419.0
2020-04-19,39317.0,3037.0,11847.0,24433.0,1700.0,192.0,883.0
2020-04-20,41029.0,3204.0,12543.0,25282.0,1712.0,167.0,696.0
2020-04-21,42619.0,3385.0,13188.0,26046.0,1590.0,181.0,645.0
2020-04-22,44452.0,3577.0,14454.0,26421.0,1833.0,192.0,1266.0
2020-04-23,46261.0,3764.0,14761.0,27736.0,1809.0,187.0,307.0
2020-04-24,47051.0,3918.0,15149.0,27984.0,790.0,154.0,388.0
2020-04-25,48618.0,4106.0,16013.0,28499.0,1567.0,188.0,864.0
2020-04-26,49821.0,4259.0,16883.0,28679.0,1203.0,153.0,870.0
2020-04-27,52363.0,4447.0,18268.0,29648.0,2542.0,188.0,1385.0
2020-04-28,53886.0,4634.0,19231.0,30021.0,1523.0,187.0,963.0
2020-04-29,55575.0,4848.0,20327.0,30400.0,1689.0,214.0,1096.0
2020-04-30,57214.0,5023.0,21424.0,30767.0,1639.0,175.0,1097.0
2020-05-01,59025.0,5218.0,22764.0,31043.0,1811.0,195.0,1340.0
2020-05-02,60381.0,5370.0,23814.0,31197.0,1356.0,152.0,1050.0
2020-05-03,61640.0,5510.0,24921.0,31209.0,1259.0,140.0,1107.0
2020-05-04,63016.0,5656.0,26030.0,31330.0,1376.0,146.0,1109.0
2020-05-05,64411.0,5796.0,27006.0,31609.0,1395.0,140.0,976.0
2020-05-06,65927.0,5936.0,28184.0,31807.0,1516.0,140.0,1178.0
2020-05-07,67198.0,6057.0,29260.0,31881.0,1271.0,121.0,1076.0
2020-05-08,68398.0,6175.0,30239.0,31984.0,1200.0,118.0,979.0
2020-05-09,69544.0,6309.0,31262.0,31973.0,1146.0,134.0,1023.0
2020-05-10,70582.0,6432.0,32109.0,32041.0,1038.0,123.0,847.0
2020-05-11,71606.0,6548.0,33007.0,32051.0,1024.0,116.0,898.0
2020-05-12,72723.0,6664.0,34055.0,32004.0,1117.0,116.0,1048.0
2020-05-13,73950.0,6762.0,35177.0,32011.0,1227.0,98.0,1122.0
2020-05-14,75060.0,6880.0,36104.0,32076.0,1110.0,118.0,927.0
2020-05-15,76331.0,7005.0,36908.0,32418.0,1271.0,125.0,804.0
2020-05-16,77486.0,7111.0,37832.0,32543.0,1155.0,106.0,924.0
2020-05-17,78694.0,7204.0,38563.0,32927.0,1208.0,93.0,731.0
2020-05-18,79780.0,7301.0,39251.0,33228.0,1086.0,97.0,688.0
2020-05-19,80782.0,7386.0,40069.0,33327.0,1002.0,85.0,818.0
2020-05-20,82038.0,7486.0,40793.0,33759.0,1256.0,100.0,724.0
2020-05-21,83153.0,7575.0,41731.0,33847.0,1115.0,89.0,938.0
2020-05-22,84243.0,7673.0,42608.0,33962.0,1090.0,98.0,877.0
2020-05-23,85150.0,7761.0,43318.0,34071.0,907.0,88.0,710.0
2020-05-24,86103.0,7836.0,43998.0,34269.0,953.0,75.0,680.0
2020-05-25,87067.0,7919.0,44651.0,34497.0,964.0,83.0,653.0
2020-05-26,87834.0,7998.0,45352.0,34484.0,767.0,79.0,701.0
2020-05-27,88719.0,8069.0,46248.0,34402.0,885.0,71.0,896.0
2020-05-28,89506.0,8165.0,46961.0,34380.0,787.0,96.0,713.0
2020-05-29,90575.0,8243.0,47905.0,34427.0,1069.0,78.0,944.0
2020-05-30,91337.0,8295.0,48517.0,34525.0,762.0,52.0,612.0
2020-05-31,92067.0,8342.0,49213.0,34512.0,730.0,47.0,696.0
2020-06-01,92863.0,8390.0,50091.0,34382.0,796.0,48.0,878.0
2020-06-02,93490.0,8427.0,50725.0,34338.0,627.0,37.0,634.0
2020-06-03,94172.0,8473.0,51506.0,34193.0,682.0,46.0,781.0
2020-06-04,94754.0,8501.0,52184.0,34069.0,582.0,28.0,678.0
2020-06-05,95281.0,8538.0,53074.0,33669.0,527.0,37.0,890.0
2020-06-06,95805.0,8571.0,54087.0,33147.0,524.0,33.0,1013.0
2020-06-07,96217.0,8595.0,54675.0,32947.0,412.0,24.0,588.0
2020-06-08,96668.0,8623.0,55343.0,32702.0,451.0,28.0,668.0
2020-06-09,97102.0,8650.0,56117.0,32335.0,434.0,27.0,774.0
2020-06-10,97592.0,8675.0,57215.0,31702.0,490.0,25.0,1098.0
2020-06-11,98004.0,8703.0,58131.0,31170.0,412.0,28.0,916.0
2020-06-12,98465.0,8724.0,59034.0,30707.0,461.0,21.0,903.0
2020-06-13,98806.0,8746.0,59851.0,30209.0,341.0,22.0,817.0
2020-06-14,99108.0,8757.0,60668.0,29683.0,302.0,11.0,817.0
2020-06-15,99485.0,8778.0,61466.0,29241.0,377.0,21.0,798.0
