date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-19,1.0,0.0,0.0,1.0,,,
2020-03-20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-21,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-22,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-24,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-25,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-26,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-27,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-28,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-29,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-30,5.0,0.0,0.0,5.0,2.0,0.0,0.0
2020-03-31,7.0,0.0,0.0,7.0,2.0,0.0,0.0
2020-04-01,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-04-02,8.0,0.0,0.0,8.0,1.0,0.0,0.0
2020-04-03,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-04-04,9.0,0.0,0.0,9.0,1.0,0.0,0.0
2020-04-05,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-06,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-07,10.0,0.0,2.0,8.0,1.0,0.0,2.0
2020-04-08,10.0,0.0,2.0,8.0,0.0,0.0,0.0
2020-04-09,11.0,0.0,2.0,9.0,1.0,0.0,0.0
2020-04-10,11.0,0.0,2.0,9.0,0.0,0.0,0.0
2020-04-11,11.0,0.0,2.0,9.0,0.0,0.0,0.0
2020-04-12,18.0,0.0,2.0,16.0,7.0,0.0,0.0
2020-04-13,23.0,0.0,2.0,21.0,5.0,0.0,0.0
2020-04-14,23.0,0.0,2.0,21.0,0.0,0.0,0.0
2020-04-15,23.0,0.0,2.0,21.0,0.0,0.0,0.0
2020-04-16,27.0,0.0,5.0,22.0,4.0,0.0,3.0
2020-04-17,27.0,0.0,5.0,22.0,0.0,0.0,0.0
2020-04-18,33.0,0.0,8.0,25.0,6.0,0.0,3.0
2020-04-19,33.0,0.0,8.0,25.0,0.0,0.0,0.0
2020-04-20,33.0,0.0,8.0,25.0,0.0,0.0,0.0
2020-04-21,33.0,0.0,8.0,25.0,0.0,0.0,0.0
2020-04-22,33.0,0.0,8.0,25.0,0.0,0.0,0.0
2020-04-23,33.0,0.0,8.0,25.0,0.0,0.0,0.0
2020-04-24,40.0,0.0,8.0,32.0,7.0,0.0,0.0
2020-04-25,46.0,0.0,15.0,31.0,6.0,0.0,7.0
2020-04-26,46.0,0.0,15.0,31.0,0.0,0.0,0.0
2020-04-27,46.0,0.0,15.0,31.0,0.0,0.0,0.0
2020-04-28,52.0,2.0,19.0,31.0,6.0,2.0,4.0
2020-04-29,52.0,2.0,19.0,31.0,0.0,0.0,0.0
2020-04-30,73.0,5.0,33.0,35.0,21.0,3.0,14.0
2020-05-01,73.0,5.0,33.0,35.0,0.0,0.0,0.0
2020-05-02,117.0,10.0,39.0,68.0,44.0,5.0,6.0
2020-05-03,117.0,10.0,39.0,68.0,0.0,0.0,0.0
2020-05-04,117.0,10.0,39.0,68.0,0.0,0.0,0.0
2020-05-05,170.0,17.0,43.0,110.0,53.0,7.0,4.0
2020-05-06,170.0,17.0,43.0,110.0,0.0,0.0,0.0
2020-05-07,253.0,27.0,50.0,176.0,83.0,10.0,7.0
2020-05-08,260.0,28.0,50.0,182.0,7.0,1.0,0.0
2020-05-09,322.0,31.0,53.0,238.0,62.0,3.0,3.0
2020-05-10,322.0,31.0,53.0,238.0,0.0,0.0,0.0
2020-05-11,322.0,31.0,53.0,238.0,0.0,0.0,0.0
2020-05-12,357.0,40.0,76.0,241.0,35.0,9.0,23.0
2020-05-13,372.0,42.0,78.0,252.0,15.0,2.0,2.0
2020-05-14,399.0,46.0,83.0,270.0,27.0,4.0,5.0
