date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-03,1.0,0.0,0.0,1.0,,,
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,4.0,0.0,0.0,4.0,3.0,0.0,0.0
2020-03-06,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-07,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-08,8.0,0.0,0.0,8.0,4.0,0.0,0.0
2020-03-09,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-03-10,13.0,0.0,0.0,13.0,5.0,0.0,0.0
2020-03-11,23.0,0.0,0.0,23.0,10.0,0.0,0.0
2020-03-12,23.0,0.0,0.0,23.0,0.0,0.0,0.0
2020-03-13,43.0,0.0,0.0,43.0,20.0,0.0,0.0
2020-03-14,61.0,0.0,0.0,61.0,18.0,0.0,0.0
2020-03-15,74.0,0.0,0.0,74.0,13.0,0.0,0.0
2020-03-16,155.0,0.0,0.0,155.0,81.0,0.0,0.0
2020-03-17,201.0,0.0,0.0,201.0,46.0,0.0,0.0
2020-03-18,238.0,0.0,0.0,238.0,37.0,0.0,0.0
2020-03-19,238.0,0.0,0.0,238.0,0.0,0.0,0.0
2020-03-20,434.0,0.0,6.0,428.0,196.0,0.0,6.0
2020-03-21,537.0,0.0,6.0,531.0,103.0,0.0,0.0
2020-03-22,632.0,1.0,8.0,623.0,95.0,1.0,2.0
2020-03-23,746.0,2.0,11.0,733.0,114.0,1.0,3.0
2020-03-24,922.0,2.0,17.0,903.0,176.0,0.0,6.0
2020-03-25,1142.0,3.0,22.0,1117.0,220.0,1.0,5.0
2020-03-26,1306.0,4.0,22.0,1280.0,164.0,1.0,0.0
2020-03-27,1610.0,5.0,43.0,1562.0,304.0,1.0,21.0
2020-03-28,1909.0,6.0,61.0,1842.0,299.0,1.0,18.0
2020-03-29,2139.0,7.0,75.0,2057.0,230.0,1.0,14.0
2020-03-30,2449.0,8.0,156.0,2285.0,310.0,1.0,81.0
2020-03-31,2738.0,12.0,156.0,2570.0,289.0,4.0,0.0
2020-04-01,3031.0,16.0,234.0,2781.0,293.0,4.0,78.0
2020-04-02,3404.0,18.0,335.0,3051.0,373.0,2.0,101.0
2020-04-03,3737.0,22.0,427.0,3288.0,333.0,4.0,92.0
2020-04-04,4161.0,27.0,528.0,3606.0,424.0,5.0,101.0
2020-04-05,4471.0,34.0,618.0,3819.0,310.0,7.0,90.0
2020-04-06,4815.0,37.0,728.0,4050.0,344.0,3.0,110.0
2020-04-07,5116.0,43.0,898.0,4175.0,301.0,6.0,170.0
2020-04-08,5546.0,48.0,1115.0,4383.0,430.0,5.0,217.0
2020-04-09,5972.0,57.0,1274.0,4641.0,426.0,9.0,159.0
2020-04-10,6501.0,65.0,1571.0,4865.0,529.0,8.0,297.0
2020-04-11,6927.0,73.0,1864.0,4990.0,426.0,8.0,293.0
2020-04-12,7213.0,80.0,2059.0,5074.0,286.0,7.0,195.0
2020-04-13,7525.0,82.0,2367.0,5076.0,312.0,2.0,308.0
2020-04-14,7917.0,92.0,2646.0,5179.0,392.0,10.0,279.0
2020-04-15,8273.0,94.0,2937.0,5242.0,356.0,2.0,291.0
2020-04-16,8807.0,105.0,3299.0,5403.0,534.0,11.0,362.0
2020-04-17,9252.0,116.0,3621.0,5515.0,445.0,11.0,322.0
2020-04-18,9730.0,126.0,4035.0,5569.0,478.0,10.0,414.0
2020-04-19,10088.0,133.0,4338.0,5617.0,358.0,7.0,303.0
2020-04-20,10507.0,139.0,4676.0,5692.0,419.0,6.0,338.0
2020-04-21,10832.0,147.0,4969.0,5716.0,325.0,8.0,293.0
2020-04-22,11296.0,160.0,5386.0,5750.0,464.0,13.0,417.0
2020-04-23,11812.0,168.0,5804.0,5840.0,516.0,8.0,418.0
2020-04-24,12306.0,174.0,6327.0,5805.0,494.0,6.0,523.0
2020-04-25,12858.0,181.0,6746.0,5931.0,552.0,7.0,419.0
2020-04-26,13331.0,189.0,7024.0,6118.0,473.0,8.0,278.0
2020-04-27,13813.0,198.0,7327.0,6288.0,482.0,9.0,303.0
2020-04-28,14365.0,207.0,7710.0,6448.0,552.0,9.0,383.0
2020-04-29,14885.0,216.0,8057.0,6612.0,520.0,9.0,347.0
2020-04-30,16023.0,227.0,8580.0,7216.0,1138.0,11.0,523.0
2020-05-01,17008.0,234.0,9018.0,7756.0,985.0,7.0,438.0
2020-05-02,18435.0,247.0,9572.0,8616.0,1427.0,13.0,554.0
2020-05-03,19663.0,260.0,10041.0,9362.0,1228.0,13.0,469.0
2020-05-04,20643.0,270.0,10415.0,9958.0,980.0,10.0,374.0
2020-05-05,22016.0,275.0,10710.0,11031.0,1373.0,5.0,295.0
2020-05-06,23048.0,281.0,11189.0,11578.0,1032.0,6.0,479.0
2020-05-07,24581.0,285.0,11664.0,12632.0,1533.0,4.0,475.0
2020-05-08,25972.0,294.0,12160.0,13518.0,1391.0,9.0,496.0
2020-05-09,27219.0,304.0,12667.0,14248.0,1247.0,10.0,507.0
2020-05-10,28866.0,312.0,13112.0,15442.0,1647.0,8.0,445.0
2020-05-11,30063.0,323.0,13605.0,16135.0,1197.0,11.0,493.0
2020-05-12,31721.0,335.0,14125.0,17261.0,1658.0,12.0,520.0
2020-05-13,34381.0,346.0,14865.0,19170.0,2660.0,11.0,740.0
2020-05-14,37040.0,368.0,15655.0,21017.0,2659.0,22.0,790.0
2020-05-15,39542.0,394.0,16614.0,22534.0,2502.0,26.0,959.0
2020-05-16,41428.0,421.0,18014.0,22993.0,1886.0,27.0,1400.0
2020-05-17,43781.0,450.0,19213.0,24118.0,2353.0,29.0,1199.0
2020-05-18,46059.0,478.0,20165.0,25416.0,2278.0,28.0,952.0
2020-05-19,49579.0,509.0,21507.0,27563.0,3520.0,31.0,1342.0
2020-05-20,53617.0,544.0,22504.0,30569.0,4038.0,35.0,997.0
2020-05-21,57581.0,589.0,23992.0,33000.0,3964.0,45.0,1488.0
2020-05-22,61857.0,630.0,25342.0,35885.0,4276.0,41.0,1350.0
2020-05-23,65393.0,673.0,26546.0,38174.0,3536.0,43.0,1204.0
2020-05-24,69102.0,718.0,28148.0,40236.0,3709.0,45.0,1602.0
2020-05-25,73997.0,761.0,29302.0,43934.0,4895.0,43.0,1154.0
2020-05-26,77961.0,806.0,30915.0,46240.0,3964.0,45.0,1613.0
2020-05-27,82289.0,841.0,33540.0,47908.0,4328.0,35.0,2625.0
2020-05-28,86943.0,890.0,36115.0,49938.0,4654.0,49.0,2575.0
2020-05-29,90638.0,944.0,38598.0,51096.0,3695.0,54.0,2483.0
2020-05-30,94858.0,997.0,40431.0,53430.0,4220.0,53.0,1833.0
2020-05-31,99688.0,1054.0,42727.0,55907.0,4830.0,57.0,2296.0
2020-06-01,105158.0,1113.0,44946.0,59099.0,5470.0,59.0,2219.0
2020-06-02,108686.0,1188.0,21325.0,86173.0,3528.0,75.0,-23621.0
2020-06-03,113628.0,1275.0,21605.0,90748.0,4942.0,87.0,280.0
2020-06-04,118292.0,1356.0,21305.0,95631.0,4664.0,81.0,-300.0
2020-06-05,122499.0,1448.0,99358.0,21693.0,4207.0,92.0,78053.0
2020-06-06,127745.0,1541.0,103817.0,22387.0,5246.0,93.0,4459.0
2020-06-07,134150.0,1637.0,108150.0,24363.0,6405.0,96.0,4333.0
2020-06-08,138846.0,2264.0,112248.0,24334.0,4696.0,627.0,4098.0
2020-06-09,142759.0,2283.0,117361.0,23115.0,3913.0,19.0,5113.0
2020-06-10,148456.0,2475.0,121780.0,24201.0,5697.0,192.0,4419.0
2020-06-11,154092.0,2648.0,126444.0,25000.0,5636.0,173.0,4664.0
2020-06-12,160846.0,2870.0,131358.0,26618.0,6754.0,222.0,4914.0
2020-06-13,167355.0,3101.0,137296.0,26958.0,6509.0,231.0,5938.0
2020-06-14,174293.0,3323.0,143704.0,27266.0,6938.0,222.0,6408.0
2020-06-15,179436.0,3362.0,148792.0,27282.0,5143.0,39.0,5088.0
2020-06-16,184449.0,3383.0,156232.0,24834.0,5013.0,21.0,7440.0
2020-06-17,220628.0,3615.0,181931.0,35082.0,36179.0,232.0,25699.0
2020-06-18,225103.0,3841.0,186441.0,34821.0,4475.0,226.0,4510.0
2020-06-19,231393.0,4093.0,191491.0,35809.0,6290.0,252.0,5050.0
2020-06-20,236748.0,4295.0,196609.0,35844.0,5355.0,202.0,5118.0
2020-06-21,242355.0,4479.0,200569.0,37307.0,5607.0,184.0,3960.0
2020-06-22,246963.0,4502.0,205397.0,37064.0,4608.0,23.0,4828.0
2020-06-23,250767.0,4505.0,210570.0,35692.0,3804.0,3.0,5173.0
2020-06-24,254416.0,4731.0,215093.0,34592.0,3649.0,226.0,4523.0
2020-06-25,259064.0,4903.0,219327.0,34834.0,4648.0,172.0,4234.0
2020-06-26,263360.0,5068.0,223431.0,34861.0,4296.0,165.0,4104.0
2020-06-27,267766.0,5347.0,228055.0,34364.0,4406.0,279.0,4624.0
2020-06-28,271982.0,5509.0,232210.0,34263.0,4216.0,162.0,4155.0
2020-06-29,275999.0,5575.0,236154.0,34270.0,4017.0,66.0,3944.0
2020-06-30,279393.0,5688.0,241229.0,32476.0,3394.0,113.0,5075.0
2020-07-01,282043.0,5753.0,245443.0,30847.0,2650.0,65.0,4214.0
2020-07-02,284541.0,5920.0,249247.0,29374.0,2498.0,167.0,3804.0
2020-07-03,288089.0,6051.0,253343.0,28695.0,3548.0,131.0,4096.0
2020-07-04,291847.0,6192.0,257451.0,28204.0,3758.0,141.0,4108.0
2020-07-05,295532.0,6308.0,261039.0,28185.0,3685.0,116.0,3588.0
2020-07-06,298557.0,6384.0,264378.0,27795.0,3025.0,76.0,3339.0
2020-07-07,301019.0,6434.0,268251.0,26334.0,2462.0,50.0,3873.0
2020-07-08,303083.0,6573.0,271741.0,24769.0,2064.0,139.0,3490.0
2020-07-09,306216.0,6682.0,274922.0,24612.0,3133.0,109.0,3181.0
2020-07-10,309274.0,6781.0,278053.0,24440.0,3058.0,99.0,3131.0
2020-07-11,312029.0,6881.0,281114.0,24034.0,2755.0,100.0,3061.0
2020-07-12,315041.0,6979.0,283902.0,24160.0,3012.0,98.0,2788.0
2020-07-13,317657.0,7024.0,286556.0,24077.0,2616.0,45.0,2654.0
2020-07-14,319493.0,7069.0,289220.0,23204.0,1836.0,45.0,2664.0
2020-07-15,321205.0,7186.0,292085.0,21934.0,1712.0,117.0,2865.0
2020-07-16,323698.0,7290.0,295301.0,21107.0,2493.0,104.0,3216.0
2020-07-17,326439.0,8347.0,296814.0,21278.0,2741.0,1057.0,1513.0
2020-07-18,328846.0,8445.0,299449.0,20952.0,2407.0,98.0,2635.0
2020-07-19,330930.0,8503.0,301794.0,20633.0,2084.0,58.0,2345.0
2020-07-20,330930.0,8503.0,301794.0,20633.0,0.0,0.0,0.0
2020-07-21,334683.0,8677.0,306816.0,19190.0,3753.0,174.0,5022.0
2020-07-22,334683.0,8677.0,306816.0,19190.0,0.0,0.0,0.0
2020-07-23,338759.0,8838.0,311431.0,18490.0,4076.0,161.0,4615.0
2020-07-24,341304.0,8914.0,313696.0,18694.0,2545.0,76.0,2265.0
2020-07-25,343592.0,9020.0,316169.0,18403.0,2288.0,106.0,2473.0
2020-07-26,345790.0,9112.0,318095.0,18583.0,2198.0,92.0,1926.0
2020-07-27,347923.0,9187.0,319954.0,18782.0,2133.0,75.0,1859.0
2020-07-28,349800.0,9240.0,322332.0,18228.0,1877.0,53.0,2378.0
2020-07-29,351575.0,9278.0,324557.0,17740.0,1775.0,38.0,2225.0
