date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-04-30,1.0,0.0,0.0,1.0,,,
2020-05-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-02,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-05-03,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-05-04,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-05-05,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-05-06,8.0,1.0,0.0,7.0,5.0,1.0,0.0
2020-05-07,8.0,1.0,0.0,7.0,0.0,0.0,0.0
2020-05-08,8.0,1.0,0.0,7.0,0.0,0.0,0.0
2020-05-09,11.0,1.0,0.0,10.0,3.0,0.0,0.0
2020-05-10,11.0,1.0,0.0,10.0,0.0,0.0,0.0
2020-05-11,11.0,1.0,0.0,10.0,0.0,0.0,0.0
2020-05-12,11.0,1.0,0.0,10.0,0.0,0.0,0.0
2020-05-13,11.0,1.0,0.0,10.0,0.0,0.0,0.0
2020-05-14,11.0,1.0,3.0,7.0,0.0,0.0,3.0
2020-05-15,11.0,1.0,3.0,7.0,0.0,0.0,0.0
2020-05-16,11.0,1.0,3.0,7.0,0.0,0.0,0.0
2020-05-17,11.0,1.0,3.0,7.0,0.0,0.0,0.0
2020-05-18,11.0,1.0,3.0,7.0,0.0,0.0,0.0
2020-05-19,11.0,1.0,3.0,7.0,0.0,0.0,0.0
2020-05-20,34.0,1.0,8.0,25.0,23.0,0.0,5.0
2020-05-21,34.0,1.0,8.0,25.0,0.0,0.0,0.0
2020-05-22,78.0,1.0,18.0,59.0,44.0,0.0,10.0
2020-05-23,78.0,1.0,18.0,59.0,0.0,0.0,0.0
2020-05-24,87.0,1.0,21.0,65.0,9.0,0.0,3.0
2020-05-25,87.0,1.0,21.0,65.0,0.0,0.0,0.0
2020-05-26,87.0,1.0,21.0,65.0,0.0,0.0,0.0
2020-05-27,87.0,2.0,24.0,61.0,0.0,1.0,3.0
2020-05-28,87.0,2.0,24.0,61.0,0.0,0.0,0.0
2020-05-29,87.0,2.0,24.0,61.0,0.0,0.0,0.0
2020-05-30,106.0,2.0,26.0,78.0,19.0,0.0,2.0
2020-05-31,106.0,2.0,26.0,78.0,0.0,0.0,0.0
2020-06-01,106.0,2.0,26.0,78.0,0.0,0.0,0.0
2020-06-02,132.0,2.0,27.0,103.0,26.0,0.0,1.0
2020-06-03,132.0,2.0,27.0,103.0,0.0,0.0,0.0
2020-06-04,132.0,2.0,55.0,75.0,0.0,0.0,28.0
2020-06-05,132.0,2.0,55.0,75.0,0.0,0.0,0.0
2020-06-06,141.0,2.0,67.0,72.0,9.0,0.0,12.0
2020-06-07,141.0,2.0,67.0,72.0,0.0,0.0,0.0
2020-06-08,141.0,2.0,67.0,72.0,0.0,0.0,0.0
2020-06-09,141.0,2.0,67.0,72.0,0.0,0.0,0.0
2020-06-10,162.0,2.0,97.0,63.0,21.0,0.0,30.0
2020-06-11,162.0,2.0,97.0,63.0,0.0,0.0,0.0
2020-06-12,163.0,2.0,97.0,64.0,1.0,0.0,0.0
2020-06-13,176.0,2.0,114.0,60.0,13.0,0.0,17.0
2020-06-14,176.0,2.0,114.0,60.0,0.0,0.0,0.0
2020-06-15,176.0,2.0,114.0,60.0,0.0,0.0,0.0
2020-06-16,197.0,3.0,127.0,67.0,21.0,1.0,13.0
2020-06-17,197.0,3.0,127.0,67.0,0.0,0.0,0.0
2020-06-18,210.0,5.0,129.0,76.0,13.0,2.0,2.0
2020-06-19,210.0,5.0,129.0,76.0,0.0,0.0,0.0
2020-06-20,247.0,5.0,159.0,83.0,37.0,0.0,30.0
2020-06-21,247.0,5.0,159.0,83.0,0.0,0.0,0.0
2020-06-22,247.0,5.0,159.0,83.0,0.0,0.0,0.0
2020-06-23,265.0,7.0,159.0,99.0,18.0,2.0,0.0
2020-06-24,265.0,7.0,159.0,99.0,0.0,0.0,0.0
2020-06-25,272.0,7.0,161.0,104.0,7.0,0.0,2.0
2020-06-26,272.0,7.0,161.0,104.0,0.0,0.0,0.0
2020-06-27,272.0,7.0,161.0,104.0,0.0,0.0,0.0
2020-06-28,272.0,7.0,161.0,104.0,0.0,0.0,0.0
2020-06-29,272.0,7.0,161.0,104.0,0.0,0.0,0.0
2020-06-30,303.0,7.0,200.0,96.0,31.0,0.0,39.0
2020-07-01,303.0,7.0,200.0,96.0,0.0,0.0,0.0
