date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-11,91.0,0.0,0.0,91.0,,,
2020-03-12,94.0,0.0,0.0,94.0,3.0,0.0,0.0
2020-03-13,141.0,0.0,0.0,141.0,47.0,0.0,0.0
2020-03-14,189.0,0.0,0.0,189.0,48.0,0.0,0.0
2020-03-15,253.0,0.0,0.0,253.0,64.0,0.0,0.0
2020-03-16,298.0,0.0,3.0,295.0,45.0,0.0,3.0
2020-03-17,396.0,0.0,3.0,393.0,98.0,0.0,0.0
2020-03-18,464.0,0.0,3.0,461.0,68.0,0.0,0.0
2020-03-19,694.0,0.0,3.0,691.0,230.0,0.0,0.0
2020-03-20,833.0,0.0,4.0,829.0,139.0,0.0,1.0
2020-03-21,995.0,0.0,6.0,989.0,162.0,0.0,2.0
2020-03-22,1120.0,1.0,6.0,1113.0,125.0,1.0,0.0
2020-03-23,1236.0,1.0,7.0,1228.0,116.0,0.0,1.0
2020-03-24,1394.0,3.0,10.0,1381.0,158.0,2.0,3.0
2020-03-25,1654.0,6.0,10.0,1638.0,260.0,3.0,0.0
2020-03-26,1925.0,9.0,10.0,1906.0,271.0,3.0,0.0
2020-03-27,2279.0,9.0,11.0,2259.0,354.0,0.0,1.0
2020-03-28,2631.0,11.0,11.0,2609.0,352.0,2.0,0.0
2020-03-29,2817.0,16.0,11.0,2790.0,186.0,5.0,0.0
2020-03-30,3001.0,23.0,25.0,2953.0,184.0,7.0,14.0
2020-03-31,3308.0,31.0,45.0,3232.0,307.0,8.0,20.0
2020-04-01,3508.0,39.0,61.0,3408.0,200.0,8.0,16.0
2020-04-02,3858.0,44.0,67.0,3747.0,350.0,5.0,6.0
2020-04-03,4091.0,53.0,72.0,3966.0,233.0,9.0,5.0
2020-04-04,4472.0,59.0,78.0,4335.0,381.0,6.0,6.0
2020-04-05,4587.0,67.0,96.0,4424.0,115.0,8.0,18.0
2020-04-06,4822.0,78.0,121.0,4623.0,235.0,11.0,25.0
2020-04-07,5017.0,88.0,172.0,4757.0,195.0,10.0,51.0
2020-04-08,5312.0,99.0,233.0,4980.0,295.0,11.0,61.0
2020-04-09,5569.0,112.0,301.0,5156.0,257.0,13.0,68.0
2020-04-10,5732.0,119.0,346.0,5267.0,163.0,7.0,45.0
2020-04-11,5831.0,129.0,411.0,5291.0,99.0,10.0,65.0
2020-04-12,5991.0,138.0,464.0,5389.0,160.0,9.0,53.0
2020-04-13,6059.0,143.0,519.0,5397.0,68.0,5.0,55.0
2020-04-14,6111.0,161.0,642.0,5308.0,52.0,18.0,123.0
2020-04-15,6216.0,166.0,819.0,5231.0,105.0,5.0,177.0
2020-04-16,6433.0,169.0,972.0,5292.0,217.0,3.0,153.0
2020-04-17,6549.0,173.0,1174.0,5202.0,116.0,4.0,202.0
2020-04-18,6606.0,181.0,1227.0,5198.0,57.0,8.0,53.0
2020-04-19,6746.0,186.0,1298.0,5262.0,140.0,5.0,71.0
2020-04-20,6900.0,194.0,1559.0,5147.0,154.0,8.0,261.0
2020-04-21,7033.0,201.0,1753.0,5079.0,133.0,7.0,194.0
2020-04-22,7132.0,208.0,1989.0,4935.0,99.0,7.0,236.0
2020-04-23,7187.0,210.0,2152.0,4825.0,55.0,2.0,163.0
2020-04-24,7273.0,214.0,2371.0,4688.0,86.0,4.0,219.0
2020-04-25,7352.0,218.0,2453.0,4681.0,79.0,4.0,82.0
2020-04-26,7404.0,220.0,2545.0,4639.0,52.0,2.0,92.0
2020-04-27,7445.0,223.0,2826.0,4396.0,41.0,3.0,281.0
2020-04-28,7504.0,227.0,2948.0,4329.0,59.0,4.0,122.0
2020-04-29,7579.0,227.0,3108.0,4244.0,75.0,0.0,160.0
2020-04-30,7682.0,236.0,3314.0,4132.0,103.0,9.0,206.0
2020-05-01,7737.0,240.0,3372.0,4125.0,55.0,4.0,58.0
2020-05-02,7755.0,245.0,3461.0,4049.0,18.0,5.0,89.0
2020-05-03,7781.0,248.0,3587.0,3946.0,26.0,3.0,126.0
2020-05-04,7819.0,252.0,3807.0,3760.0,38.0,4.0,220.0
2020-05-05,7896.0,257.0,4006.0,3633.0,77.0,5.0,199.0
2020-05-06,7974.0,262.0,4205.0,3507.0,78.0,5.0,199.0
2020-05-07,8031.0,270.0,4371.0,3390.0,57.0,8.0,166.0
2020-05-08,8077.0,273.0,4413.0,3391.0,46.0,3.0,42.0
2020-05-09,8095.0,276.0,4447.0,3372.0,18.0,3.0,34.0
2020-05-10,8123.0,280.0,4474.0,3369.0,28.0,4.0,27.0
2020-05-11,8176.0,282.0,4711.0,3183.0,53.0,2.0,237.0
2020-05-12,8221.0,283.0,4889.0,3049.0,45.0,1.0,178.0
2020-05-13,8269.0,290.0,5047.0,2932.0,48.0,7.0,158.0
2020-05-14,8351.0,293.0,5241.0,2817.0,82.0,3.0,194.0
2020-05-15,8406.0,295.0,5381.0,2730.0,55.0,2.0,140.0
2020-05-16,8455.0,296.0,5422.0,2737.0,49.0,1.0,41.0
2020-05-17,8475.0,298.0,5462.0,2715.0,20.0,2.0,40.0
2020-05-18,8586.0,297.0,5641.0,2648.0,111.0,-1.0,179.0
2020-05-19,8647.0,302.0,5726.0,2619.0,61.0,5.0,85.0
2020-05-20,8721.0,304.0,5830.0,2587.0,74.0,2.0,104.0
2020-05-21,8754.0,306.0,5926.0,2522.0,33.0,2.0,96.0
2020-05-22,8813.0,312.0,6025.0,2476.0,59.0,6.0,99.0
2020-05-23,8890.0,314.0,6044.0,2532.0,77.0,2.0,19.0
2020-05-24,8955.0,315.0,6078.0,2562.0,65.0,1.0,34.0
2020-05-25,9002.0,317.0,6182.0,2503.0,47.0,2.0,104.0
2020-05-26,9050.0,317.0,6270.0,2463.0,48.0,0.0,88.0
2020-05-27,9086.0,317.0,6370.0,2399.0,36.0,0.0,100.0
2020-05-28,9140.0,319.0,6460.0,2361.0,54.0,2.0,90.0
2020-05-29,9196.0,319.0,6500.0,2377.0,56.0,0.0,40.0
2020-05-30,9230.0,319.0,6546.0,2365.0,34.0,0.0,46.0
2020-05-31,9268.0,320.0,6558.0,2390.0,38.0,1.0,12.0
2020-06-01,9302.0,321.0,6642.0,2339.0,34.0,1.0,84.0
2020-06-02,9364.0,323.0,6686.0,2355.0,62.0,2.0,44.0
2020-06-03,9438.0,325.0,6749.0,2364.0,74.0,2.0,63.0
2020-06-04,9494.0,326.0,6809.0,2359.0,56.0,1.0,60.0
2020-06-05,9529.0,327.0,6881.0,2321.0,35.0,1.0,72.0
2020-06-06,9567.0,327.0,6885.0,2355.0,38.0,0.0,4.0
2020-06-07,9628.0,327.0,6891.0,2410.0,61.0,0.0,6.0
2020-06-08,9697.0,328.0,6994.0,2375.0,69.0,1.0,103.0
2020-06-09,9751.0,328.0,7053.0,2370.0,54.0,0.0,59.0
2020-06-10,9824.0,330.0,7111.0,2383.0,73.0,2.0,58.0
2020-06-11,9855.0,328.0,7166.0,2361.0,31.0,-2.0,55.0
2020-06-12,9938.0,329.0,7215.0,2394.0,83.0,1.0,49.0
2020-06-13,9991.0,328.0,7219.0,2444.0,53.0,-1.0,4.0
2020-06-14,10024.0,329.0,7226.0,2469.0,33.0,1.0,7.0
2020-06-15,10064.0,330.0,7296.0,2438.0,40.0,1.0,70.0
2020-06-16,10111.0,331.0,7358.0,2422.0,47.0,1.0,62.0
2020-06-17,10162.0,333.0,7399.0,2430.0,51.0,2.0,41.0
2020-06-18,10280.0,334.0,7440.0,2506.0,118.0,1.0,41.0
2020-06-19,10406.0,335.0,7473.0,2598.0,126.0,1.0,33.0
2020-06-20,10448.0,336.0,7477.0,2635.0,42.0,1.0,4.0
2020-06-21,10498.0,336.0,7499.0,2663.0,50.0,0.0,22.0
2020-06-22,10523.0,336.0,7537.0,2650.0,25.0,0.0,38.0
2020-06-23,10650.0,339.0,7555.0,2756.0,127.0,3.0,18.0
2020-06-24,10777.0,343.0,7588.0,2846.0,127.0,4.0,33.0
2020-06-25,10870.0,345.0,7649.0,2876.0,93.0,2.0,61.0
2020-06-26,11038.0,349.0,7668.0,3021.0,168.0,4.0,19.0
2020-06-27,11298.0,349.0,7682.0,3267.0,260.0,0.0,14.0
2020-06-28,11603.0,348.0,7705.0,3550.0,305.0,-1.0,23.0
2020-06-29,11805.0,348.0,7746.0,3711.0,202.0,0.0,41.0
2020-06-30,11954.0,349.0,7771.0,3834.0,149.0,1.0,25.0
2020-07-01,12046.0,349.0,7797.0,3900.0,92.0,0.0,26.0
2020-07-02,12178.0,353.0,7822.0,4003.0,132.0,4.0,25.0
2020-07-03,12319.0,353.0,7848.0,4118.0,141.0,0.0,26.0
2020-07-04,12440.0,351.0,7852.0,4237.0,121.0,-2.0,4.0
2020-07-05,12515.0,348.0,7864.0,4303.0,75.0,-3.0,12.0
2020-07-06,12566.0,350.0,7873.0,4343.0,51.0,2.0,9.0
2020-07-07,12685.0,351.0,7910.0,4424.0,119.0,1.0,37.0
2020-07-08,12814.0,351.0,8010.0,4453.0,129.0,0.0,100.0
2020-07-09,12919.0,352.0,8128.0,4439.0,105.0,1.0,118.0
2020-07-10,13001.0,352.0,8208.0,4441.0,82.0,0.0,80.0
2020-07-11,13115.0,352.0,8227.0,4536.0,114.0,0.0,19.0
2020-07-12,13174.0,352.0,8247.0,4575.0,59.0,0.0,20.0
2020-07-13,13238.0,353.0,8373.0,4512.0,64.0,1.0,126.0
2020-07-14,13341.0,355.0,8441.0,4545.0,103.0,2.0,68.0
2020-07-15,13475.0,355.0,8507.0,4613.0,134.0,0.0,66.0
2020-07-16,13612.0,355.0,8640.0,4617.0,137.0,0.0,133.0
2020-07-17,13742.0,358.0,8725.0,4659.0,130.0,3.0,85.0
2020-07-18,13855.0,358.0,8733.0,4764.0,113.0,0.0,8.0
2020-07-19,13945.0,359.0,8761.0,4825.0,90.0,1.0,28.0
2020-07-20,14098.0,359.0,8836.0,4903.0,153.0,0.0,75.0
2020-07-21,14324.0,360.0,8918.0,5046.0,226.0,1.0,82.0
2020-07-22,14570.0,364.0,9144.0,5062.0,246.0,4.0,226.0
2020-07-23,14800.0,365.0,9328.0,5107.0,230.0,1.0,184.0
2020-07-24,15081.0,369.0,9422.0,5290.0,281.0,4.0,94.0
2020-07-25,15212.0,369.0,9590.0,5253.0,131.0,0.0,168.0
2020-07-26,15324.0,371.0,11428.0,3525.0,112.0,2.0,1838.0
2020-07-27,15516.0,373.0,11428.0,3715.0,192.0,2.0,0.0
2020-07-28,15799.0,374.0,11428.0,3997.0,283.0,1.0,0.0
2020-07-29,16093.0,374.0,11429.0,4290.0,294.0,0.0,1.0
2020-07-30,16371.0,379.0,11482.0,4510.0,278.0,5.0,53.0
2020-07-31,16574.0,382.0,11569.0,4623.0,203.0,3.0,87.0
2020-08-01,16699.0,383.0,11587.0,4729.0,125.0,1.0,18.0
2020-08-02,16800.0,384.0,11605.0,4811.0,101.0,1.0,18.0
2020-08-03,17008.0,386.0,11708.0,4914.0,208.0,2.0,103.0
2020-08-04,17286.0,383.0,11812.0,5091.0,278.0,-3.0,104.0
2020-08-05,17529.0,388.0,11909.0,5232.0,243.0,5.0,97.0
2020-08-06,17731.0,390.0,12320.0,5021.0,202.0,2.0,411.0
2020-08-07,18060.0,389.0,12749.0,4922.0,329.0,-1.0,429.0
2020-08-08,18235.0,389.0,12764.0,5082.0,175.0,0.0,15.0
2020-08-09,18353.0,390.0,12785.0,5178.0,118.0,1.0,21.0
2020-08-10,18494.0,390.0,12983.0,5121.0,141.0,0.0,198.0
2020-08-11,18783.0,391.0,13222.0,5170.0,289.0,1.0,239.0
2020-08-12,19075.0,391.0,13407.0,5277.0,292.0,0.0,185.0
2020-08-13,19401.0,391.0,13574.0,5436.0,326.0,0.0,167.0
2020-08-14,19693.0,394.0,13731.0,5568.0,292.0,3.0,157.0
2020-08-15,19891.0,395.0,13763.0,5733.0,198.0,1.0,32.0
2020-08-16,20012.0,397.0,13799.0,5816.0,121.0,2.0,36.0
2020-08-17,20202.0,399.0,14622.0,5181.0,190.0,2.0,823.0
2020-08-18,20483.0,401.0,15146.0,4936.0,281.0,2.0,524.0
2020-08-19,20798.0,404.0,15615.0,4779.0,315.0,3.0,469.0
2020-08-20,21045.0,406.0,15886.0,4753.0,247.0,2.0,271.0
2020-08-21,21551.0,411.0,16040.0,5100.0,506.0,5.0,154.0
2020-08-22,21790.0,411.0,16087.0,5292.0,239.0,0.0,47.0
2020-08-23,21923.0,412.0,16125.0,5386.0,133.0,1.0,38.0
2020-08-24,22181.0,415.0,16376.0,5390.0,258.0,3.0,251.0
2020-08-25,22548.0,416.0,16662.0,5470.0,367.0,1.0,286.0
2020-08-26,22951.0,418.0,16954.0,5579.0,403.0,2.0,292.0
2020-08-27,23169.0,418.0,17190.0,5561.0,218.0,0.0,236.0
2020-08-28,23777.0,419.0,17497.0,5861.0,608.0,1.0,307.0
2020-08-29,24094.0,421.0,17541.0,6132.0,317.0,2.0,44.0
2020-08-30,24367.0,423.0,17547.0,6397.0,273.0,2.0,6.0
2020-08-31,24618.0,424.0,17807.0,6387.0,251.0,1.0,260.0
