date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-01,6.0,0.0,0.0,6.0,,,
2020-03-02,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-03,7.0,0.0,0.0,7.0,1.0,0.0,0.0
2020-03-04,10.0,0.0,0.0,10.0,3.0,0.0,0.0
2020-03-05,13.0,0.0,0.0,13.0,3.0,0.0,0.0
2020-03-06,13.0,0.0,0.0,13.0,0.0,0.0,0.0
2020-03-07,13.0,0.0,0.0,13.0,0.0,0.0,0.0
2020-03-08,14.0,0.0,0.0,14.0,1.0,0.0,0.0
2020-03-09,15.0,0.0,0.0,15.0,1.0,0.0,0.0
2020-03-10,15.0,0.0,0.0,15.0,0.0,0.0,0.0
2020-03-11,17.0,0.0,0.0,17.0,2.0,0.0,0.0
2020-03-12,17.0,0.0,0.0,17.0,0.0,0.0,0.0
2020-03-13,17.0,0.0,0.0,17.0,0.0,0.0,0.0
2020-03-14,28.0,2.0,0.0,26.0,11.0,2.0,0.0
2020-03-15,28.0,2.0,0.0,26.0,0.0,0.0,0.0
2020-03-16,37.0,2.0,0.0,35.0,9.0,0.0,0.0
2020-03-17,58.0,2.0,0.0,56.0,21.0,0.0,0.0
2020-03-18,111.0,2.0,0.0,109.0,53.0,0.0,0.0
2020-03-19,199.0,3.0,0.0,196.0,88.0,1.0,0.0
2020-03-20,367.0,5.0,0.0,362.0,168.0,2.0,0.0
2020-03-21,506.0,7.0,3.0,496.0,139.0,2.0,3.0
2020-03-22,789.0,14.0,3.0,772.0,283.0,7.0,0.0
2020-03-23,981.0,18.0,3.0,960.0,192.0,4.0,0.0
2020-03-24,1082.0,27.0,3.0,1052.0,101.0,9.0,0.0
2020-03-25,1173.0,28.0,3.0,1142.0,91.0,1.0,0.0
2020-03-26,1403.0,34.0,3.0,1366.0,230.0,6.0,0.0
2020-03-27,1595.0,36.0,3.0,1556.0,192.0,2.0,0.0
2020-03-28,1823.0,48.0,3.0,1772.0,228.0,12.0,0.0
2020-03-29,1924.0,58.0,3.0,1863.0,101.0,10.0,0.0
2020-03-30,1962.0,60.0,3.0,1899.0,38.0,2.0,0.0
2020-03-31,2240.0,75.0,54.0,2111.0,278.0,15.0,51.0
2020-04-01,2748.0,93.0,58.0,2597.0,508.0,18.0,4.0
2020-04-02,3163.0,120.0,65.0,2978.0,415.0,27.0,7.0
2020-04-03,3368.0,145.0,65.0,3158.0,205.0,25.0,0.0
2020-04-04,3465.0,172.0,100.0,3193.0,97.0,27.0,35.0
2020-04-05,3646.0,180.0,100.0,3366.0,181.0,8.0,0.0
2020-04-06,3747.0,191.0,100.0,3456.0,101.0,11.0,0.0
2020-04-07,3747.0,191.0,100.0,3456.0,0.0,0.0,0.0
2020-04-08,4450.0,242.0,140.0,4068.0,703.0,51.0,40.0
2020-04-09,4965.0,272.0,339.0,4354.0,515.0,30.0,199.0
2020-04-10,7161.0,297.0,368.0,6496.0,2196.0,25.0,29.0
2020-04-11,7257.0,315.0,411.0,6531.0,96.0,18.0,43.0
2020-04-12,7466.0,333.0,501.0,6632.0,209.0,18.0,90.0
2020-04-13,7529.0,355.0,597.0,6577.0,63.0,22.0,96.0
2020-04-14,7603.0,369.0,696.0,6538.0,74.0,14.0,99.0
2020-04-15,7858.0,388.0,780.0,6690.0,255.0,19.0,84.0
2020-04-16,8225.0,403.0,838.0,6984.0,367.0,15.0,58.0
2020-04-17,8450.0,421.0,838.0,7191.0,225.0,18.0,0.0
2020-04-18,9022.0,456.0,1008.0,7558.0,572.0,35.0,170.0
2020-04-19,9468.0,474.0,1061.0,7933.0,446.0,18.0,53.0
2020-04-20,10128.0,507.0,1150.0,8471.0,660.0,33.0,89.0
2020-04-21,10398.0,520.0,1207.0,8671.0,270.0,13.0,57.0
2020-04-22,10850.0,537.0,1262.0,9051.0,452.0,17.0,55.0
2020-04-23,11183.0,560.0,1328.0,9295.0,333.0,23.0,66.0
2020-04-24,22719.0,576.0,1366.0,20777.0,11536.0,16.0,38.0
2020-04-25,22719.0,576.0,1366.0,20777.0,0.0,0.0,0.0
2020-04-26,22719.0,576.0,1366.0,20777.0,0.0,0.0,0.0
2020-04-27,23240.0,663.0,1557.0,21020.0,521.0,87.0,191.0
2020-04-28,24258.0,871.0,1557.0,21830.0,1018.0,208.0,0.0
2020-04-29,24675.0,883.0,1557.0,22235.0,417.0,12.0,0.0
2020-04-30,24934.0,900.0,1558.0,22476.0,259.0,17.0,1.0
2020-05-01,26336.0,1063.0,1913.0,23360.0,1402.0,163.0,355.0
2020-05-02,27464.0,1371.0,2132.0,23961.0,1128.0,308.0,219.0
2020-05-03,29538.0,1564.0,3300.0,24674.0,2074.0,193.0,1168.0
2020-05-04,31881.0,1569.0,3433.0,26879.0,2343.0,5.0,133.0
2020-05-05,31881.0,1569.0,3433.0,26879.0,0.0,0.0,0.0
2020-05-06,31881.0,1618.0,3433.0,26830.0,0.0,49.0,0.0
2020-05-07,30298.0,1654.0,3433.0,25211.0,-1583.0,36.0,0.0
2020-05-08,28818.0,1704.0,3433.0,23681.0,-1480.0,50.0,0.0
2020-05-09,29071.0,1717.0,3433.0,23921.0,253.0,13.0,0.0
2020-05-10,29559.0,2127.0,3433.0,23999.0,488.0,410.0,0.0
2020-05-11,29509.0,2145.0,3433.0,23931.0,-50.0,18.0,0.0
2020-05-12,30419.0,2327.0,3433.0,24659.0,910.0,182.0,0.0
2020-05-13,30486.0,2334.0,3433.0,24719.0,67.0,7.0,0.0
2020-05-14,30502.0,2338.0,3433.0,24731.0,16.0,4.0,0.0
2020-05-15,31467.0,2594.0,3433.0,25440.0,965.0,256.0,0.0
2020-05-16,32763.0,2688.0,3433.0,26642.0,1296.0,94.0,0.0
2020-05-17,33182.0,2736.0,3433.0,27013.0,419.0,48.0,0.0
2020-05-18,33582.0,2799.0,3433.0,27350.0,400.0,63.0,0.0
2020-05-19,34151.0,2839.0,3457.0,27855.0,569.0,40.0,24.0
2020-05-20,34854.0,2888.0,3557.0,28409.0,703.0,49.0,100.0
2020-05-21,35306.0,2939.0,3557.0,28810.0,452.0,51.0,0.0
2020-05-22,35828.0,3056.0,3557.0,29215.0,522.0,117.0,0.0
2020-05-23,36258.0,3096.0,3557.0,29605.0,430.0,40.0,0.0
2020-05-24,36756.0,3108.0,3560.0,30088.0,498.0,12.0,3.0
2020-05-25,37355.0,3203.0,18003.0,16149.0,599.0,95.0,14443.0
2020-05-26,37355.0,3203.0,18003.0,16149.0,0.0,0.0,0.0
2020-05-27,38103.0,3275.0,18425.0,16403.0,748.0,72.0,422.0
2020-05-28,38471.0,3313.0,18425.0,16733.0,368.0,38.0,0.0
2020-05-29,38571.0,3334.0,19190.0,16047.0,100.0,21.0,765.0
2020-05-30,38571.0,3334.0,19190.0,16047.0,0.0,0.0,0.0
2020-05-31,39098.0,3358.0,19592.0,16148.0,527.0,24.0,402.0
2020-06-01,39098.0,3358.0,19592.0,16148.0,0.0,0.0,0.0
2020-06-02,40414.0,3438.0,20019.0,16957.0,1316.0,80.0,427.0
2020-06-03,40966.0,3486.0,20019.0,17461.0,552.0,48.0,0.0
2020-06-04,40966.0,3486.0,20019.0,17461.0,0.0,0.0,0.0
2020-06-05,41575.0,3534.0,20568.0,17473.0,609.0,48.0,549.0
2020-06-06,42728.0,3608.0,21020.0,18100.0,1153.0,74.0,452.0
2020-06-07,43120.0,3621.0,21020.0,18479.0,392.0,13.0,0.0
2020-06-08,43378.0,3642.0,21020.0,18716.0,258.0,21.0,0.0
2020-06-09,43917.0,3690.0,21020.0,19207.0,539.0,48.0,0.0
2020-06-10,44440.0,3720.0,21862.0,18858.0,523.0,30.0,842.0
2020-06-11,44440.0,3720.0,21862.0,18858.0,0.0,0.0,0.0
2020-06-12,45778.0,3828.0,22679.0,19271.0,1338.0,108.0,817.0
2020-06-13,46356.0,3874.0,22865.0,19617.0,578.0,46.0,186.0
2020-06-14,46751.0,3896.0,23064.0,19791.0,395.0,22.0,199.0
2020-06-15,47322.0,3929.0,23349.0,20044.0,571.0,33.0,285.0
2020-06-16,47943.0,3970.0,23684.0,20289.0,621.0,41.0,335.0
2020-06-17,48490.0,4007.0,23881.0,20602.0,547.0,37.0,197.0
2020-06-18,49097.0,4087.0,24123.0,20887.0,607.0,80.0,242.0
2020-06-19,49731.0,4156.0,24446.0,21129.0,634.0,69.0,323.0
2020-06-20,49731.0,4156.0,24446.0,21129.0,0.0,0.0,0.0
