date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-19,1.0,0.0,0.0,1.0,,,
2020-03-20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-21,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-22,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-23,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-24,5.0,0.0,0.0,5.0,2.0,0.0,0.0
2020-03-25,9.0,0.0,0.0,9.0,4.0,0.0,0.0
2020-03-26,13.0,0.0,0.0,13.0,4.0,0.0,0.0
2020-03-27,13.0,0.0,0.0,13.0,0.0,0.0,0.0
2020-03-28,19.0,0.0,0.0,19.0,6.0,0.0,0.0
2020-03-29,24.0,0.0,0.0,24.0,5.0,0.0,0.0
2020-03-30,30.0,0.0,0.0,30.0,6.0,0.0,0.0
2020-03-31,32.0,1.0,0.0,31.0,2.0,1.0,0.0
2020-04-01,32.0,1.0,0.0,31.0,0.0,0.0,0.0
2020-04-02,41.0,2.0,0.0,39.0,9.0,1.0,0.0
2020-04-03,46.0,2.0,0.0,44.0,5.0,0.0,0.0
2020-04-04,56.0,3.0,2.0,51.0,10.0,1.0,2.0
2020-04-05,62.0,3.0,2.0,57.0,6.0,0.0,0.0
2020-04-06,69.0,4.0,5.0,60.0,7.0,1.0,3.0
2020-04-07,78.0,4.0,5.0,69.0,9.0,0.0,0.0
2020-04-08,93.0,5.0,9.0,79.0,15.0,1.0,4.0
2020-04-09,103.0,6.0,14.0,83.0,10.0,1.0,5.0
2020-04-10,117.0,6.0,15.0,96.0,14.0,0.0,1.0
2020-04-11,118.0,6.0,19.0,93.0,1.0,0.0,4.0
2020-04-12,125.0,6.0,21.0,98.0,7.0,0.0,2.0
2020-04-13,137.0,6.0,22.0,109.0,12.0,0.0,1.0
2020-04-14,149.0,6.0,25.0,118.0,12.0,0.0,3.0
2020-04-15,159.0,6.0,30.0,123.0,10.0,0.0,5.0
2020-04-16,164.0,6.0,33.0,125.0,5.0,0.0,3.0
2020-04-17,177.0,7.0,38.0,132.0,13.0,1.0,5.0
2020-04-18,190.0,7.0,43.0,140.0,13.0,0.0,5.0
2020-04-19,201.0,7.0,44.0,150.0,11.0,0.0,1.0
2020-04-20,218.0,7.0,46.0,165.0,17.0,0.0,2.0
2020-04-21,225.0,7.0,48.0,170.0,7.0,0.0,2.0
2020-04-22,237.0,7.0,63.0,167.0,12.0,0.0,15.0
2020-04-23,250.0,8.0,67.0,175.0,13.0,1.0,4.0
2020-04-24,274.0,8.0,75.0,191.0,24.0,0.0,8.0
2020-04-25,274.0,8.0,75.0,191.0,0.0,0.0,0.0
2020-04-26,298.0,8.0,83.0,207.0,24.0,0.0,8.0
2020-04-27,323.0,8.0,89.0,226.0,25.0,0.0,6.0
2020-04-28,345.0,8.0,97.0,240.0,22.0,0.0,8.0
2020-04-29,377.0,9.0,106.0,262.0,32.0,1.0,9.0
2020-04-30,395.0,10.0,119.0,266.0,18.0,1.0,13.0
2020-05-01,424.0,10.0,124.0,290.0,29.0,0.0,5.0
2020-05-02,446.0,11.0,141.0,294.0,22.0,1.0,17.0
2020-05-03,490.0,11.0,154.0,325.0,44.0,0.0,13.0
2020-05-04,555.0,13.0,180.0,362.0,65.0,2.0,26.0
2020-05-05,587.0,14.0,205.0,368.0,32.0,1.0,25.0
2020-05-06,633.0,15.0,219.0,399.0,46.0,1.0,14.0
2020-05-07,695.0,15.0,252.0,428.0,62.0,0.0,33.0
2020-05-08,742.0,16.0,257.0,469.0,47.0,1.0,5.0
2020-05-09,784.0,17.0,276.0,491.0,42.0,1.0,19.0
2020-05-10,889.0,17.0,293.0,579.0,105.0,0.0,17.0
2020-05-11,958.0,18.0,325.0,615.0,69.0,1.0,32.0
2020-05-12,998.0,20.0,349.0,629.0,40.0,2.0,24.0
2020-05-13,1037.0,20.0,374.0,643.0,39.0,0.0,25.0
2020-05-14,1112.0,23.0,405.0,684.0,75.0,3.0,31.0
2020-05-15,1210.0,25.0,417.0,768.0,98.0,2.0,12.0
2020-05-16,1265.0,26.0,441.0,798.0,55.0,1.0,24.0
2020-05-17,1338.0,30.0,464.0,844.0,73.0,4.0,23.0
2020-05-18,1413.0,30.0,474.0,909.0,75.0,0.0,10.0
2020-05-19,1498.0,30.0,502.0,966.0,85.0,0.0,28.0
2020-05-20,1571.0,31.0,537.0,1003.0,73.0,1.0,35.0
2020-05-21,1640.0,33.0,544.0,1063.0,69.0,2.0,7.0
2020-05-22,1725.0,33.0,570.0,1122.0,85.0,0.0,26.0
2020-05-23,1819.0,33.0,570.0,1216.0,94.0,0.0,0.0
2020-05-24,1915.0,35.0,633.0,1247.0,96.0,2.0,63.0
2020-05-25,1983.0,35.0,772.0,1176.0,68.0,0.0,139.0
2020-05-26,2042.0,36.0,787.0,1219.0,59.0,1.0,15.0
2020-05-27,2109.0,39.0,891.0,1179.0,67.0,3.0,104.0
2020-05-28,2194.0,39.0,1002.0,1153.0,85.0,0.0,111.0
2020-05-29,2278.0,42.0,1015.0,1221.0,84.0,3.0,13.0
2020-05-30,2395.0,46.0,1031.0,1318.0,117.0,4.0,16.0
2020-05-31,2517.0,46.0,1040.0,1431.0,122.0,0.0,9.0
2020-06-01,2582.0,46.0,1063.0,1473.0,65.0,0.0,23.0
2020-06-02,2653.0,49.0,1160.0,1444.0,71.0,3.0,97.0
2020-06-03,2705.0,51.0,1186.0,1468.0,52.0,2.0,26.0
2020-06-04,2781.0,52.0,1214.0,1515.0,76.0,1.0,28.0
2020-06-05,2849.0,53.0,1249.0,1547.0,68.0,1.0,35.0
2020-06-06,2934.0,53.0,1281.0,1600.0,85.0,0.0,32.0
2020-06-07,3015.0,53.0,1305.0,1657.0,81.0,0.0,24.0
2020-06-08,3104.0,56.0,1379.0,1669.0,89.0,3.0,74.0
2020-06-09,3191.0,60.0,1419.0,1712.0,87.0,4.0,40.0
2020-06-10,3274.0,64.0,1438.0,1772.0,83.0,4.0,19.0
2020-06-11,3373.0,68.0,1504.0,1801.0,99.0,4.0,66.0
2020-06-12,3481.0,68.0,1587.0,1826.0,108.0,0.0,83.0
2020-06-13,3603.0,72.0,1738.0,1793.0,122.0,4.0,151.0
2020-06-14,3720.0,74.0,1846.0,1800.0,117.0,2.0,108.0
2020-06-15,3826.0,74.0,1926.0,1826.0,106.0,0.0,80.0
2020-06-16,3941.0,76.0,2041.0,1824.0,115.0,2.0,115.0
2020-06-17,4066.0,79.0,2137.0,1850.0,125.0,3.0,96.0
2020-06-18,4200.0,82.0,2235.0,1883.0,134.0,3.0,98.0
2020-06-19,4329.0,86.0,2310.0,1933.0,129.0,4.0,75.0
2020-06-20,4475.0,93.0,2449.0,1933.0,146.0,7.0,139.0
2020-06-21,4626.0,98.0,2535.0,1993.0,151.0,5.0,86.0
2020-06-22,4808.0,107.0,2655.0,2046.0,182.0,9.0,120.0
2020-06-23,4973.0,113.0,2814.0,2046.0,165.0,6.0,159.0
2020-06-24,5150.0,119.0,2924.0,2107.0,177.0,6.0,110.0
2020-06-25,5336.0,126.0,3116.0,2094.0,186.0,7.0,192.0
2020-06-26,5517.0,133.0,3291.0,2093.0,181.0,7.0,175.0
2020-06-27,5727.0,143.0,3447.0,2137.0,210.0,10.0,156.0
2020-06-28,5934.0,152.0,3557.0,2225.0,207.0,9.0,110.0
2020-06-29,6173.0,164.0,3648.0,2361.0,239.0,12.0,91.0
2020-06-30,6438.0,174.0,3770.0,2494.0,265.0,10.0,122.0
2020-07-01,6736.0,182.0,3964.0,2590.0,298.0,8.0,194.0
