date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-15,1.0,0.0,0.0,1.0,,,
2020-03-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-18,4.0,0.0,0.0,4.0,3.0,0.0,0.0
2020-03-19,6.0,0.0,0.0,6.0,2.0,0.0,0.0
2020-03-20,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-21,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-22,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-23,9.0,0.0,0.0,9.0,3.0,0.0,0.0
2020-03-24,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-25,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-26,12.0,0.0,0.0,12.0,3.0,0.0,0.0
2020-03-27,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-03-28,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-03-29,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-03-30,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-03-31,12.0,0.0,1.0,11.0,0.0,0.0,1.0
2020-04-01,15.0,0.0,1.0,14.0,3.0,0.0,0.0
2020-04-02,15.0,0.0,1.0,14.0,0.0,0.0,0.0
2020-04-03,16.0,0.0,1.0,15.0,1.0,0.0,0.0
2020-04-04,16.0,0.0,1.0,15.0,0.0,0.0,0.0
2020-04-05,16.0,0.0,1.0,15.0,0.0,0.0,0.0
2020-04-06,16.0,0.0,3.0,13.0,0.0,0.0,2.0
2020-04-07,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-08,18.0,0.0,3.0,15.0,2.0,0.0,0.0
2020-04-09,18.0,0.0,3.0,15.0,0.0,0.0,0.0
2020-04-10,18.0,0.0,3.0,15.0,0.0,0.0,0.0
2020-04-11,18.0,0.0,3.0,15.0,0.0,0.0,0.0
2020-04-12,21.0,0.0,3.0,18.0,3.0,0.0,0.0
2020-04-13,21.0,0.0,4.0,17.0,0.0,0.0,1.0
2020-04-14,41.0,0.0,4.0,37.0,20.0,0.0,0.0
2020-04-15,51.0,0.0,4.0,47.0,10.0,0.0,0.0
2020-04-16,51.0,0.0,4.0,47.0,0.0,0.0,0.0
2020-04-17,79.0,0.0,4.0,75.0,28.0,0.0,0.0
2020-04-18,79.0,0.0,4.0,75.0,0.0,0.0,0.0
2020-04-19,79.0,0.0,4.0,75.0,0.0,0.0,0.0
2020-04-20,79.0,0.0,7.0,72.0,0.0,0.0,3.0
2020-04-21,83.0,0.0,7.0,76.0,4.0,0.0,0.0
2020-04-22,84.0,1.0,7.0,76.0,1.0,1.0,0.0
2020-04-23,84.0,1.0,7.0,76.0,0.0,0.0,0.0
2020-04-24,214.0,1.0,7.0,206.0,130.0,0.0,0.0
2020-04-25,258.0,1.0,7.0,250.0,44.0,0.0,0.0
2020-04-26,258.0,1.0,8.0,249.0,0.0,0.0,1.0
2020-04-27,258.0,1.0,9.0,248.0,0.0,0.0,1.0
2020-04-28,315.0,1.0,9.0,305.0,57.0,0.0,0.0
2020-04-29,315.0,1.0,9.0,305.0,0.0,0.0,0.0
2020-04-30,315.0,1.0,9.0,305.0,0.0,0.0,0.0
2020-05-01,315.0,1.0,9.0,305.0,0.0,0.0,0.0
2020-05-02,315.0,1.0,9.0,305.0,0.0,0.0,0.0
2020-05-03,315.0,1.0,9.0,305.0,0.0,0.0,0.0
2020-05-04,315.0,3.0,13.0,299.0,0.0,2.0,4.0
2020-05-05,315.0,3.0,13.0,299.0,0.0,0.0,0.0
2020-05-06,439.0,4.0,13.0,422.0,124.0,1.0,0.0
2020-05-07,439.0,4.0,13.0,422.0,0.0,0.0,0.0
2020-05-08,439.0,4.0,13.0,422.0,0.0,0.0,0.0
2020-05-09,439.0,4.0,13.0,422.0,0.0,0.0,0.0
2020-05-10,439.0,4.0,13.0,422.0,0.0,0.0,0.0
2020-05-11,439.0,4.0,13.0,422.0,0.0,0.0,0.0
2020-05-12,439.0,4.0,13.0,422.0,0.0,0.0,0.0
2020-05-13,522.0,6.0,13.0,503.0,83.0,2.0,0.0
2020-05-14,583.0,7.0,13.0,563.0,61.0,1.0,0.0
2020-05-15,594.0,7.0,22.0,565.0,11.0,0.0,9.0
2020-05-16,594.0,7.0,22.0,565.0,0.0,0.0,0.0
2020-05-17,594.0,7.0,22.0,565.0,0.0,0.0,0.0
2020-05-18,719.0,7.0,22.0,690.0,125.0,0.0,0.0
2020-05-19,825.0,7.0,22.0,796.0,106.0,0.0,0.0
2020-05-20,890.0,7.0,22.0,861.0,65.0,0.0,0.0
2020-05-21,903.0,10.0,22.0,871.0,13.0,3.0,0.0
2020-05-22,960.0,11.0,165.0,784.0,57.0,1.0,143.0
2020-05-23,960.0,11.0,165.0,784.0,0.0,0.0,0.0
2020-05-24,960.0,11.0,165.0,784.0,0.0,0.0,0.0
2020-05-25,1043.0,12.0,165.0,866.0,83.0,1.0,0.0
2020-05-26,1043.0,12.0,165.0,866.0,0.0,0.0,0.0
2020-05-27,1043.0,12.0,165.0,866.0,0.0,0.0,0.0
2020-05-28,1043.0,12.0,165.0,866.0,0.0,0.0,0.0
2020-05-29,1306.0,12.0,200.0,1094.0,263.0,0.0,35.0
2020-05-30,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-05-31,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-01,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-02,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-03,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-04,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-05,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-06,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-07,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-08,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-09,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-10,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-11,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-12,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-13,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-14,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-15,1306.0,12.0,200.0,1094.0,0.0,0.0,0.0
2020-06-16,1664.0,32.0,515.0,1117.0,358.0,20.0,315.0
2020-06-17,1664.0,32.0,515.0,1117.0,0.0,0.0,0.0
2020-06-18,1664.0,32.0,515.0,1117.0,0.0,0.0,0.0
2020-06-19,1664.0,32.0,515.0,1117.0,0.0,0.0,0.0
2020-06-20,1664.0,32.0,515.0,1117.0,0.0,0.0,0.0
2020-06-21,1664.0,32.0,515.0,1117.0,0.0,0.0,0.0
2020-06-22,1664.0,32.0,515.0,1117.0,0.0,0.0,0.0
2020-06-23,1664.0,32.0,515.0,1117.0,0.0,0.0,0.0
