date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-14,1.0,0.0,0.0,1.0,,,
2020-03-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-18,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-19,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-21,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-22,4.0,0.0,0.0,4.0,3.0,0.0,0.0
2020-03-23,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-24,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-25,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-26,6.0,0.0,0.0,6.0,2.0,0.0,0.0
2020-03-27,9.0,0.0,0.0,9.0,3.0,0.0,0.0
2020-03-28,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-29,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-30,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-31,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-01,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-02,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-03,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-04,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-05,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-06,10.0,0.0,4.0,6.0,1.0,0.0,4.0
2020-04-07,10.0,0.0,4.0,6.0,0.0,0.0,0.0
2020-04-08,12.0,0.0,7.0,5.0,2.0,0.0,3.0
2020-04-09,12.0,0.0,7.0,5.0,0.0,0.0,0.0
2020-04-10,12.0,0.0,7.0,5.0,0.0,0.0,0.0
2020-04-11,12.0,0.0,7.0,5.0,0.0,0.0,0.0
2020-04-12,14.0,0.0,7.0,7.0,2.0,0.0,0.0
2020-04-13,15.0,0.0,7.0,8.0,1.0,0.0,0.0
2020-04-14,15.0,0.0,8.0,7.0,0.0,0.0,1.0
2020-04-15,15.0,0.0,8.0,7.0,0.0,0.0,0.0
2020-04-16,16.0,1.0,8.0,7.0,1.0,1.0,0.0
2020-04-17,16.0,1.0,8.0,7.0,0.0,0.0,0.0
2020-04-18,22.0,1.0,8.0,13.0,6.0,0.0,0.0
2020-04-19,22.0,1.0,8.0,13.0,0.0,0.0,0.0
2020-04-20,24.0,1.0,8.0,15.0,2.0,0.0,0.0
2020-04-21,31.0,1.0,8.0,22.0,7.0,0.0,0.0
2020-04-22,31.0,1.0,8.0,22.0,0.0,0.0,0.0
2020-04-23,31.0,1.0,8.0,22.0,0.0,0.0,0.0
2020-04-24,36.0,1.0,10.0,25.0,5.0,0.0,2.0
2020-04-25,56.0,1.0,10.0,45.0,20.0,0.0,0.0
2020-04-26,59.0,1.0,10.0,48.0,3.0,0.0,0.0
2020-04-27,65.0,1.0,10.0,54.0,6.0,0.0,0.0
2020-04-28,71.0,1.0,10.0,60.0,6.0,0.0,0.0
2020-04-29,91.0,1.0,10.0,80.0,20.0,0.0,0.0
2020-04-30,100.0,1.0,12.0,87.0,9.0,0.0,2.0
2020-05-01,106.0,1.0,12.0,93.0,6.0,0.0,0.0
2020-05-02,108.0,1.0,12.0,95.0,2.0,0.0,0.0
2020-05-03,112.0,1.0,12.0,99.0,4.0,0.0,0.0
2020-05-04,116.0,1.0,12.0,103.0,4.0,0.0,0.0
2020-05-05,119.0,1.0,12.0,106.0,3.0,0.0,0.0
2020-05-06,123.0,2.0,12.0,109.0,4.0,1.0,0.0
2020-05-07,153.0,2.0,12.0,139.0,30.0,0.0,0.0
2020-05-08,159.0,2.0,12.0,145.0,6.0,0.0,0.0
