date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-29,1.0,0.0,0.0,0.0,,,
2020-01-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-11,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-12,2.0,0.0,1.0,1.0,0.0,0.0,1.0
2020-02-13,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-14,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-15,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-16,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-17,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-18,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-19,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-20,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-21,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-22,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-23,3.0,0.0,1.0,2.0,1.0,0.0,0.0
2020-02-24,3.0,0.0,1.0,2.0,0.0,0.0,0.0
2020-02-25,3.0,0.0,1.0,2.0,0.0,0.0,0.0
2020-02-26,4.0,0.0,1.0,3.0,1.0,0.0,0.0
2020-02-27,4.0,0.0,1.0,3.0,0.0,0.0,0.0
2020-02-28,5.0,0.0,1.0,4.0,1.0,0.0,0.0
2020-02-29,8.0,0.0,1.0,7.0,3.0,0.0,0.0
2020-03-01,9.0,0.0,1.0,8.0,1.0,0.0,0.0
2020-03-02,10.0,0.0,1.0,9.0,1.0,0.0,0.0
2020-03-03,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-03-04,14.0,0.0,1.0,13.0,4.0,0.0,0.0
2020-03-05,20.0,0.0,1.0,19.0,6.0,0.0,0.0
2020-03-06,21.0,0.0,1.0,20.0,1.0,0.0,0.0
2020-03-07,28.0,1.0,1.0,26.0,7.0,1.0,0.0
2020-03-08,35.0,1.0,1.0,33.0,7.0,0.0,0.0
2020-03-09,44.0,1.0,1.0,42.0,9.0,0.0,0.0
2020-03-10,61.0,1.0,1.0,59.0,17.0,0.0,0.0
2020-03-11,115.0,1.0,1.0,113.0,54.0,0.0,0.0
2020-03-12,191.0,1.0,1.0,189.0,76.0,0.0,0.0
2020-03-13,251.0,1.0,1.0,249.0,60.0,0.0,0.0
2020-03-14,279.0,2.0,1.0,276.0,28.0,1.0,0.0
2020-03-15,308.0,3.0,10.0,295.0,29.0,1.0,9.0
2020-03-16,361.0,3.0,10.0,348.0,53.0,0.0,0.0
2020-03-17,413.0,4.0,10.0,399.0,52.0,1.0,0.0
2020-03-18,460.0,6.0,10.0,444.0,47.0,2.0,0.0
2020-03-19,550.0,6.0,10.0,534.0,90.0,0.0,0.0
2020-03-20,649.0,7.0,10.0,632.0,99.0,1.0,0.0
2020-03-21,736.0,8.0,10.0,718.0,87.0,1.0,0.0
2020-03-22,823.0,10.0,10.0,803.0,87.0,2.0,0.0
2020-03-23,901.0,11.0,10.0,880.0,78.0,1.0,0.0
2020-03-24,985.0,15.0,10.0,960.0,84.0,4.0,0.0
2020-03-25,1084.0,16.0,10.0,1058.0,99.0,1.0,0.0
2020-03-26,1188.0,21.0,10.0,1157.0,104.0,5.0,0.0
2020-03-27,1301.0,25.0,10.0,1266.0,113.0,4.0,0.0
2020-03-28,1396.0,27.0,10.0,1359.0,95.0,2.0,0.0
2020-03-29,1473.0,31.0,10.0,1432.0,77.0,4.0,0.0
2020-03-30,1543.0,41.0,10.0,1492.0,70.0,10.0,0.0
2020-03-31,1672.0,51.0,10.0,1611.0,129.0,10.0,0.0
2020-04-01,1797.0,58.0,10.0,1729.0,125.0,7.0,0.0
2020-04-02,1946.0,62.0,300.0,1584.0,149.0,4.0,290.0
2020-04-03,2107.0,68.0,300.0,1739.0,161.0,6.0,0.0
2020-04-04,2306.0,73.0,300.0,1933.0,199.0,5.0,0.0
2020-04-05,2387.0,80.0,300.0,2007.0,81.0,7.0,0.0
2020-04-06,2509.0,84.0,300.0,2125.0,122.0,4.0,0.0
2020-04-07,2718.0,94.0,300.0,2324.0,209.0,10.0,0.0
2020-04-08,2918.0,111.0,300.0,2507.0,200.0,17.0,0.0
2020-04-09,3056.0,119.0,300.0,2637.0,138.0,8.0,0.0
2020-04-10,3214.0,130.0,300.0,2784.0,158.0,11.0,0.0
2020-04-11,3285.0,133.0,300.0,2852.0,71.0,3.0,0.0
2020-04-12,3360.0,136.0,300.0,2924.0,75.0,3.0,0.0
2020-04-13,3440.0,147.0,300.0,2993.0,80.0,11.0,0.0
2020-04-14,3557.0,159.0,300.0,3098.0,117.0,12.0,0.0
