date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-24,2.0,0.0,0.0,0.0,,,
2020-01-25,3.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-26,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-29,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-30,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,6.0,0.0,0.0,6.0,1.0,0.0,0.0
2020-02-02,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-02-03,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-02-04,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-02-05,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-02-06,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-02-07,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-02-08,11.0,0.0,0.0,11.0,5.0,0.0,0.0
2020-02-09,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-02-10,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-02-11,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-02-12,11.0,0.0,2.0,9.0,0.0,0.0,2.0
2020-02-13,11.0,0.0,2.0,9.0,0.0,0.0,0.0
2020-02-14,11.0,0.0,2.0,9.0,0.0,0.0,0.0
2020-02-15,12.0,1.0,4.0,7.0,1.0,1.0,2.0
2020-02-16,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-17,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-18,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-19,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-20,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-21,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-22,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-23,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-24,12.0,1.0,4.0,7.0,0.0,0.0,0.0
2020-02-25,14.0,1.0,11.0,2.0,2.0,0.0,7.0
2020-02-26,18.0,2.0,11.0,5.0,4.0,1.0,0.0
2020-02-27,38.0,2.0,11.0,25.0,20.0,0.0,0.0
2020-02-28,57.0,2.0,11.0,44.0,19.0,0.0,0.0
2020-02-29,100.0,2.0,12.0,86.0,43.0,0.0,1.0
2020-03-01,130.0,2.0,12.0,116.0,30.0,0.0,0.0
2020-03-02,191.0,3.0,12.0,176.0,61.0,1.0,0.0
2020-03-03,212.0,4.0,12.0,196.0,21.0,1.0,0.0
2020-03-04,285.0,4.0,12.0,269.0,73.0,0.0,0.0
2020-03-05,423.0,7.0,12.0,404.0,138.0,3.0,0.0
2020-03-06,613.0,9.0,12.0,592.0,190.0,2.0,0.0
2020-03-07,938.0,16.0,12.0,910.0,325.0,7.0,0.0
2020-03-08,1115.0,19.0,12.0,1084.0,177.0,3.0,0.0
2020-03-09,1401.0,25.0,12.0,1364.0,286.0,6.0,0.0
2020-03-10,1773.0,33.0,12.0,1728.0,372.0,8.0,0.0
2020-03-11,2284.0,48.0,12.0,2224.0,511.0,15.0,0.0
2020-03-12,2284.0,48.0,12.0,2224.0,0.0,0.0,0.0
2020-03-13,3667.0,79.0,12.0,3576.0,1383.0,31.0,0.0
2020-03-14,4480.0,91.0,12.0,4377.0,813.0,12.0,0.0
2020-03-15,4513.0,91.0,12.0,4410.0,33.0,0.0,0.0
2020-03-16,6650.0,148.0,12.0,6490.0,2137.0,57.0,0.0
2020-03-17,7683.0,148.0,12.0,7523.0,1033.0,0.0,0.0
2020-03-18,9052.0,148.0,12.0,8892.0,1369.0,0.0,0.0
2020-03-19,10886.0,243.0,12.0,10631.0,1834.0,95.0,0.0
2020-03-20,12632.0,450.0,12.0,12170.0,1746.0,207.0,0.0
2020-03-21,14308.0,562.0,12.0,13734.0,1676.0,112.0,0.0
2020-03-22,16732.0,676.0,2201.0,13855.0,2424.0,114.0,2189.0
2020-03-23,20120.0,862.0,2207.0,17051.0,3388.0,186.0,6.0
2020-03-24,22372.0,1102.0,3288.0,17982.0,2252.0,240.0,1081.0
2020-03-25,25331.0,1333.0,3907.0,20091.0,2959.0,231.0,619.0
2020-03-26,29252.0,1697.0,4955.0,22600.0,3921.0,364.0,1048.0
2020-03-27,33045.0,1996.0,5707.0,25342.0,3793.0,299.0,752.0
2020-03-28,37693.0,2314.0,5724.0,29655.0,4648.0,318.0,17.0
2020-03-29,40296.0,2608.0,7226.0,30462.0,2603.0,294.0,1502.0
2020-03-30,44645.0,3025.0,7964.0,33656.0,4349.0,417.0,738.0
2020-03-31,52281.0,3526.0,9513.0,39242.0,7636.0,501.0,1549.0
2020-04-01,57125.0,4408.0,11053.0,41664.0,4844.0,882.0,1540.0
2020-04-02,59227.0,5388.0,12548.0,41291.0,2102.0,980.0,1495.0
2020-04-03,64452.0,6510.0,14135.0,43807.0,5225.0,1122.0,1587.0
2020-04-04,68724.0,7562.0,15572.0,45590.0,4272.0,1052.0,1437.0
2020-04-05,70586.0,8081.0,16349.0,46156.0,1862.0,519.0,777.0
2020-04-06,74504.0,8914.0,17428.0,48162.0,3918.0,833.0,1079.0
2020-04-07,78297.0,10330.0,19523.0,48444.0,3793.0,1416.0,2095.0
2020-04-08,82152.0,10874.0,21452.0,49826.0,3855.0,544.0,1929.0
2020-04-09,86449.0,12214.0,23413.0,50822.0,4297.0,1340.0,1961.0
2020-04-10,90793.0,13199.0,25195.0,52399.0,4344.0,985.0,1782.0
2020-04-11,93909.0,13835.0,26663.0,53411.0,3116.0,636.0,1468.0
2020-04-12,120750.0,14396.0,27469.0,78885.0,26841.0,561.0,806.0
2020-04-13,124414.0,14969.0,28001.0,81444.0,3664.0,573.0,532.0
2020-04-14,130377.0,15729.0,29098.0,85550.0,5963.0,760.0,1097.0
2020-04-15,133585.0,17169.0,31470.0,84946.0,3208.0,1440.0,2372.0
2020-04-16,146182.0,17922.0,33327.0,94933.0,12597.0,753.0,1857.0
2020-04-17,148103.0,18684.0,35006.0,94413.0,1921.0,762.0,1679.0
2020-04-18,151924.0,19325.0,36587.0,96012.0,3821.0,641.0,1581.0
2020-04-19,153041.0,19718.0,37183.0,96140.0,1117.0,393.0,596.0
2020-04-20,155489.0,20266.0,38036.0,97187.0,2448.0,548.0,853.0
2020-04-21,158197.0,20800.0,39819.0,97578.0,2708.0,534.0,1783.0
2020-04-22,160012.0,21344.0,41326.0,97342.0,1815.0,544.0,1507.0
2020-04-23,158315.0,21860.0,42762.0,93693.0,-1697.0,516.0,1436.0
2020-04-24,159969.0,22249.0,44271.0,93449.0,1654.0,389.0,1509.0
2020-04-25,161647.0,22618.0,45372.0,93657.0,1678.0,369.0,1101.0
2020-04-26,162280.0,22861.0,45681.0,93738.0,633.0,243.0,309.0
2020-04-27,165966.0,23298.0,46293.0,96375.0,3686.0,437.0,612.0
2020-04-28,169098.0,23665.0,47775.0,97658.0,3132.0,367.0,1482.0
2020-04-29,167643.0,24091.0,49118.0,94434.0,-1455.0,426.0,1343.0
2020-04-30,168861.0,24380.0,50380.0,94101.0,1218.0,289.0,1262.0
2020-05-01,169387.0,24597.0,51124.0,93666.0,526.0,217.0,744.0
2020-05-02,170179.0,24763.0,50663.0,94753.0,792.0,166.0,-461.0
2020-05-03,170540.0,24898.0,50885.0,94757.0,361.0,135.0,222.0
2020-05-04,171102.0,25204.0,51476.0,94422.0,562.0,306.0,591.0
2020-05-05,172219.0,25537.0,52842.0,93840.0,1117.0,333.0,1366.0
2020-05-06,176355.0,25812.0,54079.0,96464.0,4136.0,275.0,1237.0
2020-05-07,177096.0,25991.0,55191.0,95914.0,741.0,179.0,1112.0
2020-05-08,177627.0,26233.0,55892.0,95502.0,531.0,242.0,701.0
2020-05-09,178155.0,26313.0,56148.0,95694.0,528.0,80.0,256.0
2020-05-10,178404.0,26383.0,56327.0,95694.0,249.0,70.0,179.0
2020-05-11,178719.0,26646.0,56835.0,95238.0,315.0,263.0,508.0
2020-05-12,179472.0,26994.0,57898.0,94580.0,753.0,348.0,1063.0
2020-05-13,179993.0,27079.0,58786.0,94128.0,521.0,85.0,888.0
2020-05-14,180635.0,27430.0,59719.0,93486.0,642.0,351.0,933.0
2020-05-15,181148.0,27532.0,60562.0,93054.0,513.0,102.0,843.0
2020-05-16,181563.0,27630.0,60562.0,93371.0,415.0,98.0,0.0
2020-05-17,181703.0,28113.0,61327.0,92263.0,140.0,483.0,765.0
2020-05-18,182147.0,28242.0,61843.0,92062.0,444.0,129.0,516.0
2020-05-19,182648.0,28025.0,62678.0,91945.0,501.0,-217.0,835.0
2020-05-20,183129.0,28136.0,63472.0,91521.0,481.0,111.0,794.0
2020-05-21,183396.0,28218.0,63976.0,91202.0,267.0,82.0,504.0
2020-05-22,183813.0,28292.0,63986.0,91535.0,417.0,74.0,10.0
2020-05-23,184040.0,28335.0,63988.0,91717.0,227.0,43.0,2.0
2020-05-24,184259.0,28372.0,64735.0,91152.0,219.0,37.0,747.0
2020-05-25,184584.0,28461.0,65317.0,90806.0,325.0,89.0,582.0
2020-05-26,184839.0,28598.0,65997.0,90244.0,255.0,137.0,680.0
2020-05-27,185012.0,28599.0,66702.0,89711.0,173.0,1.0,705.0
2020-05-28,188355.0,28666.0,67309.0,92380.0,3343.0,67.0,607.0
2020-05-29,188949.0,28717.0,67921.0,92311.0,594.0,51.0,612.0
2020-05-30,190743.0,28774.0,68386.0,93583.0,1794.0,57.0,465.0
2020-05-31,190975.0,28805.0,68473.0,93697.0,232.0,31.0,87.0
2020-06-01,191382.0,28837.0,68558.0,93987.0,407.0,32.0,85.0
2020-06-02,190603.0,28943.0,68930.0,92730.0,-779.0,106.0,372.0
2020-06-03,190905.0,29024.0,69573.0,92308.0,302.0,81.0,643.0
2020-06-04,191737.0,29069.0,70094.0,92574.0,832.0,45.0,521.0
2020-06-05,192318.0,29114.0,70622.0,92582.0,581.0,45.0,528.0
2020-06-06,192890.0,29145.0,70924.0,92821.0,572.0,31.0,302.0
2020-06-07,193231.0,29158.0,70961.0,93112.0,341.0,13.0,37.0
2020-06-08,193505.0,29213.0,71182.0,93110.0,274.0,55.0,221.0
2020-06-09,193864.0,29301.0,71626.0,92937.0,359.0,88.0,444.0
2020-06-10,194489.0,29322.0,71952.0,93215.0,625.0,21.0,326.0
2020-06-11,194853.0,29349.0,72269.0,93235.0,364.0,27.0,317.0
2020-06-12,195654.0,29377.0,72695.0,93582.0,801.0,28.0,426.0
2020-06-13,196151.0,29401.0,72931.0,93819.0,497.0,24.0,236.0
2020-06-14,196541.0,29411.0,72982.0,94148.0,390.0,10.0,51.0
2020-06-15,196677.0,29439.0,73168.0,94070.0,136.0,28.0,186.0
2020-06-16,197038.0,29553.0,73459.0,94026.0,361.0,114.0,291.0
2020-06-17,197527.0,29578.0,73791.0,94158.0,489.0,25.0,332.0
2020-06-18,198113.0,29606.0,74011.0,94496.0,586.0,28.0,220.0
2020-06-19,198900.0,29620.0,74241.0,95039.0,787.0,14.0,230.0
2020-06-20,199519.0,29638.0,74436.0,95445.0,619.0,18.0,195.0
2020-06-21,199862.0,29644.0,74496.0,95722.0,343.0,6.0,60.0
2020-06-22,200004.0,29668.0,74736.0,95600.0,142.0,24.0,240.0
