date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-26,1.0,0.0,0.0,1.0,,,
2020-02-27,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-28,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-01,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-02,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-03,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-04,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-05,4.0,0.0,0.0,4.0,1.0,0.0,0.0
2020-03-06,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-07,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-08,13.0,0.0,0.0,13.0,9.0,0.0,0.0
2020-03-09,15.0,0.0,0.0,15.0,2.0,0.0,0.0
2020-03-10,15.0,0.0,0.0,15.0,0.0,0.0,0.0
2020-03-11,24.0,0.0,0.0,24.0,9.0,0.0,0.0
2020-03-12,24.0,0.0,0.0,24.0,0.0,0.0,0.0
2020-03-13,25.0,0.0,0.0,25.0,1.0,0.0,0.0
2020-03-14,30.0,0.0,0.0,30.0,5.0,0.0,0.0
2020-03-15,33.0,0.0,0.0,33.0,3.0,0.0,0.0
2020-03-16,33.0,0.0,1.0,32.0,0.0,0.0,1.0
2020-03-17,34.0,0.0,1.0,33.0,1.0,0.0,0.0
2020-03-18,38.0,0.0,1.0,37.0,4.0,0.0,0.0
2020-03-19,40.0,0.0,1.0,39.0,2.0,0.0,0.0
2020-03-20,43.0,0.0,1.0,42.0,3.0,0.0,0.0
2020-03-21,49.0,0.0,1.0,48.0,6.0,0.0,0.0
2020-03-22,54.0,0.0,1.0,53.0,5.0,0.0,0.0
2020-03-23,61.0,0.0,8.0,53.0,7.0,0.0,7.0
2020-03-24,70.0,0.0,9.0,61.0,9.0,0.0,1.0
2020-03-25,75.0,0.0,10.0,65.0,5.0,0.0,1.0
2020-03-26,79.0,0.0,11.0,68.0,4.0,0.0,1.0
2020-03-27,83.0,0.0,14.0,69.0,4.0,0.0,3.0
2020-03-28,90.0,0.0,14.0,76.0,7.0,0.0,0.0
2020-03-29,91.0,0.0,18.0,73.0,1.0,0.0,4.0
2020-03-30,103.0,0.0,20.0,83.0,12.0,0.0,2.0
2020-03-31,110.0,0.0,21.0,89.0,7.0,0.0,1.0
2020-04-01,117.0,0.0,23.0,94.0,7.0,0.0,2.0
2020-04-02,134.0,0.0,26.0,108.0,17.0,0.0,3.0
2020-04-03,155.0,0.0,28.0,127.0,21.0,0.0,2.0
2020-04-04,162.0,1.0,36.0,125.0,7.0,1.0,8.0
2020-04-05,174.0,2.0,36.0,136.0,12.0,1.0,0.0
2020-04-06,188.0,2.0,39.0,147.0,14.0,0.0,3.0
2020-04-07,196.0,3.0,46.0,147.0,8.0,1.0,7.0
2020-04-08,211.0,3.0,50.0,158.0,15.0,0.0,4.0
2020-04-09,218.0,3.0,51.0,164.0,7.0,0.0,1.0
2020-04-10,234.0,3.0,54.0,177.0,16.0,0.0,3.0
2020-04-11,242.0,3.0,60.0,179.0,8.0,0.0,6.0
2020-04-12,257.0,3.0,67.0,187.0,15.0,0.0,7.0
2020-04-13,272.0,3.0,68.0,201.0,15.0,0.0,1.0
2020-04-14,300.0,3.0,69.0,228.0,28.0,0.0,1.0
2020-04-15,306.0,3.0,71.0,232.0,6.0,0.0,2.0
2020-04-16,348.0,3.0,76.0,269.0,42.0,0.0,5.0
2020-04-17,370.0,3.0,79.0,288.0,22.0,0.0,3.0
2020-04-18,388.0,4.0,86.0,298.0,18.0,1.0,7.0
2020-04-19,394.0,4.0,93.0,297.0,6.0,0.0,7.0
2020-04-20,402.0,4.0,95.0,303.0,8.0,0.0,2.0
2020-04-21,408.0,4.0,97.0,307.0,6.0,0.0,2.0
2020-04-22,416.0,5.0,107.0,304.0,8.0,1.0,10.0
2020-04-23,425.0,5.0,111.0,309.0,9.0,0.0,4.0
2020-04-24,444.0,5.0,132.0,307.0,19.0,0.0,21.0
2020-04-25,456.0,5.0,139.0,312.0,12.0,0.0,7.0
2020-04-26,486.0,6.0,149.0,331.0,30.0,1.0,10.0
2020-04-27,497.0,6.0,156.0,335.0,11.0,0.0,7.0
2020-04-28,511.0,6.0,168.0,337.0,14.0,0.0,12.0
2020-04-29,517.0,6.0,178.0,333.0,6.0,0.0,10.0
2020-04-30,539.0,6.0,184.0,349.0,22.0,0.0,6.0
2020-05-01,566.0,7.0,207.0,352.0,27.0,1.0,23.0
2020-05-02,582.0,8.0,207.0,367.0,16.0,1.0,0.0
2020-05-03,589.0,9.0,223.0,357.0,7.0,1.0,16.0
2020-05-04,593.0,9.0,223.0,361.0,4.0,0.0,0.0
2020-05-05,604.0,9.0,240.0,355.0,11.0,0.0,17.0
2020-05-06,610.0,9.0,269.0,332.0,6.0,0.0,29.0
2020-05-07,615.0,9.0,275.0,331.0,5.0,0.0,6.0
