date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-28,4.0,0.0,0.0,0.0,,,
2020-01-29,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-01,8.0,0.0,0.0,8.0,3.0,0.0,0.0
2020-02-02,10.0,0.0,0.0,10.0,2.0,0.0,0.0
2020-02-03,12.0,0.0,0.0,12.0,2.0,0.0,0.0
2020-02-04,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-02-05,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-02-06,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-02-07,13.0,0.0,0.0,13.0,1.0,0.0,0.0
2020-02-08,13.0,0.0,0.0,13.0,0.0,0.0,0.0
2020-02-09,14.0,0.0,0.0,14.0,1.0,0.0,0.0
2020-02-10,14.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-02-11,16.0,0.0,0.0,16.0,2.0,0.0,0.0
2020-02-12,16.0,0.0,0.0,16.0,0.0,0.0,0.0
2020-02-13,16.0,0.0,1.0,15.0,0.0,0.0,1.0
2020-02-14,16.0,0.0,1.0,15.0,0.0,0.0,0.0
2020-02-15,16.0,0.0,1.0,15.0,0.0,0.0,0.0
2020-02-16,16.0,0.0,1.0,15.0,0.0,0.0,0.0
2020-02-17,16.0,0.0,1.0,15.0,0.0,0.0,0.0
2020-02-18,16.0,0.0,12.0,4.0,0.0,0.0,11.0
2020-02-19,16.0,0.0,12.0,4.0,0.0,0.0,0.0
2020-02-20,16.0,0.0,12.0,4.0,0.0,0.0,0.0
2020-02-21,16.0,0.0,14.0,2.0,0.0,0.0,2.0
2020-02-22,16.0,0.0,14.0,2.0,0.0,0.0,0.0
2020-02-23,16.0,0.0,14.0,2.0,0.0,0.0,0.0
2020-02-24,16.0,0.0,14.0,2.0,0.0,0.0,0.0
2020-02-25,17.0,0.0,14.0,3.0,1.0,0.0,0.0
2020-02-26,27.0,0.0,15.0,12.0,10.0,0.0,1.0
2020-02-27,46.0,0.0,16.0,30.0,19.0,0.0,1.0
2020-02-28,48.0,0.0,16.0,32.0,2.0,0.0,0.0
2020-02-29,79.0,0.0,16.0,63.0,31.0,0.0,0.0
2020-03-01,130.0,0.0,16.0,114.0,51.0,0.0,0.0
2020-03-02,159.0,0.0,16.0,143.0,29.0,0.0,0.0
2020-03-03,196.0,0.0,16.0,180.0,37.0,0.0,0.0
2020-03-04,262.0,0.0,16.0,246.0,66.0,0.0,0.0
2020-03-05,482.0,0.0,16.0,466.0,220.0,0.0,0.0
2020-03-06,670.0,0.0,17.0,653.0,188.0,0.0,1.0
2020-03-07,799.0,0.0,18.0,781.0,129.0,0.0,1.0
2020-03-08,1040.0,0.0,18.0,1022.0,241.0,0.0,0.0
2020-03-09,1176.0,2.0,18.0,1156.0,136.0,2.0,0.0
2020-03-10,1457.0,2.0,18.0,1437.0,281.0,0.0,0.0
2020-03-11,1908.0,3.0,25.0,1880.0,451.0,1.0,7.0
2020-03-12,2078.0,3.0,25.0,2050.0,170.0,0.0,0.0
2020-03-13,3675.0,7.0,46.0,3622.0,1597.0,4.0,21.0
2020-03-14,4585.0,9.0,46.0,4530.0,910.0,2.0,0.0
2020-03-15,5795.0,11.0,46.0,5738.0,1210.0,2.0,0.0
2020-03-16,7272.0,17.0,67.0,7188.0,1477.0,6.0,21.0
2020-03-17,9257.0,24.0,67.0,9166.0,1985.0,7.0,0.0
2020-03-18,12327.0,28.0,105.0,12194.0,3070.0,4.0,38.0
2020-03-19,15320.0,44.0,113.0,15163.0,2993.0,16.0,8.0
2020-03-20,19848.0,67.0,180.0,19601.0,4528.0,23.0,67.0
2020-03-21,22213.0,84.0,233.0,21896.0,2365.0,17.0,53.0
2020-03-22,24873.0,94.0,266.0,24513.0,2660.0,10.0,33.0
2020-03-23,29056.0,123.0,453.0,28480.0,4183.0,29.0,187.0
2020-03-24,32986.0,157.0,3243.0,29586.0,3930.0,34.0,2790.0
2020-03-25,37323.0,206.0,3547.0,33570.0,4337.0,49.0,304.0
2020-03-26,43938.0,267.0,5673.0,37998.0,6615.0,61.0,2126.0
2020-03-27,50871.0,342.0,6658.0,43871.0,6933.0,75.0,985.0
2020-03-28,57695.0,433.0,8481.0,48781.0,6824.0,91.0,1823.0
