date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-14,1.0,0.0,0.0,1.0,,,
2020-03-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-16,2.0,1.0,0.0,1.0,1.0,1.0,0.0
2020-03-17,6.0,1.0,0.0,5.0,4.0,0.0,0.0
2020-03-18,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-03-19,9.0,1.0,0.0,8.0,3.0,0.0,0.0
2020-03-20,12.0,1.0,0.0,11.0,3.0,0.0,0.0
2020-03-21,17.0,1.0,0.0,16.0,5.0,0.0,0.0
2020-03-22,19.0,1.0,0.0,18.0,2.0,0.0,0.0
2020-03-23,20.0,1.0,0.0,19.0,1.0,0.0,0.0
2020-03-24,21.0,1.0,0.0,20.0,1.0,0.0,0.0
2020-03-25,24.0,1.0,4.0,19.0,3.0,0.0,4.0
2020-03-26,25.0,1.0,4.0,20.0,1.0,0.0,0.0
2020-03-27,28.0,1.0,4.0,23.0,3.0,0.0,0.0
2020-03-28,34.0,1.0,10.0,23.0,6.0,0.0,6.0
2020-03-29,34.0,1.0,10.0,23.0,0.0,0.0,0.0
2020-03-30,36.0,1.0,10.0,25.0,2.0,0.0,0.0
2020-03-31,38.0,1.0,12.0,25.0,2.0,0.0,2.0
2020-04-01,39.0,1.0,12.0,26.0,1.0,0.0,0.0
2020-04-02,47.0,1.0,12.0,34.0,8.0,0.0,0.0
2020-04-03,50.0,1.0,12.0,37.0,3.0,0.0,0.0
2020-04-04,61.0,2.0,15.0,44.0,11.0,1.0,3.0
2020-04-05,61.0,2.0,15.0,44.0,0.0,0.0,0.0
2020-04-06,70.0,3.0,15.0,52.0,9.0,1.0,0.0
2020-04-07,77.0,3.0,17.0,57.0,7.0,0.0,2.0
2020-04-08,87.0,3.0,17.0,67.0,10.0,0.0,0.0
2020-04-09,95.0,3.0,17.0,75.0,8.0,0.0,0.0
2020-04-10,126.0,3.0,17.0,106.0,31.0,0.0,0.0
2020-04-11,137.0,3.0,19.0,115.0,11.0,0.0,2.0
2020-04-12,155.0,5.0,19.0,131.0,18.0,2.0,0.0
2020-04-13,156.0,5.0,19.0,132.0,1.0,0.0,0.0
2020-04-14,167.0,5.0,19.0,143.0,11.0,0.0,0.0
2020-04-15,180.0,5.0,19.0,156.0,13.0,0.0,0.0
2020-04-16,196.0,5.0,19.0,172.0,16.0,0.0,0.0
2020-04-17,214.0,7.0,21.0,186.0,18.0,2.0,2.0
2020-04-18,235.0,7.0,21.0,207.0,21.0,0.0,0.0
2020-04-19,257.0,7.0,21.0,229.0,22.0,0.0,0.0
2020-04-20,289.0,7.0,21.0,261.0,32.0,0.0,0.0
2020-04-21,294.0,7.0,24.0,263.0,5.0,0.0,3.0
2020-04-22,316.0,8.0,24.0,284.0,22.0,1.0,0.0
