date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-11,2.0,0.0,0.0,2.0,,,
2020-03-12,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-15,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-16,6.0,0.0,0.0,6.0,3.0,0.0,0.0
2020-03-17,8.0,0.0,0.0,8.0,2.0,0.0,0.0
2020-03-18,9.0,0.0,0.0,9.0,1.0,0.0,0.0
2020-03-19,12.0,0.0,0.0,12.0,3.0,0.0,0.0
2020-03-20,24.0,0.0,0.0,24.0,12.0,0.0,0.0
2020-03-21,24.0,0.0,0.0,24.0,0.0,0.0,0.0
2020-03-22,26.0,0.0,0.0,26.0,2.0,0.0,0.0
2020-03-23,27.0,0.0,0.0,27.0,1.0,0.0,0.0
2020-03-24,30.0,0.0,0.0,30.0,3.0,0.0,0.0
2020-03-25,36.0,0.0,0.0,36.0,6.0,0.0,0.0
2020-03-26,52.0,1.0,0.0,51.0,16.0,1.0,0.0
2020-03-27,68.0,1.0,0.0,67.0,16.0,0.0,0.0
2020-03-28,95.0,1.0,3.0,91.0,27.0,0.0,3.0
2020-03-29,110.0,3.0,3.0,104.0,15.0,2.0,0.0
2020-03-30,139.0,7.0,3.0,129.0,29.0,4.0,0.0
2020-03-31,141.0,7.0,3.0,131.0,2.0,0.0,0.0
2020-04-01,172.0,10.0,3.0,159.0,31.0,3.0,0.0
2020-04-02,219.0,14.0,3.0,202.0,47.0,4.0,0.0
2020-04-03,222.0,15.0,3.0,204.0,3.0,1.0,0.0
2020-04-04,264.0,15.0,3.0,246.0,42.0,0.0,0.0
2020-04-05,268.0,22.0,6.0,240.0,4.0,7.0,3.0
2020-04-06,298.0,22.0,6.0,270.0,30.0,0.0,0.0
2020-04-07,305.0,22.0,6.0,277.0,7.0,0.0,0.0
2020-04-08,312.0,22.0,6.0,284.0,7.0,0.0,0.0
2020-04-09,343.0,23.0,6.0,314.0,31.0,1.0,0.0
2020-04-10,382.0,23.0,7.0,352.0,39.0,0.0,1.0
2020-04-11,392.0,24.0,7.0,361.0,10.0,1.0,0.0
2020-04-12,393.0,25.0,7.0,361.0,1.0,1.0,0.0
2020-04-13,397.0,25.0,7.0,365.0,4.0,0.0,0.0
2020-04-14,407.0,26.0,7.0,374.0,10.0,1.0,0.0
2020-04-15,419.0,31.0,9.0,379.0,12.0,5.0,2.0
2020-04-16,426.0,35.0,9.0,382.0,7.0,4.0,0.0
2020-04-17,442.0,41.0,10.0,391.0,16.0,6.0,1.0
2020-04-18,457.0,46.0,10.0,401.0,15.0,5.0,0.0
2020-04-19,472.0,46.0,15.0,411.0,15.0,0.0,5.0
2020-04-20,477.0,46.0,25.0,406.0,5.0,0.0,10.0
2020-04-21,494.0,46.0,29.0,419.0,17.0,0.0,4.0
2020-04-22,510.0,46.0,30.0,434.0,16.0,0.0,1.0
2020-04-23,519.0,47.0,31.0,441.0,9.0,1.0,1.0
2020-04-24,591.0,55.0,58.0,478.0,72.0,8.0,27.0
2020-04-25,627.0,59.0,65.0,503.0,36.0,4.0,7.0
2020-04-26,627.0,59.0,65.0,503.0,0.0,0.0,0.0
2020-04-27,661.0,61.0,79.0,521.0,34.0,2.0,14.0
2020-04-28,702.0,64.0,79.0,559.0,41.0,3.0,0.0
2020-04-29,738.0,66.0,73.0,599.0,36.0,2.0,-6.0
