date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-30,1.0,0.0,0.0,0.0,,,
2020-01-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-02,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-03,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-02-04,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-05,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-06,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-07,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-08,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-09,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-10,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-11,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-12,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-13,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-14,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-15,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-16,3.0,0.0,3.0,0.0,0.0,0.0,3.0
2020-02-17,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-18,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-19,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-20,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-21,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-22,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-23,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-24,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-25,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-26,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-27,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-28,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-29,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-01,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-02,5.0,0.0,3.0,2.0,2.0,0.0,0.0
2020-03-03,5.0,0.0,3.0,2.0,0.0,0.0,0.0
2020-03-04,28.0,0.0,3.0,25.0,23.0,0.0,0.0
2020-03-05,30.0,0.0,3.0,27.0,2.0,0.0,0.0
2020-03-06,31.0,0.0,3.0,28.0,1.0,0.0,0.0
2020-03-07,34.0,0.0,3.0,31.0,3.0,0.0,0.0
2020-03-08,39.0,0.0,3.0,36.0,5.0,0.0,0.0
2020-03-09,43.0,0.0,3.0,40.0,4.0,0.0,0.0
2020-03-10,56.0,0.0,4.0,52.0,13.0,0.0,1.0
2020-03-11,62.0,1.0,4.0,57.0,6.0,1.0,0.0
2020-03-12,73.0,1.0,4.0,68.0,11.0,0.0,0.0
2020-03-13,82.0,2.0,4.0,76.0,9.0,1.0,0.0
2020-03-14,102.0,2.0,4.0,96.0,20.0,0.0,0.0
2020-03-15,113.0,2.0,13.0,98.0,11.0,0.0,9.0
2020-03-16,119.0,2.0,13.0,104.0,6.0,0.0,0.0
2020-03-17,142.0,3.0,14.0,125.0,23.0,1.0,1.0
2020-03-18,156.0,3.0,14.0,139.0,14.0,0.0,0.0
2020-03-19,194.0,4.0,15.0,175.0,38.0,1.0,1.0
2020-03-20,244.0,5.0,20.0,219.0,50.0,1.0,5.0
2020-03-21,330.0,4.0,23.0,303.0,86.0,-1.0,3.0
2020-03-22,396.0,7.0,24.0,365.0,66.0,3.0,1.0
2020-03-23,499.0,10.0,34.0,455.0,103.0,3.0,10.0
2020-03-24,536.0,10.0,40.0,486.0,37.0,0.0,6.0
2020-03-25,657.0,12.0,43.0,602.0,121.0,2.0,3.0
2020-03-26,727.0,20.0,45.0,662.0,70.0,8.0,2.0
2020-03-27,887.0,20.0,73.0,794.0,160.0,0.0,28.0
2020-03-28,987.0,24.0,84.0,879.0,100.0,4.0,11.0
2020-03-29,1024.0,27.0,95.0,902.0,37.0,3.0,11.0
2020-03-30,1251.0,32.0,102.0,1117.0,227.0,5.0,7.0
2020-03-31,1397.0,35.0,123.0,1239.0,146.0,3.0,21.0
2020-04-01,1998.0,58.0,148.0,1792.0,601.0,23.0,25.0
2020-04-02,2543.0,72.0,191.0,2280.0,545.0,14.0,43.0
2020-04-03,2567.0,72.0,192.0,2303.0,24.0,0.0,1.0
2020-04-04,3082.0,86.0,229.0,2767.0,515.0,14.0,37.0
2020-04-05,3588.0,99.0,229.0,3260.0,506.0,13.0,0.0
2020-04-06,4778.0,136.0,375.0,4267.0,1190.0,37.0,146.0
2020-04-07,5311.0,150.0,421.0,4740.0,533.0,14.0,46.0
2020-04-08,5916.0,178.0,506.0,5232.0,605.0,28.0,85.0
