date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-02,2.0,0.0,0.0,2.0,,,
2020-03-03,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-04,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-05,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-06,4.0,0.0,0.0,4.0,2.0,0.0,0.0
2020-03-07,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-08,6.0,0.0,0.0,6.0,2.0,0.0,0.0
2020-03-09,19.0,0.0,0.0,19.0,13.0,0.0,0.0
2020-03-10,27.0,0.0,2.0,25.0,8.0,0.0,2.0
2020-03-11,34.0,1.0,2.0,31.0,7.0,1.0,0.0
2020-03-12,34.0,1.0,2.0,31.0,0.0,0.0,0.0
2020-03-13,69.0,4.0,2.0,63.0,35.0,3.0,0.0
2020-03-14,96.0,5.0,8.0,83.0,27.0,1.0,6.0
2020-03-15,117.0,5.0,8.0,104.0,21.0,0.0,0.0
2020-03-16,134.0,5.0,8.0,121.0,17.0,0.0,0.0
2020-03-17,172.0,5.0,8.0,159.0,38.0,0.0,0.0
2020-03-18,227.0,19.0,11.0,197.0,55.0,14.0,3.0
2020-03-19,311.0,25.0,11.0,275.0,84.0,6.0,0.0
2020-03-20,369.0,32.0,15.0,322.0,58.0,7.0,4.0
2020-03-21,450.0,38.0,15.0,397.0,81.0,6.0,0.0
2020-03-22,514.0,48.0,29.0,437.0,64.0,10.0,14.0
2020-03-23,579.0,49.0,30.0,500.0,65.0,1.0,1.0
2020-03-24,686.0,55.0,30.0,601.0,107.0,6.0,0.0
2020-03-25,790.0,58.0,31.0,701.0,104.0,3.0,1.0
2020-03-26,893.0,78.0,35.0,780.0,103.0,20.0,4.0
2020-03-27,1046.0,87.0,46.0,913.0,153.0,9.0,11.0
2020-03-28,1155.0,102.0,59.0,994.0,109.0,15.0,13.0
2020-03-29,1285.0,114.0,64.0,1107.0,130.0,12.0,5.0
2020-03-30,1414.0,122.0,75.0,1217.0,129.0,8.0,11.0
2020-03-31,1528.0,136.0,81.0,1311.0,114.0,14.0,6.0
2020-04-01,1677.0,157.0,103.0,1417.0,149.0,21.0,22.0
2020-04-02,1790.0,170.0,112.0,1508.0,113.0,13.0,9.0
2020-04-03,1986.0,181.0,134.0,1671.0,196.0,11.0,22.0
2020-04-04,2092.0,191.0,150.0,1751.0,106.0,10.0,16.0
2020-04-05,2273.0,198.0,164.0,1911.0,181.0,7.0,14.0
2020-04-06,2491.0,209.0,192.0,2090.0,218.0,11.0,28.0
2020-04-07,2738.0,221.0,204.0,2313.0,247.0,12.0,12.0
2020-04-08,2956.0,240.0,222.0,2494.0,218.0,19.0,18.0
2020-04-09,3293.0,280.0,252.0,2761.0,337.0,40.0,30.0
2020-04-10,3512.0,306.0,282.0,2924.0,219.0,26.0,30.0
2020-04-11,3842.0,327.0,286.0,3229.0,330.0,21.0,4.0
2020-04-12,4241.0,373.0,359.0,3509.0,399.0,46.0,73.0
2020-04-13,4557.0,399.0,380.0,3778.0,316.0,26.0,21.0
2020-04-14,4839.0,459.0,426.0,3954.0,282.0,60.0,46.0
2020-04-15,5136.0,469.0,446.0,4221.0,297.0,10.0,20.0
2020-04-16,5516.0,496.0,548.0,4472.0,380.0,27.0,102.0
2020-04-17,5923.0,520.0,607.0,4796.0,407.0,24.0,59.0
2020-04-18,6248.0,535.0,631.0,5082.0,325.0,15.0,24.0
2020-04-19,6575.0,582.0,686.0,5307.0,327.0,47.0,55.0
2020-04-20,6760.0,590.0,747.0,5423.0,185.0,8.0,61.0
2020-04-21,7135.0,616.0,842.0,5677.0,375.0,26.0,95.0
2020-04-22,7418.0,635.0,913.0,5870.0,283.0,19.0,71.0
2020-04-23,7775.0,647.0,960.0,6168.0,357.0,12.0,47.0
2020-04-24,8211.0,689.0,1002.0,6520.0,436.0,42.0,42.0
2020-04-25,8607.0,720.0,1042.0,6845.0,396.0,31.0,40.0
2020-04-26,8882.0,743.0,1107.0,7032.0,275.0,23.0,65.0
2020-04-27,9096.0,765.0,1151.0,7180.0,214.0,22.0,44.0
2020-04-28,9511.0,773.0,1254.0,7484.0,415.0,8.0,103.0
2020-04-29,9771.0,784.0,1391.0,7596.0,260.0,11.0,137.0
2020-04-30,10118.0,792.0,1522.0,7804.0,347.0,8.0,131.0
2020-05-01,10551.0,800.0,1591.0,8160.0,433.0,8.0,69.0
2020-05-02,10843.0,831.0,1665.0,8347.0,292.0,31.0,74.0
2020-05-03,11192.0,845.0,1876.0,8471.0,349.0,14.0,211.0
2020-05-04,11587.0,864.0,1954.0,8769.0,395.0,19.0,78.0
2020-05-05,12071.0,872.0,2197.0,9002.0,484.0,8.0,243.0
2020-05-06,12438.0,895.0,2317.0,9226.0,367.0,23.0,120.0
2020-05-07,12776.0,930.0,2381.0,9465.0,338.0,35.0,64.0
2020-05-08,13112.0,943.0,2494.0,9675.0,336.0,13.0,113.0
2020-05-09,13645.0,959.0,2607.0,10079.0,533.0,16.0,113.0
2020-05-10,14032.0,973.0,2698.0,10361.0,387.0,14.0,91.0
2020-05-11,14265.0,991.0,2881.0,10393.0,233.0,18.0,183.0
2020-05-12,14749.0,1007.0,3063.0,10679.0,484.0,16.0,182.0
2020-05-13,15438.0,1028.0,3287.0,11123.0,689.0,21.0,224.0
2020-05-14,16006.0,1043.0,3518.0,11445.0,568.0,15.0,231.0
