date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-21,1.0,0.0,0.0,1.0,,,
2020-02-22,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-24,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-26,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-27,3.0,0.0,1.0,2.0,1.0,0.0,1.0
2020-02-28,4.0,0.0,1.0,3.0,1.0,0.0,0.0
2020-02-29,7.0,0.0,1.0,6.0,3.0,0.0,0.0
2020-03-01,10.0,0.0,1.0,9.0,3.0,0.0,0.0
2020-03-02,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-03-03,12.0,0.0,1.0,11.0,2.0,0.0,0.0
2020-03-04,15.0,0.0,1.0,14.0,3.0,0.0,0.0
2020-03-05,16.0,0.0,1.0,15.0,1.0,0.0,0.0
2020-03-06,21.0,0.0,2.0,19.0,5.0,0.0,1.0
2020-03-07,21.0,0.0,2.0,19.0,0.0,0.0,0.0
2020-03-08,39.0,0.0,2.0,37.0,18.0,0.0,0.0
2020-03-09,39.0,0.0,2.0,37.0,0.0,0.0,0.0
2020-03-10,58.0,0.0,4.0,54.0,19.0,0.0,2.0
2020-03-11,109.0,0.0,4.0,105.0,51.0,0.0,0.0
2020-03-12,131.0,0.0,4.0,127.0,22.0,0.0,0.0
2020-03-13,161.0,0.0,4.0,157.0,30.0,0.0,0.0
2020-03-14,193.0,0.0,4.0,189.0,32.0,0.0,0.0
2020-03-15,251.0,0.0,4.0,247.0,58.0,0.0,0.0
2020-03-16,255.0,0.0,4.0,251.0,4.0,0.0,0.0
2020-03-17,337.0,0.0,11.0,326.0,82.0,0.0,7.0
2020-03-18,433.0,0.0,11.0,422.0,96.0,0.0,0.0
2020-03-19,677.0,0.0,11.0,666.0,244.0,0.0,0.0
2020-03-20,705.0,0.0,14.0,691.0,28.0,0.0,3.0
2020-03-21,883.0,1.0,36.0,846.0,178.0,1.0,22.0
2020-03-22,1071.0,1.0,37.0,1033.0,188.0,0.0,1.0
2020-03-23,1442.0,1.0,41.0,1400.0,371.0,0.0,4.0
2020-03-24,1930.0,3.0,53.0,1874.0,488.0,2.0,12.0
2020-03-25,2369.0,5.0,58.0,2306.0,439.0,2.0,5.0
2020-03-26,2693.0,8.0,68.0,2617.0,324.0,3.0,10.0
2020-03-27,3035.0,12.0,79.0,2944.0,342.0,4.0,11.0
2020-03-28,3619.0,12.0,89.0,3518.0,584.0,0.0,10.0
2020-03-29,4247.0,15.0,132.0,4100.0,628.0,3.0,43.0
2020-03-30,4695.0,16.0,161.0,4518.0,448.0,1.0,29.0
2020-03-31,5358.0,20.0,224.0,5114.0,663.0,4.0,63.0
2020-04-01,6092.0,26.0,241.0,5825.0,734.0,6.0,17.0
2020-04-02,6857.0,36.0,338.0,6483.0,765.0,10.0,97.0
2020-04-03,7428.0,40.0,403.0,6985.0,571.0,4.0,65.0
2020-04-04,7851.0,44.0,427.0,7380.0,423.0,4.0,24.0
2020-04-05,8430.0,49.0,477.0,7904.0,579.0,5.0,50.0
2020-04-06,8904.0,57.0,585.0,8262.0,474.0,8.0,108.0
2020-04-07,9248.0,65.0,770.0,8413.0,344.0,8.0,185.0
2020-04-08,9404.0,73.0,801.0,8530.0,156.0,8.0,31.0
2020-04-09,9968.0,86.0,1011.0,8871.0,564.0,13.0,210.0
2020-04-10,10408.0,95.0,1183.0,9130.0,440.0,9.0,172.0
2020-04-11,10743.0,101.0,1341.0,9301.0,335.0,6.0,158.0
2020-04-12,11145.0,103.0,1627.0,9415.0,402.0,2.0,286.0
2020-04-13,11586.0,116.0,1855.0,9615.0,441.0,13.0,228.0
2020-04-14,12046.0,123.0,2195.0,9728.0,460.0,7.0,340.0
