date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-27,1.0,0.0,0.0,0.0,,,
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-17,5.0,0.0,1.0,4.0,4.0,0.0,1.0
2020-03-18,6.0,0.0,1.0,5.0,1.0,0.0,0.0
2020-03-19,9.0,0.0,1.0,8.0,3.0,0.0,0.0
2020-03-20,9.0,0.0,1.0,8.0,0.0,0.0,0.0
2020-03-21,14.0,0.0,1.0,13.0,5.0,0.0,0.0
2020-03-22,14.0,0.0,1.0,13.0,0.0,0.0,0.0
2020-03-23,25.0,0.0,2.0,23.0,11.0,0.0,1.0
2020-03-24,73.0,0.0,2.0,71.0,48.0,0.0,0.0
2020-03-25,80.0,0.0,3.0,77.0,7.0,0.0,1.0
2020-03-26,96.0,0.0,3.0,93.0,16.0,0.0,0.0
2020-03-27,101.0,0.0,3.0,98.0,5.0,0.0,0.0
2020-03-28,101.0,0.0,3.0,98.0,0.0,0.0,0.0
2020-03-29,165.0,1.0,4.0,160.0,64.0,1.0,1.0
2020-03-30,168.0,1.0,6.0,161.0,3.0,0.0,2.0
2020-03-31,179.0,1.0,7.0,171.0,11.0,0.0,1.0
2020-04-01,190.0,1.0,9.0,180.0,11.0,0.0,2.0
2020-04-02,194.0,1.0,15.0,178.0,4.0,0.0,6.0
2020-04-03,218.0,1.0,19.0,198.0,24.0,0.0,4.0
2020-04-04,245.0,1.0,25.0,219.0,27.0,0.0,6.0
2020-04-05,261.0,3.0,37.0,221.0,16.0,2.0,12.0
2020-04-06,323.0,3.0,41.0,279.0,62.0,0.0,4.0
2020-04-07,349.0,3.0,41.0,305.0,26.0,0.0,0.0
2020-04-08,384.0,3.0,48.0,333.0,35.0,0.0,7.0
2020-04-09,444.0,3.0,52.0,389.0,60.0,0.0,4.0
2020-04-10,444.0,3.0,52.0,389.0,0.0,0.0,0.0
2020-04-11,533.0,4.0,58.0,471.0,89.0,1.0,6.0
