date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-03,1.0,0.0,0.0,1.0,,,
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-13,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-14,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,8.0,0.0,1.0,7.0,7.0,0.0,0.0
2020-03-16,17.0,0.0,1.0,16.0,9.0,0.0,0.0
2020-03-17,34.0,0.0,1.0,33.0,17.0,0.0,0.0
2020-03-18,52.0,0.0,1.0,51.0,18.0,0.0,0.0
2020-03-19,69.0,0.0,1.0,68.0,17.0,0.0,0.0
2020-03-20,85.0,0.0,1.0,84.0,16.0,0.0,0.0
2020-03-21,85.0,0.0,1.0,84.0,0.0,0.0,0.0
2020-03-22,112.0,0.0,1.0,111.0,27.0,0.0,0.0
2020-03-23,127.0,0.0,1.0,126.0,15.0,0.0,0.0
2020-03-24,154.0,0.0,1.0,153.0,27.0,0.0,0.0
2020-03-25,172.0,0.0,1.0,171.0,18.0,0.0,0.0
2020-03-26,212.0,0.0,1.0,211.0,40.0,0.0,0.0
2020-03-27,235.0,1.0,18.0,216.0,23.0,1.0,17.0
2020-03-28,246.0,1.0,18.0,227.0,11.0,0.0,0.0
2020-03-29,259.0,3.0,18.0,238.0,13.0,2.0,0.0
2020-03-30,268.0,5.0,26.0,237.0,9.0,2.0,8.0
2020-03-31,274.0,5.0,30.0,239.0,6.0,0.0,4.0
2020-04-01,278.0,5.0,36.0,237.0,4.0,0.0,6.0
2020-04-02,299.0,5.0,45.0,249.0,21.0,0.0,9.0
2020-04-03,310.0,5.0,58.0,247.0,11.0,0.0,13.0
2020-04-04,323.0,5.0,74.0,244.0,13.0,0.0,16.0
2020-04-05,345.0,5.0,110.0,230.0,22.0,0.0,36.0
2020-04-06,349.0,6.0,126.0,217.0,4.0,1.0,16.0
2020-04-07,353.0,6.0,138.0,209.0,4.0,0.0,12.0
2020-04-08,358.0,6.0,150.0,202.0,5.0,0.0,12.0
2020-04-09,372.0,7.0,161.0,204.0,14.0,1.0,11.0
2020-04-10,372.0,7.0,170.0,195.0,0.0,0.0,9.0
2020-04-11,381.0,7.0,177.0,197.0,9.0,0.0,7.0
2020-04-12,389.0,7.0,201.0,181.0,8.0,0.0,24.0
2020-04-13,391.0,7.0,215.0,169.0,2.0,0.0,14.0
2020-04-14,397.0,7.0,235.0,155.0,6.0,0.0,20.0
2020-04-15,401.0,7.0,250.0,144.0,4.0,0.0,15.0
2020-04-16,402.0,7.0,259.0,136.0,1.0,0.0,9.0
2020-04-17,407.0,7.0,265.0,135.0,5.0,0.0,6.0
2020-04-18,413.0,7.0,269.0,137.0,6.0,0.0,4.0
2020-04-19,417.0,7.0,276.0,134.0,4.0,0.0,7.0
2020-04-20,425.0,7.0,282.0,136.0,8.0,0.0,6.0
2020-04-21,428.0,7.0,297.0,124.0,3.0,0.0,15.0
2020-04-22,435.0,7.0,315.0,113.0,7.0,0.0,18.0
2020-04-23,437.0,7.0,318.0,112.0,2.0,0.0,3.0
2020-04-24,441.0,7.0,326.0,108.0,4.0,0.0,8.0
2020-04-25,444.0,7.0,332.0,105.0,3.0,0.0,6.0
2020-04-26,447.0,7.0,337.0,103.0,3.0,0.0,5.0
2020-04-27,449.0,7.0,342.0,100.0,2.0,0.0,5.0
2020-04-28,449.0,8.0,348.0,93.0,0.0,1.0,6.0
2020-04-29,451.0,8.0,356.0,87.0,2.0,0.0,8.0
2020-04-30,453.0,8.0,362.0,83.0,2.0,0.0,6.0
2020-05-01,459.0,8.0,364.0,87.0,6.0,0.0,2.0
2020-05-02,460.0,9.0,367.0,84.0,1.0,1.0,3.0
2020-05-03,461.0,9.0,367.0,85.0,1.0,0.0,0.0
2020-05-04,465.0,9.0,370.0,86.0,4.0,0.0,3.0
2020-05-05,471.0,9.0,375.0,87.0,6.0,0.0,5.0
2020-05-06,473.0,9.0,377.0,87.0,2.0,0.0,2.0
2020-05-07,494.0,9.0,381.0,104.0,21.0,0.0,4.0
2020-05-08,508.0,9.0,385.0,114.0,14.0,0.0,4.0
2020-05-09,522.0,9.0,387.0,126.0,14.0,0.0,2.0
2020-05-10,540.0,9.0,389.0,142.0,18.0,0.0,2.0
2020-05-11,562.0,9.0,390.0,163.0,22.0,0.0,1.0
2020-05-12,576.0,9.0,390.0,177.0,14.0,0.0,0.0
2020-05-13,582.0,9.0,392.0,181.0,6.0,0.0,2.0
2020-05-14,586.0,9.0,393.0,184.0,4.0,0.0,1.0
2020-05-15,596.0,9.0,401.0,186.0,10.0,0.0,8.0
2020-05-16,607.0,9.0,404.0,194.0,11.0,0.0,3.0
2020-05-17,613.0,9.0,408.0,196.0,6.0,0.0,4.0
2020-05-18,629.0,9.0,413.0,207.0,16.0,0.0,5.0
2020-05-19,649.0,9.0,417.0,223.0,20.0,0.0,4.0
2020-05-20,672.0,9.0,446.0,217.0,23.0,0.0,29.0
2020-05-21,684.0,9.0,457.0,218.0,12.0,0.0,11.0
2020-05-22,700.0,9.0,461.0,230.0,16.0,0.0,4.0
2020-05-23,704.0,9.0,470.0,225.0,4.0,0.0,9.0
2020-05-24,708.0,9.0,471.0,228.0,4.0,0.0,1.0
2020-05-25,711.0,9.0,479.0,223.0,3.0,0.0,8.0
2020-05-26,718.0,9.0,586.0,123.0,7.0,0.0,107.0
2020-05-27,720.0,9.0,586.0,125.0,2.0,0.0,0.0
2020-05-28,728.0,9.0,497.0,222.0,8.0,0.0,-89.0
2020-05-29,730.0,9.0,507.0,214.0,2.0,0.0,10.0
2020-05-30,734.0,9.0,507.0,218.0,4.0,0.0,0.0
2020-05-31,739.0,9.0,522.0,208.0,5.0,0.0,15.0
2020-06-01,746.0,9.0,535.0,202.0,7.0,0.0,13.0
2020-06-02,755.0,9.0,549.0,197.0,9.0,0.0,14.0
2020-06-03,757.0,9.0,561.0,187.0,2.0,0.0,12.0
2020-06-04,765.0,9.0,566.0,190.0,8.0,0.0,5.0
2020-06-05,784.0,9.0,571.0,204.0,19.0,0.0,5.0
2020-06-06,795.0,9.0,586.0,200.0,11.0,0.0,15.0
2020-06-07,808.0,9.0,607.0,192.0,13.0,0.0,21.0
2020-06-08,831.0,9.0,627.0,195.0,23.0,0.0,20.0
2020-06-09,845.0,9.0,657.0,179.0,14.0,0.0,30.0
2020-06-10,863.0,9.0,663.0,191.0,18.0,0.0,6.0
2020-06-11,890.0,9.0,670.0,211.0,27.0,0.0,7.0
2020-06-12,915.0,9.0,671.0,235.0,25.0,0.0,1.0
2020-06-13,953.0,9.0,678.0,266.0,38.0,0.0,7.0
2020-06-14,961.0,9.0,682.0,270.0,8.0,0.0,4.0
2020-06-15,979.0,9.0,692.0,278.0,18.0,0.0,10.0
2020-06-16,981.0,9.0,693.0,279.0,2.0,0.0,1.0
2020-06-17,987.0,9.0,693.0,285.0,6.0,0.0,0.0
2020-06-18,1001.0,9.0,697.0,295.0,14.0,0.0,4.0
2020-06-19,1008.0,9.0,708.0,291.0,7.0,0.0,11.0
2020-06-20,1015.0,9.0,722.0,284.0,7.0,0.0,14.0
2020-06-21,1033.0,9.0,739.0,285.0,18.0,0.0,17.0
2020-06-22,1042.0,9.0,751.0,282.0,9.0,0.0,12.0
2020-06-23,1047.0,9.0,772.0,266.0,5.0,0.0,21.0
2020-06-24,1071.0,9.0,782.0,280.0,24.0,0.0,10.0
2020-06-25,1086.0,9.0,797.0,280.0,15.0,0.0,15.0
2020-06-26,1104.0,9.0,830.0,265.0,18.0,0.0,33.0
2020-06-27,1111.0,9.0,841.0,261.0,7.0,0.0,11.0
2020-06-28,1121.0,9.0,860.0,252.0,10.0,0.0,19.0
2020-06-29,1128.0,9.0,867.0,252.0,7.0,0.0,7.0
2020-06-30,1132.0,9.0,882.0,241.0,4.0,0.0,15.0
2020-07-01,1133.0,9.0,886.0,238.0,1.0,0.0,4.0
2020-07-02,1136.0,9.0,889.0,238.0,3.0,0.0,3.0
2020-07-03,1147.0,10.0,897.0,240.0,11.0,1.0,8.0
2020-07-04,1150.0,10.0,902.0,238.0,3.0,0.0,5.0
2020-07-05,1164.0,10.0,942.0,212.0,14.0,0.0,40.0
2020-07-06,1167.0,10.0,957.0,200.0,3.0,0.0,15.0
2020-07-07,1169.0,10.0,969.0,190.0,2.0,0.0,12.0
2020-07-08,1169.0,10.0,977.0,182.0,0.0,0.0,8.0
2020-07-09,1169.0,10.0,982.0,177.0,0.0,0.0,5.0
2020-07-10,1173.0,10.0,986.0,177.0,4.0,0.0,4.0
2020-07-11,1176.0,10.0,991.0,175.0,3.0,0.0,5.0
2020-07-12,1179.0,10.0,997.0,172.0,3.0,0.0,6.0
2020-07-13,1183.0,10.0,1008.0,165.0,4.0,0.0,11.0
2020-07-14,1198.0,10.0,1013.0,175.0,15.0,0.0,5.0
2020-07-15,1201.0,10.0,1016.0,175.0,3.0,0.0,3.0
2020-07-16,1206.0,10.0,1019.0,177.0,5.0,0.0,3.0
2020-07-17,1209.0,10.0,1021.0,178.0,3.0,0.0,2.0
2020-07-18,1214.0,11.0,1022.0,181.0,5.0,1.0,1.0
2020-07-19,1218.0,11.0,1024.0,183.0,4.0,0.0,2.0
2020-07-20,1223.0,11.0,1028.0,184.0,5.0,0.0,4.0
2020-07-21,1113.0,11.0,1034.0,68.0,-110.0,0.0,6.0
2020-07-22,1120.0,11.0,1035.0,74.0,7.0,0.0,1.0
2020-07-23,1131.0,11.0,1035.0,85.0,11.0,0.0,0.0
2020-07-24,1146.0,11.0,1035.0,100.0,15.0,0.0,0.0
2020-07-25,1154.0,11.0,1036.0,107.0,8.0,0.0,1.0
2020-07-26,1168.0,11.0,1041.0,116.0,14.0,0.0,5.0
2020-07-27,1176.0,11.0,1041.0,124.0,8.0,0.0,0.0
2020-07-28,1182.0,11.0,1042.0,129.0,6.0,0.0,1.0
2020-07-29,1187.0,11.0,1049.0,127.0,5.0,0.0,7.0
2020-07-30,1191.0,11.0,1072.0,108.0,4.0,0.0,23.0
2020-07-31,1193.0,11.0,1084.0,98.0,2.0,0.0,12.0
2020-08-01,1208.0,11.0,1094.0,103.0,15.0,0.0,10.0
2020-08-02,1213.0,11.0,1099.0,103.0,5.0,0.0,5.0
2020-08-03,1218.0,11.0,1131.0,76.0,5.0,0.0,32.0
2020-08-04,1224.0,11.0,1155.0,58.0,6.0,0.0,24.0
2020-08-05,1231.0,11.0,1160.0,60.0,7.0,0.0,5.0
2020-08-06,1232.0,11.0,1171.0,50.0,1.0,0.0,11.0
2020-08-07,1237.0,11.0,1178.0,48.0,5.0,0.0,7.0
2020-08-08,1246.0,11.0,1178.0,57.0,9.0,0.0,0.0
2020-08-09,1252.0,11.0,1187.0,54.0,6.0,0.0,9.0
2020-08-10,1268.0,11.0,1187.0,70.0,16.0,0.0,0.0
2020-08-11,1283.0,11.0,1189.0,83.0,15.0,0.0,2.0
2020-08-12,1303.0,11.0,1215.0,77.0,20.0,0.0,26.0
2020-08-13,1320.0,11.0,1222.0,87.0,17.0,0.0,7.0
