date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-02,1.0,0.0,0.0,1.0,,,
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-09,6.0,0.0,0.0,6.0,4.0,0.0,0.0
2020-03-10,8.0,0.0,1.0,7.0,2.0,0.0,1.0
2020-03-11,10.0,0.0,1.0,9.0,2.0,0.0,0.0
2020-03-12,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-03-13,17.0,0.0,1.0,16.0,7.0,0.0,0.0
2020-03-14,26.0,0.0,1.0,25.0,9.0,0.0,0.0
2020-03-15,30.0,0.0,1.0,29.0,4.0,0.0,0.0
2020-03-16,34.0,0.0,1.0,33.0,4.0,0.0,0.0
2020-03-17,49.0,0.0,1.0,48.0,15.0,0.0,0.0
2020-03-18,71.0,0.0,1.0,70.0,22.0,0.0,0.0
2020-03-19,86.0,0.0,1.0,85.0,15.0,0.0,0.0
2020-03-20,111.0,0.0,1.0,110.0,25.0,0.0,0.0
2020-03-21,124.0,0.0,1.0,123.0,13.0,0.0,0.0
2020-03-22,139.0,0.0,1.0,138.0,15.0,0.0,0.0
2020-03-23,180.0,0.0,1.0,179.0,41.0,0.0,0.0
2020-03-24,197.0,0.0,1.0,196.0,17.0,0.0,0.0
2020-03-25,221.0,0.0,1.0,220.0,24.0,0.0,0.0
2020-03-26,244.0,0.0,1.0,243.0,23.0,0.0,0.0
2020-03-27,280.0,0.0,1.0,279.0,36.0,0.0,0.0
2020-03-28,305.0,0.0,1.0,304.0,25.0,0.0,0.0
2020-03-29,347.0,0.0,1.0,346.0,42.0,0.0,0.0
2020-03-30,376.0,0.0,1.0,375.0,29.0,0.0,0.0
2020-03-31,398.0,0.0,1.0,397.0,22.0,0.0,0.0
2020-04-01,446.0,0.0,1.0,445.0,48.0,0.0,0.0
2020-04-02,458.0,0.0,31.0,427.0,12.0,0.0,30.0
2020-04-03,493.0,1.0,1.0,491.0,35.0,1.0,-30.0
2020-04-04,509.0,1.0,1.0,507.0,16.0,0.0,0.0
2020-04-05,533.0,1.0,1.0,531.0,24.0,0.0,0.0
2020-04-06,542.0,1.0,16.0,525.0,9.0,0.0,15.0
2020-04-07,548.0,2.0,16.0,530.0,6.0,1.0,0.0
2020-04-08,577.0,2.0,16.0,559.0,29.0,0.0,0.0
2020-04-09,589.0,3.0,16.0,570.0,12.0,1.0,0.0
2020-04-10,612.0,3.0,16.0,593.0,23.0,0.0,0.0
2020-04-11,630.0,3.0,16.0,611.0,18.0,0.0,0.0
2020-04-12,651.0,5.0,16.0,630.0,21.0,2.0,0.0
2020-04-13,655.0,5.0,16.0,634.0,4.0,0.0,0.0
2020-04-14,657.0,5.0,16.0,636.0,2.0,0.0,0.0
2020-04-15,666.0,5.0,44.0,617.0,9.0,0.0,28.0
2020-04-16,675.0,5.0,57.0,613.0,9.0,0.0,13.0
2020-04-17,682.0,5.0,88.0,589.0,7.0,0.0,31.0
2020-04-18,712.0,5.0,88.0,619.0,30.0,0.0,0.0
2020-04-19,727.0,5.0,88.0,634.0,15.0,0.0,0.0
2020-04-20,739.0,5.0,88.0,646.0,12.0,0.0,0.0
2020-04-21,748.0,9.0,133.0,606.0,9.0,4.0,45.0
2020-04-22,761.0,11.0,133.0,617.0,13.0,2.0,0.0
2020-04-23,778.0,11.0,133.0,634.0,17.0,0.0,0.0
2020-04-24,784.0,12.0,267.0,505.0,6.0,1.0,134.0
2020-04-25,804.0,12.0,267.0,525.0,20.0,0.0,0.0
2020-04-26,812.0,12.0,267.0,533.0,8.0,0.0,0.0
2020-04-27,818.0,13.0,267.0,538.0,6.0,1.0,0.0
2020-04-28,836.0,13.0,267.0,556.0,18.0,0.0,0.0
2020-04-29,849.0,15.0,348.0,486.0,13.0,2.0,81.0
2020-04-30,858.0,15.0,348.0,495.0,9.0,0.0,0.0
2020-05-01,870.0,16.0,348.0,506.0,12.0,1.0,0.0
2020-05-02,871.0,16.0,348.0,507.0,1.0,0.0,0.0
2020-05-03,879.0,16.0,348.0,515.0,8.0,0.0,0.0
2020-05-04,896.0,16.0,348.0,532.0,17.0,0.0,0.0
2020-05-05,896.0,17.0,348.0,531.0,0.0,1.0,0.0
2020-05-06,900.0,17.0,464.0,419.0,4.0,0.0,116.0
2020-05-07,909.0,18.0,464.0,427.0,9.0,1.0,0.0
2020-05-08,928.0,18.0,464.0,446.0,19.0,0.0,0.0
2020-05-09,930.0,18.0,464.0,448.0,2.0,0.0,0.0
2020-05-10,939.0,18.0,464.0,457.0,9.0,0.0,0.0
2020-05-11,946.0,18.0,464.0,464.0,7.0,0.0,0.0
2020-05-12,950.0,18.0,627.0,305.0,4.0,0.0,163.0
2020-05-13,951.0,19.0,627.0,305.0,1.0,1.0,0.0
2020-05-14,962.0,19.0,627.0,316.0,11.0,0.0,0.0
2020-05-15,970.0,19.0,662.0,289.0,8.0,0.0,35.0
2020-05-16,997.0,19.0,662.0,316.0,27.0,0.0,0.0
2020-05-17,1008.0,19.0,662.0,327.0,11.0,0.0,0.0
2020-05-18,1009.0,19.0,662.0,328.0,1.0,0.0,0.0
2020-05-19,1012.0,21.0,694.0,297.0,3.0,2.0,32.0
2020-05-20,1016.0,21.0,694.0,301.0,4.0,0.0,0.0
2020-05-21,1025.0,22.0,694.0,309.0,9.0,1.0,0.0
2020-05-22,1030.0,22.0,712.0,296.0,5.0,0.0,18.0
2020-05-23,1046.0,22.0,712.0,312.0,16.0,0.0,0.0
2020-05-24,1047.0,22.0,712.0,313.0,1.0,0.0,0.0
2020-05-25,1049.0,22.0,712.0,315.0,2.0,0.0,0.0
2020-05-26,1053.0,22.0,741.0,290.0,4.0,0.0,29.0
2020-05-27,1057.0,23.0,741.0,293.0,4.0,1.0,0.0
2020-05-28,1061.0,24.0,741.0,296.0,4.0,1.0,0.0
2020-05-29,1064.0,24.0,745.0,295.0,3.0,0.0,4.0
2020-05-30,1065.0,24.0,745.0,296.0,1.0,0.0,0.0
2020-05-31,1066.0,24.0,745.0,297.0,1.0,0.0,0.0
2020-06-01,1066.0,24.0,745.0,297.0,0.0,0.0,0.0
2020-06-02,1071.0,24.0,760.0,287.0,5.0,0.0,15.0
2020-06-03,1079.0,24.0,760.0,295.0,8.0,0.0,0.0
2020-06-04,1082.0,25.0,760.0,297.0,3.0,1.0,0.0
2020-06-05,1085.0,25.0,781.0,279.0,3.0,0.0,21.0
2020-06-06,1086.0,25.0,781.0,280.0,1.0,0.0,0.0
2020-06-07,1088.0,25.0,781.0,282.0,2.0,0.0,0.0
2020-06-08,1088.0,26.0,781.0,281.0,0.0,1.0,0.0
2020-06-09,1089.0,26.0,794.0,269.0,1.0,0.0,13.0
2020-06-10,1092.0,26.0,794.0,272.0,3.0,0.0,0.0
2020-06-11,1094.0,26.0,818.0,250.0,2.0,0.0,24.0
2020-06-12,1096.0,27.0,818.0,251.0,2.0,1.0,0.0
2020-06-13,1097.0,28.0,845.0,224.0,1.0,1.0,27.0
2020-06-14,1097.0,28.0,845.0,224.0,0.0,0.0,0.0
2020-06-15,1097.0,28.0,845.0,224.0,0.0,0.0,0.0
2020-06-16,1098.0,28.0,875.0,195.0,1.0,0.0,30.0
2020-06-17,1104.0,30.0,875.0,199.0,6.0,2.0,0.0
2020-06-18,1108.0,30.0,903.0,175.0,4.0,0.0,28.0
2020-06-19,1110.0,30.0,903.0,177.0,2.0,0.0,0.0
2020-06-20,1111.0,30.0,903.0,178.0,1.0,0.0,0.0
2020-06-21,1111.0,30.0,903.0,178.0,0.0,0.0,0.0
2020-06-22,1111.0,30.0,903.0,178.0,0.0,0.0,0.0
2020-06-23,1111.0,30.0,903.0,178.0,0.0,0.0,0.0
2020-06-24,1111.0,30.0,903.0,178.0,0.0,0.0,0.0
2020-06-25,1111.0,30.0,903.0,178.0,0.0,0.0,0.0
2020-06-26,1112.0,30.0,932.0,150.0,1.0,0.0,29.0
2020-06-27,1115.0,30.0,932.0,153.0,3.0,0.0,0.0
2020-06-28,1116.0,30.0,932.0,154.0,1.0,0.0,0.0
2020-06-29,1117.0,30.0,932.0,155.0,1.0,0.0,0.0
2020-06-30,1118.0,30.0,974.0,114.0,1.0,0.0,42.0
2020-07-01,1121.0,30.0,974.0,117.0,3.0,0.0,0.0
2020-07-02,1122.0,30.0,988.0,104.0,1.0,0.0,14.0
2020-07-03,1122.0,30.0,997.0,95.0,0.0,0.0,9.0
2020-07-04,1123.0,30.0,1000.0,93.0,1.0,0.0,3.0
2020-07-05,1124.0,30.0,1000.0,94.0,1.0,0.0,0.0
2020-07-06,1127.0,30.0,1000.0,97.0,3.0,0.0,0.0
2020-07-07,1134.0,30.0,1008.0,96.0,7.0,0.0,8.0
2020-07-08,1141.0,30.0,1008.0,103.0,7.0,0.0,0.0
2020-07-09,1154.0,30.0,1019.0,105.0,13.0,0.0,11.0
2020-07-10,1165.0,30.0,1019.0,116.0,11.0,0.0,0.0
2020-07-11,1173.0,30.0,1019.0,124.0,8.0,0.0,0.0
2020-07-12,1173.0,30.0,1019.0,124.0,0.0,0.0,0.0
2020-07-13,1174.0,31.0,1019.0,124.0,1.0,1.0,0.0
2020-07-14,1174.0,31.0,1022.0,121.0,0.0,0.0,3.0
2020-07-15,1178.0,31.0,1022.0,125.0,4.0,0.0,0.0
2020-07-16,1179.0,31.0,1022.0,126.0,1.0,0.0,0.0
