date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-05-13,1.0,0.0,0.0,1.0,,,
2020-05-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-17,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-18,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-19,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-21,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-22,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-05-23,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-05-24,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-05-25,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-05-26,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-05-27,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-05-28,2.0,0.0,1.0,1.0,0.0,0.0,1.0
2020-05-29,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-05-30,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-05-31,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-06-01,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-06-02,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-06-03,4.0,0.0,2.0,2.0,2.0,0.0,1.0
2020-06-04,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-05,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-06,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-07,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-08,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-09,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-10,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-11,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-12,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-13,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-14,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-15,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-16,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-17,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-18,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-19,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-20,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-21,4.0,0.0,2.0,2.0,0.0,0.0,0.0
2020-06-22,12.0,0.0,2.0,10.0,8.0,0.0,0.0
2020-06-23,17.0,0.0,2.0,15.0,5.0,0.0,0.0
2020-06-24,17.0,0.0,2.0,15.0,0.0,0.0,0.0
2020-06-25,17.0,0.0,2.0,15.0,0.0,0.0,0.0
2020-06-26,24.0,0.0,4.0,20.0,7.0,0.0,2.0
