date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-16,0.0,0.0,0.0,0.0,,,
2020-03-17,5.0,0.0,0.0,5.0,5.0,0.0,0.0
2020-03-18,6.0,0.0,0.0,6.0,1.0,0.0,0.0
2020-03-19,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-20,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-21,3.0,0.0,0.0,3.0,-3.0,0.0,0.0
2020-03-22,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-23,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-24,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-25,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-26,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-27,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-28,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-29,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-30,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-31,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-01,6.0,0.0,0.0,6.0,3.0,0.0,0.0
2020-04-02,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-04-03,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-04-04,7.0,0.0,3.0,4.0,1.0,0.0,3.0
2020-04-05,10.0,1.0,3.0,6.0,3.0,1.0,0.0
2020-04-06,13.0,3.0,3.0,7.0,3.0,2.0,0.0
2020-04-07,14.0,3.0,3.0,8.0,1.0,0.0,0.0
2020-04-08,14.0,3.0,3.0,8.0,0.0,0.0,0.0
2020-04-09,31.0,4.0,3.0,24.0,17.0,1.0,0.0
2020-04-10,31.0,4.0,3.0,24.0,0.0,0.0,0.0
2020-04-11,37.0,5.0,3.0,29.0,6.0,1.0,0.0
2020-04-12,48.0,5.0,3.0,40.0,11.0,0.0,0.0
2020-04-13,50.0,5.0,4.0,41.0,2.0,0.0,1.0
2020-04-14,51.0,6.0,4.0,41.0,1.0,1.0,0.0
2020-04-15,59.0,6.0,4.0,49.0,8.0,0.0,0.0
2020-04-16,59.0,6.0,4.0,49.0,0.0,0.0,0.0
2020-04-17,73.0,6.0,7.0,60.0,14.0,0.0,3.0
2020-04-18,76.0,7.0,7.0,62.0,3.0,1.0,0.0
2020-04-19,81.0,7.0,7.0,67.0,5.0,0.0,0.0
2020-04-20,91.0,8.0,7.0,76.0,10.0,1.0,0.0
2020-04-21,99.0,8.0,7.0,84.0,8.0,0.0,0.0
2020-04-22,101.0,8.0,20.0,73.0,2.0,0.0,13.0
2020-04-23,101.0,8.0,20.0,73.0,0.0,0.0,0.0
2020-04-24,101.0,8.0,25.0,68.0,0.0,0.0,5.0
2020-04-25,117.0,8.0,25.0,84.0,16.0,0.0,0.0
2020-04-26,120.0,11.0,25.0,84.0,3.0,3.0,0.0
2020-04-27,124.0,12.0,25.0,87.0,4.0,1.0,0.0
2020-04-28,133.0,16.0,45.0,72.0,9.0,4.0,20.0
2020-04-29,141.0,16.0,45.0,80.0,8.0,0.0,0.0
2020-04-30,141.0,16.0,45.0,80.0,0.0,0.0,0.0
2020-05-01,141.0,16.0,45.0,80.0,0.0,0.0,0.0
2020-05-02,152.0,18.0,48.0,86.0,11.0,2.0,3.0
2020-05-03,154.0,18.0,58.0,78.0,2.0,0.0,10.0
2020-05-04,158.0,18.0,58.0,82.0,4.0,0.0,0.0
2020-05-05,166.0,18.0,58.0,90.0,8.0,0.0,0.0
2020-05-06,170.0,20.0,75.0,75.0,4.0,2.0,17.0
2020-05-07,178.0,20.0,79.0,79.0,8.0,0.0,4.0
2020-05-08,189.0,20.0,79.0,90.0,11.0,0.0,0.0
2020-05-09,199.0,20.0,79.0,100.0,10.0,0.0,0.0
2020-05-10,199.0,20.0,79.0,100.0,0.0,0.0,0.0
2020-05-11,204.0,20.0,85.0,99.0,5.0,0.0,6.0
2020-05-12,211.0,20.0,85.0,106.0,7.0,0.0,0.0
2020-05-13,212.0,20.0,101.0,91.0,1.0,0.0,16.0
2020-05-14,213.0,20.0,105.0,88.0,1.0,0.0,4.0
2020-05-15,215.0,20.0,108.0,87.0,2.0,0.0,3.0
2020-05-16,219.0,20.0,116.0,83.0,4.0,0.0,8.0
2020-05-17,223.0,20.0,120.0,83.0,4.0,0.0,4.0
2020-05-18,226.0,21.0,123.0,82.0,3.0,1.0,3.0
2020-05-19,229.0,22.0,125.0,82.0,3.0,1.0,2.0
2020-05-20,233.0,23.0,128.0,82.0,4.0,1.0,3.0
2020-05-21,238.0,23.0,131.0,84.0,5.0,0.0,3.0
2020-05-22,240.0,23.0,136.0,81.0,2.0,0.0,5.0
2020-05-23,249.0,24.0,136.0,89.0,9.0,1.0,0.0
2020-05-24,255.0,26.0,139.0,90.0,6.0,2.0,3.0
2020-05-25,265.0,26.0,141.0,98.0,10.0,0.0,2.0
2020-05-26,265.0,26.0,144.0,95.0,0.0,0.0,3.0
2020-05-27,266.0,26.0,144.0,96.0,1.0,0.0,0.0
2020-05-28,266.0,27.0,144.0,95.0,0.0,1.0,0.0
2020-05-29,269.0,27.0,146.0,96.0,3.0,0.0,2.0
2020-05-30,273.0,27.0,148.0,98.0,4.0,0.0,2.0
2020-05-31,280.0,27.0,157.0,96.0,7.0,0.0,9.0
2020-06-01,288.0,27.0,159.0,102.0,8.0,0.0,2.0
2020-06-02,296.0,27.0,167.0,102.0,8.0,0.0,8.0
2020-06-03,311.0,28.0,169.0,114.0,15.0,1.0,2.0
2020-06-04,316.0,28.0,175.0,113.0,5.0,0.0,6.0
2020-06-05,321.0,28.0,176.0,117.0,5.0,0.0,1.0
2020-06-06,334.0,30.0,185.0,119.0,13.0,2.0,9.0
2020-06-07,345.0,30.0,194.0,121.0,11.0,0.0,9.0
2020-06-08,359.0,30.0,195.0,134.0,14.0,0.0,1.0
2020-06-09,370.0,30.0,199.0,141.0,11.0,0.0,4.0
2020-06-10,383.0,31.0,200.0,152.0,13.0,1.0,1.0
2020-06-11,397.0,31.0,206.0,160.0,14.0,0.0,6.0
2020-06-12,410.0,31.0,210.0,169.0,13.0,0.0,4.0
2020-06-13,421.0,32.0,214.0,175.0,11.0,1.0,4.0
2020-06-14,446.0,32.0,219.0,195.0,25.0,0.0,5.0
2020-06-15,458.0,32.0,221.0,205.0,12.0,0.0,2.0
2020-06-16,498.0,33.0,222.0,243.0,40.0,1.0,1.0
2020-06-17,509.0,33.0,240.0,236.0,11.0,0.0,18.0
2020-06-18,516.0,33.0,250.0,233.0,7.0,0.0,10.0
2020-06-19,542.0,33.0,250.0,259.0,26.0,0.0,0.0
2020-06-20,581.0,33.0,254.0,294.0,39.0,0.0,4.0
2020-06-21,601.0,33.0,254.0,314.0,20.0,0.0,0.0
2020-06-22,626.0,34.0,260.0,332.0,25.0,1.0,6.0
2020-06-23,650.0,34.0,270.0,346.0,24.0,0.0,10.0
2020-06-24,652.0,34.0,270.0,348.0,2.0,0.0,0.0
2020-06-25,662.0,34.0,278.0,350.0,10.0,0.0,8.0
2020-06-26,681.0,34.0,285.0,362.0,19.0,0.0,7.0
2020-06-27,684.0,34.0,291.0,359.0,3.0,0.0,6.0
2020-06-28,684.0,34.0,298.0,352.0,0.0,0.0,7.0
2020-06-29,768.0,34.0,312.0,422.0,84.0,0.0,14.0
2020-06-30,770.0,36.0,324.0,410.0,2.0,2.0,12.0
2020-07-01,780.0,36.0,335.0,409.0,10.0,0.0,11.0
2020-07-02,804.0,37.0,338.0,429.0,24.0,1.0,3.0
2020-07-03,819.0,37.0,346.0,436.0,15.0,0.0,8.0
2020-07-04,833.0,37.0,369.0,427.0,14.0,0.0,23.0
2020-07-05,833.0,37.0,377.0,419.0,0.0,0.0,8.0
2020-07-06,874.0,37.0,377.0,460.0,41.0,0.0,0.0
2020-07-07,891.0,39.0,394.0,458.0,17.0,2.0,17.0
2020-07-08,917.0,41.0,395.0,481.0,26.0,2.0,1.0
2020-07-09,926.0,41.0,398.0,487.0,9.0,0.0,3.0
2020-07-10,957.0,42.0,400.0,515.0,31.0,1.0,2.0
2020-07-11,963.0,47.0,420.0,496.0,6.0,5.0,20.0
2020-07-12,998.0,47.0,423.0,528.0,35.0,0.0,3.0
2020-07-13,1010.0,51.0,439.0,520.0,12.0,4.0,16.0
2020-07-14,1024.0,51.0,439.0,534.0,14.0,0.0,0.0
2020-07-15,1038.0,51.0,447.0,540.0,14.0,0.0,8.0
2020-07-16,1056.0,66.0,486.0,504.0,18.0,15.0,39.0
2020-07-17,1070.0,68.0,496.0,506.0,14.0,2.0,10.0
2020-07-18,1070.0,68.0,519.0,483.0,0.0,0.0,23.0
2020-07-19,1088.0,70.0,534.0,484.0,18.0,2.0,15.0
