date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-24,1.0,0.0,0.0,1.0,,,
2020-03-25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-26,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-27,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-28,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-29,8.0,0.0,0.0,8.0,5.0,0.0,0.0
2020-03-30,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-03-31,10.0,0.0,1.0,9.0,2.0,0.0,1.0
2020-04-01,10.0,0.0,0.0,10.0,0.0,0.0,-1.0
2020-04-02,11.0,1.0,0.0,10.0,1.0,1.0,0.0
2020-04-03,11.0,1.0,0.0,10.0,0.0,0.0,0.0
2020-04-04,18.0,1.0,0.0,17.0,7.0,0.0,0.0
2020-04-05,18.0,1.0,0.0,17.0,0.0,0.0,0.0
2020-04-06,19.0,1.0,1.0,17.0,1.0,0.0,1.0
2020-04-07,20.0,1.0,1.0,18.0,1.0,0.0,0.0
2020-04-08,21.0,1.0,8.0,12.0,1.0,0.0,7.0
2020-04-09,24.0,1.0,8.0,15.0,3.0,0.0,0.0
2020-04-10,24.0,1.0,8.0,15.0,0.0,0.0,0.0
2020-04-11,24.0,1.0,8.0,15.0,0.0,0.0,0.0
2020-04-12,25.0,1.0,9.0,15.0,1.0,0.0,1.0
2020-04-13,26.0,1.0,9.0,16.0,1.0,0.0,0.0
2020-04-14,35.0,1.0,9.0,25.0,9.0,0.0,0.0
2020-04-15,48.0,1.0,9.0,38.0,13.0,0.0,0.0
2020-04-16,49.0,1.0,11.0,37.0,1.0,0.0,2.0
2020-04-17,49.0,1.0,11.0,37.0,0.0,0.0,0.0
2020-04-18,49.0,1.0,11.0,37.0,0.0,0.0,0.0
2020-04-19,51.0,1.0,11.0,39.0,2.0,0.0,0.0
2020-04-20,51.0,1.0,15.0,35.0,0.0,0.0,4.0
2020-04-21,51.0,1.0,15.0,35.0,0.0,0.0,0.0
2020-04-22,59.0,1.0,15.0,43.0,8.0,0.0,0.0
2020-04-23,60.0,2.0,15.0,43.0,1.0,1.0,0.0
2020-04-24,61.0,2.0,18.0,41.0,1.0,0.0,3.0
2020-04-25,61.0,2.0,18.0,41.0,0.0,0.0,0.0
2020-04-26,61.0,2.0,18.0,41.0,0.0,0.0,0.0
2020-04-27,61.0,2.0,18.0,41.0,0.0,0.0,0.0
2020-04-28,61.0,2.0,18.0,41.0,0.0,0.0,0.0
2020-04-29,61.0,2.0,18.0,41.0,0.0,0.0,0.0
2020-04-30,61.0,3.0,18.0,40.0,0.0,1.0,0.0
2020-05-01,63.0,3.0,18.0,42.0,2.0,0.0,0.0
2020-05-02,63.0,3.0,22.0,38.0,0.0,0.0,4.0
2020-05-03,63.0,3.0,22.0,38.0,0.0,0.0,0.0
2020-05-04,63.0,3.0,23.0,37.0,0.0,0.0,1.0
2020-05-05,63.0,3.0,23.0,37.0,0.0,0.0,0.0
2020-05-06,64.0,3.0,24.0,37.0,1.0,0.0,1.0
