date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-22,1.0,0.0,0.0,0.0,,,
2020-01-23,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-24,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,5.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-01-27,6.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-28,7.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-29,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-02-02,8.0,0.0,0.0,8.0,1.0,0.0,0.0
2020-02-03,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-02-04,10.0,0.0,0.0,10.0,2.0,0.0,0.0
2020-02-05,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-02-06,10.0,0.0,1.0,9.0,0.0,0.0,1.0
2020-02-07,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-02-08,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-02-09,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-02-10,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-02-11,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-02-12,10.0,0.0,2.0,8.0,0.0,0.0,1.0
2020-02-13,10.0,0.0,3.0,7.0,0.0,0.0,1.0
2020-02-14,10.0,0.0,3.0,7.0,0.0,0.0,0.0
2020-02-15,10.0,0.0,3.0,7.0,0.0,0.0,0.0
2020-02-16,10.0,0.0,5.0,5.0,0.0,0.0,2.0
2020-02-17,10.0,0.0,5.0,5.0,0.0,0.0,0.0
2020-02-18,10.0,0.0,5.0,5.0,0.0,0.0,0.0
2020-02-19,10.0,0.0,5.0,5.0,0.0,0.0,0.0
2020-02-20,10.0,0.0,6.0,4.0,0.0,0.0,1.0
2020-02-21,10.0,0.0,6.0,4.0,0.0,0.0,0.0
2020-02-22,10.0,0.0,6.0,4.0,0.0,0.0,0.0
2020-02-23,10.0,0.0,6.0,4.0,0.0,0.0,0.0
2020-02-24,10.0,0.0,6.0,4.0,0.0,0.0,0.0
2020-02-25,10.0,0.0,7.0,3.0,0.0,0.0,1.0
2020-02-26,10.0,0.0,7.0,3.0,0.0,0.0,0.0
2020-02-27,10.0,0.0,8.0,2.0,0.0,0.0,1.0
2020-02-28,10.0,0.0,8.0,2.0,0.0,0.0,0.0
2020-02-29,10.0,0.0,8.0,2.0,0.0,0.0,0.0
2020-03-01,10.0,0.0,8.0,2.0,0.0,0.0,0.0
2020-03-02,10.0,0.0,8.0,2.0,0.0,0.0,0.0
2020-03-03,10.0,0.0,9.0,1.0,0.0,0.0,1.0
2020-03-04,10.0,0.0,9.0,1.0,0.0,0.0,0.0
2020-03-05,10.0,0.0,9.0,1.0,0.0,0.0,0.0
2020-03-06,10.0,0.0,10.0,0.0,0.0,0.0,1.0
2020-03-07,10.0,0.0,10.0,0.0,0.0,0.0,0.0
2020-03-08,10.0,0.0,10.0,0.0,0.0,0.0,0.0
2020-03-09,10.0,0.0,10.0,0.0,0.0,0.0,0.0
2020-03-10,10.0,0.0,10.0,0.0,0.0,0.0,0.0
