date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-04-02,3.0,0.0,0.0,3.0,,,
2020-04-03,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-04,4.0,0.0,0.0,4.0,1.0,0.0,0.0
2020-04-05,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-06,5.0,0.0,0.0,5.0,1.0,0.0,0.0
2020-04-07,8.0,1.0,0.0,7.0,3.0,1.0,0.0
2020-04-08,8.0,1.0,0.0,7.0,0.0,0.0,0.0
2020-04-09,8.0,1.0,0.0,7.0,0.0,0.0,0.0
2020-04-10,9.0,1.0,0.0,8.0,1.0,0.0,0.0
2020-04-11,12.0,2.0,0.0,10.0,3.0,1.0,0.0
2020-04-12,13.0,2.0,0.0,11.0,1.0,0.0,0.0
2020-04-13,16.0,2.0,0.0,14.0,3.0,0.0,0.0
2020-04-14,16.0,2.0,0.0,14.0,0.0,0.0,0.0
2020-04-15,16.0,2.0,0.0,14.0,0.0,0.0,0.0
2020-04-16,16.0,2.0,0.0,14.0,0.0,0.0,0.0
2020-04-17,17.0,2.0,3.0,12.0,1.0,0.0,3.0
2020-04-18,17.0,2.0,3.0,12.0,0.0,0.0,0.0
2020-04-19,17.0,2.0,3.0,12.0,0.0,0.0,0.0
2020-04-20,17.0,2.0,3.0,12.0,0.0,0.0,0.0
2020-04-21,18.0,2.0,3.0,13.0,1.0,0.0,0.0
2020-04-22,23.0,3.0,3.0,17.0,5.0,1.0,0.0
2020-04-23,33.0,3.0,3.0,27.0,10.0,0.0,0.0
2020-04-24,33.0,3.0,4.0,26.0,0.0,0.0,1.0
2020-04-25,33.0,3.0,4.0,26.0,0.0,0.0,0.0
2020-04-26,34.0,3.0,4.0,27.0,1.0,0.0,0.0
2020-04-27,36.0,3.0,4.0,29.0,2.0,0.0,0.0
2020-04-28,36.0,3.0,5.0,28.0,0.0,0.0,1.0
2020-04-29,36.0,3.0,7.0,26.0,0.0,0.0,2.0
2020-04-30,37.0,3.0,7.0,27.0,1.0,0.0,0.0
2020-05-01,37.0,3.0,9.0,25.0,0.0,0.0,2.0
2020-05-02,38.0,3.0,9.0,26.0,1.0,0.0,0.0
2020-05-03,39.0,3.0,9.0,27.0,1.0,0.0,0.0
2020-05-04,41.0,3.0,9.0,29.0,2.0,0.0,0.0
2020-05-05,41.0,3.0,9.0,29.0,0.0,0.0,0.0
2020-05-06,43.0,3.0,9.0,31.0,2.0,0.0,0.0
2020-05-07,43.0,3.0,14.0,26.0,0.0,0.0,5.0
2020-05-08,43.0,3.0,14.0,26.0,0.0,0.0,0.0
2020-05-09,56.0,3.0,14.0,39.0,13.0,0.0,0.0
2020-05-10,56.0,3.0,14.0,39.0,0.0,0.0,0.0
2020-05-11,57.0,3.0,24.0,30.0,1.0,0.0,10.0
2020-05-12,57.0,3.0,24.0,30.0,0.0,0.0,0.0
2020-05-13,63.0,3.0,24.0,36.0,6.0,0.0,0.0
2020-05-14,63.0,3.0,24.0,36.0,0.0,0.0,0.0
2020-05-15,63.0,3.0,24.0,36.0,0.0,0.0,0.0
2020-05-16,65.0,3.0,24.0,38.0,2.0,0.0,0.0
2020-05-17,70.0,3.0,27.0,40.0,5.0,0.0,3.0
2020-05-18,70.0,3.0,27.0,40.0,0.0,0.0,0.0
2020-05-19,70.0,3.0,27.0,40.0,0.0,0.0,0.0
2020-05-20,71.0,3.0,27.0,41.0,1.0,0.0,0.0
2020-05-21,72.0,3.0,27.0,42.0,1.0,0.0,0.0
2020-05-22,82.0,3.0,28.0,51.0,10.0,0.0,1.0
2020-05-23,82.0,3.0,28.0,51.0,0.0,0.0,0.0
2020-05-24,83.0,4.0,33.0,46.0,1.0,1.0,5.0
2020-05-25,101.0,4.0,33.0,64.0,18.0,0.0,0.0
2020-05-26,101.0,4.0,37.0,60.0,0.0,0.0,4.0
2020-05-27,101.0,4.0,37.0,60.0,0.0,0.0,0.0
