date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-25,2.0,0.0,0.0,2.0,,,
2020-03-26,4.0,0.0,0.0,4.0,2.0,0.0,0.0
2020-03-27,11.0,0.0,0.0,11.0,7.0,0.0,0.0
2020-03-28,18.0,0.0,0.0,18.0,7.0,0.0,0.0
2020-03-29,18.0,1.0,0.0,17.0,0.0,1.0,0.0
2020-03-30,25.0,2.0,0.0,23.0,7.0,1.0,0.0
2020-03-31,28.0,2.0,0.0,26.0,3.0,0.0,0.0
2020-04-01,31.0,3.0,0.0,28.0,3.0,1.0,0.0
2020-04-02,36.0,3.0,0.0,33.0,5.0,0.0,0.0
2020-04-03,39.0,3.0,0.0,36.0,3.0,0.0,0.0
2020-04-04,41.0,3.0,1.0,37.0,2.0,0.0,1.0
2020-04-05,45.0,5.0,1.0,39.0,4.0,2.0,0.0
2020-04-06,47.0,5.0,9.0,33.0,2.0,0.0,8.0
2020-04-07,56.0,5.0,12.0,39.0,9.0,0.0,3.0
2020-04-08,59.0,7.0,16.0,36.0,3.0,2.0,4.0
2020-04-09,74.0,7.0,22.0,45.0,15.0,0.0,6.0
2020-04-10,87.0,7.0,22.0,58.0,13.0,0.0,0.0
2020-04-11,87.0,7.0,22.0,58.0,0.0,0.0,0.0
2020-04-12,105.0,9.0,22.0,74.0,18.0,2.0,0.0
2020-04-13,123.0,10.0,26.0,87.0,18.0,1.0,4.0
2020-04-14,144.0,13.0,34.0,97.0,21.0,3.0,8.0
2020-04-15,148.0,13.0,34.0,101.0,4.0,0.0,0.0
2020-04-16,171.0,13.0,34.0,124.0,23.0,0.0,0.0
2020-04-17,171.0,13.0,34.0,124.0,0.0,0.0,0.0
2020-04-18,216.0,13.0,41.0,162.0,45.0,0.0,7.0
2020-04-19,224.0,14.0,42.0,168.0,8.0,1.0,1.0
2020-04-20,246.0,14.0,56.0,176.0,22.0,0.0,14.0
2020-04-21,258.0,14.0,57.0,187.0,12.0,0.0,1.0
2020-04-22,293.0,17.0,73.0,203.0,35.0,3.0,16.0
2020-04-23,309.0,21.0,77.0,211.0,16.0,4.0,4.0
2020-04-24,325.0,21.0,87.0,217.0,16.0,0.0,10.0
