date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-18,3.0,0.0,0.0,3.0,,,
2020-03-19,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-20,12.0,0.0,0.0,12.0,9.0,0.0,0.0
2020-03-21,14.0,1.0,0.0,13.0,2.0,1.0,0.0
2020-03-22,28.0,2.0,0.0,26.0,14.0,1.0,0.0
2020-03-23,36.0,2.0,0.0,34.0,8.0,0.0,0.0
2020-03-24,42.0,2.0,0.0,40.0,6.0,0.0,0.0
2020-03-25,48.0,2.0,0.0,46.0,6.0,0.0,0.0
2020-03-26,81.0,2.0,0.0,79.0,33.0,0.0,0.0
2020-03-27,94.0,2.0,0.0,92.0,13.0,0.0,0.0
2020-03-28,102.0,2.0,0.0,100.0,8.0,0.0,0.0
2020-03-29,107.0,3.0,0.0,104.0,5.0,1.0,0.0
2020-03-30,128.0,3.0,0.0,125.0,21.0,0.0,0.0
2020-03-31,143.0,5.0,0.0,138.0,15.0,2.0,0.0
2020-04-01,161.0,6.0,0.0,155.0,18.0,1.0,0.0
2020-04-02,169.0,7.0,0.0,162.0,8.0,1.0,0.0
2020-04-03,186.0,7.0,0.0,179.0,17.0,0.0,0.0
2020-04-04,196.0,7.0,7.0,182.0,10.0,0.0,7.0
2020-04-05,227.0,7.0,7.0,213.0,31.0,0.0,0.0
2020-04-06,244.0,7.0,7.0,230.0,17.0,0.0,0.0
2020-04-07,268.0,7.0,8.0,253.0,24.0,0.0,1.0
2020-04-08,273.0,7.0,19.0,247.0,5.0,0.0,11.0
2020-04-09,314.0,7.0,23.0,284.0,41.0,0.0,4.0
2020-04-10,318.0,9.0,23.0,286.0,4.0,2.0,0.0
2020-04-11,319.0,9.0,28.0,282.0,1.0,0.0,5.0
2020-04-12,324.0,9.0,42.0,273.0,5.0,0.0,14.0
2020-04-13,324.0,9.0,42.0,273.0,0.0,0.0,0.0
2020-04-14,324.0,9.0,51.0,264.0,0.0,0.0,9.0
2020-04-15,324.0,9.0,65.0,250.0,0.0,0.0,14.0
2020-04-16,324.0,9.0,81.0,234.0,0.0,0.0,16.0
2020-04-17,324.0,9.0,108.0,207.0,0.0,0.0,27.0
2020-04-18,325.0,9.0,180.0,136.0,1.0,0.0,72.0
2020-04-19,328.0,9.0,208.0,111.0,3.0,0.0,28.0
2020-04-20,328.0,9.0,224.0,95.0,0.0,0.0,16.0
2020-04-21,328.0,9.0,243.0,76.0,0.0,0.0,19.0
2020-04-22,329.0,9.0,261.0,59.0,1.0,0.0,18.0
2020-04-23,331.0,9.0,266.0,56.0,2.0,0.0,5.0
2020-04-24,331.0,9.0,285.0,37.0,0.0,0.0,19.0
2020-04-25,331.0,9.0,295.0,27.0,0.0,0.0,10.0
2020-04-26,332.0,9.0,299.0,24.0,1.0,0.0,4.0
2020-04-27,334.0,10.0,302.0,22.0,2.0,1.0,3.0
2020-04-28,334.0,10.0,303.0,21.0,0.0,0.0,1.0
2020-04-29,332.0,10.0,306.0,16.0,-2.0,0.0,3.0
2020-04-30,332.0,10.0,310.0,12.0,0.0,0.0,4.0
2020-05-01,332.0,10.0,312.0,10.0,0.0,0.0,2.0
2020-05-02,332.0,10.0,314.0,8.0,0.0,0.0,2.0
2020-05-03,332.0,10.0,315.0,7.0,0.0,0.0,1.0
2020-05-04,332.0,10.0,316.0,6.0,0.0,0.0,1.0
2020-05-05,332.0,10.0,319.0,3.0,0.0,0.0,3.0
2020-05-06,332.0,10.0,320.0,2.0,0.0,0.0,1.0
2020-05-07,332.0,10.0,320.0,2.0,0.0,0.0,0.0
2020-05-08,332.0,10.0,320.0,2.0,0.0,0.0,0.0
2020-05-09,332.0,10.0,320.0,2.0,0.0,0.0,0.0
2020-05-10,332.0,10.0,320.0,2.0,0.0,0.0,0.0
2020-05-11,332.0,10.0,322.0,0.0,0.0,0.0,2.0
2020-05-12,332.0,10.0,322.0,0.0,0.0,0.0,0.0
2020-05-13,332.0,10.0,322.0,0.0,0.0,0.0,0.0
2020-05-14,332.0,10.0,322.0,0.0,0.0,0.0,0.0
