date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-23,0.0,0.0,0.0,0.0,,,
2020-02-28,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-02-29,4.0,0.0,0.0,4.0,3.0,0.0,0.0
2020-03-01,5.0,0.0,0.0,5.0,1.0,0.0,0.0
2020-03-02,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-03,5.0,0.0,1.0,4.0,0.0,0.0,1.0
2020-03-04,5.0,0.0,1.0,4.0,0.0,0.0,0.0
2020-03-05,5.0,0.0,1.0,4.0,0.0,0.0,0.0
2020-03-06,6.0,0.0,1.0,5.0,1.0,0.0,0.0
2020-03-07,6.0,0.0,1.0,5.0,0.0,0.0,0.0
2020-03-08,7.0,0.0,1.0,6.0,1.0,0.0,0.0
2020-03-09,7.0,0.0,1.0,6.0,0.0,0.0,0.0
2020-03-10,7.0,0.0,4.0,3.0,0.0,0.0,3.0
2020-03-11,8.0,0.0,4.0,4.0,1.0,0.0,0.0
2020-03-12,12.0,0.0,4.0,8.0,4.0,0.0,0.0
2020-03-13,12.0,0.0,4.0,8.0,0.0,0.0,0.0
2020-03-14,26.0,0.0,4.0,22.0,14.0,0.0,0.0
2020-03-15,41.0,0.0,4.0,37.0,15.0,0.0,0.0
2020-03-16,53.0,0.0,4.0,49.0,12.0,0.0,0.0
2020-03-17,82.0,0.0,4.0,78.0,29.0,0.0,0.0
2020-03-18,93.0,0.0,4.0,89.0,11.0,0.0,0.0
2020-03-19,118.0,1.0,4.0,113.0,25.0,1.0,0.0
2020-03-20,164.0,1.0,4.0,159.0,46.0,0.0,0.0
2020-03-21,203.0,2.0,4.0,197.0,39.0,1.0,0.0
2020-03-22,251.0,2.0,4.0,245.0,48.0,0.0,0.0
2020-03-23,316.0,3.0,4.0,309.0,65.0,1.0,0.0
2020-03-24,367.0,4.0,4.0,359.0,51.0,1.0,0.0
2020-03-25,405.0,5.0,4.0,396.0,38.0,1.0,0.0
2020-03-26,475.0,6.0,4.0,465.0,70.0,1.0,0.0
2020-03-27,585.0,8.0,4.0,573.0,110.0,2.0,0.0
2020-03-28,717.0,12.0,4.0,701.0,132.0,4.0,0.0
2020-03-29,848.0,16.0,4.0,828.0,131.0,4.0,0.0
2020-03-30,993.0,20.0,35.0,938.0,145.0,4.0,31.0
2020-03-31,1094.0,28.0,35.0,1031.0,101.0,8.0,0.0
2020-04-01,1215.0,29.0,35.0,1151.0,121.0,1.0,0.0
2020-04-02,1378.0,37.0,35.0,1306.0,163.0,8.0,0.0
2020-04-03,1510.0,50.0,633.0,827.0,132.0,13.0,598.0
2020-04-04,1688.0,60.0,633.0,995.0,178.0,10.0,0.0
2020-04-05,1890.0,79.0,633.0,1178.0,202.0,19.0,0.0
2020-04-06,2143.0,94.0,633.0,1416.0,253.0,15.0,0.0
2020-04-07,2439.0,125.0,633.0,1681.0,296.0,31.0,0.0
2020-04-08,2785.0,141.0,633.0,2011.0,346.0,16.0,0.0
2020-04-09,3181.0,174.0,633.0,2374.0,396.0,33.0,0.0
2020-04-10,3441.0,194.0,633.0,2614.0,260.0,20.0,0.0
2020-04-11,3844.0,233.0,633.0,2978.0,403.0,39.0,0.0
2020-04-12,4219.0,273.0,1772.0,2174.0,375.0,40.0,1139.0
2020-04-13,4661.0,296.0,1843.0,2522.0,442.0,23.0,71.0
2020-04-14,5014.0,332.0,1964.0,2718.0,353.0,36.0,121.0
2020-04-15,5399.0,406.0,2125.0,2868.0,385.0,74.0,161.0
2020-04-16,5847.0,449.0,2125.0,3273.0,448.0,43.0,0.0
2020-04-17,6297.0,486.0,2125.0,3686.0,450.0,37.0,0.0
2020-04-18,6875.0,546.0,2125.0,4204.0,578.0,60.0,0.0
2020-04-19,7497.0,650.0,2627.0,4220.0,622.0,104.0,502.0
2020-04-20,8261.0,686.0,2627.0,4948.0,764.0,36.0,0.0
2020-04-21,8772.0,712.0,2627.0,5433.0,511.0,26.0,0.0
2020-04-22,9501.0,857.0,2627.0,6017.0,729.0,145.0,0.0
2020-04-23,11633.0,1069.0,2627.0,7937.0,2132.0,212.0,0.0
2020-04-24,12872.0,1221.0,7149.0,4502.0,1239.0,152.0,4522.0
2020-04-25,13842.0,1305.0,7149.0,5388.0,970.0,84.0,0.0
2020-04-26,14677.0,1351.0,8354.0,4972.0,835.0,46.0,1205.0
2020-04-27,15529.0,1434.0,9086.0,5009.0,852.0,83.0,732.0
2020-04-28,16752.0,1569.0,11423.0,3760.0,1223.0,135.0,2337.0
2020-04-29,17799.0,1732.0,11423.0,4644.0,1047.0,163.0,0.0
2020-04-30,19224.0,1859.0,11423.0,5942.0,1425.0,127.0,0.0
2020-05-01,20739.0,1972.0,12377.0,6390.0,1515.0,113.0,954.0
2020-05-02,22088.0,2061.0,12377.0,7650.0,1349.0,89.0,0.0
2020-05-03,23471.0,2154.0,13447.0,7870.0,1383.0,93.0,1070.0
2020-05-04,24905.0,2271.0,13447.0,9187.0,1434.0,117.0,0.0
2020-05-05,26025.0,2507.0,16810.0,6708.0,1120.0,236.0,3363.0
2020-05-06,27634.0,2704.0,17781.0,7149.0,1609.0,197.0,971.0
2020-05-07,29616.0,2961.0,17781.0,8874.0,1982.0,257.0,0.0
2020-05-08,31522.0,3160.0,20314.0,8048.0,1906.0,199.0,2533.0
2020-05-09,33460.0,3353.0,21824.0,8283.0,1938.0,193.0,1510.0
2020-05-10,35022.0,3465.0,21824.0,9733.0,1562.0,112.0,0.0
2020-05-11,36327.0,3573.0,23100.0,9654.0,1305.0,108.0,1276.0
2020-05-12,38324.0,3926.0,25935.0,8463.0,1997.0,353.0,2835.0
2020-05-13,40186.0,4220.0,26990.0,8976.0,1862.0,294.0,1055.0
2020-05-14,42595.0,4477.0,28475.0,9643.0,2409.0,257.0,1485.0
2020-05-15,45032.0,4767.0,30451.0,9814.0,2437.0,290.0,1976.0
2020-05-16,47144.0,5045.0,31848.0,10251.0,2112.0,278.0,1397.0
2020-05-17,49219.0,5177.0,33329.0,10713.0,2075.0,132.0,1481.0
2020-05-18,51633.0,5332.0,35388.0,10913.0,2414.0,155.0,2059.0
2020-05-19,54346.0,5666.0,37325.0,11355.0,2713.0,334.0,1937.0
2020-05-20,56594.0,6090.0,38419.0,12085.0,2248.0,424.0,1094.0
2020-05-21,59567.0,6510.0,40152.0,12905.0,2973.0,420.0,1733.0
2020-05-22,62527.0,6989.0,42191.0,13347.0,2960.0,479.0,2039.0
2020-05-23,65856.0,7179.0,44424.0,14253.0,3329.0,190.0,2233.0
2020-05-24,68620.0,7394.0,46979.0,14247.0,2764.0,215.0,2555.0
2020-05-25,71105.0,7633.0,49452.0,14020.0,2485.0,239.0,2473.0
2020-05-26,74560.0,8134.0,51708.0,14718.0,3455.0,501.0,2256.0
2020-05-27,78023.0,8597.0,53834.0,15592.0,3463.0,463.0,2126.0
2020-05-28,81400.0,9044.0,56041.0,16315.0,3377.0,447.0,2207.0
2020-05-29,84627.0,9415.0,59003.0,16209.0,3227.0,371.0,2962.0
2020-05-30,87512.0,9779.0,61247.0,16486.0,2885.0,364.0,2244.0
2020-05-31,90664.0,9930.0,63772.0,16962.0,3152.0,151.0,2525.0
2020-06-01,93435.0,10167.0,66965.0,16303.0,2771.0,237.0,3193.0
2020-06-02,97326.0,10637.0,69749.0,16940.0,3891.0,470.0,2784.0
2020-06-03,101238.0,11729.0,72680.0,16829.0,3912.0,1092.0,2931.0
2020-06-04,105680.0,12545.0,74758.0,18377.0,4442.0,816.0,2078.0
2020-06-05,110026.0,13170.0,77841.0,19015.0,4346.0,625.0,3083.0
2020-06-06,113619.0,13511.0,80830.0,19278.0,3593.0,341.0,2989.0
2020-06-07,117103.0,13699.0,83775.0,19629.0,3484.0,188.0,2945.0
2020-06-08,120102.0,14053.0,87633.0,18416.0,2999.0,354.0,3858.0
2020-06-09,124301.0,14649.0,90748.0,18904.0,4199.0,596.0,3115.0
2020-06-10,129184.0,15357.0,93930.0,19897.0,4883.0,708.0,3182.0
2020-06-11,133974.0,15944.0,97198.0,20832.0,4790.0,587.0,3268.0
2020-06-12,139196.0,16448.0,100876.0,21872.0,5222.0,504.0,3678.0
2020-06-13,142690.0,16872.0,104078.0,21740.0,3494.0,424.0,3202.0
2020-06-14,146837.0,17141.0,107298.0,22398.0,4147.0,269.0,3220.0
2020-06-15,150264.0,17580.0,112292.0,20392.0,3427.0,439.0,4994.0
2020-06-16,154863.0,18310.0,115394.0,21159.0,4599.0,730.0,3102.0
2020-06-17,159793.0,19080.0,118504.0,22209.0,4930.0,770.0,3110.0
2020-06-18,165455.0,19747.0,122180.0,23528.0,5662.0,667.0,3676.0
2020-06-19,170485.0,20394.0,126438.0,23653.0,5030.0,647.0,4258.0
2020-06-20,175202.0,20781.0,130854.0,23567.0,4717.0,387.0,4416.0
2020-06-21,180545.0,21825.0,134495.0,24225.0,5343.0,1044.0,3641.0
2020-06-22,185122.0,22584.0,139383.0,23155.0,4577.0,759.0,4888.0
2020-06-23,191410.0,23377.0,143646.0,24387.0,6288.0,793.0,4263.0
2020-06-24,196847.0,24324.0,148487.0,24036.0,5437.0,947.0,4841.0
2020-06-25,202951.0,25060.0,152362.0,25529.0,6104.0,736.0,3875.0
2020-06-26,208392.0,25779.0,156827.0,25786.0,5441.0,719.0,4465.0
2020-06-27,212802.0,26381.0,160721.0,25700.0,4410.0,602.0,3894.0
2020-06-28,216852.0,26648.0,164646.0,25558.0,4050.0,267.0,3925.0
2020-06-29,220657.0,27121.0,170147.0,23389.0,3805.0,473.0,5501.0
2020-06-30,226089.0,27769.0,174538.0,23782.0,5432.0,648.0,4391.0
2020-07-01,231770.0,28510.0,178526.0,24734.0,5681.0,741.0,3988.0
2020-07-02,238511.0,29189.0,183757.0,25565.0,6741.0,679.0,5231.0
2020-07-03,245251.0,29843.0,189345.0,26063.0,6740.0,654.0,5588.0
2020-07-04,252165.0,30366.0,195724.0,26075.0,6914.0,523.0,6379.0
2020-07-05,256848.0,30639.0,199914.0,26295.0,4683.0,273.0,4190.0
2020-07-06,261750.0,31119.0,204826.0,25805.0,4902.0,480.0,4912.0
2020-07-07,268008.0,32014.0,209437.0,26557.0,6258.0,895.0,4611.0
2020-07-08,275003.0,32796.0,214316.0,27891.0,6995.0,782.0,4879.0
2020-07-09,282283.0,33526.0,219628.0,29129.0,7280.0,730.0,5312.0
2020-07-10,289174.0,34191.0,225356.0,29627.0,6891.0,665.0,5728.0
2020-07-11,295268.0,34730.0,229856.0,30682.0,6094.0,539.0,4500.0
2020-07-12,299750.0,35006.0,234905.0,29839.0,4482.0,276.0,5049.0
2020-07-13,304435.0,35491.0,240101.0,28843.0,4685.0,485.0,5196.0
2020-07-14,311486.0,36327.0,245830.0,29329.0,7051.0,836.0,5729.0
2020-07-15,317635.0,36906.0,252368.0,28361.0,6149.0,579.0,6538.0
2020-07-16,324041.0,37574.0,257681.0,28786.0,6406.0,668.0,5313.0
2020-07-17,331298.0,38310.0,264202.0,28786.0,7257.0,736.0,6521.0
2020-07-18,338913.0,38888.0,271239.0,28786.0,7615.0,578.0,7037.0
2020-07-19,344224.0,39184.0,254941.0,50099.0,5311.0,296.0,-16298.0
2020-07-20,349396.0,39485.0,263091.0,46820.0,5172.0,301.0,8150.0
2020-07-21,356255.0,40400.0,267407.0,48448.0,6859.0,915.0,4316.0
2020-07-22,362274.0,41190.0,270147.0,50937.0,6019.0,790.0,2740.0
2020-07-23,370712.0,41908.0,275454.0,53350.0,8438.0,718.0,5307.0
2020-07-24,378285.0,42645.0,283382.0,52258.0,7573.0,737.0,7928.0
2020-07-25,385036.0,43374.0,288819.0,52843.0,6751.0,729.0,5437.0
2020-07-26,390516.0,43680.0,295222.0,51614.0,5480.0,306.0,6403.0
2020-07-27,395489.0,44022.0,303810.0,47657.0,4973.0,342.0,8588.0
2020-07-28,402697.0,44876.0,308142.0,49679.0,7208.0,854.0,4332.0
2020-07-29,408449.0,45361.0,314538.0,48550.0,5752.0,485.0,6396.0
2020-07-30,416179.0,46000.0,320100.0,50079.0,7730.0,639.0,5562.0
2020-07-31,424637.0,46688.0,327115.0,50834.0,8458.0,688.0,7015.0
2020-08-01,434193.0,47472.0,334867.0,51854.0,9556.0,784.0,7752.0
2020-08-02,439046.0,47746.0,342527.0,48773.0,4853.0,274.0,7660.0
2020-08-03,443813.0,48012.0,353442.0,42359.0,4767.0,266.0,10915.0
2020-08-04,449961.0,48869.0,357444.0,43648.0,6148.0,857.0,4002.0
2020-08-05,456100.0,49698.0,361764.0,44638.0,6139.0,829.0,4320.0
2020-08-06,462690.0,50517.0,365311.0,46862.0,6590.0,819.0,3547.0
2020-08-07,469407.0,51311.0,370098.0,47998.0,6717.0,794.0,4787.0
2020-08-08,475902.0,52006.0,377125.0,46771.0,6495.0,695.0,7027.0
2020-08-09,480278.0,52298.0,384432.0,43548.0,4376.0,292.0,7307.0
2020-08-10,485836.0,53003.0,393160.0,39673.0,5558.0,705.0,8728.0
2020-08-11,492522.0,53929.0,397278.0,41315.0,6686.0,926.0,4118.0
2020-08-12,498380.0,54666.0,401182.0,42532.0,5858.0,737.0,3904.0
2020-08-13,505751.0,55293.0,406583.0,43875.0,7371.0,627.0,5401.0
2020-08-14,511369.0,55908.0,410479.0,44982.0,5618.0,615.0,3896.0
2020-08-15,517714.0,56543.0,418164.0,43007.0,6345.0,635.0,7685.0
2020-08-16,522162.0,56757.0,424298.0,41107.0,4448.0,214.0,6134.0
2020-08-17,525733.0,57023.0,430840.0,37870.0,3571.0,266.0,6542.0
2020-08-18,531239.0,57774.0,433809.0,39656.0,5506.0,751.0,2969.0
2020-08-19,537031.0,58481.0,438375.0,40175.0,5792.0,707.0,4566.0
2020-08-20,543806.0,59106.0,442782.0,41918.0,6775.0,625.0,4407.0
2020-08-21,549734.0,59610.0,448344.0,41780.0,5928.0,504.0,5562.0
2020-08-22,556216.0,60254.0,453104.0,42858.0,6482.0,644.0,4760.0
2020-08-23,560164.0,60480.0,458123.0,41561.0,3948.0,226.0,5019.0
2020-08-24,563705.0,60800.0,466209.0,36696.0,3541.0,320.0,8086.0
2020-08-25,568621.0,61450.0,469206.0,37965.0,4916.0,650.0,2997.0
2020-08-26,573888.0,62076.0,472197.0,39615.0,5267.0,626.0,2991.0
2020-08-27,579914.0,62594.0,475532.0,41788.0,6026.0,518.0,3335.0
2020-08-28,585738.0,63146.0,479770.0,42822.0,5824.0,552.0,4238.0
2020-08-29,591712.0,63819.0,484283.0,43610.0,5974.0,673.0,4513.0
2020-08-30,595841.0,64158.0,489724.0,41959.0,4129.0,339.0,5441.0
2020-08-31,599560.0,64414.0,496222.0,38924.0,3719.0,256.0,6498.0
2020-09-01,606036.0,65241.0,501722.0,39073.0,6476.0,827.0,5500.0
2020-09-02,610957.0,65816.0,504541.0,40600.0,4921.0,575.0,2819.0
2020-09-03,616894.0,66329.0,510626.0,39939.0,5937.0,513.0,6085.0
2020-09-04,623090.0,66851.0,514663.0,41576.0,6196.0,522.0,4037.0
2020-09-05,629409.0,67326.0,518844.0,43239.0,6319.0,475.0,4181.0
2020-09-06,634023.0,67558.0,524669.0,41796.0,4614.0,232.0,5825.0
2020-09-07,637509.0,67781.0,531334.0,38394.0,3486.0,223.0,6665.0
2020-09-08,642860.0,68484.0,535141.0,39235.0,5351.0,703.0,3807.0
2020-09-09,647321.0,69049.0,538514.0,39758.0,4461.0,565.0,3373.0
2020-09-10,652364.0,69649.0,541804.0,40911.0,5043.0,600.0,3290.0
2020-09-11,658299.0,70183.0,547088.0,41028.0,5935.0,534.0,5284.0
2020-09-12,663973.0,70604.0,551113.0,42256.0,5674.0,421.0,4025.0
2020-09-13,668381.0,70821.0,557381.0,40179.0,4408.0,217.0,6268.0
2020-09-14,671716.0,71049.0,564053.0,36614.0,3335.0,228.0,6672.0
2020-09-15,676487.0,71678.0,569546.0,35263.0,4771.0,629.0,5493.0
2020-09-16,680931.0,71978.0,574203.0,34750.0,4444.0,300.0,4657.0
2020-09-17,684113.0,72179.0,579145.0,32789.0,3182.0,201.0,4942.0
2020-09-18,688954.0,72803.0,582109.0,34042.0,4841.0,624.0,2964.0
2020-09-19,694121.0,73258.0,586154.0,34709.0,5167.0,455.0,4045.0
2020-09-20,697663.0,73493.0,590459.0,33711.0,3542.0,235.0,4305.0
2020-09-21,700580.0,73697.0,596317.0,30566.0,2917.0,204.0,5858.0
2020-09-22,705263.0,74348.0,598953.0,31962.0,4683.0,651.0,2636.0
2020-09-23,710049.0,74949.0,601611.0,33489.0,4786.0,601.0,2658.0
2020-09-24,715457.0,75439.0,605796.0,34222.0,5408.0,490.0,4185.0
2020-09-25,720858.0,75844.0,609041.0,35973.0,5401.0,405.0,3245.0
2020-09-26,726431.0,76243.0,612361.0,37827.0,5573.0,399.0,3320.0
2020-09-27,730317.0,76430.0,616696.0,37191.0,3886.0,187.0,4335.0
2020-09-28,733717.0,76603.0,622398.0,34716.0,3400.0,173.0,5702.0
2020-09-29,738163.0,77163.0,625512.0,35488.0,4446.0,560.0,3114.0
2020-09-30,743216.0,77646.0,628007.0,37563.0,5053.0,483.0,2495.0
