date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-08,1.0,0.0,0.0,1.0,,,
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-11,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-12,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-13,6.0,0.0,0.0,6.0,3.0,0.0,0.0
2020-03-14,12.0,0.0,0.0,12.0,6.0,0.0,0.0
2020-03-15,23.0,0.0,0.0,23.0,11.0,0.0,0.0
2020-03-16,23.0,0.0,0.0,23.0,0.0,0.0,0.0
2020-03-17,30.0,0.0,1.0,29.0,7.0,0.0,1.0
2020-03-18,30.0,1.0,1.0,28.0,0.0,1.0,0.0
2020-03-19,49.0,1.0,1.0,47.0,19.0,0.0,0.0
2020-03-20,66.0,1.0,1.0,64.0,17.0,0.0,0.0
2020-03-21,80.0,1.0,1.0,78.0,14.0,0.0,0.0
2020-03-22,94.0,1.0,1.0,92.0,14.0,0.0,0.0
2020-03-23,109.0,1.0,2.0,106.0,15.0,0.0,1.0
2020-03-24,125.0,1.0,2.0,122.0,16.0,0.0,0.0
2020-03-25,149.0,1.0,2.0,146.0,24.0,0.0,0.0
2020-03-26,177.0,1.0,2.0,174.0,28.0,0.0,0.0
2020-03-27,199.0,2.0,2.0,195.0,22.0,1.0,0.0
2020-03-28,231.0,2.0,2.0,227.0,32.0,0.0,0.0
2020-03-29,263.0,2.0,2.0,259.0,32.0,0.0,0.0
2020-03-30,298.0,2.0,15.0,281.0,35.0,0.0,13.0
2020-03-31,353.0,4.0,18.0,331.0,55.0,2.0,3.0
2020-04-01,423.0,5.0,23.0,395.0,70.0,1.0,5.0
2020-04-02,505.0,6.0,23.0,476.0,82.0,1.0,0.0
2020-04-03,591.0,8.0,26.0,557.0,86.0,2.0,3.0
2020-04-04,752.0,12.0,29.0,711.0,161.0,4.0,3.0
2020-04-05,864.0,15.0,30.0,819.0,112.0,3.0,1.0
2020-04-06,965.0,19.0,37.0,909.0,101.0,4.0,7.0
2020-04-07,1056.0,22.0,40.0,994.0,91.0,3.0,3.0
2020-04-08,1174.0,27.0,40.0,1107.0,118.0,5.0,0.0
2020-04-09,1289.0,29.0,50.0,1210.0,115.0,2.0,10.0
2020-04-10,1438.0,29.0,56.0,1353.0,149.0,0.0,6.0
2020-04-11,1560.0,30.0,75.0,1455.0,122.0,1.0,19.0
2020-04-12,1662.0,31.0,94.0,1537.0,102.0,1.0,19.0
2020-04-13,1712.0,35.0,107.0,1570.0,50.0,4.0,13.0
2020-04-14,1934.0,40.0,134.0,1760.0,222.0,5.0,27.0
2020-04-15,2049.0,46.0,171.0,1832.0,115.0,6.0,37.0
2020-04-16,2154.0,54.0,235.0,1865.0,105.0,8.0,64.0
2020-04-17,2264.0,56.0,276.0,1932.0,110.0,2.0,41.0
2020-04-18,2378.0,57.0,391.0,1930.0,114.0,1.0,115.0
2020-04-19,2472.0,67.0,457.0,1948.0,94.0,10.0,66.0
2020-04-20,2548.0,70.0,457.0,2021.0,76.0,3.0,0.0
2020-04-21,2614.0,72.0,505.0,2037.0,66.0,2.0,48.0
2020-04-22,2778.0,75.0,560.0,2143.0,164.0,3.0,55.0
2020-04-23,2926.0,80.0,661.0,2185.0,148.0,5.0,101.0
2020-04-24,3110.0,84.0,755.0,2271.0,184.0,4.0,94.0
2020-04-25,3304.0,94.0,825.0,2385.0,194.0,10.0,70.0
2020-04-26,3408.0,96.0,895.0,2417.0,104.0,2.0,70.0
2020-04-27,3481.0,102.0,925.0,2454.0,73.0,6.0,30.0
2020-04-28,3638.0,103.0,975.0,2560.0,157.0,1.0,50.0
2020-04-29,3771.0,111.0,1114.0,2546.0,133.0,8.0,139.0
2020-04-30,3897.0,116.0,1182.0,2599.0,126.0,5.0,68.0
2020-05-01,3980.0,122.0,1272.0,2586.0,83.0,6.0,90.0
2020-05-02,4052.0,124.0,1334.0,2594.0,72.0,2.0,62.0
2020-05-03,4121.0,125.0,1382.0,2614.0,69.0,1.0,48.0
2020-05-04,4248.0,132.0,1423.0,2693.0,127.0,7.0,41.0
2020-05-05,4363.0,136.0,1544.0,2683.0,115.0,4.0,121.0
2020-05-06,4476.0,143.0,1658.0,2675.0,113.0,7.0,114.0
2020-05-07,4605.0,145.0,1747.0,2713.0,129.0,2.0,89.0
2020-05-08,4728.0,150.0,1826.0,2752.0,123.0,5.0,79.0
2020-05-09,4867.0,161.0,1925.0,2781.0,139.0,11.0,99.0
2020-05-10,4927.0,169.0,1958.0,2800.0,60.0,8.0,33.0
2020-05-11,4995.0,175.0,1980.0,2840.0,68.0,6.0,22.0
2020-05-12,5154.0,182.0,2069.0,2903.0,159.0,7.0,89.0
2020-05-13,5406.0,185.0,2176.0,3045.0,252.0,3.0,107.0
2020-05-14,5553.0,194.0,2228.0,3131.0,147.0,9.0,52.0
2020-05-15,5745.0,202.0,2228.0,3315.0,192.0,8.0,0.0
2020-05-16,5934.0,207.0,2344.0,3383.0,189.0,5.0,116.0
2020-05-17,6060.0,211.0,2344.0,3505.0,126.0,4.0,0.0
2020-05-18,6138.0,217.0,2425.0,3496.0,78.0,6.0,81.0
2020-05-19,6340.0,221.0,2508.0,3611.0,202.0,4.0,83.0
2020-05-20,6553.0,228.0,2953.0,3372.0,213.0,7.0,445.0
2020-05-21,6704.0,233.0,2953.0,3518.0,151.0,5.0,0.0
2020-05-22,6847.0,237.0,3369.0,3241.0,143.0,4.0,416.0
2020-05-23,6994.0,242.0,3452.0,3300.0,147.0,5.0,83.0
2020-05-24,7093.0,250.0,3713.0,3130.0,99.0,8.0,261.0
