date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-10,1.0,0.0,0.0,1.0,,,
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-17,5.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-03-18,6.0,0.0,0.0,6.0,1.0,0.0,0.0
2020-03-19,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-20,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-21,10.0,0.0,0.0,10.0,4.0,0.0,0.0
2020-03-22,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-23,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-24,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-25,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-26,11.0,0.0,0.0,11.0,1.0,0.0,0.0
2020-03-27,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-28,12.0,0.0,0.0,12.0,1.0,0.0,0.0
2020-03-29,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-03-30,12.0,0.0,2.0,10.0,0.0,0.0,2.0
2020-03-31,12.0,0.0,2.0,10.0,0.0,0.0,0.0
2020-04-01,14.0,0.0,2.0,12.0,2.0,0.0,0.0
2020-04-02,14.0,0.0,2.0,12.0,0.0,0.0,0.0
2020-04-03,14.0,0.0,2.0,12.0,0.0,0.0,0.0
2020-04-04,14.0,0.0,2.0,12.0,0.0,0.0,0.0
2020-04-05,14.0,0.0,2.0,12.0,0.0,0.0,0.0
2020-04-06,15.0,0.0,2.0,13.0,1.0,0.0,0.0
2020-04-07,15.0,0.0,4.0,11.0,0.0,0.0,2.0
2020-04-08,16.0,0.0,4.0,12.0,1.0,0.0,0.0
2020-04-09,16.0,0.0,4.0,12.0,0.0,0.0,0.0
2020-04-10,16.0,0.0,4.0,12.0,0.0,0.0,0.0
2020-04-11,16.0,0.0,4.0,12.0,0.0,0.0,0.0
2020-04-12,16.0,0.0,4.0,12.0,0.0,0.0,0.0
2020-04-13,17.0,0.0,4.0,13.0,1.0,0.0,0.0
2020-04-14,30.0,0.0,5.0,25.0,13.0,0.0,1.0
2020-04-15,30.0,0.0,5.0,25.0,0.0,0.0,0.0
2020-04-16,31.0,0.0,5.0,26.0,1.0,0.0,0.0
2020-04-17,31.0,0.0,5.0,26.0,0.0,0.0,0.0
2020-04-18,31.0,0.0,5.0,26.0,0.0,0.0,0.0
2020-04-19,32.0,0.0,7.0,25.0,1.0,0.0,2.0
2020-04-20,33.0,0.0,7.0,26.0,1.0,0.0,0.0
2020-04-21,34.0,0.0,8.0,26.0,1.0,0.0,1.0
2020-04-22,35.0,0.0,8.0,27.0,1.0,0.0,0.0
2020-04-23,36.0,0.0,9.0,27.0,1.0,0.0,1.0
2020-04-24,37.0,0.0,9.0,28.0,1.0,0.0,0.0
2020-04-25,37.0,0.0,9.0,28.0,0.0,0.0,0.0
2020-04-26,38.0,0.0,9.0,29.0,1.0,0.0,0.0
2020-04-27,38.0,0.0,10.0,28.0,0.0,0.0,1.0
2020-04-28,38.0,0.0,10.0,28.0,0.0,0.0,0.0
2020-04-29,38.0,0.0,10.0,28.0,0.0,0.0,0.0
2020-04-30,38.0,0.0,10.0,28.0,0.0,0.0,0.0
2020-05-01,38.0,0.0,10.0,28.0,0.0,0.0,0.0
2020-05-02,39.0,0.0,10.0,29.0,1.0,0.0,0.0
2020-05-03,39.0,0.0,10.0,29.0,0.0,0.0,0.0
2020-05-04,40.0,0.0,12.0,28.0,1.0,0.0,2.0
2020-05-05,41.0,0.0,13.0,28.0,1.0,0.0,1.0
2020-05-06,41.0,0.0,13.0,28.0,0.0,0.0,0.0
2020-05-07,41.0,0.0,13.0,28.0,0.0,0.0,0.0
2020-05-08,42.0,0.0,13.0,29.0,1.0,0.0,0.0
2020-05-09,42.0,0.0,14.0,28.0,0.0,0.0,1.0
2020-05-10,42.0,0.0,14.0,28.0,0.0,0.0,0.0
2020-05-11,42.0,0.0,14.0,28.0,0.0,0.0,0.0
2020-05-12,42.0,0.0,15.0,27.0,0.0,0.0,1.0
2020-05-13,42.0,0.0,15.0,27.0,0.0,0.0,0.0
2020-05-14,98.0,0.0,15.0,83.0,56.0,0.0,0.0
2020-05-15,98.0,0.0,20.0,78.0,0.0,0.0,5.0
2020-05-16,135.0,0.0,20.0,115.0,37.0,0.0,0.0
2020-05-17,136.0,0.0,21.0,115.0,1.0,0.0,1.0
2020-05-18,140.0,0.0,24.0,116.0,4.0,0.0,3.0
2020-05-19,140.0,0.0,26.0,114.0,0.0,0.0,2.0
2020-05-20,140.0,0.0,26.0,114.0,0.0,0.0,0.0
2020-05-21,140.0,0.0,26.0,114.0,0.0,0.0,0.0
2020-05-22,141.0,0.0,28.0,113.0,1.0,0.0,2.0
2020-05-23,141.0,0.0,30.0,111.0,0.0,0.0,2.0
2020-05-24,141.0,0.0,32.0,109.0,0.0,0.0,2.0
2020-05-25,141.0,0.0,33.0,108.0,0.0,0.0,1.0
2020-05-26,141.0,0.0,37.0,104.0,0.0,0.0,4.0
2020-05-27,148.0,0.0,43.0,105.0,7.0,0.0,6.0
2020-05-28,161.0,0.0,43.0,118.0,13.0,0.0,0.0
2020-05-29,179.0,0.0,43.0,136.0,18.0,0.0,0.0
2020-05-30,179.0,0.0,44.0,135.0,0.0,0.0,1.0
2020-05-31,179.0,0.0,44.0,135.0,0.0,0.0,0.0
2020-06-01,185.0,0.0,44.0,141.0,6.0,0.0,0.0
2020-06-02,185.0,0.0,44.0,141.0,0.0,0.0,0.0
2020-06-03,185.0,0.0,44.0,141.0,0.0,0.0,0.0
2020-06-04,186.0,0.0,65.0,121.0,1.0,0.0,21.0
2020-06-05,191.0,0.0,70.0,121.0,5.0,0.0,5.0
2020-06-06,193.0,0.0,75.0,118.0,2.0,0.0,5.0
2020-06-07,193.0,0.0,75.0,118.0,0.0,0.0,0.0
2020-06-08,194.0,0.0,75.0,119.0,1.0,0.0,0.0
2020-06-09,194.0,0.0,87.0,107.0,0.0,0.0,12.0
2020-06-10,194.0,0.0,89.0,105.0,0.0,0.0,2.0
2020-06-11,197.0,0.0,95.0,102.0,3.0,0.0,6.0
2020-06-12,197.0,0.0,95.0,102.0,0.0,0.0,0.0
2020-06-13,197.0,0.0,98.0,99.0,0.0,0.0,3.0
2020-06-14,197.0,0.0,98.0,99.0,0.0,0.0,0.0
2020-06-15,197.0,0.0,109.0,88.0,0.0,0.0,11.0
2020-06-16,197.0,0.0,111.0,86.0,0.0,0.0,2.0
2020-06-17,201.0,0.0,127.0,74.0,4.0,0.0,16.0
2020-06-18,204.0,0.0,132.0,72.0,3.0,0.0,5.0
2020-06-19,204.0,0.0,139.0,65.0,0.0,0.0,7.0
2020-06-20,206.0,0.0,139.0,67.0,2.0,0.0,0.0
2020-06-21,213.0,0.0,153.0,60.0,7.0,0.0,14.0
2020-06-22,215.0,0.0,158.0,57.0,2.0,0.0,5.0
2020-06-23,215.0,0.0,168.0,47.0,0.0,0.0,10.0
2020-06-24,216.0,0.0,169.0,47.0,1.0,0.0,1.0
2020-06-25,219.0,0.0,170.0,49.0,3.0,0.0,1.0
2020-06-26,219.0,0.0,175.0,44.0,0.0,0.0,5.0
2020-06-27,219.0,0.0,175.0,44.0,0.0,0.0,0.0
2020-06-28,220.0,0.0,175.0,45.0,1.0,0.0,0.0
2020-06-29,220.0,0.0,175.0,45.0,0.0,0.0,0.0
2020-06-30,220.0,0.0,176.0,44.0,0.0,0.0,1.0
2020-07-01,220.0,0.0,177.0,43.0,0.0,0.0,1.0
2020-07-02,220.0,0.0,179.0,41.0,0.0,0.0,2.0
2020-07-03,220.0,0.0,183.0,37.0,0.0,0.0,4.0
2020-07-04,220.0,0.0,185.0,35.0,0.0,0.0,2.0
2020-07-05,220.0,0.0,188.0,32.0,0.0,0.0,3.0
2020-07-06,225.0,0.0,194.0,31.0,5.0,0.0,6.0
2020-07-07,227.0,0.0,195.0,32.0,2.0,0.0,1.0
2020-07-08,227.0,0.0,197.0,30.0,0.0,0.0,2.0
2020-07-09,227.0,0.0,197.0,30.0,0.0,0.0,0.0
2020-07-10,227.0,0.0,200.0,27.0,0.0,0.0,3.0
2020-07-11,230.0,0.0,202.0,28.0,3.0,0.0,2.0
2020-07-12,230.0,0.0,203.0,27.0,0.0,0.0,1.0
2020-07-13,243.0,0.0,204.0,39.0,13.0,0.0,1.0
2020-07-14,261.0,0.0,207.0,54.0,18.0,0.0,3.0
2020-07-15,261.0,0.0,209.0,52.0,0.0,0.0,2.0
2020-07-16,262.0,0.0,211.0,51.0,1.0,0.0,2.0
2020-07-17,287.0,0.0,211.0,76.0,25.0,0.0,0.0
2020-07-18,287.0,0.0,213.0,74.0,0.0,0.0,2.0
2020-07-19,287.0,0.0,213.0,74.0,0.0,0.0,0.0
2020-07-20,287.0,0.0,213.0,74.0,0.0,0.0,0.0
2020-07-21,287.0,0.0,213.0,74.0,0.0,0.0,0.0
2020-07-22,287.0,0.0,214.0,73.0,0.0,0.0,1.0
2020-07-23,288.0,0.0,217.0,71.0,1.0,0.0,3.0
2020-07-24,288.0,0.0,218.0,70.0,0.0,0.0,1.0
2020-07-25,288.0,0.0,218.0,70.0,0.0,0.0,0.0
2020-07-26,288.0,0.0,218.0,70.0,0.0,0.0,0.0
2020-07-27,289.0,0.0,222.0,67.0,1.0,0.0,4.0
2020-07-28,291.0,0.0,225.0,66.0,2.0,0.0,3.0
2020-07-29,291.0,0.0,225.0,66.0,0.0,0.0,0.0
2020-07-30,291.0,0.0,225.0,66.0,0.0,0.0,0.0
2020-07-31,291.0,0.0,230.0,61.0,0.0,0.0,5.0
