date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-02,1.0,0.0,0.0,1.0,,,
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-06,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-07,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-10,3.0,1.0,0.0,2.0,1.0,1.0,0.0
2020-03-11,5.0,1.0,0.0,4.0,2.0,0.0,0.0
2020-03-12,6.0,1.0,0.0,5.0,1.0,0.0,0.0
2020-03-13,7.0,1.0,1.0,5.0,1.0,0.0,1.0
2020-03-14,17.0,1.0,1.0,15.0,10.0,0.0,0.0
2020-03-15,28.0,1.0,1.0,26.0,11.0,0.0,0.0
2020-03-16,29.0,1.0,1.0,27.0,1.0,0.0,0.0
2020-03-17,38.0,2.0,1.0,35.0,9.0,1.0,0.0
2020-03-18,49.0,2.0,1.0,46.0,11.0,0.0,0.0
2020-03-19,63.0,2.0,1.0,60.0,14.0,0.0,0.0
2020-03-20,77.0,3.0,1.0,73.0,14.0,1.0,0.0
2020-03-21,96.0,3.0,3.0,90.0,19.0,0.0,2.0
2020-03-22,115.0,4.0,3.0,108.0,19.0,1.0,0.0
2020-03-23,143.0,4.0,5.0,134.0,28.0,0.0,2.0
2020-03-24,170.0,5.0,6.0,159.0,27.0,1.0,1.0
2020-03-25,225.0,6.0,7.0,212.0,55.0,1.0,1.0
2020-03-26,275.0,11.0,8.0,256.0,50.0,5.0,1.0
2020-03-27,345.0,23.0,11.0,311.0,70.0,12.0,3.0
2020-03-28,402.0,25.0,11.0,366.0,57.0,2.0,0.0
2020-03-29,479.0,26.0,13.0,440.0,77.0,1.0,2.0
2020-03-30,556.0,33.0,15.0,508.0,77.0,7.0,2.0
2020-03-31,617.0,36.0,24.0,557.0,61.0,3.0,9.0
2020-04-01,654.0,39.0,29.0,586.0,37.0,3.0,5.0
2020-04-02,708.0,44.0,31.0,633.0,54.0,5.0,2.0
2020-04-03,791.0,48.0,57.0,686.0,83.0,4.0,26.0
2020-04-04,919.0,59.0,66.0,794.0,128.0,11.0,9.0
2020-04-05,1021.0,70.0,76.0,875.0,102.0,11.0,10.0
2020-04-06,1120.0,80.0,81.0,959.0,99.0,10.0,5.0
2020-04-07,1184.0,90.0,93.0,1001.0,64.0,10.0,12.0
2020-04-08,1275.0,93.0,97.0,1085.0,91.0,3.0,4.0
2020-04-09,1374.0,97.0,109.0,1168.0,99.0,4.0,12.0
2020-04-10,1448.0,107.0,122.0,1219.0,74.0,10.0,13.0
2020-04-11,1545.0,111.0,146.0,1288.0,97.0,4.0,24.0
2020-04-12,1661.0,118.0,177.0,1366.0,116.0,7.0,31.0
2020-04-13,1763.0,126.0,203.0,1434.0,102.0,8.0,26.0
2020-04-14,1888.0,126.0,217.0,1545.0,125.0,0.0,14.0
2020-04-15,2024.0,127.0,229.0,1668.0,136.0,1.0,12.0
2020-04-16,2283.0,130.0,249.0,1904.0,259.0,3.0,20.0
2020-04-17,2564.0,135.0,281.0,2148.0,281.0,5.0,32.0
2020-04-18,2685.0,137.0,314.0,2234.0,121.0,2.0,33.0
2020-04-19,2855.0,141.0,327.0,2387.0,170.0,4.0,13.0
2020-04-20,3046.0,143.0,350.0,2553.0,191.0,2.0,23.0
2020-04-21,3209.0,145.0,393.0,2671.0,163.0,2.0,43.0
2020-04-22,3446.0,149.0,417.0,2880.0,237.0,4.0,24.0
2020-04-23,3568.0,155.0,456.0,2957.0,122.0,6.0,39.0
2020-04-24,3758.0,158.0,486.0,3114.0,190.0,3.0,30.0
2020-04-25,3897.0,159.0,537.0,3201.0,139.0,1.0,51.0
2020-04-26,4065.0,161.0,593.0,3311.0,168.0,2.0,56.0
2020-04-27,4120.0,162.0,695.0,3263.0,55.0,1.0,102.0
2020-04-28,4252.0,165.0,778.0,3309.0,132.0,3.0,83.0
2020-04-29,4321.0,168.0,928.0,3225.0,69.0,3.0,150.0
2020-04-30,4423.0,170.0,984.0,3269.0,102.0,2.0,56.0
2020-05-01,4569.0,171.0,1083.0,3315.0,146.0,1.0,99.0
2020-05-02,4729.0,173.0,1256.0,3300.0,160.0,2.0,173.0
2020-05-03,4903.0,174.0,1438.0,3291.0,174.0,1.0,182.0
2020-05-04,5053.0,179.0,1653.0,3221.0,150.0,5.0,215.0
2020-05-05,5219.0,181.0,1838.0,3200.0,166.0,2.0,185.0
2020-05-06,5408.0,183.0,2017.0,3208.0,189.0,2.0,179.0
2020-05-07,5548.0,183.0,2179.0,3186.0,140.0,0.0,162.0
2020-05-08,5711.0,186.0,2324.0,3201.0,163.0,3.0,145.0
2020-05-09,5910.0,186.0,2461.0,3263.0,199.0,0.0,137.0
2020-05-10,6063.0,188.0,2554.0,3321.0,153.0,2.0,93.0
2020-05-11,6281.0,188.0,2811.0,3282.0,218.0,0.0,257.0
2020-05-12,6418.0,188.0,2991.0,3239.0,137.0,0.0,180.0
2020-05-13,6512.0,188.0,3131.0,3193.0,94.0,0.0,140.0
2020-05-14,6607.0,190.0,3310.0,3107.0,95.0,2.0,179.0
2020-05-15,6652.0,190.0,3400.0,3062.0,45.0,0.0,90.0
