date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-22,1.0,0.0,0.0,1.0,,,
2020-03-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-24,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-25,5.0,0.0,0.0,5.0,2.0,0.0,0.0
2020-03-26,7.0,0.0,0.0,7.0,2.0,0.0,0.0
2020-03-27,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-03-28,8.0,0.0,0.0,8.0,1.0,0.0,0.0
2020-03-29,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-03-30,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-03-31,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-04-01,10.0,0.0,0.0,10.0,2.0,0.0,0.0
2020-04-02,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-04-03,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-04-04,10.0,0.0,1.0,9.0,0.0,0.0,1.0
2020-04-05,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-04-06,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-04-07,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-04-08,17.0,0.0,1.0,16.0,7.0,0.0,0.0
2020-04-09,17.0,0.0,1.0,16.0,0.0,0.0,0.0
2020-04-10,20.0,0.0,2.0,18.0,3.0,0.0,1.0
2020-04-11,20.0,0.0,2.0,18.0,0.0,0.0,0.0
2020-04-12,21.0,0.0,2.0,19.0,1.0,0.0,0.0
2020-04-13,21.0,0.0,2.0,19.0,0.0,0.0,0.0
2020-04-14,28.0,0.0,2.0,26.0,7.0,0.0,0.0
2020-04-15,29.0,0.0,2.0,27.0,1.0,0.0,0.0
2020-04-16,31.0,0.0,2.0,29.0,2.0,0.0,0.0
2020-04-17,34.0,0.0,2.0,32.0,3.0,0.0,0.0
2020-04-18,35.0,0.0,4.0,31.0,1.0,0.0,2.0
2020-04-19,39.0,0.0,8.0,31.0,4.0,0.0,4.0
2020-04-20,39.0,0.0,8.0,31.0,0.0,0.0,0.0
2020-04-21,39.0,0.0,8.0,31.0,0.0,0.0,0.0
2020-04-22,41.0,0.0,8.0,33.0,2.0,0.0,0.0
2020-04-23,46.0,0.0,9.0,37.0,5.0,0.0,1.0
2020-04-24,65.0,0.0,12.0,53.0,19.0,0.0,3.0
2020-04-25,70.0,0.0,12.0,58.0,5.0,0.0,0.0
2020-04-26,76.0,0.0,12.0,64.0,6.0,0.0,0.0
2020-04-27,76.0,0.0,12.0,64.0,0.0,0.0,0.0
2020-04-28,76.0,0.0,12.0,64.0,0.0,0.0,0.0
2020-04-29,76.0,0.0,12.0,64.0,0.0,0.0,0.0
2020-04-30,76.0,0.0,12.0,64.0,0.0,0.0,0.0
2020-05-01,79.0,0.0,12.0,67.0,3.0,0.0,0.0
2020-05-02,79.0,0.0,18.0,61.0,0.0,0.0,6.0
2020-05-03,80.0,0.0,19.0,61.0,1.0,0.0,1.0
2020-05-04,80.0,0.0,19.0,61.0,0.0,0.0,0.0
2020-05-05,81.0,0.0,19.0,62.0,1.0,0.0,0.0
2020-05-06,81.0,0.0,21.0,60.0,0.0,0.0,2.0
2020-05-07,81.0,0.0,24.0,57.0,0.0,0.0,3.0
2020-05-08,82.0,0.0,27.0,55.0,1.0,0.0,3.0
2020-05-09,87.0,0.0,34.0,53.0,5.0,0.0,7.0
2020-05-10,91.0,0.0,34.0,57.0,4.0,0.0,0.0
2020-05-11,103.0,0.0,34.0,69.0,12.0,0.0,0.0
2020-05-12,104.0,0.0,34.0,70.0,1.0,0.0,0.0
2020-05-13,104.0,0.0,34.0,70.0,0.0,0.0,0.0
2020-05-14,115.0,0.0,35.0,80.0,11.0,0.0,1.0
2020-05-15,119.0,0.0,42.0,77.0,4.0,0.0,7.0
2020-05-16,129.0,0.0,43.0,86.0,10.0,0.0,1.0
2020-05-17,137.0,0.0,44.0,93.0,8.0,0.0,1.0
2020-05-18,145.0,0.0,44.0,101.0,8.0,0.0,0.0
2020-05-19,146.0,0.0,44.0,102.0,1.0,0.0,0.0
2020-05-20,156.0,0.0,48.0,108.0,10.0,0.0,4.0
2020-05-21,162.0,0.0,48.0,114.0,6.0,0.0,0.0
2020-05-22,164.0,0.0,48.0,116.0,2.0,0.0,0.0
2020-05-23,168.0,0.0,48.0,120.0,4.0,0.0,0.0
2020-05-24,194.0,0.0,51.0,143.0,26.0,0.0,3.0
2020-05-25,209.0,1.0,71.0,137.0,15.0,1.0,20.0
2020-05-26,213.0,1.0,71.0,141.0,4.0,0.0,0.0
2020-05-27,227.0,1.0,71.0,155.0,14.0,0.0,0.0
2020-05-28,233.0,2.0,82.0,149.0,6.0,1.0,11.0
2020-05-29,234.0,2.0,84.0,148.0,1.0,0.0,2.0
2020-05-30,244.0,2.0,90.0,152.0,10.0,0.0,6.0
2020-05-31,254.0,2.0,91.0,161.0,10.0,0.0,1.0
2020-06-01,254.0,2.0,97.0,155.0,0.0,0.0,6.0
2020-06-02,307.0,2.0,98.0,207.0,53.0,0.0,1.0
2020-06-03,316.0,2.0,109.0,205.0,9.0,0.0,11.0
2020-06-04,352.0,2.0,114.0,236.0,36.0,0.0,5.0
2020-06-05,354.0,2.0,119.0,233.0,2.0,0.0,5.0
2020-06-06,409.0,2.0,126.0,281.0,55.0,0.0,7.0
