date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-19,1.0,0.0,0.0,1.0,,,
2020-03-20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-21,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-22,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-23,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-24,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-25,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-26,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-27,2.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-03-28,4.0,1.0,0.0,3.0,2.0,0.0,0.0
2020-03-29,4.0,1.0,0.0,3.0,0.0,0.0,0.0
2020-03-30,4.0,1.0,0.0,3.0,0.0,0.0,0.0
2020-03-31,5.0,1.0,0.0,4.0,1.0,0.0,0.0
2020-04-01,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-02,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-03,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-04,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-04-05,6.0,1.0,0.0,5.0,1.0,0.0,0.0
2020-04-06,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-04-07,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-04-08,6.0,1.0,0.0,5.0,0.0,0.0,0.0
2020-04-09,7.0,1.0,0.0,6.0,1.0,0.0,0.0
2020-04-10,7.0,1.0,0.0,6.0,0.0,0.0,0.0
2020-04-11,8.0,1.0,0.0,7.0,1.0,0.0,0.0
2020-04-12,9.0,1.0,4.0,4.0,1.0,0.0,4.0
2020-04-13,9.0,1.0,4.0,4.0,0.0,0.0,0.0
2020-04-14,9.0,1.0,4.0,4.0,0.0,0.0,0.0
2020-04-15,9.0,1.0,4.0,4.0,0.0,0.0,0.0
2020-04-16,9.0,1.0,4.0,4.0,0.0,0.0,0.0
2020-04-17,9.0,1.0,4.0,4.0,0.0,0.0,0.0
2020-04-18,9.0,2.0,6.0,1.0,0.0,1.0,2.0
2020-04-19,10.0,2.0,6.0,2.0,1.0,0.0,0.0
2020-04-20,10.0,2.0,6.0,2.0,0.0,0.0,0.0
2020-04-21,10.0,2.0,7.0,1.0,0.0,0.0,1.0
2020-04-22,10.0,2.0,7.0,1.0,0.0,0.0,0.0
2020-04-23,11.0,3.0,7.0,1.0,1.0,1.0,0.0
2020-04-24,11.0,3.0,7.0,1.0,0.0,0.0,0.0
2020-04-25,12.0,3.0,7.0,2.0,1.0,0.0,0.0
2020-04-26,13.0,3.0,7.0,3.0,1.0,0.0,0.0
2020-04-27,13.0,3.0,7.0,3.0,0.0,0.0,0.0
2020-04-28,13.0,3.0,7.0,3.0,0.0,0.0,0.0
2020-04-29,13.0,3.0,7.0,3.0,0.0,0.0,0.0
2020-04-30,14.0,3.0,7.0,4.0,1.0,0.0,0.0
2020-05-01,14.0,3.0,7.0,4.0,0.0,0.0,0.0
2020-05-02,14.0,3.0,7.0,4.0,0.0,0.0,0.0
2020-05-03,15.0,5.0,7.0,3.0,1.0,2.0,0.0
2020-05-04,15.0,5.0,7.0,3.0,0.0,0.0,0.0
2020-05-05,16.0,5.0,7.0,4.0,1.0,0.0,0.0
2020-05-06,16.0,5.0,7.0,4.0,0.0,0.0,0.0
2020-05-07,16.0,5.0,7.0,4.0,0.0,0.0,0.0
2020-05-08,16.0,5.0,7.0,4.0,0.0,0.0,0.0
2020-05-09,16.0,5.0,7.0,4.0,0.0,0.0,0.0
2020-05-10,16.0,5.0,7.0,4.0,0.0,0.0,0.0
2020-05-11,16.0,5.0,7.0,4.0,0.0,0.0,0.0
2020-05-12,25.0,8.0,7.0,10.0,9.0,3.0,0.0
2020-05-13,25.0,8.0,7.0,10.0,0.0,0.0,0.0
2020-05-14,25.0,8.0,7.0,10.0,0.0,0.0,0.0
2020-05-15,25.0,8.0,7.0,10.0,0.0,0.0,0.0
2020-05-16,25.0,8.0,7.0,10.0,0.0,0.0,0.0
2020-05-17,25.0,8.0,7.0,10.0,0.0,0.0,0.0
2020-05-18,25.0,8.0,7.0,10.0,0.0,0.0,0.0
2020-05-19,254.0,17.0,199.0,38.0,229.0,9.0,192.0
2020-05-20,254.0,17.0,199.0,38.0,0.0,0.0,0.0
2020-05-21,279.0,17.0,199.0,63.0,25.0,0.0,0.0
2020-05-22,279.0,17.0,199.0,63.0,0.0,0.0,0.0
2020-05-23,279.0,17.0,199.0,63.0,0.0,0.0,0.0
2020-05-24,279.0,17.0,199.0,63.0,0.0,0.0,0.0
2020-05-25,279.0,17.0,199.0,63.0,0.0,0.0,0.0
2020-05-26,759.0,35.0,370.0,354.0,480.0,18.0,171.0
2020-05-27,759.0,35.0,370.0,354.0,0.0,0.0,0.0
2020-05-28,759.0,35.0,370.0,354.0,0.0,0.0,0.0
2020-05-29,759.0,35.0,370.0,354.0,0.0,0.0,0.0
2020-05-30,759.0,35.0,370.0,354.0,0.0,0.0,0.0
2020-05-31,759.0,35.0,370.0,354.0,0.0,0.0,0.0
2020-06-01,759.0,35.0,370.0,354.0,0.0,0.0,0.0
2020-06-02,1118.0,46.0,370.0,702.0,359.0,11.0,0.0
2020-06-03,1118.0,46.0,370.0,702.0,0.0,0.0,0.0
2020-06-04,1118.0,46.0,370.0,702.0,0.0,0.0,0.0
2020-06-05,1118.0,46.0,370.0,702.0,0.0,0.0,0.0
2020-06-06,1118.0,46.0,370.0,702.0,0.0,0.0,0.0
2020-06-07,1118.0,46.0,370.0,702.0,0.0,0.0,0.0
2020-06-08,1118.0,46.0,370.0,702.0,0.0,0.0,0.0
2020-06-09,1464.0,55.0,953.0,456.0,346.0,9.0,583.0
2020-06-10,1464.0,55.0,953.0,456.0,0.0,0.0,0.0
2020-06-11,1464.0,55.0,953.0,456.0,0.0,0.0,0.0
2020-06-12,1464.0,55.0,953.0,456.0,0.0,0.0,0.0
2020-06-13,1464.0,55.0,953.0,456.0,0.0,0.0,0.0
2020-06-14,1464.0,55.0,953.0,456.0,0.0,0.0,0.0
2020-06-15,1464.0,55.0,953.0,456.0,0.0,0.0,0.0
2020-06-16,1823.0,64.0,1238.0,521.0,359.0,9.0,285.0
2020-06-17,1823.0,64.0,1238.0,521.0,0.0,0.0,0.0
2020-06-18,1823.0,64.0,1238.0,521.0,0.0,0.0,0.0
2020-06-19,1823.0,64.0,1238.0,521.0,0.0,0.0,0.0
2020-06-20,1823.0,64.0,1238.0,521.0,0.0,0.0,0.0
2020-06-21,1823.0,64.0,1238.0,521.0,0.0,0.0,0.0
2020-06-22,1823.0,64.0,1238.0,521.0,0.0,0.0,0.0
2020-06-23,2170.0,74.0,1238.0,858.0,347.0,10.0,0.0
2020-06-24,2170.0,74.0,1238.0,858.0,0.0,0.0,0.0
2020-06-25,2170.0,74.0,1238.0,858.0,0.0,0.0,0.0
2020-06-26,2170.0,74.0,1238.0,858.0,0.0,0.0,0.0
2020-06-27,2170.0,74.0,1238.0,858.0,0.0,0.0,0.0
2020-06-28,2170.0,74.0,1238.0,858.0,0.0,0.0,0.0
2020-06-29,2170.0,74.0,1238.0,858.0,0.0,0.0,0.0
2020-06-30,2519.0,83.0,1238.0,1198.0,349.0,9.0,0.0
2020-07-01,2519.0,83.0,1238.0,1198.0,0.0,0.0,0.0
2020-07-02,2519.0,83.0,1238.0,1198.0,0.0,0.0,0.0
2020-07-03,2519.0,83.0,1238.0,1198.0,0.0,0.0,0.0
