date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-07,61.0,0.0,0.0,61.0,,,
2020-02-08,61.0,0.0,0.0,61.0,0.0,0.0,0.0
2020-02-09,64.0,0.0,0.0,64.0,3.0,0.0,0.0
2020-02-10,135.0,0.0,0.0,135.0,71.0,0.0,0.0
2020-02-11,135.0,0.0,0.0,135.0,0.0,0.0,0.0
2020-02-12,175.0,0.0,0.0,175.0,40.0,0.0,0.0
2020-02-13,175.0,0.0,0.0,175.0,0.0,0.0,0.0
2020-02-14,218.0,0.0,0.0,218.0,43.0,0.0,0.0
2020-02-15,285.0,0.0,0.0,285.0,67.0,0.0,0.0
2020-02-16,355.0,0.0,0.0,355.0,70.0,0.0,0.0
2020-02-17,454.0,0.0,0.0,454.0,99.0,0.0,0.0
2020-02-18,542.0,0.0,0.0,542.0,88.0,0.0,0.0
2020-02-19,621.0,0.0,1.0,620.0,79.0,0.0,1.0
2020-02-20,634.0,2.0,1.0,631.0,13.0,2.0,0.0
2020-02-21,634.0,2.0,1.0,631.0,0.0,0.0,0.0
2020-02-22,634.0,2.0,1.0,631.0,0.0,0.0,0.0
2020-02-23,691.0,3.0,0.0,688.0,57.0,1.0,-1.0
2020-02-24,691.0,3.0,0.0,688.0,0.0,0.0,0.0
2020-02-25,691.0,3.0,0.0,688.0,0.0,0.0,0.0
2020-02-26,705.0,4.0,10.0,691.0,14.0,1.0,10.0
2020-02-27,705.0,4.0,10.0,691.0,0.0,0.0,0.0
2020-02-28,705.0,6.0,10.0,689.0,0.0,2.0,0.0
2020-02-29,705.0,6.0,10.0,689.0,0.0,0.0,0.0
2020-03-01,705.0,6.0,10.0,689.0,0.0,0.0,0.0
2020-03-02,705.0,6.0,10.0,689.0,0.0,0.0,0.0
2020-03-03,706.0,6.0,10.0,690.0,1.0,0.0,0.0
2020-03-04,706.0,6.0,10.0,690.0,0.0,0.0,0.0
2020-03-05,706.0,6.0,10.0,690.0,0.0,0.0,0.0
2020-03-06,696.0,6.0,40.0,650.0,-10.0,0.0,30.0
2020-03-07,696.0,6.0,40.0,650.0,0.0,0.0,0.0
2020-03-08,696.0,6.0,40.0,650.0,0.0,0.0,0.0
2020-03-09,696.0,6.0,40.0,650.0,0.0,0.0,0.0
2020-03-10,696.0,6.0,40.0,650.0,0.0,0.0,0.0
2020-03-11,696.0,7.0,325.0,364.0,0.0,1.0,285.0
2020-03-12,696.0,7.0,325.0,364.0,0.0,0.0,0.0
2020-03-13,696.0,7.0,325.0,364.0,0.0,0.0,0.0
2020-03-14,696.0,7.0,325.0,364.0,0.0,0.0,0.0
2020-03-15,696.0,7.0,325.0,364.0,0.0,0.0,0.0
2020-03-16,696.0,7.0,325.0,364.0,0.0,0.0,0.0
2020-03-17,696.0,7.0,325.0,364.0,0.0,0.0,0.0
2020-03-18,712.0,7.0,325.0,380.0,16.0,0.0,0.0
2020-03-19,712.0,7.0,325.0,380.0,0.0,0.0,0.0
2020-03-20,712.0,7.0,325.0,380.0,0.0,0.0,0.0
2020-03-21,712.0,8.0,325.0,379.0,0.0,1.0,0.0
2020-03-22,712.0,8.0,567.0,137.0,0.0,0.0,242.0
2020-03-23,712.0,8.0,567.0,137.0,0.0,0.0,0.0
