date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-10,1.0,0.0,0.0,1.0,,,
2020-03-11,8.0,1.0,0.0,7.0,7.0,1.0,0.0
2020-03-12,11.0,1.0,0.0,10.0,3.0,0.0,0.0
2020-03-13,27.0,1.0,0.0,26.0,16.0,0.0,0.0
2020-03-14,36.0,1.0,0.0,35.0,9.0,0.0,0.0
2020-03-15,43.0,1.0,0.0,42.0,7.0,0.0,0.0
2020-03-16,55.0,1.0,0.0,54.0,12.0,0.0,0.0
2020-03-17,69.0,1.0,0.0,68.0,14.0,0.0,0.0
2020-03-18,86.0,1.0,0.0,85.0,17.0,0.0,0.0
2020-03-19,109.0,1.0,0.0,108.0,23.0,0.0,0.0
2020-03-20,137.0,1.0,0.0,136.0,28.0,0.0,0.0
2020-03-21,200.0,1.0,0.0,199.0,63.0,0.0,0.0
2020-03-22,313.0,3.0,1.0,309.0,113.0,2.0,1.0
2020-03-23,313.0,3.0,1.0,309.0,0.0,0.0,0.0
2020-03-24,345.0,6.0,1.0,338.0,32.0,3.0,0.0
2020-03-25,443.0,8.0,1.0,434.0,98.0,2.0,0.0
2020-03-26,558.0,8.0,2.0,548.0,115.0,0.0,1.0
2020-03-27,674.0,9.0,2.0,663.0,116.0,1.0,0.0
2020-03-28,786.0,14.0,2.0,770.0,112.0,5.0,0.0
2020-03-29,901.0,17.0,4.0,880.0,115.0,3.0,2.0
2020-03-30,989.0,24.0,4.0,961.0,88.0,7.0,0.0
2020-03-31,1181.0,30.0,9.0,1142.0,192.0,6.0,5.0
2020-04-01,1181.0,30.0,9.0,1142.0,0.0,0.0,0.0
2020-04-02,1317.0,32.0,9.0,1276.0,136.0,2.0,0.0
2020-04-03,1475.0,37.0,10.0,1428.0,158.0,5.0,1.0
2020-04-04,1673.0,41.0,13.0,1619.0,198.0,4.0,3.0
2020-04-05,1801.0,46.0,13.0,1742.0,128.0,5.0,0.0
2020-04-06,1988.0,54.0,13.0,1921.0,187.0,8.0,0.0
2020-04-07,2100.0,55.0,14.0,2031.0,112.0,1.0,1.0
2020-04-08,2249.0,59.0,16.0,2174.0,149.0,4.0,2.0
2020-04-09,2528.0,63.0,16.0,2449.0,279.0,4.0,0.0
2020-04-10,2752.0,66.0,16.0,2670.0,224.0,3.0,0.0
2020-04-11,2974.0,74.0,17.0,2883.0,222.0,8.0,1.0
2020-04-12,3234.0,79.0,23.0,3132.0,260.0,5.0,6.0
2020-04-13,3400.0,87.0,29.0,3284.0,166.0,8.0,6.0
2020-04-14,3472.0,94.0,61.0,3317.0,72.0,7.0,32.0
