date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-06,1.0,1.0,0.0,0.0,,,
2020-03-07,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,6.0,2.0,0.0,4.0,5.0,1.0,0.0
2020-03-09,7.0,2.0,0.0,5.0,1.0,0.0,0.0
2020-03-10,11.0,2.0,0.0,9.0,4.0,0.0,0.0
2020-03-11,11.0,2.0,0.0,9.0,0.0,0.0,0.0
2020-03-12,15.0,3.0,0.0,12.0,4.0,1.0,0.0
2020-03-13,28.0,3.0,0.0,25.0,13.0,0.0,0.0
2020-03-14,38.0,3.0,0.0,35.0,10.0,0.0,0.0
2020-03-15,43.0,5.0,0.0,38.0,5.0,2.0,0.0
2020-03-16,86.0,5.0,0.0,81.0,43.0,0.0,0.0
2020-03-17,117.0,9.0,1.0,107.0,31.0,4.0,1.0
2020-03-18,145.0,15.0,1.0,129.0,28.0,6.0,0.0
2020-03-19,234.0,20.0,1.0,213.0,89.0,5.0,0.0
2020-03-20,234.0,26.0,1.0,207.0,0.0,6.0,0.0
2020-03-21,318.0,30.0,1.0,287.0,84.0,4.0,0.0
2020-03-22,363.0,34.0,1.0,328.0,45.0,4.0,0.0
2020-03-23,395.0,39.0,1.0,355.0,32.0,5.0,0.0
2020-03-24,416.0,45.0,1.0,370.0,21.0,6.0,0.0
2020-03-25,480.0,57.0,1.0,422.0,64.0,12.0,0.0
2020-03-26,580.0,63.0,14.0,503.0,100.0,6.0,13.0
2020-03-27,635.0,71.0,16.0,548.0,55.0,8.0,2.0
2020-03-28,671.0,86.0,16.0,569.0,36.0,15.0,0.0
2020-03-29,852.0,95.0,16.0,741.0,181.0,9.0,0.0
2020-03-30,950.0,113.0,53.0,784.0,98.0,18.0,37.0
2020-03-31,1065.0,138.0,394.0,533.0,115.0,25.0,341.0
2020-04-01,1323.0,161.0,394.0,768.0,258.0,23.0,0.0
2020-04-02,1414.0,183.0,537.0,694.0,91.0,22.0,143.0
2020-04-03,1595.0,209.0,537.0,849.0,181.0,26.0,0.0
2020-04-04,1746.0,258.0,914.0,574.0,151.0,49.0,377.0
2020-04-05,2281.0,317.0,989.0,975.0,535.0,59.0,75.0
2020-04-06,2561.0,360.0,997.0,1204.0,280.0,43.0,8.0
2020-04-07,2954.0,423.0,1301.0,1230.0,393.0,63.0,304.0
2020-04-08,4342.0,471.0,1333.0,2538.0,1388.0,48.0,32.0
2020-04-09,5256.0,569.0,1438.0,3249.0,914.0,98.0,105.0
2020-04-10,5897.0,650.0,1569.0,3678.0,641.0,81.0,131.0
2020-04-11,6848.0,753.0,1739.0,4356.0,951.0,103.0,170.0
2020-04-12,7519.0,846.0,1798.0,4875.0,671.0,93.0,59.0
2020-04-13,9784.0,952.0,2642.0,6190.0,2265.0,106.0,844.0
2020-04-14,10303.0,1061.0,2869.0,6373.0,519.0,109.0,227.0
2020-04-15,11475.0,1200.0,3108.0,7167.0,1172.0,139.0,239.0
2020-04-16,12491.0,1333.0,6120.0,5038.0,1016.0,133.0,3012.0
2020-04-17,13489.0,1490.0,6541.0,5458.0,998.0,157.0,421.0
2020-04-18,14420.0,1628.0,6684.0,6108.0,931.0,138.0,143.0
2020-04-19,15628.0,1786.0,6811.0,7031.0,1208.0,158.0,127.0
2020-04-20,16325.0,1990.0,6968.0,7367.0,697.0,204.0,157.0
2020-04-21,17837.0,2199.0,6982.0,8656.0,1512.0,209.0,14.0
2020-04-22,19250.0,2418.0,7027.0,9805.0,1413.0,219.0,45.0
2020-04-23,20914.0,2664.0,7422.0,10828.0,1664.0,246.0,395.0
2020-04-24,21648.0,2910.0,7496.0,11242.0,734.0,246.0,74.0
2020-04-25,25331.0,3198.0,7797.0,14336.0,3683.0,288.0,301.0
2020-04-26,27517.0,3488.0,8088.0,15941.0,2186.0,290.0,291.0
2020-04-27,28699.0,3793.0,8425.0,16481.0,1182.0,305.0,337.0
2020-04-28,31190.0,4106.0,9179.0,17905.0,2491.0,313.0,754.0
2020-04-29,33931.0,4450.0,10037.0,19444.0,2741.0,344.0,858.0
2020-04-30,36976.0,4782.0,10405.0,21789.0,3045.0,332.0,368.0
2020-05-01,40459.0,5181.0,11129.0,24149.0,3483.0,399.0,724.0
2020-05-02,42534.0,5589.0,12434.0,24511.0,2075.0,408.0,1305.0
2020-05-03,45928.0,6004.0,13550.0,26374.0,3394.0,415.0,1116.0
2020-05-04,47372.0,6442.0,14427.0,26503.0,1444.0,438.0,877.0
2020-05-05,51189.0,6871.0,15413.0,28905.0,3817.0,429.0,986.0
2020-05-06,54817.0,7328.0,17527.0,29962.0,3628.0,457.0,2114.0
2020-05-07,58526.0,7809.0,18388.0,32329.0,3709.0,481.0,861.0
2020-05-08,61847.0,8263.0,19012.0,34572.0,3321.0,454.0,624.0
2020-05-09,65015.0,8740.0,20246.0,36029.0,3168.0,477.0,1234.0
2020-05-10,67307.0,9258.0,21349.0,36700.0,2292.0,518.0,1103.0
2020-05-11,68822.0,9778.0,22406.0,36638.0,1515.0,520.0,1057.0
2020-05-12,72059.0,10294.0,23324.0,38441.0,3237.0,516.0,918.0
2020-05-13,76306.0,10760.0,24324.0,41222.0,4247.0,466.0,1000.0
2020-05-14,80604.0,11277.0,25151.0,44176.0,4298.0,517.0,827.0
2020-05-15,84495.0,11824.0,27147.0,45524.0,3891.0,547.0,1996.0
2020-05-16,88541.0,12333.0,28272.0,47936.0,4046.0,509.0,1125.0
2020-05-17,92273.0,12835.0,28621.0,50817.0,3732.0,502.0,349.0
2020-05-18,94933.0,13369.0,30306.0,51258.0,2660.0,534.0,1685.0
2020-05-19,99483.0,13984.0,36524.0,48975.0,4550.0,615.0,6218.0
2020-05-20,104020.0,14512.0,41968.0,47540.0,4537.0,528.0,5444.0
2020-05-21,108769.0,15056.0,43587.0,50126.0,4749.0,544.0,1619.0
2020-05-22,111698.0,15583.0,44848.0,51267.0,2929.0,527.0,1261.0
2020-05-23,115754.0,16101.0,47915.0,51738.0,4056.0,518.0,3067.0
2020-05-24,119959.0,16644.0,49795.0,53520.0,4205.0,543.0,1880.0
2020-05-25,123979.0,17216.0,50949.0,55814.0,4020.0,572.0,1154.0
2020-05-26,129751.0,17796.0,52906.0,59049.0,5772.0,580.0,1957.0
2020-05-27,135905.0,18340.0,56169.0,61396.0,6154.0,544.0,3263.0
2020-05-28,141779.0,18924.0,59442.0,63413.0,5874.0,584.0,3273.0
2020-05-29,141779.0,19478.0,62791.0,59510.0,0.0,554.0,3349.0
2020-05-30,155671.0,20111.0,66447.0,69113.0,13892.0,633.0,3656.0
2020-05-31,164476.0,20710.0,67208.0,76558.0,8805.0,599.0,761.0
2020-06-01,170039.0,21278.0,68507.0,80254.0,5563.0,568.0,1299.0
2020-06-02,178165.0,21938.0,69257.0,86970.0,8126.0,660.0,750.0
2020-06-03,178914.0,22476.0,72319.0,84119.0,749.0,538.0,3062.0
2020-06-04,183198.0,23025.0,76228.0,83945.0,4284.0,549.0,3909.0
2020-06-05,187400.0,23640.0,79214.0,84546.0,4202.0,615.0,2986.0
2020-06-06,191758.0,24225.0,82731.0,84802.0,4358.0,585.0,3517.0
2020-06-07,196515.0,24834.0,86219.0,85462.0,4757.0,609.0,3488.0
2020-06-08,199696.0,25402.0,89556.0,84738.0,3181.0,568.0,3337.0
2020-06-09,203736.0,26015.0,92929.0,84792.0,4040.0,613.0,3373.0
2020-06-10,208823.0,26610.0,98031.0,84182.0,5087.0,595.0,5102.0
2020-06-11,214788.0,27225.0,102429.0,85134.0,5965.0,615.0,4398.0
2020-06-12,214788.0,27825.0,107133.0,79830.0,0.0,600.0,4704.0
2020-06-13,220749.0,28386.0,111724.0,80639.0,5961.0,561.0,4591.0
2020-06-14,229736.0,29010.0,115579.0,85147.0,8987.0,624.0,3855.0
2020-06-15,232992.0,29603.0,119409.0,83980.0,3256.0,593.0,3830.0
2020-06-16,237156.0,30230.0,125205.0,81721.0,4164.0,627.0,5796.0
2020-06-17,240908.0,30840.0,128622.0,81446.0,3752.0,610.0,3417.0
2020-06-18,244388.0,31443.0,131190.0,81755.0,3480.0,603.0,2568.0
2020-06-19,247925.0,31962.0,131190.0,84773.0,3537.0,519.0,0.0
2020-06-20,251338.0,32574.0,143017.0,75747.0,3413.0,612.0,11827.0
2020-06-21,251338.0,33156.0,141967.0,76215.0,0.0,582.0,-1050.0
2020-06-22,257447.0,33694.0,145320.0,78433.0,6109.0,538.0,3353.0
