date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-04,1.0,0.0,0.0,1.0,,,
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,5.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-03-07,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-08,11.0,0.0,0.0,11.0,6.0,0.0,0.0
2020-03-09,16.0,0.0,0.0,16.0,5.0,0.0,0.0
2020-03-10,22.0,0.0,0.0,22.0,6.0,0.0,0.0
2020-03-11,31.0,0.0,0.0,31.0,9.0,0.0,0.0
2020-03-12,49.0,1.0,0.0,48.0,18.0,1.0,0.0
2020-03-13,68.0,2.0,0.0,66.0,19.0,1.0,0.0
2020-03-14,103.0,3.0,0.0,100.0,35.0,1.0,0.0
2020-03-15,119.0,3.0,0.0,116.0,16.0,0.0,0.0
2020-03-16,177.0,4.0,13.0,160.0,58.0,1.0,13.0
2020-03-17,238.0,5.0,13.0,220.0,61.0,1.0,0.0
2020-03-18,251.0,5.0,13.0,233.0,13.0,0.0,0.0
2020-03-19,355.0,5.0,1.0,349.0,104.0,0.0,-12.0
2020-03-20,425.0,5.0,1.0,419.0,70.0,0.0,0.0
2020-03-21,536.0,5.0,1.0,530.0,111.0,0.0,0.0
2020-03-22,634.0,7.0,13.0,614.0,98.0,2.0,12.0
2020-03-23,749.0,8.0,13.0,728.0,115.0,1.0,0.0
2020-03-24,901.0,10.0,1.0,890.0,152.0,2.0,-12.0
2020-03-25,1051.0,14.0,7.0,1030.0,150.0,4.0,6.0
2020-03-26,1221.0,16.0,7.0,1198.0,170.0,2.0,0.0
2020-03-27,1389.0,16.0,7.0,1366.0,168.0,0.0,0.0
2020-03-28,1638.0,18.0,7.0,1613.0,249.0,2.0,0.0
2020-03-29,1862.0,22.0,7.0,1833.0,224.0,4.0,0.0
2020-03-30,2055.0,31.0,7.0,2017.0,193.0,9.0,0.0
2020-03-31,2311.0,33.0,7.0,2271.0,256.0,2.0,0.0
2020-04-01,2554.0,43.0,47.0,2464.0,243.0,10.0,40.0
2020-04-02,2946.0,57.0,56.0,2833.0,392.0,14.0,9.0
2020-04-03,3383.0,71.0,56.0,3256.0,437.0,14.0,0.0
2020-04-04,3627.0,79.0,116.0,3432.0,244.0,8.0,60.0
2020-04-05,4102.0,94.0,134.0,3874.0,475.0,15.0,18.0
2020-04-06,4413.0,107.0,162.0,4144.0,311.0,13.0,28.0
2020-04-07,4848.0,129.0,191.0,4528.0,435.0,22.0,29.0
2020-04-08,5205.0,159.0,222.0,4824.0,357.0,30.0,31.0
2020-04-09,5575.0,174.0,284.0,5117.0,370.0,15.0,62.0
2020-04-10,5955.0,181.0,318.0,5456.0,380.0,7.0,34.0
2020-04-11,6356.0,208.0,375.0,5773.0,401.0,27.0,57.0
2020-04-12,6674.0,232.0,439.0,6003.0,318.0,24.0,64.0
2020-04-13,6934.0,245.0,487.0,6202.0,260.0,13.0,48.0
2020-04-14,7202.0,263.0,618.0,6321.0,268.0,18.0,131.0
2020-04-15,7582.0,286.0,668.0,6628.0,380.0,23.0,50.0
2020-04-16,7918.0,314.0,774.0,6830.0,336.0,28.0,106.0
2020-04-17,8379.0,332.0,866.0,7181.0,461.0,18.0,92.0
2020-04-18,8742.0,347.0,981.0,7414.0,363.0,15.0,115.0
2020-04-19,9287.0,360.0,1040.0,7887.0,545.0,13.0,59.0
2020-04-20,9593.0,380.0,1133.0,8080.0,306.0,20.0,93.0
2020-04-21,9856.0,401.0,1297.0,8158.0,263.0,21.0,164.0
2020-04-22,10169.0,426.0,1513.0,8230.0,313.0,25.0,216.0
2020-04-23,10511.0,454.0,1740.0,8317.0,342.0,28.0,227.0
2020-04-24,10892.0,494.0,1944.0,8454.0,381.0,40.0,204.0
2020-04-25,11273.0,524.0,2126.0,8623.0,381.0,30.0,182.0
2020-04-26,11617.0,535.0,2265.0,8817.0,344.0,11.0,139.0
2020-04-27,11902.0,562.0,2466.0,8874.0,285.0,27.0,201.0
2020-04-28,12218.0,596.0,2655.0,8967.0,316.0,34.0,189.0
2020-04-29,12640.0,624.0,3025.0,8991.0,422.0,28.0,370.0
2020-04-30,12877.0,644.0,3236.0,8997.0,237.0,20.0,211.0
2020-05-01,13105.0,651.0,3491.0,8963.0,228.0,7.0,255.0
2020-05-02,13375.0,664.0,3762.0,8949.0,270.0,13.0,271.0
2020-05-03,13693.0,678.0,3945.0,9070.0,318.0,14.0,183.0
2020-05-04,14006.0,698.0,4095.0,9213.0,313.0,20.0,150.0
2020-05-05,14431.0,716.0,4280.0,9435.0,425.0,18.0,185.0
2020-05-06,14740.0,733.0,4655.0,9352.0,309.0,17.0,375.0
2020-05-07,15047.0,755.0,4862.0,9430.0,307.0,22.0,207.0
2020-05-08,15366.0,776.0,5184.0,9406.0,319.0,21.0,322.0
2020-05-09,15651.0,785.0,5437.0,9429.0,285.0,9.0,253.0
2020-05-10,15996.0,800.0,5698.0,9498.0,345.0,15.0,261.0
2020-05-11,16326.0,811.0,5816.0,9699.0,330.0,11.0,118.0
2020-05-12,16921.0,839.0,6131.0,9951.0,595.0,28.0,315.0
2020-05-13,17204.0,861.0,6410.0,9933.0,283.0,22.0,279.0
2020-05-14,17615.0,883.0,6696.0,10036.0,411.0,22.0,286.0
2020-05-15,18016.0,907.0,6918.0,10191.0,401.0,24.0,222.0
2020-05-16,18257.0,915.0,7175.0,10167.0,241.0,8.0,257.0
2020-05-17,18529.0,925.0,7451.0,10153.0,272.0,10.0,276.0
2020-05-18,18885.0,936.0,7628.0,10321.0,356.0,11.0,177.0
2020-05-19,19268.0,948.0,7903.0,10417.0,383.0,12.0,275.0
2020-05-20,19739.0,962.0,8183.0,10594.0,471.0,14.0,280.0
2020-05-21,20143.0,972.0,8452.0,10719.0,404.0,10.0,269.0
2020-05-22,20619.0,982.0,8731.0,10906.0,476.0,10.0,279.0
2020-05-23,20931.0,993.0,8977.0,10961.0,312.0,11.0,246.0
2020-05-24,21326.0,996.0,9194.0,11136.0,395.0,3.0,217.0
2020-05-25,21631.0,1007.0,9276.0,11348.0,305.0,11.0,82.0
2020-05-26,22074.0,1024.0,10020.0,11030.0,443.0,17.0,744.0
2020-05-27,22473.0,1028.0,10330.0,11115.0,399.0,4.0,310.0
2020-05-28,22825.0,1038.0,10560.0,11227.0,352.0,10.0,230.0
2020-05-29,23155.0,1051.0,10692.0,11412.0,330.0,13.0,132.0
2020-05-30,23571.0,1061.0,11016.0,11494.0,416.0,10.0,324.0
2020-05-31,23786.0,1064.0,11271.0,11451.0,215.0,3.0,255.0
2020-06-01,24165.0,1074.0,11449.0,11642.0,379.0,10.0,178.0
2020-06-02,24395.0,1092.0,11726.0,11577.0,230.0,18.0,277.0
