date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-11,1.0,0.0,0.0,1.0,,,
2020-03-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-13,5.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-03-14,6.0,0.0,0.0,6.0,1.0,0.0,0.0
2020-03-15,7.0,0.0,0.0,7.0,1.0,0.0,0.0
2020-03-16,9.0,0.0,0.0,9.0,2.0,0.0,0.0
2020-03-17,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-18,12.0,0.0,0.0,12.0,3.0,0.0,0.0
2020-03-19,14.0,0.0,0.0,14.0,2.0,0.0,0.0
2020-03-20,28.0,0.0,0.0,28.0,14.0,0.0,0.0
2020-03-21,45.0,0.0,0.0,45.0,17.0,0.0,0.0
