date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-26,1.0,0.0,0.0,1.0,,,
2020-02-27,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-28,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-02-29,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-01,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-02,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-03,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-04,4.0,0.0,1.0,3.0,1.0,0.0,1.0
2020-03-05,6.0,0.0,1.0,5.0,2.0,0.0,0.0
2020-03-06,9.0,0.0,1.0,8.0,3.0,0.0,0.0
2020-03-07,9.0,0.0,3.0,6.0,0.0,0.0,2.0
2020-03-08,15.0,0.0,3.0,12.0,6.0,0.0,0.0
2020-03-09,15.0,0.0,3.0,12.0,0.0,0.0,0.0
2020-03-10,25.0,0.0,3.0,22.0,10.0,0.0,0.0
2020-03-11,45.0,0.0,6.0,39.0,20.0,0.0,3.0
2020-03-12,49.0,0.0,6.0,43.0,4.0,0.0,0.0
2020-03-13,89.0,0.0,7.0,82.0,40.0,0.0,1.0
2020-03-14,123.0,0.0,9.0,114.0,34.0,0.0,2.0
2020-03-15,131.0,0.0,9.0,122.0,8.0,0.0,0.0
2020-03-16,158.0,0.0,9.0,149.0,27.0,0.0,0.0
2020-03-17,184.0,0.0,16.0,168.0,26.0,0.0,7.0
2020-03-18,260.0,0.0,19.0,241.0,76.0,0.0,3.0
2020-03-19,277.0,0.0,25.0,252.0,17.0,0.0,6.0
2020-03-20,308.0,0.0,25.0,283.0,31.0,0.0,0.0
2020-03-21,367.0,0.0,52.0,315.0,59.0,0.0,27.0
2020-03-22,433.0,3.0,64.0,366.0,66.0,3.0,12.0
2020-03-23,576.0,7.0,73.0,496.0,143.0,4.0,9.0
2020-03-24,794.0,11.0,79.0,704.0,218.0,4.0,6.0
2020-03-25,906.0,17.0,86.0,803.0,112.0,6.0,7.0
2020-03-26,1029.0,23.0,94.0,912.0,123.0,6.0,8.0
2020-03-27,1292.0,26.0,115.0,1151.0,263.0,3.0,21.0
2020-03-28,1452.0,37.0,139.0,1276.0,160.0,11.0,24.0
2020-03-29,1815.0,43.0,206.0,1566.0,363.0,6.0,67.0
2020-03-30,2109.0,65.0,209.0,1835.0,294.0,22.0,3.0
2020-03-31,2245.0,82.0,220.0,1943.0,136.0,17.0,11.0
2020-04-01,2460.0,92.0,252.0,2116.0,215.0,10.0,32.0
2020-04-02,2738.0,115.0,267.0,2356.0,278.0,23.0,15.0
2020-04-03,3183.0,133.0,283.0,2767.0,445.0,18.0,16.0
2020-04-04,3613.0,146.0,329.0,3138.0,430.0,13.0,46.0
2020-04-05,3864.0,151.0,374.0,3339.0,251.0,5.0,45.0
2020-04-06,4057.0,176.0,406.0,3475.0,193.0,25.0,32.0
2020-04-07,4417.0,197.0,460.0,3760.0,360.0,21.0,54.0
2020-04-08,4761.0,220.0,528.0,4013.0,344.0,23.0,68.0
2020-04-09,5202.0,248.0,647.0,4307.0,441.0,28.0,119.0
2020-04-10,5467.0,270.0,729.0,4468.0,265.0,22.0,82.0
2020-04-11,5990.0,291.0,758.0,4941.0,523.0,21.0,29.0
2020-04-12,6300.0,316.0,852.0,5132.0,310.0,25.0,94.0
2020-04-13,6633.0,331.0,914.0,5388.0,333.0,15.0,62.0
2020-04-14,6879.0,351.0,1051.0,5477.0,246.0,20.0,137.0
2020-04-15,7216.0,372.0,1217.0,5627.0,337.0,21.0,166.0
2020-04-16,7707.0,392.0,1357.0,5958.0,491.0,20.0,140.0
2020-04-17,8067.0,411.0,1508.0,6148.0,360.0,19.0,151.0
2020-04-18,8418.0,421.0,1730.0,6267.0,351.0,10.0,222.0
2020-04-19,8746.0,451.0,1892.0,6403.0,328.0,30.0,162.0
2020-04-20,8936.0,478.0,2017.0,6441.0,190.0,27.0,125.0
2020-04-21,9242.0,498.0,2153.0,6591.0,306.0,20.0,136.0
2020-04-22,9710.0,524.0,2406.0,6780.0,468.0,26.0,253.0
2020-04-23,10096.0,545.0,2478.0,7073.0,386.0,21.0,72.0
2020-04-24,10417.0,567.0,2817.0,7033.0,321.0,22.0,339.0
2020-04-25,10635.0,601.0,2890.0,7144.0,218.0,34.0,73.0
2020-04-26,11036.0,619.0,3054.0,7363.0,401.0,18.0,164.0
2020-04-27,11339.0,641.0,3141.0,7557.0,303.0,22.0,87.0
2020-04-28,11616.0,663.0,3404.0,7549.0,277.0,22.0,263.0
2020-04-29,11978.0,693.0,3569.0,7716.0,362.0,30.0,165.0
2020-04-30,12240.0,717.0,4017.0,7506.0,262.0,24.0,448.0
2020-05-01,12567.0,744.0,4328.0,7495.0,327.0,27.0,311.0
2020-05-02,12732.0,771.0,4547.0,7414.0,165.0,27.0,219.0
2020-05-03,13163.0,790.0,4869.0,7504.0,431.0,19.0,322.0
2020-05-04,13512.0,818.0,5269.0,7425.0,349.0,28.0,400.0
2020-05-05,13837.0,841.0,5454.0,7542.0,325.0,23.0,185.0
2020-05-06,14107.0,864.0,5788.0,7455.0,270.0,23.0,334.0
2020-05-07,14499.0,888.0,6144.0,7467.0,392.0,24.0,356.0
2020-05-08,14811.0,923.0,6423.0,7465.0,312.0,35.0,279.0
2020-05-09,15131.0,939.0,6912.0,7280.0,320.0,16.0,489.0
2020-05-10,15362.0,961.0,7051.0,7350.0,231.0,22.0,139.0
2020-05-11,15588.0,982.0,7245.0,7361.0,226.0,21.0,194.0
2020-05-12,15778.0,1002.0,7685.0,7091.0,190.0,20.0,440.0
2020-05-13,16002.0,1036.0,7961.0,7005.0,224.0,34.0,276.0
2020-05-14,16247.0,1053.0,9053.0,6141.0,245.0,17.0,1092.0
2020-05-15,16437.0,1070.0,9370.0,5997.0,190.0,17.0,317.0
2020-05-16,16704.0,1094.0,9574.0,6036.0,267.0,24.0,204.0
2020-05-17,16871.0,1107.0,9890.0,5874.0,167.0,13.0,316.0
2020-05-18,17036.0,1120.0,9930.0,5986.0,165.0,13.0,40.0
2020-05-19,17191.0,1137.0,10166.0,5888.0,155.0,17.0,236.0
2020-05-20,17387.0,1147.0,10356.0,5884.0,196.0,10.0,190.0
2020-05-21,17585.0,1156.0,10581.0,5848.0,198.0,9.0,225.0
2020-05-22,17712.0,1166.0,10777.0,5769.0,127.0,10.0,196.0
2020-05-23,17857.0,1176.0,11187.0,5494.0,145.0,10.0,410.0
2020-05-24,18070.0,1185.0,11399.0,5486.0,213.0,9.0,212.0
2020-05-25,18283.0,1205.0,11630.0,5448.0,213.0,20.0,231.0
2020-05-26,18429.0,1216.0,11874.0,5339.0,146.0,11.0,244.0
2020-05-27,18594.0,1227.0,12162.0,5205.0,165.0,11.0,288.0
2020-05-28,18791.0,1235.0,12629.0,4927.0,197.0,8.0,467.0
2020-05-29,18982.0,1248.0,12829.0,4905.0,191.0,13.0,200.0
2020-05-30,19133.0,1259.0,13046.0,4828.0,151.0,11.0,217.0
2020-05-31,19257.0,1266.0,13256.0,4735.0,124.0,7.0,210.0
2020-06-01,19398.0,1276.0,13426.0,4696.0,141.0,10.0,170.0
2020-06-02,19517.0,1288.0,13526.0,4703.0,119.0,12.0,100.0
2020-06-03,19669.0,1296.0,13800.0,4573.0,152.0,8.0,274.0
2020-06-04,19907.0,1305.0,13919.0,4683.0,238.0,9.0,119.0
