date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-23,1.0,0.0,0.0,0.0,,,
2020-01-24,3.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-01-25,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-27,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-28,7.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-01-29,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,10.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-01-31,13.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-02-01,16.0,0.0,0.0,16.0,3.0,0.0,0.0
2020-02-02,18.0,0.0,0.0,18.0,2.0,0.0,0.0
2020-02-03,18.0,0.0,0.0,18.0,0.0,0.0,0.0
2020-02-04,24.0,0.0,0.0,24.0,6.0,0.0,0.0
2020-02-05,28.0,0.0,0.0,28.0,4.0,0.0,0.0
2020-02-06,28.0,0.0,0.0,28.0,0.0,0.0,0.0
2020-02-07,30.0,0.0,0.0,30.0,2.0,0.0,0.0
2020-02-08,33.0,0.0,2.0,31.0,3.0,0.0,2.0
2020-02-09,40.0,0.0,2.0,38.0,7.0,0.0,0.0
2020-02-10,45.0,0.0,2.0,43.0,5.0,0.0,0.0
2020-02-11,47.0,0.0,9.0,38.0,2.0,0.0,7.0
2020-02-12,50.0,0.0,15.0,35.0,3.0,0.0,6.0
2020-02-13,58.0,0.0,15.0,43.0,8.0,0.0,0.0
2020-02-14,67.0,0.0,17.0,50.0,9.0,0.0,2.0
2020-02-15,72.0,0.0,18.0,54.0,5.0,0.0,1.0
2020-02-16,75.0,0.0,18.0,57.0,3.0,0.0,0.0
2020-02-17,77.0,0.0,24.0,53.0,2.0,0.0,6.0
2020-02-18,81.0,0.0,29.0,52.0,4.0,0.0,5.0
2020-02-19,84.0,0.0,34.0,50.0,3.0,0.0,5.0
2020-02-20,84.0,0.0,34.0,50.0,0.0,0.0,0.0
2020-02-21,85.0,0.0,37.0,48.0,1.0,0.0,3.0
2020-02-22,85.0,0.0,37.0,48.0,0.0,0.0,0.0
2020-02-23,89.0,0.0,51.0,38.0,4.0,0.0,14.0
2020-02-24,89.0,0.0,51.0,38.0,0.0,0.0,0.0
2020-02-25,91.0,0.0,53.0,38.0,2.0,0.0,2.0
2020-02-26,93.0,0.0,62.0,31.0,2.0,0.0,9.0
2020-02-27,93.0,0.0,62.0,31.0,0.0,0.0,0.0
2020-02-28,93.0,0.0,62.0,31.0,0.0,0.0,0.0
2020-02-29,102.0,0.0,72.0,30.0,9.0,0.0,10.0
2020-03-01,106.0,0.0,72.0,34.0,4.0,0.0,0.0
2020-03-02,108.0,0.0,78.0,30.0,2.0,0.0,6.0
2020-03-03,110.0,0.0,78.0,32.0,2.0,0.0,0.0
2020-03-04,110.0,0.0,78.0,32.0,0.0,0.0,0.0
2020-03-05,117.0,0.0,78.0,39.0,7.0,0.0,0.0
2020-03-06,130.0,0.0,78.0,52.0,13.0,0.0,0.0
2020-03-07,138.0,0.0,78.0,60.0,8.0,0.0,0.0
2020-03-08,150.0,0.0,78.0,72.0,12.0,0.0,0.0
2020-03-09,150.0,0.0,78.0,72.0,0.0,0.0,0.0
2020-03-10,160.0,0.0,78.0,82.0,10.0,0.0,0.0
2020-03-11,178.0,0.0,96.0,82.0,18.0,0.0,18.0
2020-03-12,178.0,0.0,96.0,82.0,0.0,0.0,0.0
2020-03-13,200.0,0.0,97.0,103.0,22.0,0.0,1.0
2020-03-14,212.0,0.0,105.0,107.0,12.0,0.0,8.0
2020-03-15,226.0,0.0,105.0,121.0,14.0,0.0,0.0
2020-03-16,243.0,0.0,109.0,134.0,17.0,0.0,4.0
2020-03-17,266.0,0.0,114.0,152.0,23.0,0.0,5.0
2020-03-18,313.0,0.0,114.0,199.0,47.0,0.0,0.0
2020-03-19,345.0,0.0,114.0,231.0,32.0,0.0,0.0
2020-03-20,385.0,0.0,124.0,261.0,40.0,0.0,10.0
2020-03-21,432.0,2.0,140.0,290.0,47.0,2.0,16.0
2020-03-22,455.0,2.0,144.0,309.0,23.0,0.0,4.0
2020-03-23,509.0,2.0,152.0,355.0,54.0,0.0,8.0
2020-03-24,558.0,2.0,156.0,400.0,49.0,0.0,4.0
2020-03-25,631.0,2.0,160.0,469.0,73.0,0.0,4.0
2020-03-26,683.0,2.0,172.0,509.0,52.0,0.0,12.0
2020-03-27,732.0,2.0,183.0,547.0,49.0,0.0,11.0
2020-03-28,802.0,2.0,198.0,602.0,70.0,0.0,15.0
2020-03-29,844.0,3.0,212.0,629.0,42.0,1.0,14.0
2020-03-30,879.0,3.0,228.0,648.0,35.0,0.0,16.0
2020-03-31,926.0,3.0,240.0,683.0,47.0,0.0,12.0
2020-04-01,1000.0,3.0,245.0,752.0,74.0,0.0,5.0
2020-04-02,1049.0,4.0,266.0,779.0,49.0,1.0,21.0
2020-04-03,1114.0,5.0,282.0,827.0,65.0,1.0,16.0
2020-04-04,1189.0,6.0,297.0,886.0,75.0,1.0,15.0
2020-04-05,1309.0,6.0,320.0,983.0,120.0,0.0,23.0
