date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-05,2.0,0.0,0.0,2.0,,,
2020-03-06,7.0,0.0,0.0,7.0,5.0,0.0,0.0
2020-03-07,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-03-08,16.0,0.0,0.0,16.0,9.0,0.0,0.0
2020-03-09,16.0,0.0,0.0,16.0,0.0,0.0,0.0
2020-03-10,31.0,0.0,0.0,31.0,15.0,0.0,0.0
2020-03-11,57.0,0.0,0.0,57.0,26.0,0.0,0.0
2020-03-12,89.0,0.0,0.0,89.0,32.0,0.0,0.0
2020-03-13,141.0,0.0,0.0,141.0,52.0,0.0,0.0
2020-03-14,181.0,1.0,0.0,180.0,40.0,1.0,0.0
2020-03-15,219.0,1.0,0.0,218.0,38.0,0.0,0.0
2020-03-16,253.0,1.0,0.0,252.0,34.0,0.0,0.0
2020-03-17,275.0,1.0,0.0,274.0,22.0,0.0,0.0
2020-03-18,275.0,1.0,0.0,274.0,0.0,0.0,0.0
2020-03-19,286.0,1.0,0.0,285.0,11.0,0.0,0.0
2020-03-20,341.0,1.0,0.0,340.0,55.0,0.0,0.0
2020-03-21,383.0,1.0,0.0,382.0,42.0,0.0,0.0
2020-03-22,414.0,2.0,0.0,412.0,31.0,1.0,0.0
2020-03-23,442.0,3.0,0.0,439.0,28.0,1.0,0.0
2020-03-24,480.0,4.0,3.0,473.0,38.0,1.0,3.0
2020-03-25,528.0,5.0,10.0,513.0,48.0,1.0,7.0
2020-03-26,562.0,6.0,10.0,546.0,34.0,1.0,0.0
2020-03-27,632.0,9.0,10.0,613.0,70.0,3.0,0.0
2020-03-28,684.0,9.0,10.0,665.0,52.0,0.0,0.0
2020-03-29,730.0,11.0,10.0,709.0,46.0,2.0,0.0
2020-03-30,756.0,11.0,10.0,735.0,26.0,0.0,0.0
2020-03-31,802.0,15.0,10.0,777.0,46.0,4.0,0.0
2020-04-01,841.0,15.0,10.0,816.0,39.0,0.0,0.0
2020-04-02,897.0,17.0,70.0,810.0,56.0,2.0,60.0
2020-04-03,934.0,20.0,70.0,844.0,37.0,3.0,0.0
2020-04-04,977.0,22.0,79.0,876.0,43.0,2.0,9.0
2020-04-05,997.0,28.0,79.0,890.0,20.0,6.0,0.0
2020-04-06,1021.0,30.0,102.0,889.0,24.0,2.0,23.0
2020-04-07,1059.0,36.0,102.0,921.0,38.0,6.0,0.0
2020-04-08,1091.0,40.0,120.0,931.0,32.0,4.0,18.0
2020-04-09,1124.0,43.0,128.0,953.0,33.0,3.0,8.0
2020-04-10,1160.0,45.0,137.0,978.0,36.0,2.0,9.0
2020-04-11,1188.0,50.0,148.0,990.0,28.0,5.0,11.0
2020-04-12,1205.0,53.0,150.0,1002.0,17.0,3.0,2.0
2020-04-13,1212.0,55.0,152.0,1005.0,7.0,2.0,2.0
2020-04-14,1220.0,56.0,152.0,1012.0,8.0,1.0,0.0
2020-04-15,1248.0,61.0,165.0,1022.0,28.0,5.0,13.0
2020-04-16,1268.0,61.0,174.0,1033.0,20.0,0.0,9.0
2020-04-17,1304.0,66.0,174.0,1064.0,36.0,5.0,0.0
2020-04-18,1317.0,70.0,190.0,1057.0,13.0,4.0,16.0
2020-04-19,1330.0,74.0,192.0,1064.0,13.0,4.0,2.0
2020-04-20,1335.0,77.0,193.0,1065.0,5.0,3.0,1.0
2020-04-21,1344.0,77.0,197.0,1070.0,9.0,0.0,4.0
2020-04-22,1353.0,79.0,205.0,1069.0,9.0,2.0,8.0
2020-04-23,1366.0,79.0,211.0,1076.0,13.0,0.0,6.0
2020-04-24,1373.0,80.0,211.0,1082.0,7.0,1.0,0.0
2020-04-25,1388.0,81.0,219.0,1088.0,15.0,1.0,8.0
2020-04-26,1396.0,82.0,221.0,1093.0,8.0,1.0,2.0
2020-04-27,1402.0,83.0,221.0,1098.0,6.0,1.0,0.0
2020-04-28,1408.0,86.0,223.0,1099.0,6.0,3.0,2.0
2020-04-29,1418.0,89.0,230.0,1099.0,10.0,3.0,7.0
2020-04-30,1429.0,91.0,233.0,1105.0,11.0,2.0,3.0
2020-05-01,1434.0,92.0,233.0,1109.0,5.0,1.0,0.0
2020-05-02,1439.0,94.0,239.0,1106.0,5.0,2.0,6.0
2020-05-03,1439.0,96.0,241.0,1102.0,0.0,2.0,2.0
2020-05-04,1439.0,97.0,241.0,1101.0,0.0,1.0,0.0
2020-05-05,1445.0,98.0,244.0,1103.0,6.0,1.0,3.0
2020-05-06,1448.0,99.0,246.0,1103.0,3.0,1.0,2.0
2020-05-07,1449.0,99.0,247.0,1103.0,1.0,0.0,1.0
2020-05-08,1450.0,100.0,252.0,1098.0,1.0,1.0,5.0
2020-05-09,1454.0,101.0,255.0,1098.0,4.0,1.0,3.0
2020-05-10,1457.0,102.0,256.0,1099.0,3.0,1.0,1.0
2020-05-11,1460.0,102.0,256.0,1102.0,3.0,0.0,0.0
2020-05-12,1461.0,102.0,259.0,1100.0,1.0,0.0,3.0
2020-05-13,1463.0,103.0,260.0,1100.0,2.0,1.0,1.0
2020-05-14,1464.0,103.0,267.0,1094.0,1.0,0.0,7.0
2020-05-15,1465.0,103.0,270.0,1092.0,1.0,0.0,3.0
2020-05-16,1465.0,103.0,272.0,1090.0,0.0,0.0,2.0
2020-05-17,1466.0,104.0,273.0,1089.0,1.0,1.0,1.0
2020-05-18,1466.0,104.0,1335.0,27.0,0.0,0.0,1062.0
2020-05-19,1467.0,104.0,1338.0,25.0,1.0,0.0,3.0
2020-05-20,1468.0,105.0,1340.0,23.0,1.0,1.0,2.0
2020-05-21,1468.0,106.0,1340.0,22.0,0.0,1.0,0.0
2020-05-22,1468.0,106.0,1340.0,22.0,0.0,0.0,0.0
2020-05-23,1468.0,106.0,1340.0,22.0,0.0,0.0,0.0
2020-05-24,1468.0,107.0,1340.0,21.0,0.0,1.0,0.0
2020-05-25,1469.0,107.0,1346.0,16.0,1.0,0.0,6.0
2020-05-26,1469.0,108.0,1346.0,15.0,0.0,1.0,0.0
2020-05-27,1471.0,108.0,1354.0,9.0,2.0,0.0,8.0
2020-05-28,1473.0,108.0,1356.0,9.0,2.0,0.0,2.0
2020-05-29,1473.0,108.0,1357.0,8.0,0.0,0.0,1.0
2020-05-30,1473.0,108.0,1357.0,8.0,0.0,0.0,0.0
2020-05-31,1473.0,108.0,1358.0,7.0,0.0,0.0,1.0
2020-06-01,1473.0,109.0,1358.0,6.0,0.0,1.0,0.0
2020-06-02,1475.0,109.0,1358.0,8.0,2.0,0.0,0.0
2020-06-03,1477.0,109.0,1358.0,10.0,2.0,0.0,0.0
2020-06-04,1477.0,109.0,1359.0,9.0,0.0,0.0,1.0
2020-06-05,1479.0,109.0,1359.0,11.0,2.0,0.0,0.0
2020-06-06,1484.0,109.0,1359.0,16.0,5.0,0.0,0.0
2020-06-07,1485.0,109.0,1359.0,17.0,1.0,0.0,0.0
2020-06-08,1485.0,109.0,1359.0,17.0,0.0,0.0,0.0
2020-06-09,1486.0,109.0,1359.0,18.0,1.0,0.0,0.0
2020-06-10,1488.0,109.0,1359.0,20.0,2.0,0.0,0.0
2020-06-11,1488.0,109.0,1359.0,20.0,0.0,0.0,0.0
2020-06-12,1490.0,109.0,1359.0,22.0,2.0,0.0,0.0
2020-06-13,1492.0,109.0,1359.0,24.0,2.0,0.0,0.0
2020-06-14,1495.0,109.0,1359.0,27.0,3.0,0.0,0.0
2020-06-15,1496.0,109.0,1359.0,28.0,1.0,0.0,0.0
2020-06-16,1499.0,109.0,1359.0,31.0,3.0,0.0,0.0
2020-06-17,1503.0,109.0,1359.0,35.0,4.0,0.0,0.0
2020-06-18,1511.0,109.0,1359.0,43.0,8.0,0.0,0.0
2020-06-19,1513.0,109.0,1359.0,45.0,2.0,0.0,0.0
2020-06-20,1519.0,109.0,1359.0,51.0,6.0,0.0,0.0
2020-06-21,1520.0,109.0,1376.0,35.0,1.0,0.0,17.0
2020-06-22,1521.0,109.0,1376.0,36.0,1.0,0.0,0.0
2020-06-23,1534.0,109.0,1376.0,49.0,13.0,0.0,0.0
2020-06-24,1541.0,109.0,1376.0,56.0,7.0,0.0,0.0
2020-06-25,1547.0,109.0,1376.0,62.0,6.0,0.0,0.0
2020-06-26,1558.0,109.0,1376.0,73.0,11.0,0.0,0.0
2020-06-27,1572.0,109.0,1376.0,87.0,14.0,0.0,0.0
2020-06-28,1581.0,111.0,1384.0,86.0,9.0,2.0,8.0
2020-06-29,1585.0,111.0,1384.0,90.0,4.0,0.0,0.0
2020-06-30,1600.0,111.0,1384.0,105.0,15.0,0.0,0.0
2020-07-01,1613.0,111.0,1384.0,118.0,13.0,0.0,0.0
2020-07-02,1634.0,111.0,1384.0,139.0,21.0,0.0,0.0
2020-07-03,1650.0,111.0,1384.0,155.0,16.0,0.0,0.0
2020-07-04,1679.0,111.0,1384.0,184.0,29.0,0.0,0.0
2020-07-05,1700.0,111.0,1384.0,205.0,21.0,0.0,0.0
2020-07-06,1716.0,111.0,1384.0,221.0,16.0,0.0,0.0
2020-07-07,1739.0,111.0,1423.0,205.0,23.0,0.0,39.0
2020-07-08,1763.0,111.0,1429.0,223.0,24.0,0.0,6.0
2020-07-09,1776.0,111.0,1429.0,236.0,13.0,0.0,0.0
2020-07-10,1793.0,111.0,1429.0,253.0,17.0,0.0,0.0
2020-07-11,1827.0,111.0,1429.0,287.0,34.0,0.0,0.0
2020-07-12,1841.0,111.0,1469.0,261.0,14.0,0.0,40.0
2020-07-13,1849.0,111.0,1473.0,265.0,8.0,0.0,4.0
2020-07-14,1859.0,111.0,1488.0,260.0,10.0,0.0,15.0
2020-07-15,1878.0,111.0,1501.0,266.0,19.0,0.0,13.0
2020-07-16,1897.0,111.0,1522.0,264.0,19.0,0.0,21.0
2020-07-17,1916.0,111.0,1522.0,283.0,19.0,0.0,0.0
2020-07-18,1940.0,111.0,1568.0,261.0,24.0,0.0,46.0
2020-07-19,1946.0,112.0,1568.0,266.0,6.0,1.0,0.0
2020-07-20,1953.0,113.0,1603.0,237.0,7.0,1.0,35.0
2020-07-21,1977.0,114.0,1625.0,238.0,24.0,1.0,22.0
2020-07-22,2006.0,115.0,1648.0,243.0,29.0,1.0,23.0
2020-07-23,2033.0,115.0,1661.0,257.0,27.0,0.0,13.0
2020-07-24,2052.0,115.0,1678.0,259.0,19.0,0.0,17.0
2020-07-25,2066.0,116.0,1678.0,272.0,14.0,1.0,0.0
2020-07-26,2082.0,116.0,1678.0,288.0,16.0,0.0,0.0
2020-07-27,2087.0,116.0,1733.0,238.0,5.0,0.0,55.0
2020-07-28,2101.0,117.0,1742.0,242.0,14.0,1.0,9.0
2020-07-29,2115.0,117.0,1761.0,237.0,14.0,0.0,19.0
2020-07-30,2139.0,117.0,1780.0,242.0,24.0,0.0,19.0
2020-07-31,2156.0,119.0,1797.0,240.0,17.0,2.0,17.0
2020-08-01,2171.0,119.0,1821.0,231.0,15.0,0.0,24.0
2020-08-02,2180.0,120.0,1826.0,234.0,9.0,1.0,5.0
2020-08-03,2181.0,122.0,1831.0,228.0,1.0,2.0,5.0
2020-08-04,2190.0,123.0,1854.0,213.0,9.0,1.0,23.0
2020-08-05,2208.0,124.0,1884.0,200.0,18.0,1.0,30.0
2020-08-06,2223.0,125.0,1909.0,189.0,15.0,1.0,25.0
2020-08-07,2233.0,125.0,1927.0,181.0,10.0,0.0,18.0
2020-08-08,2247.0,126.0,1927.0,194.0,14.0,1.0,0.0
2020-08-09,2249.0,127.0,1927.0,195.0,2.0,1.0,0.0
2020-08-10,2255.0,128.0,1960.0,167.0,6.0,1.0,33.0
2020-08-11,2272.0,129.0,1960.0,183.0,17.0,1.0,0.0
2020-08-12,2303.0,129.0,1960.0,214.0,31.0,0.0,0.0
2020-08-13,2332.0,129.0,1960.0,243.0,29.0,0.0,0.0
2020-08-14,2369.0,129.0,2027.0,213.0,37.0,0.0,67.0
2020-08-15,2401.0,129.0,2042.0,230.0,32.0,0.0,15.0
2020-08-16,2416.0,129.0,2051.0,236.0,15.0,0.0,9.0
2020-08-17,2429.0,129.0,2052.0,248.0,13.0,0.0,1.0
2020-08-18,2456.0,129.0,2052.0,275.0,27.0,0.0,0.0
2020-08-19,2493.0,129.0,2079.0,285.0,37.0,0.0,27.0
2020-08-20,2536.0,129.0,2079.0,328.0,43.0,0.0,0.0
2020-08-21,2574.0,130.0,2079.0,365.0,38.0,1.0,0.0
2020-08-22,2617.0,131.0,2079.0,407.0,43.0,1.0,0.0
2020-08-23,2651.0,131.0,2079.0,441.0,34.0,0.0,0.0
2020-08-24,2665.0,133.0,2122.0,410.0,14.0,2.0,43.0
2020-08-25,2686.0,133.0,2139.0,414.0,21.0,0.0,17.0
2020-08-26,2722.0,133.0,2170.0,419.0,36.0,0.0,31.0
2020-08-27,2755.0,133.0,2199.0,423.0,33.0,0.0,29.0
2020-08-28,2797.0,133.0,2236.0,428.0,42.0,0.0,37.0
2020-08-29,2834.0,133.0,2268.0,433.0,37.0,0.0,32.0
2020-08-30,2865.0,133.0,2283.0,449.0,31.0,0.0,15.0
2020-08-31,2883.0,133.0,2296.0,454.0,18.0,0.0,13.0
2020-09-01,2924.0,133.0,2323.0,468.0,41.0,0.0,27.0
2020-09-02,2979.0,134.0,2359.0,486.0,55.0,1.0,36.0
2020-09-03,3032.0,134.0,2402.0,496.0,53.0,0.0,43.0
2020-09-04,3079.0,134.0,2440.0,505.0,47.0,0.0,38.0
2020-09-05,3122.0,135.0,2483.0,504.0,43.0,1.0,43.0
2020-09-06,3165.0,135.0,2483.0,547.0,43.0,0.0,0.0
2020-09-07,3190.0,135.0,2530.0,525.0,25.0,0.0,47.0
2020-09-08,3232.0,135.0,2533.0,564.0,42.0,0.0,3.0
2020-09-09,3312.0,135.0,2587.0,590.0,80.0,0.0,54.0
2020-09-10,3389.0,135.0,2620.0,634.0,77.0,0.0,33.0
2020-09-11,3497.0,135.0,2662.0,700.0,108.0,0.0,42.0
2020-09-12,3603.0,135.0,2699.0,769.0,106.0,0.0,37.0
2020-09-13,3702.0,135.0,2730.0,837.0,99.0,0.0,31.0
2020-09-14,3749.0,135.0,2730.0,884.0,47.0,0.0,0.0
2020-09-15,3831.0,135.0,2789.0,907.0,82.0,0.0,59.0
2020-09-16,3954.0,135.0,2844.0,975.0,123.0,0.0,55.0
2020-09-17,4058.0,136.0,2897.0,1025.0,104.0,1.0,53.0
2020-09-18,4195.0,140.0,2939.0,1116.0,137.0,4.0,42.0
2020-09-19,4309.0,141.0,2981.0,1187.0,114.0,1.0,42.0
2020-09-20,4420.0,142.0,3023.0,1255.0,111.0,1.0,42.0
2020-09-21,4470.0,142.0,3048.0,1280.0,50.0,0.0,25.0
2020-09-22,4558.0,142.0,3048.0,1368.0,88.0,0.0,0.0
2020-09-23,4694.0,143.0,3168.0,1383.0,136.0,1.0,120.0
2020-09-24,4816.0,145.0,3245.0,1426.0,122.0,2.0,77.0
2020-09-25,5007.0,145.0,3353.0,1509.0,191.0,0.0,108.0
