date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-22,1.0,0.0,0.0,0.0,,,
2020-01-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-25,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,3.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-27,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-28,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,11.0,0.0,0.0,0.0,7.0,0.0,0.0
2020-02-01,12.0,0.0,0.0,12.0,1.0,0.0,0.0
2020-02-02,15.0,0.0,0.0,15.0,3.0,0.0,0.0
2020-02-03,15.0,0.0,0.0,15.0,0.0,0.0,0.0
2020-02-04,16.0,0.0,0.0,16.0,1.0,0.0,0.0
2020-02-05,19.0,0.0,0.0,19.0,3.0,0.0,0.0
2020-02-06,23.0,0.0,0.0,23.0,4.0,0.0,0.0
2020-02-07,24.0,0.0,1.0,23.0,1.0,0.0,1.0
2020-02-08,24.0,0.0,1.0,23.0,0.0,0.0,0.0
2020-02-09,25.0,0.0,3.0,22.0,1.0,0.0,2.0
2020-02-10,27.0,0.0,3.0,24.0,2.0,0.0,0.0
2020-02-11,28.0,0.0,3.0,25.0,1.0,0.0,0.0
2020-02-12,28.0,0.0,7.0,21.0,0.0,0.0,4.0
2020-02-13,28.0,0.0,7.0,21.0,0.0,0.0,0.0
2020-02-14,28.0,0.0,7.0,21.0,0.0,0.0,0.0
2020-02-15,28.0,0.0,9.0,19.0,0.0,0.0,2.0
2020-02-16,29.0,0.0,9.0,20.0,1.0,0.0,0.0
2020-02-17,30.0,0.0,10.0,20.0,1.0,0.0,1.0
2020-02-18,31.0,0.0,12.0,19.0,1.0,0.0,2.0
2020-02-19,31.0,0.0,12.0,19.0,0.0,0.0,0.0
2020-02-20,104.0,1.0,16.0,87.0,73.0,1.0,4.0
2020-02-21,204.0,2.0,16.0,186.0,100.0,1.0,0.0
2020-02-22,433.0,2.0,16.0,415.0,229.0,0.0,0.0
2020-02-23,602.0,6.0,18.0,578.0,169.0,4.0,2.0
2020-02-24,833.0,8.0,18.0,807.0,231.0,2.0,0.0
2020-02-25,977.0,10.0,22.0,945.0,144.0,2.0,4.0
2020-02-26,1261.0,12.0,22.0,1227.0,284.0,2.0,0.0
2020-02-27,1766.0,13.0,22.0,1731.0,505.0,1.0,0.0
2020-02-28,2337.0,13.0,22.0,2302.0,571.0,0.0,0.0
2020-02-29,3150.0,16.0,27.0,3107.0,813.0,3.0,5.0
2020-03-01,3736.0,17.0,30.0,3689.0,586.0,1.0,3.0
2020-03-02,4335.0,28.0,30.0,4277.0,599.0,11.0,0.0
2020-03-03,5186.0,28.0,30.0,5128.0,851.0,0.0,0.0
2020-03-04,5621.0,35.0,41.0,5545.0,435.0,7.0,11.0
2020-03-05,6088.0,35.0,41.0,6012.0,467.0,0.0,0.0
2020-03-06,6593.0,42.0,135.0,6416.0,505.0,7.0,94.0
2020-03-07,7041.0,44.0,135.0,6862.0,448.0,2.0,0.0
2020-03-08,7314.0,50.0,118.0,7146.0,273.0,6.0,-17.0
2020-03-09,7478.0,53.0,118.0,7307.0,164.0,3.0,0.0
2020-03-10,7513.0,54.0,247.0,7212.0,35.0,1.0,129.0
2020-03-11,7755.0,60.0,288.0,7407.0,242.0,6.0,41.0
2020-03-12,7869.0,66.0,333.0,7470.0,114.0,6.0,45.0
2020-03-13,7979.0,66.0,510.0,7403.0,110.0,0.0,177.0
2020-03-14,8086.0,72.0,510.0,7504.0,107.0,6.0,0.0
2020-03-15,8162.0,75.0,510.0,7577.0,76.0,3.0,0.0
2020-03-16,8236.0,75.0,1137.0,7024.0,74.0,0.0,627.0
2020-03-17,8320.0,81.0,1407.0,6832.0,84.0,6.0,270.0
2020-03-18,8413.0,84.0,1540.0,6789.0,93.0,3.0,133.0
2020-03-19,8565.0,91.0,1540.0,6934.0,152.0,7.0,0.0
2020-03-20,8652.0,94.0,1540.0,7018.0,87.0,3.0,0.0
2020-03-21,8799.0,102.0,1540.0,7157.0,147.0,8.0,0.0
2020-03-22,8897.0,104.0,2909.0,5884.0,98.0,2.0,1369.0
2020-03-23,8961.0,111.0,3166.0,5684.0,64.0,7.0,257.0
2020-03-24,9037.0,120.0,3507.0,5410.0,76.0,9.0,341.0
2020-03-25,9137.0,126.0,3730.0,5281.0,100.0,6.0,223.0
2020-03-26,9241.0,131.0,4144.0,4966.0,104.0,5.0,414.0
2020-03-27,9332.0,139.0,4528.0,4665.0,91.0,8.0,384.0
2020-03-28,9478.0,144.0,4811.0,4523.0,146.0,5.0,283.0
2020-03-29,9583.0,152.0,5033.0,4398.0,105.0,8.0,222.0
2020-03-30,9661.0,158.0,5228.0,4275.0,78.0,6.0,195.0
