date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-13,0.0,1.0,0.0,-1.0,,,
2020-03-14,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,2.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-03-22,2.0,1.0,0.0,1.0,0.0,0.0,0.0
2020-03-23,2.0,1.0,0.0,1.0,0.0,0.0,0.0
2020-03-24,3.0,1.0,0.0,2.0,1.0,0.0,0.0
2020-03-25,3.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-26,3.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-27,3.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-28,5.0,1.0,0.0,4.0,2.0,0.0,0.0
2020-03-29,5.0,1.0,0.0,4.0,0.0,0.0,0.0
2020-03-30,6.0,2.0,0.0,4.0,1.0,1.0,0.0
2020-03-31,7.0,2.0,1.0,4.0,1.0,0.0,1.0
2020-04-01,7.0,2.0,2.0,3.0,0.0,0.0,1.0
2020-04-02,7.0,2.0,2.0,3.0,0.0,0.0,0.0
2020-04-03,10.0,2.0,2.0,6.0,3.0,0.0,0.0
2020-04-04,10.0,2.0,2.0,6.0,0.0,0.0,0.0
2020-04-05,12.0,2.0,2.0,8.0,2.0,0.0,0.0
2020-04-06,12.0,2.0,2.0,8.0,0.0,0.0,0.0
2020-04-07,14.0,2.0,2.0,10.0,2.0,0.0,0.0
2020-04-08,14.0,2.0,2.0,10.0,0.0,0.0,0.0
2020-04-09,14.0,2.0,2.0,10.0,0.0,0.0,0.0
2020-04-10,15.0,2.0,2.0,11.0,1.0,0.0,0.0
2020-04-11,19.0,2.0,2.0,15.0,4.0,0.0,0.0
2020-04-12,19.0,2.0,2.0,15.0,0.0,0.0,0.0
2020-04-13,19.0,4.0,4.0,11.0,0.0,2.0,2.0
2020-04-14,29.0,5.0,4.0,20.0,10.0,1.0,0.0
2020-04-15,32.0,5.0,4.0,23.0,3.0,0.0,0.0
2020-04-16,32.0,5.0,4.0,23.0,0.0,0.0,0.0
2020-04-17,32.0,6.0,4.0,22.0,0.0,1.0,0.0
2020-04-18,66.0,10.0,6.0,50.0,34.0,4.0,2.0
2020-04-19,66.0,10.0,6.0,50.0,0.0,0.0,0.0
2020-04-20,92.0,12.0,8.0,72.0,26.0,2.0,2.0
2020-04-21,107.0,12.0,8.0,87.0,15.0,0.0,0.0
2020-04-22,140.0,13.0,12.0,115.0,33.0,1.0,4.0
2020-04-23,162.0,16.0,14.0,132.0,22.0,3.0,2.0
2020-04-24,174.0,16.0,14.0,144.0,12.0,0.0,0.0
2020-04-25,213.0,17.0,19.0,177.0,39.0,1.0,5.0
2020-04-26,237.0,21.0,20.0,196.0,24.0,4.0,1.0
2020-04-27,275.0,22.0,21.0,232.0,38.0,1.0,1.0
2020-04-28,318.0,25.0,31.0,262.0,43.0,3.0,10.0
2020-04-29,375.0,28.0,32.0,315.0,57.0,3.0,1.0
2020-04-30,375.0,31.0,39.0,305.0,0.0,3.0,7.0
2020-05-01,442.0,36.0,46.0,360.0,67.0,5.0,7.0
2020-05-02,533.0,41.0,52.0,440.0,91.0,5.0,6.0
2020-05-03,592.0,41.0,52.0,499.0,59.0,0.0,0.0
2020-05-04,678.0,41.0,61.0,576.0,86.0,0.0,9.0
2020-05-05,778.0,45.0,70.0,663.0,100.0,4.0,9.0
2020-05-06,852.0,49.0,80.0,723.0,74.0,4.0,10.0
2020-05-07,930.0,52.0,92.0,786.0,78.0,3.0,12.0
2020-05-08,930.0,59.0,102.0,769.0,0.0,7.0,10.0
2020-05-09,1111.0,64.0,119.0,928.0,181.0,5.0,17.0
2020-05-10,1164.0,70.0,149.0,945.0,53.0,6.0,30.0
2020-05-11,1365.0,74.0,162.0,1129.0,201.0,4.0,13.0
2020-05-12,1526.0,80.0,173.0,1273.0,161.0,6.0,11.0
2020-05-13,1660.0,90.0,198.0,1372.0,134.0,10.0,25.0
2020-05-14,1818.0,90.0,198.0,1530.0,158.0,0.0,0.0
2020-05-15,1964.0,91.0,205.0,1668.0,146.0,1.0,7.0
2020-05-16,1964.0,97.0,222.0,1645.0,0.0,6.0,17.0
2020-05-17,2289.0,97.0,222.0,1970.0,325.0,0.0,0.0
2020-05-18,2591.0,105.0,247.0,2239.0,302.0,8.0,25.0
2020-05-19,2591.0,111.0,286.0,2194.0,0.0,6.0,39.0
2020-05-20,2728.0,111.0,286.0,2331.0,137.0,0.0,0.0
2020-05-21,3138.0,121.0,309.0,2708.0,410.0,10.0,23.0
2020-05-22,3138.0,137.0,372.0,2629.0,0.0,16.0,63.0
2020-05-23,3378.0,146.0,424.0,2808.0,240.0,9.0,52.0
2020-05-24,3634.0,165.0,458.0,3011.0,256.0,19.0,34.0
2020-05-25,3826.0,170.0,503.0,3153.0,192.0,5.0,45.0
2020-05-26,3976.0,170.0,503.0,3303.0,150.0,0.0,0.0
2020-05-27,4146.0,195.0,749.0,3202.0,170.0,25.0,246.0
2020-05-28,4346.0,195.0,749.0,3402.0,200.0,0.0,0.0
2020-05-29,4346.0,233.0,816.0,3297.0,0.0,38.0,67.0
2020-05-30,4521.0,262.0,1272.0,2987.0,175.0,29.0,456.0
2020-05-31,4800.0,286.0,1423.0,3091.0,279.0,24.0,151.0
2020-06-01,5026.0,298.0,1522.0,3206.0,226.0,12.0,99.0
2020-06-02,5173.0,307.0,1625.0,3241.0,147.0,9.0,103.0
2020-06-03,5310.0,314.0,1711.0,3285.0,137.0,7.0,86.0
2020-06-04,5499.0,333.0,1825.0,3341.0,189.0,19.0,114.0
2020-06-05,5714.0,347.0,1924.0,3443.0,215.0,14.0,99.0
2020-06-06,5866.0,359.0,2014.0,3493.0,152.0,12.0,90.0
2020-06-07,6081.0,359.0,2014.0,3708.0,215.0,0.0,0.0
2020-06-08,6081.0,372.0,2059.0,3650.0,0.0,13.0,45.0
2020-06-09,6242.0,389.0,2127.0,3726.0,161.0,17.0,68.0
2020-06-10,6427.0,401.0,2202.0,3824.0,185.0,12.0,75.0
2020-06-11,6582.0,413.0,2278.0,3891.0,155.0,12.0,76.0
2020-06-12,6730.0,433.0,2416.0,3881.0,148.0,20.0,138.0
2020-06-13,6879.0,447.0,2556.0,3876.0,149.0,14.0,140.0
2020-06-14,7007.0,459.0,2610.0,3938.0,128.0,12.0,54.0
2020-06-15,7220.0,468.0,2720.0,4032.0,213.0,9.0,110.0
