date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-04-30,0.0,0.0,0.0,0.0,,,
2020-05-01,15.0,0.0,0.0,15.0,15.0,0.0,0.0
2020-05-02,32.0,0.0,0.0,32.0,17.0,0.0,0.0
2020-05-03,76.0,2.0,0.0,74.0,44.0,2.0,0.0
2020-05-04,128.0,4.0,0.0,124.0,52.0,2.0,0.0
2020-05-05,230.0,7.0,0.0,223.0,102.0,3.0,0.0
2020-05-06,293.0,7.0,0.0,286.0,63.0,0.0,0.0
2020-05-07,379.0,9.0,0.0,370.0,86.0,2.0,0.0
2020-05-08,461.0,16.0,0.0,445.0,82.0,7.0,0.0
2020-05-09,522.0,18.0,0.0,504.0,61.0,2.0,0.0
2020-05-10,561.0,19.0,0.0,542.0,39.0,1.0,0.0
2020-05-11,612.0,20.0,0.0,592.0,51.0,1.0,0.0
2020-05-12,661.0,21.0,0.0,640.0,49.0,1.0,0.0
2020-05-13,729.0,23.0,0.0,706.0,68.0,2.0,0.0
2020-05-14,907.0,32.0,0.0,875.0,178.0,9.0,0.0
2020-05-15,1085.0,36.0,0.0,1049.0,178.0,4.0,0.0
2020-05-16,1118.0,36.0,0.0,1082.0,33.0,0.0,0.0
2020-05-17,1322.0,39.0,0.0,1283.0,204.0,3.0,0.0
2020-05-18,1322.0,39.0,0.0,1283.0,0.0,0.0,0.0
2020-05-19,1729.0,44.0,641.0,1044.0,407.0,5.0,641.0
2020-05-20,1936.0,44.0,470.0,1422.0,207.0,0.0,-171.0
2020-05-21,2140.0,44.0,470.0,1626.0,204.0,0.0,0.0
2020-05-22,2350.0,44.0,1089.0,1217.0,210.0,0.0,619.0
2020-05-23,2551.0,44.0,1223.0,1284.0,201.0,0.0,134.0
2020-05-24,2738.0,44.0,1301.0,1393.0,187.0,0.0,78.0
2020-05-25,2929.0,46.0,1395.0,1488.0,191.0,2.0,94.0
2020-05-26,3100.0,46.0,1417.0,1637.0,171.0,0.0,22.0
2020-05-27,3266.0,47.0,1575.0,1644.0,166.0,1.0,158.0
2020-05-28,3424.0,47.0,1674.0,1703.0,158.0,0.0,99.0
2020-05-29,3563.0,47.0,1769.0,1747.0,139.0,0.0,95.0
2020-05-30,3686.0,47.0,1865.0,1774.0,123.0,0.0,96.0
2020-05-31,3807.0,47.0,2004.0,1756.0,121.0,0.0,139.0
