date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-03,1.0,0.0,0.0,1.0,,,
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-13,3.0,1.0,0.0,2.0,2.0,1.0,0.0
2020-03-14,3.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-15,3.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-16,7.0,1.0,0.0,6.0,4.0,0.0,0.0
2020-03-17,14.0,2.0,0.0,12.0,7.0,1.0,0.0
2020-03-18,14.0,2.0,0.0,12.0,0.0,0.0,0.0
2020-03-19,16.0,2.0,0.0,14.0,2.0,0.0,0.0
2020-03-20,29.0,3.0,0.0,26.0,13.0,1.0,0.0
2020-03-21,47.0,3.0,1.0,43.0,18.0,0.0,1.0
2020-03-22,73.0,3.0,1.0,69.0,26.0,0.0,0.0
2020-03-23,73.0,3.0,1.0,69.0,0.0,0.0,0.0
2020-03-24,97.0,3.0,1.0,93.0,24.0,0.0,0.0
2020-03-25,145.0,5.0,1.0,139.0,48.0,2.0,0.0
2020-03-26,196.0,5.0,1.0,190.0,51.0,0.0,0.0
2020-03-27,310.0,5.0,5.0,300.0,114.0,0.0,4.0
2020-03-28,356.0,9.0,5.0,342.0,46.0,4.0,0.0
2020-03-29,475.0,10.0,6.0,459.0,119.0,1.0,1.0
2020-03-30,548.0,13.0,8.0,527.0,73.0,3.0,2.0
2020-03-31,645.0,17.0,10.0,618.0,97.0,4.0,2.0
2020-04-01,794.0,20.0,13.0,761.0,149.0,3.0,3.0
2020-04-02,897.0,22.0,19.0,856.0,103.0,2.0,6.0
2020-04-03,1072.0,27.0,22.0,1023.0,175.0,5.0,3.0
2020-04-04,1225.0,32.0,25.0,1168.0,153.0,5.0,3.0
2020-04-05,1308.0,37.0,28.0,1243.0,83.0,5.0,3.0
2020-04-06,1319.0,38.0,28.0,1253.0,11.0,1.0,0.0
2020-04-07,1462.0,45.0,28.0,1389.0,143.0,7.0,0.0
2020-04-08,1668.0,52.0,35.0,1581.0,206.0,7.0,7.0
2020-04-09,1892.0,57.0,45.0,1790.0,224.0,5.0,10.0
2020-04-10,2203.0,69.0,61.0,2073.0,311.0,12.0,16.0
2020-04-11,2511.0,73.0,79.0,2359.0,308.0,4.0,18.0
2020-04-12,2777.0,83.0,89.0,2605.0,266.0,10.0,10.0
2020-04-13,3102.0,93.0,97.0,2912.0,325.0,10.0,8.0
2020-04-14,3372.0,98.0,119.0,3155.0,270.0,5.0,22.0
2020-04-15,3764.0,108.0,143.0,3513.0,392.0,10.0,24.0
2020-04-16,4161.0,116.0,186.0,3859.0,397.0,8.0,43.0
2020-04-17,4662.0,125.0,246.0,4291.0,501.0,9.0,60.0
2020-04-18,5106.0,133.0,275.0,4698.0,444.0,8.0,29.0
2020-04-19,5449.0,141.0,347.0,4961.0,343.0,8.0,72.0
2020-04-20,5710.0,151.0,359.0,5200.0,261.0,10.0,12.0
2020-04-21,6125.0,161.0,367.0,5597.0,415.0,10.0,8.0
2020-04-22,6592.0,174.0,424.0,5994.0,467.0,13.0,57.0
2020-04-23,7170.0,187.0,504.0,6479.0,578.0,13.0,80.0
2020-04-24,7647.0,193.0,601.0,6853.0,477.0,6.0,97.0
2020-04-25,8125.0,201.0,782.0,7142.0,478.0,8.0,181.0
2020-04-26,8617.0,209.0,840.0,7568.0,492.0,8.0,58.0
2020-04-27,9009.0,220.0,864.0,7925.0,392.0,11.0,24.0
2020-04-28,9410.0,239.0,992.0,8179.0,401.0,19.0,128.0
2020-04-29,9866.0,250.0,1103.0,8513.0,456.0,11.0,111.0
2020-04-30,10406.0,261.0,1238.0,8907.0,540.0,11.0,135.0
2020-05-01,10861.0,272.0,1413.0,9176.0,455.0,11.0,175.0
2020-05-02,11411.0,279.0,1498.0,9634.0,550.0,7.0,85.0
2020-05-03,11913.0,288.0,1548.0,10077.0,502.0,9.0,50.0
2020-05-04,12331.0,303.0,1619.0,10409.0,418.0,15.0,71.0
2020-05-05,12697.0,316.0,1875.0,10506.0,366.0,13.0,256.0
2020-05-06,13184.0,327.0,2097.0,10760.0,487.0,11.0,222.0
2020-05-07,13691.0,340.0,2396.0,10955.0,507.0,13.0,299.0
2020-05-08,14195.0,361.0,2706.0,11128.0,504.0,21.0,310.0
2020-05-09,14710.0,376.0,2909.0,11425.0,515.0,15.0,203.0
2020-05-10,15232.0,391.0,3060.0,11781.0,522.0,15.0,151.0
2020-05-11,15648.0,408.0,3288.0,11952.0,416.0,17.0,228.0
2020-05-12,16023.0,425.0,3373.0,12225.0,375.0,17.0,85.0
2020-05-13,16425.0,439.0,3716.0,12270.0,402.0,14.0,343.0
2020-05-14,16847.0,456.0,4143.0,12248.0,422.0,17.0,427.0
2020-05-15,17330.0,476.0,4473.0,12381.0,483.0,20.0,330.0
2020-05-16,17858.0,497.0,4906.0,12455.0,528.0,21.0,433.0
2020-05-17,18291.0,514.0,5116.0,12661.0,433.0,17.0,210.0
2020-05-18,18616.0,535.0,5276.0,12805.0,325.0,21.0,160.0
2020-05-19,18876.0,548.0,5632.0,12696.0,260.0,13.0,356.0
2020-05-20,19230.0,564.0,5955.0,12711.0,354.0,16.0,323.0
2020-05-21,19706.0,579.0,6227.0,12900.0,476.0,15.0,272.0
2020-05-22,20148.0,588.0,6585.0,12975.0,442.0,9.0,358.0
2020-05-23,20580.0,605.0,6929.0,13046.0,432.0,17.0,344.0
2020-05-24,20986.0,617.0,7108.0,13261.0,406.0,12.0,179.0
2020-05-25,21245.0,623.0,7234.0,13388.0,259.0,6.0,126.0
2020-05-26,21584.0,644.0,7575.0,13365.0,339.0,21.0,341.0
2020-05-27,21905.0,658.0,7995.0,13252.0,321.0,14.0,420.0
2020-05-28,22382.0,669.0,8439.0,13274.0,477.0,11.0,444.0
2020-05-29,22811.0,679.0,8934.0,13198.0,429.0,10.0,495.0
2020-05-30,23204.0,696.0,9311.0,13197.0,393.0,17.0,377.0
2020-05-31,23672.0,708.0,9538.0,13426.0,468.0,12.0,227.0
2020-06-01,24562.0,724.0,10053.0,13785.0,890.0,16.0,515.0
