date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-31,2.0,0.0,0.0,0.0,,,
2020-02-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-02,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-03,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-04,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-05,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-06,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-07,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-02-08,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-09,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-02-10,8.0,0.0,0.0,8.0,5.0,0.0,0.0
2020-02-11,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-02-12,9.0,0.0,1.0,8.0,1.0,0.0,1.0
2020-02-13,9.0,0.0,1.0,8.0,0.0,0.0,0.0
2020-02-14,9.0,0.0,1.0,8.0,0.0,0.0,0.0
2020-02-15,9.0,0.0,1.0,8.0,0.0,0.0,0.0
2020-02-16,9.0,0.0,8.0,1.0,0.0,0.0,7.0
2020-02-17,9.0,0.0,8.0,1.0,0.0,0.0,0.0
2020-02-18,9.0,0.0,8.0,1.0,0.0,0.0,0.0
2020-02-19,9.0,0.0,8.0,1.0,0.0,0.0,0.0
2020-02-20,9.0,0.0,8.0,1.0,0.0,0.0,0.0
2020-02-21,9.0,0.0,8.0,1.0,0.0,0.0,0.0
2020-02-22,9.0,0.0,8.0,1.0,0.0,0.0,0.0
2020-02-23,9.0,0.0,8.0,1.0,0.0,0.0,0.0
2020-02-24,13.0,0.0,8.0,5.0,4.0,0.0,0.0
2020-02-25,13.0,0.0,8.0,5.0,0.0,0.0,0.0
2020-02-26,13.0,0.0,8.0,5.0,0.0,0.0,0.0
2020-02-27,15.0,0.0,8.0,7.0,2.0,0.0,0.0
2020-02-28,20.0,0.0,8.0,12.0,5.0,0.0,0.0
2020-02-29,23.0,0.0,8.0,15.0,3.0,0.0,0.0
2020-03-01,36.0,0.0,8.0,28.0,13.0,0.0,0.0
2020-03-02,40.0,0.0,8.0,32.0,4.0,0.0,0.0
2020-03-03,51.0,0.0,8.0,43.0,11.0,0.0,0.0
2020-03-04,85.0,0.0,8.0,77.0,34.0,0.0,0.0
2020-03-05,115.0,1.0,8.0,106.0,30.0,1.0,0.0
2020-03-06,163.0,2.0,8.0,153.0,48.0,1.0,0.0
2020-03-07,206.0,2.0,18.0,186.0,43.0,0.0,10.0
2020-03-08,273.0,3.0,18.0,252.0,67.0,1.0,0.0
2020-03-09,321.0,4.0,18.0,299.0,48.0,1.0,0.0
2020-03-10,382.0,6.0,18.0,358.0,61.0,2.0,0.0
2020-03-11,459.0,8.0,19.0,432.0,77.0,2.0,1.0
2020-03-12,459.0,8.0,19.0,432.0,0.0,0.0,0.0
2020-03-13,801.0,8.0,19.0,774.0,342.0,0.0,0.0
2020-03-14,1143.0,21.0,19.0,1103.0,342.0,13.0,0.0
2020-03-15,1144.0,21.0,19.0,1104.0,1.0,0.0,0.0
2020-03-16,1551.0,56.0,21.0,1474.0,407.0,35.0,2.0
2020-03-17,1960.0,56.0,53.0,1851.0,409.0,0.0,32.0
2020-03-18,2642.0,72.0,67.0,2503.0,682.0,16.0,14.0
2020-03-19,2716.0,138.0,67.0,2511.0,74.0,66.0,0.0
2020-03-20,4014.0,178.0,67.0,3769.0,1298.0,40.0,0.0
2020-03-21,5067.0,234.0,67.0,4766.0,1053.0,56.0,0.0
2020-03-22,5741.0,282.0,95.0,5364.0,674.0,48.0,28.0
2020-03-23,6726.0,336.0,140.0,6250.0,985.0,54.0,45.0
2020-03-24,8164.0,423.0,140.0,7601.0,1438.0,87.0,0.0
2020-03-25,9640.0,466.0,140.0,9034.0,1476.0,43.0,0.0
2020-03-26,11812.0,580.0,150.0,11082.0,2172.0,114.0,10.0
2020-03-27,14745.0,761.0,151.0,13833.0,2933.0,181.0,1.0
2020-03-28,17312.0,1021.0,151.0,16140.0,2567.0,260.0,0.0
2020-03-29,19780.0,1231.0,151.0,18398.0,2468.0,210.0,0.0
2020-03-30,22453.0,1411.0,171.0,20871.0,2673.0,180.0,20.0
2020-03-31,25481.0,1793.0,179.0,23509.0,3028.0,382.0,8.0
2020-04-01,29865.0,2357.0,179.0,27329.0,4384.0,564.0,0.0
2020-04-02,34173.0,2926.0,192.0,31055.0,4308.0,569.0,13.0
2020-04-03,38689.0,3611.0,208.0,34870.0,4516.0,685.0,16.0
2020-04-04,42477.0,4320.0,215.0,37942.0,3788.0,709.0,7.0
2020-04-05,48436.0,4943.0,229.0,43264.0,5959.0,623.0,14.0
2020-04-06,52279.0,5385.0,287.0,46607.0,3843.0,442.0,58.0
2020-04-07,55949.0,6171.0,325.0,49453.0,3670.0,786.0,38.0
2020-04-08,61474.0,7111.0,345.0,54018.0,5525.0,940.0,20.0
2020-04-09,65872.0,7993.0,359.0,57520.0,4398.0,882.0,14.0
2020-04-10,74605.0,8974.0,588.0,65043.0,8733.0,981.0,229.0
2020-04-11,79874.0,9892.0,622.0,69360.0,5269.0,918.0,34.0
2020-04-12,85206.0,10629.0,626.0,73951.0,5332.0,737.0,4.0
2020-04-13,89570.0,11347.0,304.0,77919.0,4364.0,718.0,-322.0
2020-04-14,94845.0,12129.0,323.0,82393.0,5275.0,782.0,19.0
2020-04-15,99483.0,12894.0,368.0,86221.0,4638.0,765.0,45.0
2020-04-16,104145.0,13759.0,375.0,90011.0,4662.0,865.0,7.0
2020-04-17,109769.0,14607.0,394.0,94768.0,5624.0,848.0,19.0
2020-04-18,115314.0,15498.0,414.0,99402.0,5545.0,891.0,20.0
2020-04-19,121172.0,16095.0,436.0,104641.0,5858.0,597.0,22.0
2020-04-20,125856.0,16550.0,446.0,108860.0,4684.0,455.0,10.0
2020-04-21,130172.0,17378.0,638.0,112156.0,4316.0,828.0,192.0
2020-04-22,134638.0,18151.0,683.0,115804.0,4466.0,773.0,45.0
2020-04-23,139246.0,18791.0,712.0,119743.0,4608.0,640.0,29.0
2020-04-24,144640.0,19567.0,724.0,124349.0,5394.0,776.0,12.0
2020-04-25,149569.0,20381.0,774.0,128414.0,4929.0,814.0,50.0
2020-04-26,154037.0,20794.0,778.0,132465.0,4468.0,413.0,4.0
2020-04-27,158348.0,21157.0,807.0,136384.0,4311.0,363.0,29.0
2020-04-28,162350.0,21745.0,813.0,139792.0,4002.0,588.0,6.0
2020-04-29,166441.0,26166.0,857.0,139418.0,4091.0,4421.0,44.0
2020-04-30,172481.0,26842.0,859.0,144780.0,6040.0,676.0,2.0
2020-05-01,178685.0,27583.0,892.0,150210.0,6204.0,741.0,33.0
2020-05-02,183500.0,28205.0,896.0,154399.0,4815.0,622.0,4.0
2020-05-03,187842.0,28520.0,901.0,158421.0,4342.0,315.0,5.0
2020-05-04,191832.0,28809.0,910.0,162113.0,3990.0,289.0,9.0
2020-05-05,196243.0,29501.0,926.0,165816.0,4411.0,692.0,16.0
2020-05-06,202359.0,30150.0,934.0,171275.0,6116.0,649.0,8.0
2020-05-07,207977.0,30689.0,970.0,176318.0,5618.0,539.0,36.0
2020-05-08,212629.0,31316.0,997.0,180316.0,4652.0,627.0,27.0
2020-05-09,216525.0,31662.0,1001.0,183862.0,3896.0,346.0,4.0
2020-05-10,220449.0,31930.0,1002.0,187517.0,3924.0,268.0,1.0
2020-05-11,224332.0,32141.0,1015.0,191176.0,3883.0,211.0,13.0
2020-05-12,227741.0,32769.0,1023.0,193949.0,3409.0,628.0,8.0
