date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-04-10,1.0,0.0,0.0,1.0,,,
2020-04-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-13,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-17,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-18,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-19,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-21,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-22,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-24,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-04-25,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-26,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-27,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-28,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-29,6.0,0.0,1.0,5.0,5.0,0.0,0.0
2020-04-30,6.0,2.0,1.0,3.0,0.0,2.0,0.0
2020-05-01,7.0,2.0,1.0,4.0,1.0,0.0,0.0
2020-05-02,10.0,2.0,1.0,7.0,3.0,0.0,0.0
2020-05-03,10.0,2.0,1.0,7.0,0.0,0.0,0.0
2020-05-04,12.0,2.0,1.0,9.0,2.0,0.0,0.0
2020-05-05,22.0,4.0,1.0,17.0,10.0,2.0,0.0
2020-05-06,25.0,5.0,1.0,19.0,3.0,1.0,0.0
2020-05-07,25.0,5.0,1.0,19.0,0.0,0.0,0.0
2020-05-08,34.0,7.0,1.0,26.0,9.0,2.0,0.0
2020-05-09,34.0,7.0,1.0,26.0,0.0,0.0,0.0
2020-05-10,51.0,8.0,1.0,42.0,17.0,1.0,0.0
2020-05-11,56.0,9.0,1.0,46.0,5.0,1.0,0.0
2020-05-12,65.0,10.0,1.0,54.0,9.0,1.0,0.0
2020-05-13,70.0,12.0,1.0,57.0,5.0,2.0,0.0
2020-05-14,85.0,12.0,1.0,72.0,15.0,0.0,0.0
2020-05-15,106.0,15.0,1.0,90.0,21.0,3.0,0.0
2020-05-16,122.0,18.0,1.0,103.0,16.0,3.0,0.0
2020-05-17,128.0,20.0,1.0,107.0,6.0,2.0,0.0
2020-05-18,130.0,20.0,1.0,109.0,2.0,0.0,0.0
2020-05-19,167.0,28.0,5.0,134.0,37.0,8.0,4.0
2020-05-20,184.0,30.0,5.0,149.0,17.0,2.0,0.0
2020-05-21,197.0,33.0,5.0,159.0,13.0,3.0,0.0
2020-05-22,209.0,33.0,11.0,165.0,12.0,0.0,6.0
2020-05-23,212.0,39.0,11.0,162.0,3.0,6.0,0.0
2020-05-24,222.0,42.0,10.0,170.0,10.0,3.0,-1.0
2020-05-25,233.0,44.0,10.0,179.0,11.0,2.0,0.0
2020-05-26,249.0,49.0,10.0,190.0,16.0,5.0,0.0
2020-05-27,256.0,53.0,10.0,193.0,7.0,4.0,0.0
2020-05-28,278.0,57.0,11.0,210.0,22.0,4.0,1.0
2020-05-29,283.0,65.0,11.0,207.0,5.0,8.0,0.0
2020-05-30,310.0,77.0,13.0,220.0,27.0,12.0,2.0
2020-05-31,323.0,80.0,14.0,229.0,13.0,3.0,1.0
2020-06-01,354.0,84.0,14.0,256.0,31.0,4.0,0.0
2020-06-02,399.0,87.0,15.0,297.0,45.0,3.0,1.0
2020-06-03,419.0,95.0,17.0,307.0,20.0,8.0,2.0
2020-06-04,453.0,103.0,17.0,333.0,34.0,8.0,0.0
2020-06-05,469.0,111.0,23.0,335.0,16.0,8.0,6.0
2020-06-06,482.0,111.0,23.0,348.0,13.0,0.0,0.0
2020-06-07,484.0,112.0,23.0,349.0,2.0,1.0,0.0
2020-06-08,496.0,112.0,23.0,361.0,12.0,0.0,0.0
2020-06-09,524.0,127.0,23.0,374.0,28.0,15.0,0.0
2020-06-10,560.0,129.0,23.0,408.0,36.0,2.0,0.0
2020-06-11,591.0,136.0,23.0,432.0,31.0,7.0,0.0
2020-06-12,632.0,139.0,28.0,465.0,41.0,3.0,5.0
2020-06-13,705.0,160.0,39.0,506.0,73.0,21.0,11.0
2020-06-14,728.0,164.0,53.0,511.0,23.0,4.0,14.0
2020-06-15,844.0,208.0,79.0,557.0,116.0,44.0,26.0
2020-06-16,885.0,214.0,91.0,580.0,41.0,6.0,12.0
2020-06-17,902.0,244.0,271.0,387.0,17.0,30.0,180.0
2020-06-18,909.0,248.0,273.0,388.0,7.0,4.0,2.0
2020-06-19,919.0,251.0,288.0,380.0,10.0,3.0,15.0
2020-06-20,922.0,254.0,328.0,340.0,3.0,3.0,40.0
2020-06-21,941.0,256.0,347.0,338.0,19.0,2.0,19.0
2020-06-22,967.0,257.0,350.0,360.0,26.0,1.0,3.0
2020-06-23,992.0,261.0,356.0,375.0,25.0,4.0,6.0
2020-06-24,1015.0,274.0,379.0,362.0,23.0,13.0,23.0
2020-06-25,1076.0,288.0,386.0,402.0,61.0,14.0,7.0
2020-06-26,1089.0,293.0,402.0,394.0,13.0,5.0,16.0
2020-06-27,1103.0,296.0,417.0,390.0,14.0,3.0,15.0
2020-06-28,1118.0,302.0,430.0,386.0,15.0,6.0,13.0
2020-06-29,1128.0,304.0,432.0,392.0,10.0,2.0,2.0
2020-06-30,1158.0,312.0,488.0,358.0,30.0,8.0,56.0
2020-07-01,1190.0,318.0,504.0,368.0,32.0,6.0,16.0
2020-07-02,1221.0,325.0,513.0,383.0,31.0,7.0,9.0
2020-07-03,1240.0,335.0,536.0,369.0,19.0,10.0,23.0
2020-07-04,1248.0,337.0,537.0,374.0,8.0,2.0,1.0
2020-07-05,1265.0,338.0,552.0,375.0,17.0,1.0,15.0
2020-07-06,1284.0,345.0,575.0,364.0,19.0,7.0,23.0
2020-07-07,1297.0,348.0,591.0,358.0,13.0,3.0,16.0
2020-07-08,1318.0,351.0,595.0,372.0,21.0,3.0,4.0
2020-07-09,1356.0,361.0,619.0,376.0,38.0,10.0,24.0
2020-07-10,1380.0,364.0,630.0,386.0,24.0,3.0,11.0
2020-07-11,1389.0,365.0,642.0,382.0,9.0,1.0,12.0
2020-07-12,1465.0,417.0,659.0,389.0,76.0,52.0,17.0
2020-07-13,1498.0,424.0,675.0,399.0,33.0,7.0,16.0
2020-07-14,1516.0,429.0,685.0,402.0,18.0,5.0,10.0
2020-07-15,1526.0,433.0,694.0,399.0,10.0,4.0,9.0
2020-07-16,1552.0,438.0,695.0,419.0,26.0,5.0,1.0
2020-07-17,1576.0,440.0,695.0,441.0,24.0,2.0,0.0
2020-07-18,1581.0,443.0,701.0,437.0,5.0,3.0,6.0
2020-07-19,1606.0,445.0,712.0,449.0,25.0,2.0,11.0
2020-07-20,1619.0,447.0,714.0,458.0,13.0,2.0,2.0
2020-07-21,1629.0,456.0,741.0,432.0,10.0,9.0,27.0
2020-07-22,1640.0,458.0,751.0,431.0,11.0,2.0,10.0
2020-07-23,1654.0,461.0,762.0,431.0,14.0,3.0,11.0
2020-07-24,1674.0,469.0,779.0,426.0,20.0,8.0,17.0
2020-07-25,1674.0,474.0,780.0,420.0,0.0,5.0,1.0
2020-07-26,1681.0,479.0,797.0,405.0,7.0,5.0,17.0
2020-07-27,1691.0,483.0,833.0,375.0,10.0,4.0,36.0
2020-07-28,1703.0,484.0,840.0,379.0,12.0,1.0,7.0
2020-07-29,1711.0,485.0,849.0,377.0,8.0,1.0,9.0
2020-07-30,1726.0,487.0,856.0,383.0,15.0,2.0,7.0
2020-07-31,1728.0,493.0,862.0,373.0,2.0,6.0,6.0
2020-08-01,1730.0,494.0,862.0,374.0,2.0,1.0,0.0
2020-08-02,1734.0,497.0,862.0,375.0,4.0,3.0,0.0
2020-08-03,1734.0,499.0,863.0,372.0,0.0,2.0,1.0
2020-08-04,1760.0,506.0,863.0,391.0,26.0,7.0,0.0
2020-08-05,1763.0,508.0,894.0,361.0,3.0,2.0,31.0
2020-08-06,1768.0,508.0,898.0,362.0,5.0,0.0,4.0
2020-08-07,1796.0,512.0,907.0,377.0,28.0,4.0,9.0
2020-08-08,1797.0,512.0,910.0,375.0,1.0,0.0,3.0
2020-08-09,1804.0,515.0,913.0,376.0,7.0,3.0,3.0
2020-08-10,1832.0,518.0,915.0,399.0,28.0,3.0,2.0
2020-08-11,1831.0,523.0,915.0,393.0,-1.0,5.0,0.0
2020-08-12,1841.0,528.0,937.0,376.0,10.0,5.0,22.0
2020-08-13,1847.0,528.0,949.0,370.0,6.0,0.0,12.0
2020-08-14,1858.0,528.0,1009.0,321.0,11.0,0.0,60.0
2020-08-15,1858.0,528.0,1013.0,317.0,0.0,0.0,4.0
2020-08-16,1869.0,530.0,1013.0,326.0,11.0,2.0,0.0
2020-08-17,1882.0,535.0,1045.0,302.0,13.0,5.0,32.0
2020-08-18,1889.0,537.0,1052.0,300.0,7.0,2.0,7.0
2020-08-19,1892.0,539.0,1055.0,298.0,3.0,2.0,3.0
2020-08-20,1899.0,541.0,1058.0,300.0,7.0,2.0,3.0
2020-08-21,1906.0,542.0,1058.0,306.0,7.0,1.0,0.0
2020-08-22,1907.0,546.0,1066.0,295.0,1.0,4.0,8.0
2020-08-23,1911.0,553.0,1086.0,272.0,4.0,7.0,20.0
2020-08-24,1916.0,555.0,1090.0,271.0,5.0,2.0,4.0
2020-08-25,1924.0,557.0,1091.0,276.0,8.0,2.0,1.0
2020-08-26,1930.0,560.0,1097.0,273.0,6.0,3.0,6.0
2020-08-27,1933.0,562.0,1098.0,273.0,3.0,2.0,1.0
2020-08-28,1943.0,563.0,1107.0,273.0,10.0,1.0,9.0
2020-08-29,1946.0,563.0,1113.0,270.0,3.0,0.0,6.0
2020-08-30,1953.0,564.0,1123.0,266.0,7.0,1.0,10.0
2020-08-31,1958.0,566.0,1131.0,261.0,5.0,2.0,8.0
2020-09-01,1962.0,570.0,1160.0,232.0,4.0,4.0,29.0
2020-09-02,1976.0,571.0,1175.0,230.0,14.0,1.0,15.0
2020-09-03,1979.0,571.0,1180.0,228.0,3.0,0.0,5.0
2020-09-04,1983.0,572.0,1194.0,217.0,4.0,1.0,14.0
2020-09-05,1983.0,572.0,1197.0,214.0,0.0,0.0,3.0
2020-09-06,1987.0,572.0,1200.0,215.0,4.0,0.0,3.0
2020-09-07,1989.0,573.0,1201.0,215.0,2.0,1.0,1.0
2020-09-08,1994.0,576.0,1203.0,215.0,5.0,3.0,2.0
2020-09-09,1999.0,576.0,1209.0,214.0,5.0,0.0,6.0
2020-09-10,2003.0,580.0,1211.0,212.0,4.0,4.0,2.0
2020-09-11,2007.0,582.0,1211.0,214.0,4.0,2.0,0.0
2020-09-12,2009.0,582.0,1211.0,216.0,2.0,0.0,0.0
2020-09-13,2011.0,583.0,1212.0,216.0,2.0,1.0,1.0
2020-09-14,2013.0,583.0,1215.0,215.0,2.0,0.0,3.0
2020-09-15,2016.0,583.0,1219.0,214.0,3.0,0.0,4.0
2020-09-16,2019.0,583.0,1221.0,215.0,3.0,0.0,2.0
2020-09-17,2022.0,585.0,1221.0,216.0,3.0,2.0,0.0
2020-09-18,2024.0,585.0,1221.0,218.0,2.0,0.0,0.0
2020-09-19,2026.0,585.0,1221.0,220.0,2.0,0.0,0.0
2020-09-20,2026.0,586.0,1227.0,213.0,0.0,1.0,6.0
2020-09-21,2028.0,586.0,1235.0,207.0,2.0,0.0,8.0
2020-09-22,2028.0,586.0,1240.0,202.0,0.0,0.0,5.0
2020-09-23,2029.0,586.0,1245.0,198.0,1.0,0.0,5.0
2020-09-24,2029.0,586.0,1250.0,193.0,0.0,0.0,5.0
2020-09-25,2029.0,587.0,1255.0,187.0,0.0,1.0,5.0
2020-09-26,2030.0,587.0,1260.0,183.0,1.0,0.0,5.0
2020-09-27,2030.0,587.0,1266.0,177.0,0.0,0.0,6.0
2020-09-28,2031.0,587.0,1266.0,178.0,1.0,0.0,0.0
2020-09-29,2031.0,587.0,1275.0,169.0,0.0,0.0,9.0
2020-09-30,2034.0,587.0,1286.0,161.0,3.0,0.0,11.0
